'000001'	上证指数	日线
日期	开盘	最高	最低	收盘	成交量	成交额	涨数	跌数	MA1	MA2	MA3	MA4	MA5	MA6
1996/01/02	550.26	550.26	537.38	537.87	482478.00	223117088	11	180	546.58	549.993	558.52	575.74	598.248	663.741
1996/01/03	535.23	542.74	530.79	542.42	556192.00	252573808	136	45	540.145	545.193	552.56	570.776	593.508	660.971
1996/01/04	541.94	558.94	539.76	558.76	1105912.00	451487904	208	2	550.59	546.35	550.232	566.548	590.024	658.436
1996/01/05	559.03	561.36	536.12	536.37	1386371.00	597184640	9	190	547.565	545.85	546.142	560.442	585.251	655.635
1996/01/08	533.33	540.04	527.91	539.17	696207.00	287291296	101	79	537.77	544.767	542.918	554.935	580.37	652.905
1996/01/09	541.35	559.64	540.99	558.62	1894742.00	803436608	193	4	548.895	544.72	547.068	552.794	577.339	650.526
1996/01/10	552.30	552.31	540.59	547.62	1531535.00	652606208	14	181	553.12	548.47	548.108	550.334	573.247	647.947
1996/01/11	547.46	552.56	543.12	545.64	1157744.00	496816160	48	140	546.63	550.627	545.484	547.858	569.839	645.094
1996/01/12	545.23	549.76	541.67	547.11	967428.00	421599840	88	79	546.375	546.79	547.632	546.887	566.457	642.499
1996/01/15	545.05	551.91	543.83	551.04	919360.00	423648768	128	50	549.075	547.93	550.006	546.462	563.815	639.578
1996/01/16	551.82	554.90	545.49	547.76	852911.00	362896448	43	135	549.4	548.637	547.834	547.451	561.596	636.656
1996/01/17	546.21	548.57	535.24	537.31	981152.00	409780928	9	185	542.535	545.37	545.772	546.94	558.858	633.552
1996/01/18	533.38	533.41	517.30	517.63	1267548.00	559187840	4	187	527.47	534.233	540.17	542.827	554.688	629.505
1996/01/19	515.00	523.59	512.83	523.51	863912.00	382324416	152	34	520.57	526.15	535.45	541.541	550.992	626.039
1996/01/22	520.95	521.00	514.16	516.46	682624.00	309450784	16	179	519.985	519.2	528.534	539.27	547.102	622.607
1996/01/23	515.48	522.41	515.48	519.60	556340.00	251084176	155	25	518.03	519.857	522.902	535.368	544.081	619.221
1996/01/24	519.94	524.33	519.94	522.63	779976.00	344156032	148	36	521.115	519.563	519.966	532.869	541.602	615.976
