'000016'	上证50  	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2006/09/19	1098.30	1108.72	1095.48	1101.95	9598097.00	5693571072	1099.205	1097.517	1090.662	1086.332	1070.854	1055.74
2006/09/20	1100.27	1101.82	1090.44	1098.92	8725589.00	4995287040	1100.435	1099.11	1097.867	1092.314	1075.12	1059.592
2006/09/21	1098.76	1109.92	1098.76	1106.87	10166960.00	5947102208	1102.895	1102.58	1101.05	1099.668	1081.292	1063.523
2006/09/22	1110.32	1116.25	1093.39	1094.17	11494079.00	7279263232	1100.52	1099.987	1100.478	1099.674	1085.629	1066.818
2006/09/25	1092.40	1099.44	1082.47	1091.71	9634932.00	5970127872	1092.94	1097.583	1097.917	1098.724	1089.015	1068.961
2006/09/26	1090.84	1091.46	1072.32	1077.30	7305084.00	4217115904	1084.505	1087.727	1092.512	1093.794	1090.063	1070.344
2006/09/27	1076.49	1089.47	1076.19	1088.74	5831209.00	3423293952	1083.02	1085.917	1087.98	1091.758	1092.036	1072.343
2006/09/28	1089.62	1102.61	1085.76	1101.97	7916432.00	4727446016	1095.355	1089.337	1089.93	1090.778	1095.223	1075.012
2006/09/29	1103.52	1117.57	1103.42	1115.71	9916399.00	6031800832	1108.84	1102.14	1095.93	1095.086	1097.38	1079.111
2006/10/09	1134.40	1151.70	1131.35	1151.43	18422810.00	9920940032	1133.57	1123.037	1114.463	1107.03	1102.877	1084.376
2006/10/10	1152.14	1160.61	1144.99	1152.23	15935107.00	9404477440	1151.83	1139.79	1130.335	1122.016	1107.905	1089.38
2006/10/11	1151.94	1155.91	1139.86	1152.41	12913167.00	6913562112	1152.32	1152.023	1142.945	1134.75	1113.254	1094.187
2006/10/12	1153.03	1158.85	1144.22	1147.22	14304432.00	7467843072	1149.815	1150.62	1150.823	1143.8	1117.289	1099.291
2006/10/13	1145.82	1155.68	1142.37	1149.57	11383976.00	6220404224	1148.395	1149.733	1150.357	1150.572	1122.829	1104.229
2006/10/16	1150.83	1152.54	1133.10	1135.48	10143046.00	5791241216	1142.525	1144.09	1146.17	1147.382	1127.206	1108.11
2006/10/17	1132.23	1138.48	1122.21	1125.44	8172174.00	4704951808	1130.46	1136.83	1139.427	1142.024	1132.02	1111.042
2006/10/18	1124.72	1147.15	1124.15	1146.92	8364665.00	4914580992	1136.18	1135.947	1139.353	1140.926	1137.838	1114.937
2006/10/19	1148.71	1154.79	1144.34	1148.40	8278639.00	4658462208	1147.66	1140.253	1139.06	1141.162	1142.481	1118.852
2006/10/20	1149.92	1161.29	1149.09	1152.31	9129232.00	5437709824	1150.355	1149.21	1143.268	1141.71	1146.141	1121.76
2006/10/23	1151.39	1157.95	1130.21	1132.68	10682744.00	5977922048	1142.495	1144.463	1145.078	1141.15	1144.266	1123.572
2006/10/24	1132.12	1159.42	1132.12	1159.13	10350174.00	6006090752	1145.905	1148.04	1148.13	1147.888	1144.956	1126.431
2006/10/25	1161.27	1180.47	1157.34	1166.24	13683011.00	8494299136	1162.685	1152.683	1152.59	1151.752	1146.339	1129.797
2006/10/26	1166.17	1178.63	1157.29	1178.07	21541652.00	10144448512	1172.155	1167.813	1159.03	1157.686	1149.424	1133.356
2006/10/27	1178.07	1181.06	1160.34	1164.57	19219264.00	9698182144	1171.32	1169.627	1167.002	1160.138	1150.924	1136.876
2006/10/30	1163.18	1176.76	1160.24	1175.79	15302368.00	7896199168	1170.18	1172.81	1171.167	1168.76	1154.955	1141.08
2006/10/31	1177.98	1194.17	1177.98	1193.84	16473364.00	8704377856	1184.815	1178.067	1178.068	1175.702	1161.795	1146.907
2006/11/01	1194.63	1211.81	1191.87	1211.55	17245488.00	9556926464	1202.695	1193.727	1186.438	1184.764	1168.258	1153.048
2006/11/02	1213.17	1214.13	1197.26	1208.27	19052458.00	10698162176	1209.91	1204.553	1197.363	1190.804	1174.245	1158.363
2006/11/03	1211.44	1227.78	1209.25	1219.00	18679776.00	10229463040	1213.635	1212.94	1208.165	1201.69	1180.914	1163.527
2006/11/06	1210.05	1245.98	1205.58	1245.69	18865496.00	10749400064	1232.345	1224.32	1221.127	1215.67	1192.215	1168.24
2006/11/07	1252.01	1259.29	1235.45	1258.64	18091596.00	11211118592	1252.165	1241.11	1232.9	1228.63	1202.166	1173.561
2006/11/08	1253.47	1255.40	1240.31	1241.44	12513136.00	8018778112	1250.04	1248.59	1241.193	1234.608	1209.686	1178.012
2006/11/09	1234.56	1273.26	1232.78	1268.33	16426880.00	9763381248	1254.885	1256.137	1253.525	1246.62	1218.712	1184.068
2006/11/10	1267.14	1293.35	1251.90	1262.52	31014924.00	17107263488	1265.425	1257.43	1257.732	1255.324	1228.507	1189.715
