'000300'	沪深300 	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2006/09/19	1377.71	1385.61	1371.43	1378.30	26648300.00	15942858752	1376.93	1372.057	1363.61	1358.564	1348.608	1334.25
2006/09/20	1376.11	1381.81	1365.71	1378.45	23445880.00	14017240064	1378.375	1377.437	1373.655	1366.578	1351.817	1338.888
2006/09/21	1378.45	1390.62	1378.45	1387.37	26094120.00	16026130432	1382.91	1381.373	1379.92	1376.398	1357.717	1343.636
2006/09/22	1389.86	1393.53	1373.93	1374.85	28265042.00	18173169664	1381.11	1380.223	1379.742	1378.906	1361.987	1347.608
2006/09/25	1372.80	1383.76	1361.60	1372.39	24584780.00	15493804032	1373.62	1378.203	1378.265	1378.272	1365.351	1349.932
2006/09/26	1370.85	1371.58	1351.18	1357.64	19703278.00	11953759232	1365.015	1368.293	1373.063	1374.14	1366.352	1351.307
2006/09/27	1357.27	1371.11	1355.39	1371.11	17580324.00	10897805312	1364.375	1367.047	1368.998	1372.672	1369.625	1353.129
2006/09/28	1372.13	1389.55	1369.39	1387.00	21687792.00	14070853632	1379.055	1371.917	1372.035	1372.598	1374.498	1355.545
2006/09/29	1389.06	1405.56	1389.03	1403.26	27166742.00	17347639296	1395.13	1387.123	1379.752	1378.28	1378.593	1359.803
2006/10/09	1420.36	1436.06	1418.20	1436.06	39191864.00	23762249728	1419.66	1408.773	1399.358	1391.014	1384.643	1364.745
2006/10/10	1437.68	1443.49	1426.96	1437.24	38400488.00	24024748032	1436.65	1425.52	1415.89	1406.934	1390.537	1369.573
2006/10/11	1436.68	1440.20	1421.80	1435.90	31617988.00	18592012288	1436.57	1436.4	1428.115	1419.892	1396.282	1374.05
2006/10/12	1436.18	1438.80	1423.62	1426.50	37956236.00	21048270848	1431.2	1433.213	1433.925	1427.792	1400.195	1378.956
2006/10/13	1424.30	1436.10	1420.95	1430.88	28295156.00	16770801664	1428.69	1431.093	1432.63	1433.316	1405.798	1383.892
2006/10/16	1432.30	1434.53	1415.49	1418.51	28492186.00	17341290496	1424.695	1425.297	1427.948	1429.806	1410.41	1387.88
2006/10/17	1416.93	1426.29	1410.67	1414.43	24224404.00	15151116288	1416.47	1421.273	1422.58	1425.244	1416.089	1391.22
2006/10/18	1413.90	1437.59	1413.55	1437.59	24290308.00	15015403520	1426.01	1423.51	1425.353	1425.582	1422.737	1396.181
2006/10/19	1438.84	1445.61	1433.93	1439.37	23820268.00	14441180160	1438.48	1430.463	1427.475	1428.156	1427.974	1401.236
2006/10/20	1440.66	1447.95	1436.65	1440.18	26560144.00	16526648320	1439.775	1439.047	1432.893	1430.016	1431.666	1405.13
