'399001'	深证成指	日线
日期	开盘	最高	最低	收盘	成交量	成交额	涨数	跌数	MA1	MA2	MA3	MA4	MA5	MA6
2006/04/10	3701.10	3736.60	3667.45	3735.26	28619770.00	13593211904	0	0	3719.42	3718.453	3705.907	3690.206	3607.123	3481.107
2006/04/11	3744.56	3792.84	3716.99	3780.07	30382288.00	14613776384	0	0	3757.665	3739.637	3733.857	3720.74	3636.252	3506.636
2006/04/12	3780.71	3780.99	3725.24	3729.60	27565366.00	12989181952	0	0	3754.835	3748.31	3737.127	3733.006	3657.175	3527.513
2006/04/13	3734.57	3769.36	3659.91	3665.23	30675504.00	14172825600	0	0	3697.415	3724.967	3727.54	3722.748	3674.891	3545.305
2006/04/14	3667.06	3760.02	3665.07	3760.02	24202500.00	11762624512	0	0	3712.625	3718.283	3733.73	3734.036	3699.256	3568.289
2006/04/17	3753.95	3804.21	3743.06	3760.62	26473372.00	13484351488	0	0	3760.32	3728.623	3728.868	3739.108	3714.657	3589.039
2006/04/18	3768.10	3812.28	3729.78	3803.72	25034268.00	13134897152	0	0	3782.17	3774.787	3747.397	3743.838	3732.289	3610.683
2006/04/19	3800.25	3842.64	3785.26	3835.40	25653624.00	13156969472	0	0	3819.56	3799.913	3789.94	3764.998	3749.002	3632.459
2006/04/20	3837.96	3860.21	3815.59	3847.78	28433140.00	14530365440	0	0	3841.59	3828.967	3811.88	3801.508	3762.128	3654.586
2006/04/21	3843.71	3875.34	3798.75	3857.29	30568388.00	15300278272	0	0	3852.535	3846.823	3836.047	3820.962	3777.499	3677.827
2006/04/24	3864.62	3871.64	3772.51	3775.57	31933510.00	16464797696	0	0	3816.43	3826.88	3829.01	3823.952	3781.53	3694.327
2006/04/25	3764.25	3829.28	3708.97	3805.84	29151644.00	15298319360	0	0	3790.705	3812.9	3821.62	3824.376	3784.107	3710.179
2006/04/26	3817.79	3852.27	3806.35	3821.77	30326596.00	16745377792	0	0	3813.805	3801.06	3815.118	3821.65	3793.324	3725.25
2006/04/27	3817.96	3856.07	3794.37	3842.10	25488588.00	13117212672	0	0	3831.935	3823.237	3811.32	3820.514	3811.011	3742.951
2006/04/28	3772.62	3854.99	3730.07	3850.12	30020704.00	15973197824	0	0	3846.11	3837.997	3829.958	3819.08	3820.021	3759.638
2006/05/08	3872.80	4020.37	3872.80	4015.78	30714192.00	16225915904	0	0	3932.95	3902.667	3882.443	3867.122	3845.537	3780.097
2006/05/09	4046.88	4134.04	4043.40	4132.14	41595028.00	21941481472	0	0	4073.96	3999.347	3960.035	3932.382	3878.379	3805.334
2006/05/10	4136.89	4174.00	4084.27	4147.35	44792120.00	23648995328	0	0	4139.745	4098.423	4036.348	3997.498	3909.574	3829.288
2006/05/11	4143.06	4207.18	4084.76	4093.82	49771076.00	26408818688	0	0	4120.585	4124.437	4097.272	4047.842	3934.178	3848.153
2006/05/12	4085.73	4175.21	4060.90	4173.75	42250584.00	21996257280	0	0	4133.785	4138.307	4136.765	4112.568	3965.824	3871.662
2006/05/15	4226.89	4359.58	4207.93	4358.62	54482112.00	29541873664	0	0	4266.185	4208.73	4193.385	4181.136	4024.129	3902.83
2006/05/16	4389.39	4463.08	4232.06	4252.89	58624668.00	34123051008	0	0	4305.755	4261.753	4219.77	4205.286	4068.834	3926.47
2006/05/17	4255.48	4356.27	4208.87	4296.98	44758736.00	25553813504	0	0	4274.935	4302.83	4270.56	4235.212	4116.355	3954.84
2006/05/18	4255.71	4329.74	4191.37	4296.06	39883704.00	21717760000	0	0	4296.52	4281.977	4301.138	4275.66	4161.751	3986.381
2006/05/19	4295.08	4386.21	4265.89	4369.39	42264488.00	23535581184	0	0	4332.725	4320.81	4303.83	4314.788	4213.678	4016.85
2006/05/22	4357.25	4418.52	4333.74	4370.46	44058728.00	24227764224	0	0	4369.925	4345.303	4333.223	4317.156	4249.146	4047.342
2006/05/23	4326.50	4326.50	4159.60	4165.43	40863560.00	22132209664	0	0	4267.945	4301.76	4300.335	4299.664	4252.475	4065.427
