'399006'	创业板指	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2013/01/04	717.30	718.39	699.17	705.34	10144828.00	15154003968	709.6	708.957	707.104	688.79	664.279	671.223
2013/01/07	704.37	718.11	702.39	718.11	10828472.00	15829220352	711.725	712.437	708.91	695.391	668.944	671.16
2013/01/08	718.43	735.34	716.30	733.14	13556817.00	19833141248	725.625	718.863	715.624	702.874	674.385	671.516
2013/01/09	732.01	740.64	727.91	734.51	13175455.00	18678317056	733.825	728.587	720.992	709.516	679.236	671.943
2013/01/10	734.31	743.55	734.31	741.18	11541677.00	16211091456	737.845	736.277	726.456	715.658	683.979	672.597
2013/01/11	740.90	746.04	730.40	731.59	13876465.00	20569317376	736.385	735.76	731.706	719.405	688.5	673.034
2013/01/14	735.65	761.73	735.18	760.55	14605320.00	22010693632	746.07	744.44	740.194	724.552	694.552	673.891
2013/01/15	763.63	781.42	763.63	778.60	17366908.00	25882937344	769.575	756.913	749.286	732.455	701.873	674.859
2013/01/16	777.04	779.93	762.04	774.49	13673648.00	20057542656	776.545	771.213	757.282	739.137	707.786	675.777
2013/01/17	773.79	775.82	767.49	768.31	10598854.00	15815666688	771.4	773.8	762.708	744.582	713.721	676.51
2013/01/18	771.31	787.50	771.31	787.39	10860702.00	16637217792	777.85	776.73	773.868	752.787	720.789	677.779
2013/01/21	788.07	793.23	783.42	792.60	10446622.00	16241294336	789.995	782.767	780.278	760.236	727.813	679.193
2013/01/22	792.31	792.55	769.09	775.14	11331764.00	17303310336	783.87	785.043	779.586	764.436	733.655	680.489
2013/01/23	773.74	779.56	765.36	778.48	9171227.00	14057893888	776.81	782.073	780.384	768.833	739.174	682.041
2013/01/24	778.64	784.32	750.36	757.87	11159146.00	16720373760	768.175	770.497	778.296	770.502	743.08	683.203
2013/01/25	757.61	766.78	756.61	762.85	7258003.00	10749982720	760.36	766.4	773.388	773.628	746.516	684.424
2013/01/28	764.09	784.76	764.09	784.76	8328960.00	12456331264	773.805	768.493	771.82	776.049	750.3	685.976
2013/01/29	785.76	795.07	785.76	791.67	9819117.00	15013084160	788.215	779.76	775.126	777.356	754.906	687.474
2013/01/30	791.96	792.77	778.30	783.68	9572741.00	14417985536	787.675	786.703	776.166	778.275	758.706	688.846
2013/01/31	784.11	784.11	771.15	776.01	9124011.00	13519121408	779.845	783.787	779.794	779.045	761.813	690.232
2013/02/01	775.11	785.52	772.94	782.36	8442919.00	12554439680	779.185	780.683	783.696	778.542	765.664	691.763
2013/02/04	783.74	786.56	767.85	771.90	9158984.00	13392113664	777.13	776.757	781.124	776.472	768.354	693.132
2013/02/05	768.41	781.57	765.97	780.98	7394332.00	11308107776	776.44	778.413	778.986	777.056	770.746	694.884
2013/02/06	781.32	794.50	781.32	791.26	7177630.00	10775900160	786.12	781.38	780.502	778.334	773.583	696.86
2013/02/07	792.86	806.31	789.37	805.59	7153997.00	11240184832	798.425	792.61	786.418	783.106	776.804	699.01
2013/02/08	804.96	824.31	804.96	823.03	8513248.00	13504157696	814.31	806.627	794.552	789.124	781.376	701.605
2013/02/18	829.66	835.66	825.95	835.28	10496588.00	15841469440	829.155	821.3	807.228	794.176	785.112	704.44
2013/02/19	834.97	835.41	816.96	819.71	9619500.00	14588089344	827.495	826.007	814.974	796.98	787.168	707.115
2013/02/20	819.03	850.86	819.03	850.86	10784608.00	16691671040	835.285	835.283	826.894	803.698	790.987	710.359
2013/02/21	846.64	853.27	829.60	839.30	12723522.00	18881634304	845.08	836.623	833.636	810.027	794.536	713.399
2013/02/22	837.13	848.16	836.87	838.76	9580222.00	13950876672	839.03	842.973	836.782	815.667	797.104	716.435
2013/02/25	838.88	857.85	838.88	855.69	10134053.00	15521518592	847.225	844.583	840.864	824.046	800.259	719.695
2013/02/26	853.28	865.80	849.94	851.22	11871814.00	19095382016	853.455	848.557	847.166	831.07	804.063	723.019
2013/02/27	852.13	856.12	835.94	846.09	10080143.00	15728187392	848.655	851	846.212	836.553	807.443	726.263
2013/02/28	846.34	861.10	844.20	861.10	10356164.00	16057692160	853.595	852.803	850.572	842.104	812.605	729.967
2013/03/01	860.80	885.18	859.83	884.89	13695510.00	21383827456	872.995	864.027	859.798	848.29	818.707	734.443
2013/03/04	880.25	888.79	855.05	863.50	13807495.00	21720938496	874.195	869.83	861.36	851.112	822.644	738.707
2013/03/05	861.23	888.32	857.54	888.10	10776581.00	17242800128	875.8	878.83	868.736	857.951	827.466	743.456
2013/03/06	890.23	905.16	890.23	902.90	13402306.00	21524635648	895.5	884.833	880.098	863.155	833.427	748.392
