'000905'	中证500 	周线
日期	开盘	最高	最低	收盘
2007/01/19	2002.56	2159.64	1990.87	2159.63
2007/01/26	2183.43	2295.26	2061.65	2186.27
2007/02/02	2201.59	2280.73	2080.15	2127.10
2007/02/09	2122.37	2300.81	2118.87	2287.37
2007/02/16	2291.65	2581.56	2291.65	2541.40
2007/03/02	2557.25	2673.53	2369.05	2503.67
2007/03/09	2508.38	2662.33	2419.29	2638.05
2007/03/16	2639.88	2777.40	2610.39	2710.86
2007/03/23	2623.74	2901.79	2609.31	2898.00
2007/03/30	2915.05	3060.18	2859.73	2926.06
2007/04/06	2935.21	3189.11	2932.63	3182.80
2007/04/13	3201.14	3419.99	3151.49	3358.62
2007/04/20	3362.73	3652.72	3356.02	3614.38
2007/04/27	3667.55	3871.39	3667.55	3845.81
2007/04/30	3831.55	3909.04	3809.97	3903.68
2007/05/11	3990.71	4146.58	3918.75	4109.39
2007/05/18	4051.84	4261.46	3929.52	4235.18
2007/05/25	4089.85	4665.98	4076.52	4649.85
2007/06/01	4707.68	4853.87	3945.39	3960.43
2007/06/08	3901.79	4036.87	3317.87	4002.87
2007/06/15	4057.16	4399.52	3945.67	4316.52
2007/06/22	4400.39	4589.22	4050.66	4123.22
2007/06/29	4139.27	4184.33	3527.32	3585.49
2007/07/06	3571.72	3716.51	3309.14	3591.37
2007/07/13	3627.98	3737.68	3564.14	3655.85
2007/07/20	3654.86	3791.31	3492.27	3788.74
2007/07/27	3813.98	4269.85	3813.98	4269.77
2007/08/03	4279.04	4435.24	4155.48	4408.04
2007/08/10	4446.21	4510.08	4243.74	4348.81
2007/08/17	4343.73	4482.73	4257.37	4390.87
2007/08/24	4475.39	4765.16	4468.85	4742.95
2007/08/31	4802.43	4914.97	4630.41	4897.64
2007/09/07	4941.98	5080.33	4900.54	4939.23
2007/09/14	4881.12	5054.08	4590.27	4936.68
2007/09/21	4926.83	5114.96	4919.70	5028.83
2007/09/28	5040.29	5099.06	4898.23	5083.64
2007/10/12	5169.23	5178.60	4662.10	4891.39
2007/10/19	4896.83	4955.68	4774.24	4813.95
2007/10/26	4775.68	4812.22	4126.56	4228.95
2007/11/02	4251.16	4557.64	4211.14	4329.62
2007/11/09	4306.73	4432.35	4098.29	4153.18
2007/11/16	4090.90	4275.24	3996.15	4217.23
2007/11/23	4228.58	4399.81	4067.40	4193.98
2007/11/30	4238.58	4266.98	4057.74	4122.93
2007/12/07	4113.21	4362.22	4101.10	4362.22
2007/12/14	4304.75	4573.52	4288.50	4499.52
2007/12/21	4512.37	4692.12	4453.77	4691.52
2007/12/28	4724.16	4987.21	4724.08	4947.60
2008/01/04	4963.04	5246.10	4960.35	5243.02
2008/01/11	5237.93	5438.31	5158.12	5376.79
2008/01/18	5382.73	5495.39	5106.91	5317.45
2008/01/25	5331.66	5343.87	4624.93	5096.68
2008/02/01	5073.62	5073.62	4308.52	4456.93
2008/02/05	4570.10	4889.37	4570.10	4839.00
2008/02/15	4798.56	4929.77	4749.14	4886.02
2008/02/22	4953.02	5184.14	4938.73	5029.20
2008/02/29	5038.62	5068.98	4729.85	5057.62
2008/03/07	5044.93	5296.25	5014.27	5115.91
2008/03/14	5081.10	5122.54	4589.50	4662.31
2008/03/21	4641.91	4642.73	3926.46	4405.85
2008/03/28	4459.50	4489.46	3948.85	4241.45
2008/04/03	4129.93	4200.75	3392.08	3588.76
2008/04/11	3544.31	3960.77	3506.79	3862.36
2008/04/18	3778.68	3779.25	3333.11	3338.27
2008/04/25	3578.80	3873.33	3093.66	3756.33
2008/04/30	3696.92	3910.40	3667.58	3903.17
2008/05/09	3943.20	4086.42	3796.55	3986.24
2008/05/16	3926.05	4230.77	3893.38	4071.90
2008/05/23	4059.28	4100.56	3663.20	3829.64
2008/05/30	3804.30	3864.81	3679.00	3755.62
2008/06/06	3747.59	3804.79	3607.24	3629.91
2008/06/13	3487.05	3487.05	3042.50	3045.11
2008/06/20	3041.70	3076.43	2596.84	2764.28
2008/06/27	2726.45	3041.37	2693.06	2792.71
2008/07/04	2762.34	2979.80	2737.75	2941.09
2008/07/11	2948.68	3264.02	2948.68	3132.73
2008/07/18	3111.58	3231.37	2855.91	3015.80
2008/07/25	3002.46	3206.37	2982.51	3172.16
2008/08/01	3190.28	3229.15	2958.03	3063.81
2008/08/08	3044.13	3067.04	2709.96	2711.96
2008/08/15	2699.09	2699.09	2369.37	2473.72
2008/08/22	2479.38	2535.06	2235.71	2382.52
2008/08/29	2379.21	2413.87	2180.93	2307.15
2008/09/05	2290.40	2290.40	2145.65	2148.74
2008/09/12	2146.75	2160.86	2021.81	2038.66
2008/09/19	2036.38	2086.83	1797.08	2086.83
2008/09/26	2213.53	2276.65	1984.23	2136.00
2008/10/10	2092.35	2096.35	1836.50	1837.40
2008/10/17	1814.54	1941.10	1696.72	1726.40
2008/10/24	1725.56	1824.38	1705.56	1741.18
2008/10/31	1711.81	1711.81	1553.49	1562.02
2008/11/07	1553.88	1573.52	1488.65	1561.22
2008/11/14	1585.29	1867.49	1585.29	1867.49
2008/11/21	1864.31	1990.30	1803.41	1921.04
2008/11/28	1920.55	1965.65	1780.91	1841.45
2008/12/05	1836.42	2110.66	1820.53	2098.65
2008/12/12	2128.67	2203.30	2001.18	2031.99
2008/12/19	2063.90	2216.88	2008.41	2194.99
2008/12/26	2196.38	2213.00	1966.54	1983.76
2008/12/31	1977.21	2004.64	1928.06	1939.43
2009/01/09	1969.63	2120.21	1962.62	2107.77
2009/01/16	2105.14	2228.89	2078.06	2195.62
2009/01/23	2209.12	2265.41	2166.09	2238.08
2009/02/06	2258.51	2496.59	2245.26	2493.74
2009/02/13	2528.80	2808.48	2500.54	2805.01
2009/02/20	2833.29	2854.56	2629.34	2776.96
2009/02/27	2769.62	2884.01	2396.31	2416.95
2009/03/06	2385.84	2710.02	2382.02	2653.47
2009/03/13	2661.95	2692.75	2498.25	2569.62
2009/03/20	2563.02	2802.71	2539.90	2784.11
2009/03/27	2784.88	2894.51	2746.80	2877.87
2009/04/03	2880.53	2996.38	2808.61	2934.25
2009/04/10	2941.38	3012.25	2838.62	3009.37
2009/04/17	3030.70	3182.58	3019.15	3119.41
2009/04/24	3111.47	3235.45	2978.64	3036.76
2009/04/30	3034.24	3096.76	2897.80	3086.22
2009/05/08	3096.38	3285.77	3096.38	3257.59
2009/05/15	3269.02	3285.45	3101.32	3270.74
2009/05/22	3265.01	3343.65	3211.38	3254.53
2009/05/27	3176.15	3319.12	3152.54	3276.75
2009/06/05	3302.00	3393.08	3296.12	3355.78
2009/06/12	3355.90	3422.12	3281.25	3309.59
2009/06/19	3303.74	3448.84	3296.58	3434.06
2009/06/26	3451.87	3454.89	3353.03	3448.46
2009/07/03	3451.78	3584.86	3439.77	3584.86
2009/07/10	3593.62	3747.12	3557.66	3719.97
2009/07/17	3711.45	3873.33	3705.42	3852.86
2009/07/24	3863.47	3952.32	3814.91	3907.97
2009/07/31	3918.27	4023.01	3670.90	3928.58
2009/08/07	3944.70	4099.52	3875.76	3893.12
2009/08/14	3935.05	3970.17	3609.65	3609.70
2009/08/21	3558.32	3571.82	3215.55	3468.04
2009/08/28	3472.49	3662.47	3384.45	3531.40
2009/09/04	3477.12	3509.28	3195.85	3489.06
2009/09/11	3503.00	3659.43	3473.17	3641.82
2009/09/18	3653.47	3892.16	3652.58	3739.73
2009/09/25	3704.16	3834.73	3477.40	3536.81
2009/09/30	3546.34	3581.98	3306.37	3400.62
2009/10/09	3456.08	3576.63	3454.80	3576.43
2009/10/16	3586.04	3733.28	3555.95	3716.89
2009/10/23	3719.53	3926.18	3714.49	3908.43
2009/10/30	3914.61	3925.41	3761.79	3827.67
2009/11/06	3754.93	4175.50	3738.70	4145.14
2009/11/13	4148.43	4267.00	4120.39	4267.00
2009/11/20	4295.72	4541.27	4295.72	4508.29
2009/11/27	4516.27	4611.89	4187.58	4215.33
2009/12/04	4251.96	4651.14	4251.96	4506.08
2009/12/11	4508.62	4598.10	4474.10	4534.75
2009/12/18	4533.35	4545.35	4194.96	4203.48
2009/12/25	4195.12	4398.46	4124.08	4376.18
2009/12/31	4388.77	4487.45	4388.27	4485.25
2010/01/08	4508.93	4595.10	4426.24	4514.45
2010/01/15	4549.31	4753.18	4502.99	4747.64
2010/01/22	4744.33	4852.31	4453.68	4537.87
2010/01/29	4515.12	4542.79	4229.52	4374.64
2010/02/05	4366.49	4445.75	4160.35	4311.29
2010/02/12	4299.25	4418.54	4279.66	4416.22
2010/02/26	4412.54	4656.93	4352.43	4634.66
2010/03/05	4635.95	4780.02	4550.10	4604.58
2010/03/12	4618.85	4674.50	4489.52	4492.85
2010/03/19	4485.87	4665.91	4426.18	4663.89
2010/03/26	4669.41	4697.73	4601.68	4686.93
2010/04/02	4701.79	4851.93	4682.41	4843.16
2010/04/09	4853.33	4939.41	4814.25	4939.18
2010/04/16	4948.10	4993.37	4793.27	4898.66
2010/04/23	4850.85	4950.49	4607.20	4864.16
2010/04/30	4868.72	4904.97	4350.14	4438.68
2010/05/07	4353.45	4583.18	4285.47	4350.75
2010/05/14	4346.70	4391.02	3974.10	4184.83
2010/05/21	4125.66	4132.37	3768.10	3982.37
2010/05/28	4016.35	4270.16	4016.35	4235.31
2010/06/04	4214.62	4259.16	3933.38	4089.03
2010/06/11	4000.64	4261.16	3985.14	4198.00
2010/06/18	4221.60	4237.10	3945.73	3972.29
2010/06/25	3960.25	4138.77	3924.41	4028.42
2010/07/02	4023.11	4036.42	3430.36	3585.58
2010/07/09	3535.74	3817.66	3498.89	3807.60
2010/07/16	3809.75	3866.78	3672.02	3757.42
2010/07/23	3718.12	4028.51	3701.92	4015.47
2010/07/30	4023.06	4203.64	4011.75	4191.12
2010/08/06	4192.66	4356.21	4137.64	4356.00
2010/08/13	4357.18	4417.20	4212.21	4323.04
2010/08/20	4322.02	4491.74	4315.02	4366.60
2010/08/27	4363.16	4476.25	4355.02	4431.43
2010/09/03	4453.04	4671.33	4453.04	4662.96
2010/09/10	4682.25	4746.02	4593.45	4705.31
2010/09/17	4713.06	4821.54	4558.39	4603.49
2010/09/21	4608.85	4622.50	4516.60	4546.72
2010/09/30	4570.60	4695.04	4553.96	4660.60
2010/10/08	4696.37	4787.45	4691.64	4767.97
2010/10/15	4784.64	4848.85	4638.24	4691.45
2010/10/22	4699.02	4892.62	4545.06	4877.93
2010/10/29	4894.85	5088.85	4894.81	5055.49
2010/11/05	5072.75	5313.48	5072.75	5311.77
