'399971'	中证传媒	周线
日期	开盘	最高	最低	收盘
2014/04/18	1636.91	1648.54	1613.47	1642.57
2014/04/25	1631.53	1652.03	1534.91	1536.50
2014/04/30	1522.99	1543.16	1485.27	1535.31
2014/05/09	1533.17	1575.67	1490.32	1502.71
2014/05/16	1512.89	1557.97	1474.27	1488.92
2014/05/23	1486.01	1554.84	1472.99	1554.30
2014/05/30	1558.63	1600.81	1549.04	1567.19
2014/06/06	1565.50	1638.30	1554.96	1615.55
2014/06/13	1610.31	1645.18	1580.92	1642.37
2014/06/20	1641.84	1662.37	1553.46	1574.95
2014/06/27	1577.07	1648.60	1576.21	1640.49
2014/07/04	1641.26	1676.01	1625.53	1661.06
2014/07/11	1658.79	1662.68	1601.16	1609.76
2014/07/18	1607.13	1609.03	1523.62	1529.02
2014/07/25	1527.93	1553.11	1483.96	1518.03
2014/08/01	1523.23	1585.10	1523.23	1556.42
2014/08/08	1557.98	1617.58	1557.91	1609.96
2014/08/15	1614.01	1628.08	1598.06	1621.47
2014/08/22	1626.81	1770.59	1626.81	1749.12
2014/08/29	1749.22	1749.61	1672.50	1699.13
2014/09/05	1701.00	1791.61	1697.60	1779.00
2014/09/12	1779.47	1830.01	1760.33	1801.65
2014/09/19	1797.72	1812.13	1714.90	1754.03
2014/09/26	1752.29	1790.25	1731.07	1777.87
2014/09/30	1783.34	1808.05	1782.72	1803.98
2014/10/10	1807.78	1825.45	1787.06	1812.53
2014/10/17	1805.74	1819.28	1762.45	1777.92
2014/10/24	1780.23	1800.69	1725.31	1736.12
2014/10/31	1725.60	1792.36	1711.61	1767.87
2014/11/07	1768.40	1792.38	1749.50	1768.56
2014/11/14	1770.50	1784.20	1699.71	1709.72
2014/11/21	1711.69	1823.11	1708.02	1819.47
2014/11/28	1833.84	1897.86	1829.33	1876.07
2014/12/05	1870.93	1963.42	1849.81	1906.98
2014/12/12	1897.98	2023.29	1877.54	2018.95
2014/12/19	2017.46	2068.10	1927.99	1958.40
2014/12/26	1945.63	1945.63	1850.61	1927.51
2014/12/31	1929.57	1936.21	1807.50	1829.76
2015/01/09	1831.45	1970.56	1796.26	1927.90
2015/01/16	1931.89	2083.41	1930.09	2078.31
2015/01/23	2033.97	2198.39	2015.23	2118.01
2015/01/30	2121.68	2216.81	2121.68	2135.54
2015/02/06	2114.68	2317.27	2107.89	2225.23
2015/02/13	2223.86	2380.70	2180.44	2379.43
2015/02/17	2406.61	2522.02	2406.61	2504.43
2015/02/27	2507.92	2519.05	2402.89	2507.35
2015/03/06	2503.31	2564.98	2469.85	2473.19
2015/03/13	2461.01	2603.87	2456.30	2602.81
2015/03/20	2628.20	2851.49	2628.20	2828.53
2015/03/27	2852.16	3017.54	2842.80	2896.40
2015/04/03	2893.82	3034.03	2849.21	3026.31
2015/04/10	3040.84	3074.92	2836.33	3025.21
2015/04/17	3023.62	3032.05	2846.20	2938.81
2015/04/24	2943.18	3383.12	2900.19	3374.28
2015/04/30	3456.58	3658.94	3273.04	3568.24
2015/05/08	3606.11	3613.45	3352.17	3576.70
2015/05/15	3641.77	4109.10	3617.24	3906.64
2015/05/22	3921.05	4336.73	3921.05	4274.51
2015/05/29	4164.46	4446.99	3986.75	4172.29
2015/06/05	4209.34	4735.33	4208.63	4580.33
2015/06/12	4544.83	4728.56	4345.82	4713.62
2015/06/19	4741.84	4741.84	4005.21	4018.38
2015/06/26	3976.48	4095.84	3432.61	3434.46
2015/07/03	3427.64	3503.16	2862.09	3000.28
2015/07/10	3210.05	3210.05	2628.11	2896.43
2015/07/17	2959.85	3201.22	2800.17	3153.60
2015/07/24	3181.27	3434.50	3142.27	3306.93
2015/07/31	3224.63	3359.29	2908.11	3022.03
2015/08/07	2953.41	3062.69	2850.32	3038.01
2015/08/14	3063.68	3262.63	3058.43	3207.55
2015/08/21	3187.53	3241.48	2815.28	2820.63
2015/08/28	2697.00	2710.79	2323.36	2568.86
2015/09/02	2527.39	2528.67	2293.28	2388.29
2015/09/11	2411.56	2611.95	2347.61	2576.37
2015/09/18	2583.85	2589.68	2309.27	2474.39
2015/09/25	2441.32	2641.09	2437.92	2516.43
2015/09/30	2528.68	2609.37	2502.72	2555.57
2015/10/09	2627.48	2684.02	2606.42	2669.39
2015/10/16	2677.79	2954.08	2673.74	2949.32
2015/10/23	2976.03	3041.77	2829.37	3007.41
2015/10/30	3035.20	3076.76	2894.79	2972.45
2015/11/06	2907.28	3184.48	2901.84	3178.20
2015/11/13	3171.82	3335.11	3138.40	3178.82
2015/11/20	3087.79	3301.12	3083.84	3227.14
2015/11/27	3221.33	3362.79	3045.07	3066.49
2015/12/04	3070.98	3180.57	2917.85	3115.80
2015/12/11	3125.86	3214.49	3112.05	3129.82
2015/12/18	3100.67	3284.01	3087.37	3259.10
2015/12/25	3254.36	3299.96	3170.94	3229.38
2015/12/31	3233.33	3251.96	3096.40	3098.67
2016/01/08	3090.16	3096.66	2443.19	2560.99
2016/01/15	2503.83	2544.54	2278.69	2388.13
2016/01/22	2336.86	2516.45	2315.46	2390.12
2016/01/29	2410.70	2437.91	2106.54	2209.71
2016/02/05	2207.58	2361.99	2166.13	2314.73
2016/02/19	2245.62	2463.08	2245.62	2436.76
2016/02/26	2463.69	2481.11	2158.41	2195.43
2016/03/04	2186.19	2245.66	2017.00	2132.64
2016/03/11	2151.61	2211.70	2088.68	2145.78
2016/03/18	2171.41	2397.83	2171.27	2385.84
