'399967'	中证军工	周线
日期	开盘	最高	最低	收盘	成交量	成交额
2005/01/07	995.24	1001.03	976.15	991.69	544247.00	393792608
2005/01/14	991.28	1006.31	987.65	987.84	1007124.00	617789632
2005/01/21	979.53	986.74	933.33	968.64	1504350.00	880953088
2005/01/28	980.68	988.02	922.64	923.74	1442880.00	831393280
2005/02/04	919.21	937.57	883.64	934.52	1157259.00	645004032
2005/02/18	936.93	955.47	936.21	943.20	615583.00	362462848
2005/02/25	940.18	1015.71	937.25	1005.85	2702864.00	1581372416
2005/03/04	1005.24	1009.41	976.51	985.22	1718384.00	1053997824
2005/03/11	986.78	1032.92	983.00	1005.41	3001108.00	1928354688
2005/03/18	1005.19	1009.86	945.55	950.54	2185264.00	1360866816
2005/03/25	952.64	959.33	916.98	940.95	1687383.00	1037411072
2005/04/01	940.68	941.00	881.15	928.30	1798688.00	959795712
2005/04/08	919.04	944.75	894.85	944.75	1918621.00	1074313984
2005/04/15	943.95	951.01	904.48	906.79	1846070.00	1142879360
2005/04/22	904.93	904.93	858.78	860.95	1613087.00	954052864
2005/04/29	852.60	880.54	838.53	868.23	1794141.00	1053286976
2005/05/13	863.75	863.75	816.27	835.10	1338053.00	760876160
2005/05/20	832.72	850.93	820.47	842.91	1294612.00	624600256
2005/05/27	841.41	843.71	815.67	816.32	1167447.00	572676608
2005/06/03	815.06	826.65	774.73	783.90	1066755.00	488827264
2005/06/10	784.08	879.11	773.05	854.31	2645456.00	1255572736
2005/06/17	855.03	872.98	816.24	838.00	1935656.00	1035874816
2005/06/24	839.40	868.97	826.95	862.78	2033447.00	1214905216
2005/07/01	871.14	895.43	811.05	813.68	2115846.00	1105178368
2005/07/08	810.83	810.83	783.57	784.07	1374265.00	739643072
2005/07/15	786.73	803.53	765.11	770.68	1553796.00	836783104
2005/07/22	769.21	807.45	754.94	802.39	1619280.00	940198720
2005/07/29	802.36	841.31	799.56	835.79	2624840.00	1443170048
2005/08/05	836.38	875.14	828.46	875.14	2649331.00	1411207424
2005/08/12	879.75	923.52	877.32	900.79	4419426.00	2353391104
2005/08/19	899.16	951.01	891.24	907.15	4897602.00	2563224064
2005/08/26	904.55	936.17	902.68	933.86	3025503.00	1506328448
2005/09/02	932.70	982.35	920.24	979.88	3983183.00	1928741248
2005/09/09	991.70	1027.21	989.80	1011.73	4283234.00	2444187648
2005/09/16	1008.36	1062.91	1006.83	1052.06	3896494.00	2164368384
2005/09/23	1052.22	1084.79	1021.00	1034.14	5454534.00	2944043264
2005/09/30	1033.25	1081.77	1026.47	1060.33	4592109.00	2659460096
2005/10/14	1058.34	1076.51	1046.58	1061.94	3637023.00	2203922176
2005/10/21	1073.13	1099.59	1066.06	1097.37	4310773.00	2914497024
2005/10/28	1096.50	1112.32	1036.83	1051.60	3461038.00	2001251200
2005/11/04	1053.63	1070.78	1034.22	1054.46	3132365.00	1782159872
2005/11/11	1053.56	1091.35	1043.97	1065.88	3970586.00	2311871488
2005/11/18	1060.08	1063.80	1012.78	1054.53	3087230.00	1719730176
2005/11/25	1053.09	1061.03	1037.97	1060.79	2472132.00	1361980160
2005/12/02	1060.53	1061.62	1014.76	1018.69	2235544.00	1257769856
2005/12/09	1018.12	1021.20	978.01	1021.20	2430517.00	1359721344
2005/12/16	1020.61	1050.11	1011.38	1049.66	2780346.00	1553316608
2005/12/23	1048.97	1062.08	1038.05	1061.11	2128604.00	1206187136
2005/12/30	1064.06	1101.75	1064.06	1088.33	2647250.00	1763720064
2006/01/06	1094.89	1146.25	1089.98	1139.68	2544106.00	1749770112
2006/01/13	1140.26	1199.72	1138.84	1188.73	4671535.00	3093574144
2006/01/20	1188.52	1207.99	1167.72	1206.04	4375176.00	2644035584
