'000827'	中证环保	周线
日期	开盘	最高	最低	收盘	成交量	成交额
2012/01/06	1006.94	1007.56	904.81	931.95	13019434.00	14230222848
2012/01/13	931.64	1026.21	924.62	969.01	33712904.00	37404450816
2012/01/20	957.64	990.64	926.30	975.66	25736334.00	29386960896
2012/02/03	979.72	1002.60	955.70	1001.42	21690996.00	24317765632
2012/02/10	1004.26	1036.88	985.58	1031.50	33590264.00	36875735040
2012/02/17	1023.26	1070.32	1022.29	1059.24	37370948.00	40315006976
2012/02/24	1072.37	1109.75	1048.90	1109.75	41472608.00	47934976000
2012/03/02	1114.51	1125.23	1086.67	1120.63	43038792.00	49536839680
2012/03/09	1123.84	1133.25	1091.82	1133.25	39479804.00	45824868352
2012/03/16	1136.24	1160.80	1064.43	1104.31	42808424.00	52906012672
2012/03/23	1102.19	1119.55	1064.82	1068.16	28665704.00	35299872768
2012/03/30	1064.85	1069.22	975.99	985.10	21660026.00	24518232064
2012/04/06	984.93	1019.91	984.93	1015.43	8399201.00	9383356416
2012/04/13	1012.39	1047.18	979.93	1042.95	25149364.00	26901567488
2012/04/20	1036.53	1058.02	1029.21	1055.75	29698464.00	31062839296
2012/04/27	1053.49	1053.49	995.24	1018.51	29695148.00	30908499968
2012/05/04	1031.03	1050.04	1024.63	1048.73	17670940.00	19149821952
2012/05/11	1044.15	1075.26	1044.15	1046.37	33537532.00	36019818496
2012/05/18	1053.50	1053.50	1026.43	1027.15	25082956.00	26555539456
2012/05/25	1027.06	1034.98	1011.71	1014.19	22907872.00	25053532160
2012/06/01	1011.52	1066.11	995.57	1049.42	32665068.00	35864887296
2012/06/08	1030.94	1035.97	1006.35	1008.43	21273764.00	21794791424
2012/06/15	1008.58	1054.71	1008.58	1048.38	28713548.00	33153918976
2012/06/21	1052.22	1062.14	1023.51	1029.55	21408224.00	24402149376
2012/06/29	1025.79	1025.79	966.42	991.46	22454232.00	24295241728
2012/07/06	996.83	1007.28	960.06	985.53	24748492.00	27283294208
2012/07/13	979.32	979.84	947.09	963.91	22045144.00	22696570880
2012/07/20	959.38	959.38	909.70	932.08	20754012.00	20529180672
2012/07/27	927.67	931.97	910.33	913.52	15687399.00	15474219008
2012/08/03	913.53	915.37	873.32	900.86	17431148.00	16339785728
2012/08/10	898.89	942.63	898.89	940.85	28489024.00	28133869568
2012/08/17	938.04	938.04	900.66	916.13	21506826.00	20788879360
2012/08/24	910.75	937.78	904.28	912.05	23278942.00	21888860160
2012/08/31	907.82	910.57	870.42	885.75	25424634.00	23508310016
2012/09/07	882.08	951.30	882.08	943.80	30664800.00	27844956160
2012/09/14	945.41	956.38	928.89	936.11	34309496.00	32271925248
2012/09/21	935.57	935.57	865.60	867.83	20051272.00	19228260352
2012/09/28	863.78	878.50	842.24	877.91	17780684.00	15382878208
2012/10/12	879.42	908.03	871.89	889.33	24566546.00	21647380480
2012/10/19	888.46	901.48	870.31	898.42	21481152.00	18959265792
2012/10/26	895.14	904.41	861.29	865.07	25194420.00	21297917952
2012/11/02	864.13	882.61	857.65	881.77	18663352.00	16383685632
2012/11/09	881.22	884.23	848.40	851.31	20994048.00	19462014976
2012/11/16	852.32	863.15	824.78	831.36	20284630.00	18572969984
2012/11/23	829.44	842.31	822.39	832.16	18309738.00	15754725376
2012/11/30	831.27	831.27	764.15	775.24	17831804.00	14289231872
2012/12/07	774.17	808.12	741.17	807.48	24268204.00	18981986304
2012/12/14	811.95	840.74	807.20	840.67	36356448.00	28979896320
2012/12/21	843.02	865.24	837.29	854.79	40909060.00	34739421184
2012/12/28	852.54	896.11	851.27	886.64	41911956.00	38085885952
2013/01/04	888.87	907.37	885.80	897.58	16950940.00	16394895360
2013/01/11	896.48	937.64	893.30	916.12	51881492.00	49979613184
2013/01/18	919.70	980.45	919.56	966.88	60191272.00	60057837568
2013/01/25	970.49	974.43	922.24	926.91	40532616.00	41858871296
2013/02/01	927.58	959.52	927.58	959.50	38498684.00	39687700480
2013/02/08	962.10	987.98	942.70	984.95	38699884.00	39945314304
2013/02/22	993.29	1019.22	988.82	993.63	50960392.00	53718138880
2013/03/01	997.25	1061.23	991.32	1059.71	53660040.00	57632096256
2013/03/08	1054.94	1073.50	1026.21	1031.38	72523488.00	76162441216
2013/03/15	1030.20	1041.98	984.54	1005.80	43240340.00	44903940096
2013/03/22	1005.55	1053.29	974.83	1042.68	57779592.00	60833579008
2013/03/29	1041.77	1047.30	990.61	993.30	43643712.00	46539472896
2013/04/03	990.69	1011.64	965.74	970.87	21005432.00	23126202368
2013/04/12	955.02	991.58	942.92	971.65	33069822.00	33970872320
2013/04/19	967.72	1006.80	945.94	1005.40	31991236.00	34485559296
2013/04/26	998.64	1012.89	961.36	963.83	53673472.00	52164644864
2013/05/03	959.42	996.52	956.97	993.47	14844577.00	14885169152
2013/05/10	994.32	1058.61	994.32	1056.98	55451772.00	60507680768
2013/05/17	1057.52	1108.26	1043.09	1104.63	58359724.00	65634115584
2013/05/24	1105.71	1159.37	1105.69	1159.37	80686776.00	86577397760
2013/05/31	1163.10	1193.02	1154.14	1175.05	65739428.00	76613304320
2013/06/07	1173.35	1177.91	1093.21	1099.19	53580164.00	61218254848
2013/06/14	1083.14	1108.15	1049.70	1107.91	18759020.00	20986966016
2013/06/21	1115.92	1126.95	1020.08	1057.51	45253776.00	50828247040
2013/06/28	1055.86	1055.86	912.87	1004.94	58208008.00	58328506368
2013/07/05	1001.27	1061.65	996.71	1032.27	44451192.00	52179107840
2013/07/12	1013.04	1056.66	968.95	1038.74	48435912.00	53509300224
2013/07/19	1044.85	1086.51	1034.26	1034.26	51859476.00	60627173376
2013/07/26	1025.86	1108.93	1020.81	1073.56	61646036.00	72810143744
2013/08/02	1073.79	1111.89	1022.37	1096.77	51857068.00	61175685120
2013/08/09	1095.78	1119.79	1094.49	1109.16	51760792.00	59923922944
2013/08/16	1122.36	1138.11	1084.32	1085.60	53117180.00	60800438272
2013/08/23	1078.91	1115.38	1077.38	1104.10	42755580.00	49316814848
2013/08/30	1103.91	1124.35	1079.83	1084.69	48394900.00	54050385920
2013/09/06	1088.26	1131.61	1081.76	1128.82	53981088.00	57592078336
2013/09/13	1129.24	1155.71	1128.09	1138.87	66220128.00	72286879744
2013/09/18	1138.68	1145.78	1118.48	1134.23	30644128.00	31643541504
2013/09/27	1137.46	1163.49	1126.53	1135.23	56046008.00	59370610688
2013/09/30	1140.37	1150.49	1140.37	1149.76	8644155.00	10067548160
2013/10/11	1153.16	1209.70	1153.01	1209.25	48654272.00	58731159552
2013/10/18	1210.97	1243.28	1188.74	1222.12	79610640.00	90948976640
2013/10/24	1225.73	1299.47	1219.54	1221.51	69522640.00	83414630400
2013/11/01	1208.92	1211.25	1132.41	1147.17	53491824.00	59373182976
2013/11/08	1151.69	1196.48	1138.01	1142.76	46404668.00	53069742080
2013/11/15	1142.62	1173.73	1112.59	1165.56	37912904.00	41908228096
2013/11/22	1171.78	1205.20	1169.26	1187.56	46430264.00	52122173440
2013/11/29	1185.08	1220.17	1174.41	1219.35	45551876.00	50189856768
2013/12/06	1186.23	1204.61	1146.45	1192.93	53284808.00	59798700032
2013/12/13	1196.88	1208.46	1180.78	1199.90	39818016.00	46344208384
2013/12/20	1201.25	1202.27	1146.59	1149.22	31153258.00	36170022912
2013/12/27	1150.16	1180.21	1128.49	1176.47	29023352.00	34698514432
2014/01/03	1180.15	1200.59	1172.42	1190.03	27899228.00	33381761024
2014/01/10	1189.24	1198.59	1141.37	1146.15	40167192.00	48210776064
2014/01/17	1142.97	1185.18	1130.89	1161.22	35582652.00	42487971840
2014/01/24	1160.09	1223.68	1148.42	1219.29	44052140.00	49942241280
2014/01/30	1213.55	1218.86	1191.06	1202.27	30646844.00	37232222208
2014/02/07	1195.47	1231.12	1191.55	1231.01	7585018.00	9241487360
2014/02/14	1234.79	1298.91	1234.79	1288.94	65368360.00	83187286016
2014/02/21	1293.86	1332.54	1276.40	1290.18	67433488.00	83642728448
2014/02/28	1287.44	1305.07	1208.15	1252.88	60636080.00	78289985536
2014/03/07	1253.29	1292.39	1243.01	1258.43	51679928.00	64467296256
2014/03/14	1248.30	1248.88	1186.45	1221.37	39131624.00	47629684736
2014/03/21	1223.99	1266.72	1196.38	1237.79	42976124.00	55040024576
2014/03/28	1240.02	1251.06	1178.63	1181.96	41250460.00	49414193152
2014/04/04	1179.16	1205.85	1168.17	1205.85	29626710.00	35408437248
2014/04/11	1200.76	1238.90	1196.22	1222.57	31861036.00	38735974400
2014/04/18	1223.38	1233.11	1211.08	1221.25	31228034.00	38006960128
2014/04/25	1215.47	1225.47	1147.88	1148.80	30626184.00	36552933376
2014/04/30	1145.88	1145.88	1112.36	1139.91	14916899.00	16773445632
2014/05/09	1138.85	1161.19	1113.06	1122.50	23402982.00	28226957312
2014/05/16	1131.37	1154.44	1100.71	1113.11	25166792.00	30300874752
2014/05/23	1113.45	1138.15	1099.80	1133.29	22601960.00	26249193472
2014/05/30	1138.95	1159.21	1134.23	1144.06	29413268.00	35827576832
2014/06/06	1143.89	1151.14	1123.43	1146.11	23182472.00	27541819392
2014/06/13	1144.24	1178.61	1133.35	1178.03	33969724.00	38625935360
2014/06/20	1182.85	1191.11	1142.10	1160.73	35664872.00	39938138112
2014/06/27	1162.84	1195.87	1162.67	1191.22	33485702.00	38045868032
2014/07/04	1191.00	1229.00	1186.99	1218.71	46161152.00	52347506688
2014/07/11	1217.91	1225.11	1198.61	1208.84	44659304.00	51921756160
2014/07/18	1211.12	1235.39	1203.08	1214.67	42558628.00	49533206528
2014/07/25	1213.26	1229.24	1197.35	1221.23	41134456.00	48626155520
2014/08/01	1224.49	1268.95	1223.54	1246.95	61702576.00	70152265728
2014/08/08	1247.51	1294.84	1247.51	1280.87	57245304.00	65578172416
2014/08/15	1283.32	1321.90	1283.31	1316.45	61110952.00	69920669696
