'399812'	养老产业	周线
日期	开盘	最高	最低	收盘
2005/01/07	996.03	1015.61	986.46	1004.06
2005/01/14	1002.63	1022.64	1000.90	1006.35
2005/01/21	998.94	999.56	964.50	997.99
2005/01/28	1011.33	1017.60	967.95	969.93
2005/02/04	966.79	986.41	927.33	979.36
2005/02/18	983.75	992.51	975.45	975.69
2005/02/25	977.04	1040.13	977.04	1030.91
2005/03/04	1029.73	1030.00	999.19	1006.63
2005/03/11	1007.00	1036.47	1003.15	1025.81
2005/03/18	1025.57	1032.75	959.69	961.47
2005/03/25	958.32	962.23	923.52	938.55
2005/04/01	937.37	946.53	893.52	938.93
2005/04/08	932.42	968.67	911.17	968.67
2005/04/15	971.60	983.77	938.95	939.71
2005/04/22	935.24	935.24	889.58	893.55
2005/04/29	884.01	909.21	873.78	890.26
2005/05/13	895.94	895.94	845.26	864.23
2005/05/20	863.74	880.71	854.04	873.04
2005/05/27	870.52	870.52	839.89	839.90
2005/06/03	837.97	848.96	794.98	805.92
2005/06/10	803.31	909.65	795.37	883.78
2005/06/17	883.58	888.61	832.94	848.89
2005/06/24	848.67	870.10	837.11	859.55
2005/07/01	864.19	883.21	810.11	810.82
2005/07/08	806.26	806.26	768.48	768.76
2005/07/15	771.03	786.44	755.23	760.37
2005/07/22	756.38	768.02	735.88	761.71
2005/07/29	761.09	798.81	754.68	787.97
2005/08/05	787.93	832.55	786.65	832.55
2005/08/12	835.33	887.64	835.33	866.26
2005/08/19	864.77	916.84	856.03	870.94
2005/08/26	868.64	892.68	859.90	890.11
2005/09/02	889.29	932.69	878.16	928.89
2005/09/09	930.06	943.11	908.70	929.60
2005/09/16	928.16	966.95	923.47	960.65
2005/09/23	960.75	970.89	904.54	906.79
2005/09/30	904.39	913.77	887.69	900.43
2005/10/14	900.45	920.18	879.03	904.56
2005/10/21	902.86	922.15	890.67	916.63
2005/10/28	916.55	921.26	845.24	854.37
2005/11/04	851.61	870.44	836.63	867.85
2005/11/11	867.69	883.06	846.12	855.68
2005/11/18	853.76	872.09	835.98	870.79
2005/11/25	872.44	875.34	858.79	864.82
2005/12/02	866.29	868.10	839.75	842.63
2005/12/09	841.88	841.88	813.29	838.19
2005/12/16	839.65	857.44	835.32	853.76
2005/12/23	852.51	863.13	848.77	863.13
2005/12/30	864.70	883.59	863.60	873.81
2006/01/06	873.36	907.40	873.36	903.69
2006/01/13	905.39	941.45	903.58	936.24
2006/01/20	935.68	942.12	913.20	941.18
2006/01/25	947.80	947.80	931.95	938.16
2006/02/10	939.61	968.47	939.61	963.61
2006/02/17	966.47	977.10	943.45	944.40
2006/02/24	942.93	959.04	929.49	959.04
2006/03/03	961.86	972.44	943.17	952.97
2006/03/10	953.53	955.16	909.47	921.16
2006/03/17	919.85	946.18	917.28	942.92
2006/03/24	942.78	975.55	937.90	963.16
2006/03/31	961.88	989.01	958.02	975.27
2006/04/07	974.76	1020.69	974.76	1020.69
2006/04/14	1023.37	1051.36	1012.81	1039.92
2006/04/21	1039.13	1051.36	1027.20	1039.55
2006/04/28	1044.21	1056.29	1005.58	1052.37
2006/05/12	1055.86	1178.17	1055.86	1178.17
2006/05/19	1191.53	1284.03	1182.50	1281.68
2006/05/26	1292.02	1317.51	1207.14	1273.31
2006/06/02	1281.78	1397.93	1270.03	1377.28
2006/06/09	1378.40	1399.72	1256.94	1275.33
2006/06/16	1268.59	1316.13	1265.16	1315.34
2006/06/23	1307.84	1359.33	1307.84	1359.33
2006/06/30	1362.16	1410.30	1362.16	1397.02
2006/07/07	1399.02	1451.63	1387.66	1441.73
2006/07/14	1442.81	1456.93	1336.70	1365.36
2006/07/21	1365.37	1385.89	1349.99	1382.85
2006/07/28	1360.79	1419.95	1360.79	1397.25
2006/08/04	1393.24	1393.24	1282.37	1283.49
2006/08/11	1276.76	1321.85	1260.41	1321.22
2006/08/18	1320.94	1324.62	1273.99	1311.76
2006/08/25	1271.93	1339.97	1271.93	1335.95
2006/09/01	1338.00	1390.14	1336.11	1351.76
2006/09/08	1354.43	1383.30	1353.55	1357.01
2006/09/15	1359.91	1370.72	1335.69	1367.34
2006/09/22	1369.91	1395.58	1366.69	1381.02
2006/09/29	1380.29	1423.55	1370.80	1422.30
2006/10/13	1431.71	1464.57	1428.92	1445.40
2006/10/20	1448.03	1478.10	1435.87	1462.47
2006/10/27	1460.31	1460.39	1405.39	1416.27
2006/11/03	1411.82	1433.42	1390.25	1430.91
2006/11/10	1421.06	1428.13	1381.84	1387.65
2006/11/17	1385.38	1392.51	1326.46	1392.13
2006/11/24	1395.36	1436.08	1375.83	1433.10
2006/12/01	1436.88	1522.28	1436.88	1519.23
2006/12/08	1520.02	1561.78	1470.91	1471.24
2006/12/15	1483.24	1575.97	1477.28	1575.97
2006/12/22	1581.59	1656.27	1579.13	1618.55
2006/12/29	1634.39	1650.45	1596.31	1626.42
2007/01/05	1640.83	1667.82	1621.12	1667.82
2007/01/12	1669.85	1898.89	1669.85	1809.95
2007/01/19	1807.40	2146.25	1807.40	2146.25
2007/01/26	2155.52	2246.17	2040.21	2155.12
2007/02/02	2165.97	2243.25	2103.18	2125.40
2007/02/09	2109.76	2252.06	2102.32	2240.08
2007/02/16	2248.56	2556.55	2248.56	2515.86
2007/03/02	2525.72	2580.12	2268.85	2355.40
2007/03/09	2359.36	2509.96	2287.64	2493.87
2007/03/16	2494.82	2613.32	2468.70	2547.06
2007/03/23	2462.69	2707.82	2462.69	2696.11
2007/03/30	2704.22	2833.64	2671.86	2718.96
2007/04/06	2731.13	2980.49	2731.13	2976.65
2007/04/13	3013.64	3179.97	2969.20	3126.92
2007/04/20	3128.61	3366.77	3128.61	3355.68
2007/04/27	3398.07	3586.25	3398.07	3548.18
2007/04/30	3542.43	3634.11	3539.07	3627.95
2007/05/11	3653.98	3787.69	3625.73	3769.18
2007/05/18	3719.18	4016.99	3668.32	3993.14
2007/05/25	3888.91	4311.65	3888.91	4301.16
2007/06/01	4368.23	4497.71	3830.32	3830.33
2007/06/08	3787.89	3913.60	3219.05	3882.66
2007/06/15	3931.90	4232.66	3915.30	4174.76
2007/06/22	4251.58	4415.17	4017.01	4061.43
2007/06/29	4052.46	4052.46	3443.50	3499.90
2007/07/06	3477.78	3629.40	3274.93	3524.25
2007/07/13	3563.24	3648.13	3511.89	3582.14
2007/07/20	3568.48	3656.72	3447.38	3654.49
2007/07/27	3665.03	4023.67	3665.03	4023.67
2007/08/03	4022.68	4166.55	3929.47	4155.85
2007/08/10	4190.33	4263.12	4000.94	4092.15
2007/08/17	4094.88	4243.69	4062.77	4154.14
2007/08/24	4224.79	4501.66	4224.79	4478.79
2007/08/31	4507.74	4566.65	4307.32	4546.81
2007/09/07	4588.30	4643.70	4514.39	4529.12
2007/09/14	4497.71	4663.06	4308.21	4591.84
2007/09/21	4581.38	4724.98	4563.00	4670.17
2007/09/28	4673.40	4725.91	4546.08	4710.88
2007/10/12	4738.08	4738.08	4312.38	4505.95
2007/10/19	4514.03	4606.02	4393.09	4495.18
2007/10/26	4470.11	4527.89	3995.47	4078.94
2007/11/02	4096.41	4334.03	4035.09	4111.51
2007/11/09	4087.49	4207.25	3962.76	4021.47
2007/11/16	3965.14	4170.16	3902.63	4122.81
2007/11/23	4130.02	4298.18	4023.60	4151.19
