'000978'	医药100	周线
日期	开盘	最高	最低	收盘
2012/05/04	5897.47	6061.97	5886.70	6057.68
2012/05/11	6043.91	6174.89	5988.68	6140.07
2012/05/18	6173.79	6314.24	5994.19	6003.13
2012/05/25	5986.36	6130.49	5933.64	5950.30
2012/06/01	5922.89	6146.16	5842.41	6139.87
2012/06/08	6055.76	6198.81	5991.09	5999.58
2012/06/15	5995.67	6370.67	5980.13	6307.59
2012/06/21	6326.84	6488.01	6192.40	6240.04
2012/06/29	6212.88	6274.53	6034.65	6251.64
2012/07/06	6282.13	6448.45	6170.82	6409.58
2012/07/13	6381.09	6480.70	6160.32	6448.44
2012/07/20	6447.55	6454.31	6086.92	6290.46
2012/07/27	6256.16	6333.61	6050.34	6086.45
2012/08/03	6074.37	6237.17	5899.85	6237.15
2012/08/10	6217.78	6504.48	6206.49	6490.28
2012/08/17	6485.86	6534.13	6218.02	6288.25
2012/08/24	6253.21	6495.43	6217.53	6337.99
2012/08/31	6308.62	6308.82	5923.17	6013.97
2012/09/07	5998.53	6386.29	5988.26	6334.67
2012/09/14	6339.53	6438.58	6292.70	6334.06
2012/09/21	6336.63	6338.09	5975.96	5988.79
2012/09/28	5959.61	6062.83	5852.14	6062.15
2012/10/12	6061.57	6305.07	6032.52	6204.89
2012/10/19	6214.50	6386.01	6186.71	6330.97
2012/10/26	6306.99	6370.79	6006.56	6066.53
2012/11/02	6058.31	6255.70	6035.13	6254.34
2012/11/09	6252.67	6274.76	6007.73	6021.43
2012/11/16	6011.67	6040.18	5772.73	5810.09
2012/11/23	5800.58	5817.88	5682.25	5724.59
2012/11/30	5718.34	5720.73	5353.86	5422.96
2012/12/07	5417.92	5562.41	5184.26	5561.44
2012/12/14	5560.75	5678.91	5480.43	5672.87
2012/12/21	5662.74	5717.06	5588.43	5707.43
2012/12/28	5701.28	5997.56	5697.55	5997.56
2013/01/04	6008.68	6087.20	5918.42	5966.60
2013/01/11	6010.65	6289.58	6010.65	6191.35
2013/01/18	6207.74	6645.39	6207.74	6638.13
2013/01/25	6651.54	6681.75	6413.66	6560.24
2013/02/01	6550.38	6770.12	6550.38	6728.71
2013/02/08	6736.58	7049.45	6559.46	7021.76
2013/02/22	7051.31	7370.05	6996.06	7111.01
2013/03/01	7105.55	7359.87	7024.29	7359.20
2013/03/08	7324.58	7669.42	7177.76	7284.78
2013/03/15	7268.14	7334.11	6955.88	7177.26
2013/03/22	7178.57	7368.90	6966.17	7363.85
2013/03/29	7364.56	7420.13	7196.27	7279.19
2013/04/03	7346.43	7391.64	7097.01	7178.40
2013/04/12	7214.19	7330.97	6966.66	6969.72
2013/04/19	6995.11	7224.26	6832.67	7205.78
2013/04/26	7233.06	7325.35	7040.86	7053.35
2013/05/03	7028.79	7282.01	6993.01	7278.85
2013/05/10	7294.03	7500.84	7293.29	7491.09
2013/05/17	7488.36	7708.15	7402.68	7679.92
2013/05/24	7660.35	7709.27	7414.46	7700.35
2013/05/31	7700.77	8163.57	7699.89	8073.47
2013/06/07	8072.45	8123.15	7536.41	7614.85
2013/06/14	7510.44	7676.44	7268.77	7660.86
2013/06/21	7669.23	7810.94	7175.09	7390.32
2013/06/28	7372.38	7373.86	6488.09	7080.77
2013/07/05	7059.07	7623.00	7030.29	7418.84
2013/07/12	7319.60	7738.03	7159.33	7626.62
2013/07/19	7629.38	7927.76	7620.08	7621.10
2013/07/26	7598.96	8168.32	7576.64	7918.85
2013/08/02	7873.67	7997.70	7629.17	7943.67
2013/08/09	7939.14	8317.83	7935.69	8273.01
2013/08/16	8280.34	8329.05	7792.07	7801.64
2013/08/23	7760.83	8038.18	7757.25	7995.30
2013/08/30	7999.02	8190.54	7857.35	7890.84
2013/09/06	7874.65	8153.39	7870.92	8142.59
2013/09/13	8129.99	8138.29	7939.39	8053.24
2013/09/18	8069.89	8155.01	8033.23	8147.16
2013/09/27	8150.04	8557.46	8147.81	8535.22
2013/09/30	8549.58	8602.41	8522.73	8601.12
2013/10/11	8593.71	8688.48	8546.44	8667.34
2013/10/18	8655.87	8858.56	8438.85	8523.01
2013/10/24	8546.69	8786.61	8435.89	8452.11
2013/11/01	8250.86	8266.55	7840.62	8045.96
2013/11/08	8051.55	8091.20	7705.67	7719.51
2013/11/15	7719.92	8169.55	7685.25	8108.96
2013/11/22	8165.91	8240.86	8140.73	8151.06
2013/11/29	8127.73	8440.64	8105.62	8436.80
2013/12/06	8240.07	8352.76	7997.40	8287.52
2013/12/13	8300.64	8348.32	8176.38	8330.26
2013/12/20	8329.90	8390.17	8197.12	8281.66
2013/12/27	8300.30	8566.18	8300.30	8536.29
2014/01/03	8547.30	8759.58	8511.63	8703.41
2014/01/10	8693.58	8772.36	8446.29	8454.45
2014/01/17	8455.43	8696.83	8385.91	8539.38
2014/01/24	8519.79	8847.29	8352.18	8843.40
2014/01/30	8824.61	8888.45	8769.06	8865.84
2014/02/07	8824.02	8950.04	8795.84	8949.35
2014/02/14	8972.15	9307.39	8972.15	9307.02
2014/02/21	9329.24	9587.93	9319.33	9402.26
2014/02/28	9379.68	9669.51	8883.82	9095.38
2014/03/07	9083.85	9280.60	9050.74	9228.98
2014/03/14	9173.02	9173.02	8863.16	9070.62
2014/03/21	9075.01	9388.88	8899.97	9141.83
2014/03/28	9127.84	9235.06	8786.45	8811.95
2014/04/04	8798.69	8881.69	8705.42	8869.61
2014/04/11	8845.81	9097.49	8827.35	9071.23
2014/04/18	9074.16	9133.92	8991.20	9074.64
2014/04/25	9023.38	9095.81	8539.16	8551.58
2014/04/30	8514.78	8514.78	8277.46	8483.28
2014/05/09	8478.71	8626.24	8320.22	8361.89
2014/05/16	8396.26	8498.25	8217.38	8293.49
2014/05/23	8270.10	8452.37	8179.39	8447.02
2014/05/30	8468.61	8769.19	8468.04	8638.24
2014/06/06	8650.71	8699.37	8513.32	8673.07
2014/06/13	8664.38	8814.00	8579.73	8798.61
2014/06/20	8800.60	8813.70	8465.10	8558.39
2014/06/27	8571.97	8844.24	8570.49	8812.84
2014/07/04	8820.16	9221.03	8812.62	9153.07
2014/07/11	9145.16	9180.01	9008.18	9061.09
2014/07/18	9054.40	9161.80	8926.02	8990.06
2014/07/25	8983.30	9090.66	8833.74	8957.39
2014/08/01	8979.59	9438.13	8979.59	9302.93
2014/08/08	9322.00	9470.86	9282.20	9382.94
2014/08/15	9414.05	9520.93	9399.24	9491.80
2014/08/22	9514.78	9700.02	9512.79	9690.65
2014/08/29	9695.37	9701.80	9361.49	9483.77
2014/09/05	9492.53	9870.57	9490.48	9869.25
2014/09/12	9883.42	10054.68	9837.87	9998.72
2014/09/19	9996.80	10098.20	9701.80	10090.62
2014/09/26	10093.77	10208.12	9967.11	10182.19
2014/09/30	10211.94	10352.28	10208.22	10345.75
2014/10/10	10369.89	10699.37	10356.41	10628.88
2014/10/17	10616.92	11100.28	10418.93	10611.32
2014/10/24	10653.02	10791.95	10206.17	10314.22
2014/10/31	10280.86	10819.43	10258.44	10647.16
2014/11/07	10640.33	10641.93	10406.39	10447.14
2014/11/14	10465.48	10491.43	10084.33	10176.14
2014/11/21	10214.27	10377.11	10169.05	10357.74
2014/11/28	10414.31	10582.99	10323.80	10554.58
2014/12/05	10555.77	10813.18	10395.30	10594.84
2014/12/12	10540.79	10684.63	10203.85	10683.76
2014/12/19	10658.94	10972.29	10336.50	10463.28
2014/12/26	10431.53	10432.03	9932.15	10223.76
2014/12/31	10217.65	10217.65	9846.23	10021.70
2015/01/09	10025.44	10457.43	9896.52	10331.97
2015/01/16	10295.71	10544.29	10195.60	10543.74
2015/01/23	10370.71	11122.15	10317.58	10982.83
2015/01/30	11003.50	11278.65	10897.60	10938.43
2015/02/06	10849.61	11079.58	10741.21	10773.35
2015/02/13	10763.52	11231.25	10678.03	11198.23
2015/02/17	11234.31	11474.67	11231.71	11454.06
2015/02/27	11481.16	11567.94	11415.19	11540.90
2015/03/06	11553.20	12200.66	11512.18	11857.41
2015/03/13	11827.54	12218.28	11775.21	12200.45
2015/03/20	12281.16	13041.66	12281.16	13019.47
2015/03/27	13058.76	13695.11	12968.14	13636.57
2015/04/03	13673.01	14685.22	13673.01	14682.83
2015/04/10	14743.81	15466.73	14278.18	15449.93
2015/04/17	15609.50	16428.19	15264.90	15743.95
2015/04/24	15673.87	16275.82	15130.08	16198.44
2015/04/30	16297.22	16430.71	15610.03	16101.84
2015/05/08	16114.37	16118.79	15368.04	15970.31
2015/05/15	16104.46	17219.41	16004.92	16999.44
2015/05/22	17035.42	19286.36	17028.07	18895.02
2015/05/29	18691.65	20093.30	18086.90	19170.61
2015/06/05	19451.46	21274.84	19451.46	20982.67
2015/06/12	21024.25	21804.28	20281.05	21707.97
2015/06/19	21779.07	21786.16	18663.08	18750.72
2015/06/26	18716.98	19612.79	17172.18	17249.76
2015/07/03	17603.77	17775.24	14497.43	15022.94
2015/07/10	16131.82	16131.82	13230.50	14698.40
2015/07/17	15318.59	16506.09	14461.26	16392.16
2015/07/24	16434.24	17425.97	16152.30	16876.83
2015/07/31	16479.59	16890.13	14534.89	15366.28
2015/08/07	15161.70	16004.72	14762.55	15884.02
2015/08/14	16037.01	16813.84	15981.57	16717.07
2015/08/21	16659.35	17070.34	14783.13	14837.29
2015/08/28	14139.27	14195.46	12169.48	13695.86
2015/09/02	13545.60	13546.25	12023.26	12635.98
2015/09/11	12719.58	13628.85	12499.81	13287.10
2015/09/18	13324.46	13358.00	11923.98	12536.48
2015/09/25	12408.14	13191.26	12348.10	12685.15
2015/09/30	12682.08	12972.25	12552.15	12758.33
2015/10/09	13273.14	13492.03	13195.87	13449.84
2015/10/16	13459.52	14250.55	13452.62	14128.60
2015/10/23	14160.51	15065.36	13673.66	15046.09
2015/10/30	15230.13	15232.53	14445.35	14672.60
2015/11/06	14399.52	15208.25	14231.43	15196.70
2015/11/13	15133.79	15908.29	15019.59	15371.87
2015/11/20	15075.18	15822.78	15059.73	15603.68
2015/11/26	15595.75	16011.59	15375.18	15746.28
2015/12/04	14859.93	15339.88	14239.94	15160.83
2015/12/11	15181.91	15380.22	14834.53	14867.81
2015/12/18	14756.97	15834.27	14719.78	15783.07
2015/12/25	15819.82	16424.91	15808.25	16209.89
2015/12/31	16243.84	16290.09	15679.17	15836.36
2016/01/08	15799.54	15799.54	12934.95	13575.54
2016/01/15	13310.27	13506.97	12003.99	12450.05
2016/01/22	12251.22	13199.90	12239.16	12669.05
2016/01/29	12755.14	12868.65	11244.12	11742.01
2016/02/05	11708.24	12343.71	11486.48	12214.62
2016/02/19	11896.99	12913.51	11882.00	12776.59
2016/02/26	12929.83	13007.25	11854.55	12051.12
2016/03/04	12006.39	12297.11	11319.19	11807.17
2016/03/11	11882.93	12107.31	11604.25	11737.91
2016/03/18	11863.78	12716.29	11863.78	12669.53
2016/03/25	12794.66	12983.91	12651.97	12791.63
2016/04/01	12842.10	13065.40	12405.09	12845.16
2016/04/08	12841.13	13374.02	12821.22	13008.19
2016/04/15	13129.27	13527.97	13129.27	13402.92
2016/04/22	13333.58	13333.58	12397.31	12633.56
2016/04/29	12601.81	12819.07	12403.10	12650.39
2016/05/06	12624.46	13131.39	12569.92	12625.61
2016/05/13	12528.28	12629.63	12110.25	12343.12
2016/05/20	12303.62	12714.18	12143.22	12384.14
2016/05/27	12420.81	12512.35	12046.12	12295.58
2016/06/03	12226.16	12953.74	12108.45	12902.72
2016/06/08	12920.88	12955.04	12705.20	12780.18
2016/06/17	12636.45	12720.92	12138.35	12631.39
2016/06/24	12623.97	12800.63	12311.93	12598.22
2016/07/01	12510.52	13280.91	12509.12	13125.83
2016/07/08	13062.52	13772.10	13054.90	13595.63
2016/07/15	13596.07	14046.11	13544.31	13893.55
2016/07/22	13887.53	13979.97	13709.66	13749.58
2016/07/29	13747.09	14163.09	13463.54	13764.94
2016/08/05	13713.12	13713.12	13358.31	13569.45
2016/08/12	13532.37	13865.90	13429.06	13718.46
2016/08/19	13738.40	14122.39	13663.47	14047.69
2016/08/26	14087.44	14255.15	13872.60	14124.37
2016/09/02	14135.76	14220.64	13930.52	13998.45
2016/09/09	14017.56	14313.77	13933.67	14185.07
2016/09/14	13961.59	14023.83	13797.00	13837.35
2016/09/23	13854.09	14108.69	13854.09	14025.30
2016/09/30	14005.04	14016.08	13684.70	13942.95
2016/10/14	14016.73	14319.04	14016.73	14257.57
2016/10/21	14264.66	14350.97	14107.93	14186.86
2016/10/28	14186.78	14327.04	14098.69	14100.80
2016/11/04	14069.05	14279.39	14019.17	14165.03
2016/11/11	14164.46	14232.42	13936.18	14193.87
2016/11/18	14176.64	14339.37	14137.47	14238.00
2016/11/25	14229.57	14315.22	14061.73	14262.91
2016/12/02	14279.03	14296.49	14072.58	14073.47
2016/12/09	13972.57	14102.17	13928.51	13946.63
2016/12/16	13924.57	13936.52	13192.10	13393.98
2016/12/23	13387.45	13496.03	13320.73	13340.38
2016/12/30	13322.86	13428.04	13219.60	13364.84
2017/01/06	13386.08	13535.17	13368.13	13407.03
2017/01/13	13403.67	13493.07	13060.11	13081.28
2017/01/19	13052.86	13053.82	12473.57	12770.36
2017/01/26	12968.62	13132.07	12947.23	13130.02
2017/02/03	13145.16	13148.50	13066.33	13106.72
2017/02/10	13117.56	13350.61	13117.56	13280.36
2017/02/17	13274.42	13382.30	13166.96	13173.59
2017/02/24	13172.43	13654.23	13172.43	13603.01
2017/03/03	13607.66	13617.65	13402.13	13481.29
2017/03/10	13485.97	13622.63	13442.04	13477.92
2017/03/17	13481.70	13724.35	13417.29	13598.81
2017/03/24	13583.42	13912.82	13582.19	13889.81
2017/03/31	13891.25	13901.23	13341.44	13490.52
2017/04/07	13498.33	13655.60	13498.33	13619.74
2017/04/14	13615.63	13618.43	13306.65	13369.03
2017/04/21	13345.65	13494.25	13102.47	13388.33
2017/04/28	13338.05	13340.23	12990.50	13190.07
2017/05/05	13164.81	13180.24	12961.54	12964.24
2017/05/12	12942.08	12942.08	12401.30	12636.36
2017/05/19	12642.84	13021.62	12642.22	12925.63
2017/05/26	12949.67	12990.22	12540.49	12803.00
2017/06/02	12882.82	12928.44	12502.52	12687.55
2017/06/09	12685.94	13046.62	12672.16	13044.76
2017/06/16	12998.12	13124.34	12950.84	13048.89
2017/06/23	13048.67	13198.19	12879.11	13042.98
2017/06/30	13065.63	13328.32	13061.10	13328.04
2017/07/07	13343.97	13391.95	13144.12	13192.08
2017/07/14	13165.09	13165.09	12841.12	12926.67
2017/07/21	12851.45	12851.45	12281.58	12488.95
2017/07/28	12472.85	12582.56	12331.67	12545.13
2017/08/04	12549.94	12655.88	12450.04	12452.86
2017/08/11	12484.00	12777.32	12484.00	12595.53
2017/08/18	12600.88	12914.76	12600.88	12879.31
2017/08/25	12883.05	12954.32	12708.57	12822.62
2017/09/01	12838.08	12979.77	12838.08	12977.25
2017/09/08	12970.87	13196.05	12933.16	13129.78
2017/09/15	13116.46	13143.24	13038.18	13090.06
2017/09/22	13086.33	13198.99	13023.35	13052.08
2017/09/29	13047.54	13195.03	13010.65	13153.30
2017/10/13	13251.12	13895.04	13250.68	13747.65
2017/10/20	13724.96	13819.21	13479.55	13743.50
2017/10/27	13758.83	14131.09	13748.30	14040.43
2017/11/03	14041.78	14069.21	13709.77	13760.58
2017/11/10	13765.40	14190.10	13732.91	14181.45
2017/11/17	14177.52	14279.55	13893.59	13900.41
2017/11/24	13817.05	14134.22	13449.90	13529.51
2017/12/01	13518.63	13537.14	13338.17	13491.44
2017/12/08	13470.58	13513.01	13110.17	13386.57
2017/12/15	13375.41	13679.04	13375.41	13548.21
2017/12/22	13533.64	13677.64	13400.34	13615.84
2017/12/29	13615.27	13645.20	13353.02	13573.69
2018/01/05	13581.71	13811.78	13540.72	13793.43
2018/01/12	13781.92	13935.78	13699.54	13837.48
2018/01/19	13828.32	13885.69	13567.35	13596.85
2018/01/26	13583.73	13842.95	13551.24	13746.11
2018/02/02	13716.14	13734.59	12762.73	12939.69
2018/02/09	12800.02	12846.81	11903.09	12031.73
2018/02/14	12080.50	12543.87	12080.50	12498.82
2018/02/23	12578.61	12744.20	12544.87	12717.79
2018/03/02	12757.32	13183.00	12748.51	13101.28
2018/03/09	13103.25	13823.05	13085.15	13818.93
2018/03/16	13872.29	13990.19	13520.46	13631.88
2018/03/23	13635.85	14276.16	13268.37	13449.20
2018/03/30	13310.72	14383.50	13263.72	14383.42
2018/04/04	14407.23	14657.27	14193.88	14312.50
2018/04/13	14262.08	14695.96	14171.00	14320.30
2018/04/20	14281.01	14436.79	13741.42	13964.09
2018/04/27	13947.10	14675.62	13682.40	14590.75
2018/05/04	14651.18	14965.79	14452.86	14915.63
2018/05/11	14937.90	15603.83	14923.71	15061.40
2018/05/18	15020.92	15606.68	14834.54	15218.51
2018/05/25	15271.49	15754.13	15170.92	15601.93
2018/06/01	15589.66	15941.64	14693.75	14813.23
2018/06/08	14840.96	15330.54	14610.72	15014.80
2018/06/15	14982.62	14982.62	14192.65	14261.51
2018/06/22	14039.27	14197.22	13430.76	13955.07
2018/06/29	14049.27	14086.97	13441.32	13942.47
2018/07/06	13955.94	14154.59	13003.86	13283.81
2018/07/13	13308.19	14482.73	13308.19	14362.73
2018/07/20	14249.04	14366.71	13716.40	13904.18
2018/07/27	13454.50	13717.39	13201.33	13489.60
2018/08/03	13448.07	13448.07	12512.45	12514.01
2018/08/10	12448.18	12621.32	11922.26	12564.83
2018/08/17	12415.97	12692.51	11827.54	11859.17
2018/08/24	11818.44	12219.04	11527.21	12138.09
2018/08/31	12155.03	12525.61	12004.83	12027.21
2018/09/07	12002.47	12170.13	11790.03	11945.48
2018/09/14	11951.97	11983.10	11242.46	11337.88
2018/09/21	11294.61	11625.96	11080.40	11613.41
2018/09/28	11537.10	11885.21	11500.62	11849.00
2018/10/12	11631.89	11631.89	10415.88	10703.05
2018/10/19	10723.29	10843.17	9768.12	10222.81
2018/10/26	10330.82	10846.56	10135.55	10352.01
2018/11/02	10330.70	11023.49	10032.04	11019.44
2018/11/09	10987.67	11155.53	10838.53	10900.69
2018/11/16	10897.82	11465.05	10850.77	11408.28
2018/11/23	11398.83	11425.68	10991.00	11025.19
2018/11/30	11008.78	11196.97	10884.14	11054.06
2018/12/07	11279.29	11659.67	10856.26	10869.75
2018/12/14	10759.96	10873.64	10489.17	10506.53
2018/12/21	10438.41	10461.63	9859.41	9927.31
2018/12/28	9926.56	10179.59	9809.62	9934.70
2019/01/04	9925.62	9929.58	9336.75	9659.84
2019/01/11	9708.33	9869.41	9571.21	9660.31
2019/01/18	9658.91	9963.31	9501.36	9956.52
2019/01/25	9974.74	10102.36	9694.34	9785.60
2019/02/01	9832.67	9866.49	9434.22	9805.59
2019/02/15	9790.55	10523.14	9783.37	10398.65
2019/02/22	10459.51	10867.56	10459.51	10713.00
2019/03/01	10765.80	11653.15	10765.80	11509.99
2019/03/08	11592.88	12165.74	11592.83	11730.60
2019/03/15	11812.43	12535.20	11812.43	12244.24
2019/03/22	12297.35	12776.86	12225.82	12776.86
2019/03/29	12566.74	12817.13	12218.69	12780.97
2019/04/04	12859.59	13262.97	12857.30	13177.65
2019/04/12	13258.64	13694.71	12878.20	12943.01
2019/04/19	13076.55	13175.83	12660.67	12986.81
2019/04/26	12994.98	13008.92	12351.42	12354.33
2019/04/30	12352.88	12524.33	12227.81	12394.67
2019/05/10	11977.60	12018.87	11368.33	11825.49
2019/05/17	11705.32	12043.43	11611.56	11708.43
2019/05/24	11663.91	11816.14	11354.92	11398.09
2019/05/31	11427.35	11687.19	11326.61	11429.41
2019/06/06	11424.63	11494.04	10641.01	10655.47
2019/06/14	10668.07	11154.18	10598.92	10962.74
2019/06/21	11011.75	11555.42	10964.36	11491.81
2019/06/28	11518.64	11708.25	11258.84	11583.86
2019/07/05	11780.51	12067.95	11730.04	11919.88
2019/07/12	11899.68	11900.12	11521.80	11766.30
2019/07/19	11731.35	11897.31	11522.88	11534.29
2019/07/26	11544.49	11657.80	11325.66	11646.77
2019/08/02	11624.19	11685.13	11277.56	11444.35
2019/08/09	11427.23	11496.71	10926.87	11288.61
2019/08/16	11299.97	11964.29	11278.02	11895.47
2019/08/23	11985.70	12394.25	11983.09	12328.93
2019/08/30	12118.94	12655.16	12104.97	12269.37
2019/09/06	12300.49	12593.89	12289.17	12581.68
2019/09/12	12666.30	12879.05	12529.18	12620.57
2019/09/20	12640.25	12741.88	12409.65	12722.21
2019/09/27	12707.90	12776.82	12201.42	12328.86
2019/09/30	12325.15	12410.66	12251.87	12288.07
2019/10/11	12273.44	12783.67	12233.66	12746.57
2019/10/18	12820.09	12962.98	12727.51	12794.35
2019/10/25	12762.54	12805.20	12365.93	12518.00
2019/11/01	12513.28	12801.00	12513.19	12801.00
2019/11/08	12866.57	13236.76	12866.57	13073.36
2019/11/15	13003.92	13084.96	12672.97	12942.90
2019/11/22	12940.72	13374.65	12650.88	12735.20
2019/11/29	12726.95	12757.55	12262.37	12391.94
2019/12/06	12361.74	12511.29	12060.43	12511.15
2019/12/13	12527.17	12587.91	12315.04	12566.38
2019/12/20	12606.87	12833.17	12523.87	12646.41
2019/12/27	12622.33	12702.13	12489.70	12575.30
2020/01/03	12548.55	12990.92	12439.52	12925.95
2020/01/10	12867.49	13361.47	12807.99	13327.84
2020/01/17	13344.12	13583.59	13242.78	13509.23
2020/01/23	13689.89	14273.58	13603.37	13804.46
2020/02/07	13397.43	15515.99	13397.43	14939.56
2020/02/14	14975.71	14975.71	14250.87	14371.46
2020/02/21	14440.71	14761.97	14226.17	14541.42
2020/02/28	14636.17	15014.34	14162.73	14206.46
2020/03/06	14349.19	15207.20	14281.85	15055.25
2020/03/13	15000.55	15031.44	13424.48	13866.39
2020/03/20	14039.03	14172.77	12940.23	13598.98
2020/03/27	13408.14	14532.56	13304.70	14238.20
2020/04/03	14184.38	14373.10	13748.31	14235.29
2020/04/10	14397.23	15271.93	14331.53	14851.99
2020/04/17	14845.98	15829.93	14815.08	15448.91
2020/04/24	15502.80	16131.91	15338.94	15385.10
2020/04/30	15406.50	15590.15	15044.14	15114.16
2020/05/08	15049.65	15634.32	15003.64	15593.94
2020/05/15	15665.79	15945.74	15427.18	15623.37
2020/05/22	15637.50	15979.86	15294.18	15348.63
2020/05/29	15362.28	15995.43	15284.53	15827.53
2020/06/05	15939.96	16235.40	15860.64	16227.73
2020/06/12	16304.39	16887.12	16077.01	16793.00
2020/06/19	16995.17	17803.27	16995.17	17570.00
2020/06/24	17592.92	17942.19	17448.55	17692.95
2020/07/03	17666.52	18308.31	17645.49	18139.13
2020/07/10	18136.75	19728.07	17967.41	19448.70
2020/07/17	19554.59	20606.16	18586.35	18952.65
2020/07/24	19108.60	20195.40	18486.56	18981.01
2020/07/31	19049.43	20593.77	18927.22	20377.32
2020/08/07	20542.86	21235.10	19923.37	20346.95
2020/08/14	20308.80	20560.40	18990.62	19395.36
2020/08/21	19450.26	19948.86	19135.03	19478.80
2020/08/28	19567.08	20219.35	19184.20	20198.41
