'399394'	国证医药	周线
日期	开盘	最高	最低	收盘	成交量	成交额
2012/11/02	4618.51	4792.09	4603.02	4782.26	13676186.00	20497991680
2012/11/09	4782.86	4798.50	4593.51	4599.60	12693135.00	18904690688
2012/11/16	4591.24	4614.28	4426.32	4456.60	11382140.00	16448087040
2012/11/23	4447.68	4450.86	4359.78	4378.94	9394406.00	12780306432
2012/11/30	4368.54	4373.69	4143.22	4192.17	10049787.00	12878577664
2012/12/07	4192.54	4300.72	4042.42	4300.65	13769382.00	17857052672
2012/12/14	4304.43	4392.51	4242.69	4390.70	16062309.00	21263396864
2012/12/21	4356.79	4366.90	4268.84	4356.37	23985436.00	32175771648
2012/12/28	4352.67	4568.95	4352.67	4568.93	24044564.00	33576218624
2013/01/04	4573.83	4613.09	4471.06	4504.70	10688097.00	16331888640
2013/01/11	4526.93	4756.83	4526.93	4691.54	35391008.00	50167160832
2013/01/18	4697.72	5079.84	4697.72	5063.69	33789072.00	51174510592
2013/01/25	5072.56	5087.26	4914.40	5061.54	24505498.00	39147401216
2013/02/01	5060.61	5212.19	5060.61	5161.57	28916640.00	45239214080
2013/02/08	5173.25	5449.38	5040.56	5416.57	25096046.00	43453509632
2013/02/22	5435.32	5651.68	5360.60	5451.69	33291052.00	52523986944
2013/03/01	5452.38	5599.38	5357.44	5595.54	27218368.00	44184363008
2013/03/08	5566.80	5809.67	5475.26	5518.07	34881512.00	57895108608
2013/03/15	5512.95	5613.81	5317.09	5507.96	21605540.00	37507641344
2013/03/22	5504.50	5683.73	5348.09	5681.46	23679140.00	40940912640
2013/03/29	5692.08	5750.11	5544.95	5635.37	26098052.00	45039271936
2013/04/03	5670.16	5688.72	5426.64	5450.45	20092244.00	31759732736
2013/04/12	5467.76	5540.68	5282.22	5313.34	30480472.00	46201782272
2013/04/19	5329.87	5520.22	5238.77	5501.44	21242320.00	36161712128
2013/04/26	5531.79	5598.74	5397.72	5420.89	28955058.00	47469215744
2013/05/03	5398.58	5629.98	5376.73	5628.82	10419872.00	18064031744
2013/05/10	5641.48	5792.49	5641.48	5766.51	27285900.00	46728019968
2013/05/17	5762.33	5875.40	5640.06	5843.56	28732960.00	46750023680
2013/05/24	5824.44	5824.65	5599.42	5805.53	36236532.00	63870246912
2013/05/31	5802.55	6091.81	5802.07	6025.14	35201220.00	60761526272
2013/06/07	6023.63	6062.34	5622.47	5665.02	28826876.00	48655171584
2013/06/14	5587.02	5722.93	5423.69	5713.81	8648284.00	15733020672
2013/06/21	5724.94	5840.21	5450.27	5584.71	18710404.00	35033550848
2013/06/28	5568.64	5580.30	4969.47	5397.63	26926452.00	46990409728
2013/07/05	5380.62	5850.38	5367.78	5680.97	26136000.00	51504754688
2013/07/12	5602.86	5940.62	5506.32	5850.79	22140630.00	42130362368
2013/07/19	5856.48	6073.16	5787.77	5788.34	25587050.00	49497513984
2013/07/26	5759.37	6195.64	5739.50	6038.98	27745926.00	51589304320
2013/08/02	5998.74	6064.66	5841.17	6014.93	20808608.00	39302275072
2013/08/09	6012.82	6245.24	6003.86	6217.59	27716780.00	53025521664
2013/08/16	6225.09	6259.99	5837.86	5847.67	26720746.00	50369626112
2013/08/23	5816.49	6015.30	5814.48	5976.27	21729864.00	41917349888
2013/08/30	5980.04	6081.37	5798.23	5817.27	27420664.00	47947993088
2013/09/06	5812.16	5933.86	5795.12	5911.33	22004494.00	38846644224
2013/09/13	5905.67	5905.67	5741.28	5844.26	27180344.00	47344467968
2013/09/18	5854.74	5904.62	5813.23	5896.02	13446411.00	25742430208
2013/09/27	5905.42	6225.28	5902.29	6204.18	30859252.00	56143708160
2013/09/30	6222.09	6241.11	6169.38	6224.31	5330731.00	9196001280
2013/10/11	6219.88	6250.77	6149.36	6226.17	25069512.00	44882317312
2013/10/18	6226.60	6326.81	6049.98	6122.53	37652224.00	68175536128
2013/10/25	6144.35	6312.05	5890.67	5926.76	32464352.00	60253184000
2013/11/01	5927.58	5927.58	5645.70	5778.09	22397972.00	41490444288
2013/11/08	5786.77	5799.98	5470.25	5482.29	18415232.00	34366599168
2013/11/15	5477.06	5789.76	5461.60	5742.41	18416962.00	34448822272
2013/11/22	5772.63	5810.39	5740.25	5754.53	23569636.00	42086359040
2013/11/29	5729.11	5930.58	5717.05	5925.44	21350018.00	38348910592
2013/12/06	5837.17	5942.28	5696.17	5898.05	23786032.00	43595304960
2013/12/13	5905.04	5929.86	5785.37	5883.74	17373596.00	32358377472
2013/12/20	5883.13	5883.13	5768.12	5785.75	19438484.00	37899661312
2013/12/27	5791.43	5970.95	5791.43	5939.71	26073584.00	50252120064
2014/01/03	5949.92	6109.98	5918.48	6062.39	19414468.00	38363017216
2014/01/10	6050.97	6101.00	5879.94	5884.73	21938812.00	40472498176
2014/01/17	5883.15	6018.24	5819.87	5882.20	17757104.00	33260570624
2014/01/24	5871.50	6043.93	5760.56	6038.28	20563820.00	39069523968
2014/01/30	6025.80	6054.65	5966.45	6030.42	17795788.00	33669799936
2014/02/07	5994.17	6041.39	5968.58	6041.21	4591901.00	8527496704
2014/02/14	6066.81	6309.04	6066.81	6280.75	33775756.00	62706311168
2014/02/21	6297.55	6464.03	6292.32	6347.53	35783676.00	64606302208
2014/02/28	6318.51	6486.83	5950.56	6092.07	38026368.00	71927365632
2014/03/07	6085.72	6169.54	5953.99	6075.32	26661964.00	50680487936
2014/03/14	6037.82	6051.26	5915.54	6000.30	22566174.00	41390096384
2014/03/21	6016.08	6158.67	5847.90	6004.17	25520530.00	45359915008
2014/03/28	5998.83	6079.22	5816.61	5838.46	22877340.00	39442202624
2014/04/04	5835.46	5862.19	5762.21	5832.61	16636170.00	30775656448
2014/04/11	5810.07	6034.36	5805.58	6013.49	19606072.00	35849019392
2014/04/18	6013.04	6029.62	5912.56	5962.88	19901952.00	33788758016
2014/04/25	5932.54	5983.81	5648.91	5653.39	17643100.00	31870558208
2014/04/30	5631.72	5640.49	5491.86	5637.76	10109830.00	17550749696
2014/05/09	5629.57	5727.59	5566.68	5594.69	14508616.00	25342545920
2014/05/16	5617.09	5666.51	5489.01	5527.22	15004750.00	26188419072
2014/05/23	5510.35	5589.88	5424.77	5584.38	13510749.00	23477831680
2014/05/30	5610.06	5786.72	5610.06	5705.88	17736348.00	31442917376
2014/06/06	5712.28	5736.80	5616.77	5712.94	11836108.00	20661704704
2014/06/13	5710.17	5816.38	5671.24	5806.65	17944450.00	32144277504
2014/06/20	5808.47	5811.06	5597.98	5650.89	16899300.00	31341676544
2014/06/27	5658.45	5817.46	5657.56	5796.46	18272438.00	31427131392
2014/07/04	5804.17	5987.01	5800.22	5923.20	21343430.00	37345058816
2014/07/11	5923.48	5938.46	5800.96	5823.02	19789004.00	35088130048
2014/07/18	5819.50	5902.39	5754.23	5783.55	19633194.00	33017788416
2014/07/25	5779.15	5859.24	5711.57	5788.59	18017274.00	32077025280
2014/08/01	5802.85	6114.18	5802.85	6017.88	28286908.00	48885407744
2014/08/08	6034.19	6084.91	5998.34	6034.06	25277200.00	41833779200
2014/08/15	6053.87	6117.15	6042.43	6110.87	23864722.00	41854128128
2014/08/22	6128.13	6196.95	6085.06	6190.59	26756812.00	49386176512
2014/08/29	6193.11	6194.36	5968.95	6042.56	21127300.00	39343603712
2014/09/05	6047.33	6257.47	6047.07	6256.78	28955072.00	52654899200
2014/09/12	6262.93	6342.90	6223.53	6293.30	26716544.00	47616598016
2014/09/19	6287.80	6401.35	6147.68	6398.65	34022892.00	65137713152
2014/09/26	6401.36	6473.38	6327.06	6429.57	32968814.00	62440890368
2014/09/30	6449.91	6521.54	6446.14	6518.77	12574369.00	23639721984
2014/10/10	6529.89	6779.90	6523.26	6725.38	27617840.00	54295212032
2014/10/17	6706.22	7021.80	6620.31	6743.77	50037524.00	90746961920
2014/10/24	6761.60	6860.78	6456.83	6505.06	31162100.00	57470529536
2014/10/31	6487.46	6768.66	6463.87	6671.24	32415162.00	62930628608
2014/11/07	6667.66	6668.84	6504.42	6525.46	28899560.00	56536231936
2014/11/14	6544.15	6573.01	6339.52	6426.72	27763956.00	55076069376
2014/11/21	6475.31	6515.86	6426.95	6490.23	23389824.00	44327673856
2014/11/28	6512.58	6593.96	6454.57	6560.43	38304960.00	75383406592
2014/12/05	6564.58	6772.09	6485.08	6623.52	50454768.00	102738886656
2014/12/12	6591.69	6710.05	6433.62	6708.68	46747128.00	95002247168
2014/12/19	6686.99	6845.29	6460.64	6524.15	37272584.00	74227245056
2014/12/26	6505.55	6505.55	6262.86	6383.12	28316428.00	53066256384
