'399001'	深证成指	周线
日期	开盘	最高	最低	收盘
1991/04/06	988.05	988.05	973.42	973.42
1991/04/13	968.57	968.57	944.58	944.58
1991/04/20	939.98	939.98	916.98	916.98
1991/04/27	912.38	912.38	889.89	889.89
1991/05/04	885.43	885.43	867.75	867.75
1991/05/11	863.35	863.35	841.94	841.94
1991/05/18	837.66	837.66	825.20	825.20
1991/05/25	822.67	822.67	805.52	805.52
1991/06/01	801.48	801.48	784.48	784.48
1991/06/08	781.10	781.10	757.27	758.74
1991/06/15	754.25	758.21	726.89	728.36
1991/06/22	716.99	721.94	697.23	698.33
1991/06/29	694.20	697.46	683.89	690.48
1991/07/06	685.65	687.48	639.01	643.19
1991/07/13	640.79	641.41	598.86	602.69
1991/07/20	600.47	640.22	572.52	602.90
1991/07/27	603.60	607.84	582.64	585.45
1991/08/03	583.37	584.99	570.02	579.11
1991/08/10	578.71	579.80	570.05	575.12
1991/08/17	573.74	574.51	432.18	447.21
1991/08/24	450.14	459.35	425.90	444.14
1991/08/31	443.05	444.70	429.04	432.92
1991/09/07	431.03	432.86	396.52	405.75
1991/09/14	401.57	420.12	400.38	416.84
1991/09/21	414.03	415.56	405.10	408.13
1991/09/29	406.77	418.02	404.84	417.37
1991/10/05	417.56	452.45	416.63	442.25
1991/10/12	445.51	775.17	444.58	687.20
1991/10/19	691.93	709.01	632.30	673.82
1991/10/26	673.17	681.39	648.67	674.57
1991/11/02	680.83	854.63	673.92	838.70
1991/11/09	840.56	972.63	827.08	965.26
1991/11/16	969.51	1206.31	969.51	1111.52
1991/11/23	1109.55	1109.55	895.86	1035.89
1991/11/30	1036.06	1037.58	867.16	881.49
1991/12/07	881.62	929.50	852.03	902.66
1991/12/14	902.80	929.12	871.06	890.76
1991/12/21	890.01	903.23	879.62	888.37
1991/12/28	887.17	992.55	885.28	965.55
1992/01/03	967.87	973.06	947.30	962.16
1992/01/10	960.99	992.20	958.11	985.67
1992/01/17	986.68	986.94	917.37	945.36
1992/01/24	945.57	967.16	938.88	962.69
1992/02/02	960.35	1027.53	951.10	1021.08
1992/02/14	1019.89	1024.31	979.40	1001.47
1992/02/21	996.04	1004.40	975.92	996.05
1992/02/28	996.08	1006.36	951.86	994.14
1992/03/06	1020.32	1029.84	996.87	1005.55
1992/03/13	1007.66	1016.60	989.67	1006.96
1992/03/20	1009.92	1027.47	1001.59	1014.83
1992/03/27	1014.22	1140.27	1008.01	1118.85
1992/04/03	1161.59	1339.61	1127.66	1307.27
1992/04/10	1315.41	1536.73	1307.12	1522.05
1992/04/17	1539.30	1801.00	1538.04	1707.48
1992/04/24	1713.59	1881.63	1635.64	1856.10
1992/05/03	1867.08	2132.46	1801.21	2081.07
1992/05/08	2092.23	2462.08	2068.70	2220.07
1992/05/15	2234.62	2537.31	2159.00	2511.75
1992/05/22	2542.48	2837.14	2490.58	2679.22
