'399707'	申万证券	周线
日期	开盘	最高	最低	收盘
1999/12/30	1000.00	1000.00	1000.00	1000.00
2000/01/07	1013.39	1138.94	1000.64	1127.42
2000/01/14	1143.32	1272.10	1072.42	1080.03
2000/01/21	1076.88	1266.72	1066.20	1200.16
2000/01/28	1205.72	1379.94	1175.20	1330.69
2000/02/18	1411.97	1715.24	1360.39	1558.01
2000/02/25	1575.21	1658.72	1352.26	1437.79
2000/03/03	1453.54	1628.15	1423.91	1592.92
2000/03/10	1697.19	1789.18	1455.78	1640.93
2000/03/17	1657.64	1770.76	1514.14	1634.59
2000/03/24	1558.04	1871.46	1545.91	1768.83
2000/03/31	1765.93	1838.30	1691.94	1726.20
2000/04/07	1732.92	1880.37	1683.65	1831.60
2000/04/14	1842.25	1907.13	1728.68	1761.46
2000/04/21	1716.38	1759.93	1654.41	1716.72
2000/04/28	1716.92	1761.54	1642.43	1754.40
2000/05/12	1788.70	1906.71	1637.80	1660.90
2000/05/19	1658.76	1685.12	1561.23	1663.75
2000/05/26	1659.47	1786.00	1645.94	1752.11
2000/06/02	1751.72	1808.13	1676.78	1698.86
2000/06/09	1691.42	1769.21	1653.01	1713.24
2000/06/16	1729.90	1768.26	1693.37	1717.97
2000/06/23	1703.83	1722.58	1649.54	1690.07
2000/06/30	1700.69	1768.83	1664.52	1686.53
2000/07/07	1682.98	1682.98	1610.28	1622.27
2000/07/14	1623.84	1666.96	1586.30	1614.67
2000/07/21	1614.09	1702.11	1579.29	1667.10
2000/07/28	1668.87	1803.83	1646.22	1700.46
2000/08/04	1702.03	1749.82	1675.78	1727.13
2000/08/11	1727.83	1839.03	1700.94	1767.79
2000/08/18	1767.84	1877.41	1765.48	1858.54
2000/08/25	1877.39	1930.04	1742.55	1912.51
2000/09/01	1916.64	1930.20	1755.90	1767.27
2000/09/08	1760.61	1811.71	1686.32	1727.40
2000/09/15	1727.40	1785.93	1706.76	1728.95
2000/09/22	1736.38	1810.44	1628.33	1749.89
2000/09/29	1746.70	1774.25	1646.48	1733.14
2000/10/13	1734.54	1842.53	1693.67	1791.88
2000/10/20	1792.36	1831.04	1740.02	1828.68
2000/10/27	1836.25	1923.75	1815.25	1858.59
2000/11/03	1861.78	1877.34	1804.13	1833.33
2000/11/10	1830.14	1854.42	1789.26	1843.55
2000/11/17	1847.88	1907.05	1822.28	1833.72
2000/11/24	1832.23	1942.15	1799.38	1847.02
2000/12/01	1836.61	1923.30	1822.25	1864.98
2000/12/08	1865.49	1879.65	1808.11	1815.38
2000/12/15	1807.66	1826.60	1766.58	1800.25
2000/12/22	1807.02	1830.76	1740.11	1797.13
2000/12/29	1798.19	1819.40	1766.81	1798.53
2001/01/05	1801.70	1852.82	1776.95	1804.26
2001/01/12	1803.47	1835.61	1754.81	1795.56
2001/01/19	1793.63	1809.72	1715.86	1770.73
2001/02/09	1783.78	1788.41	1583.74	1624.42
2001/02/16	1629.62	1635.12	1567.99	1579.62
2001/02/23	1585.27	1633.07	1510.57	1546.50
2001/03/02	1548.27	1635.34	1547.91	1623.01
2001/03/09	1631.42	1691.28	1574.62	1688.14
