'511690'	交易货币	日线
日期	开盘	最高	最低	收盘
2016/10/20	99.998	100.000	99.988	99.989
2016/10/21	99.995	99.997	99.992	99.992
2016/10/24	99.993	99.993	99.984	99.988
2016/10/25	99.987	99.987	99.976	99.981
2016/10/26	99.981	99.983	99.979	99.982
2016/10/27	99.980	99.980	99.961	99.968
2016/10/28	99.992	99.997	99.989	99.992
2016/10/31	99.991	99.992	99.981	99.985
2016/11/01	99.985	99.992	99.984	99.992
2016/11/02	99.991	99.995	99.990	99.995
2016/11/03	99.993	100.000	99.993	100.000
2016/11/04	99.995	100.004	99.995	100.000
2016/11/07	100.000	100.000	99.994	99.997
2016/11/08	99.994	99.998	99.994	99.996
2016/11/09	99.994	99.996	99.994	99.994
2016/11/10	99.992	99.993	99.990	99.992
2016/11/11	99.992	99.995	99.988	99.991
2016/11/14	99.990	99.990	99.973	99.981
2016/11/15	99.985	99.985	99.976	99.983
2016/11/16	99.983	99.991	99.983	99.990
2016/11/17	99.990	99.990	99.982	99.987
2016/11/18	99.987	100.000	99.987	100.000
2016/11/21	99.993	99.993	99.988	99.990
2016/11/22	99.990	99.990	99.986	99.988
2016/11/23	99.990	99.996	99.982	99.987
2016/11/24	99.985	99.988	99.983	99.987
2016/11/25	99.990	99.994	99.988	99.990
2016/11/28	99.987	99.987	99.980	99.985
2016/11/29	99.984	99.984	99.976	99.978
2016/11/30	99.979	99.979	99.960	99.966
2016/12/01	99.966	99.972	99.960	99.970
2016/12/02	99.978	99.996	99.975	99.992
2016/12/05	99.989	99.997	99.968	99.993
2016/12/06	99.991	99.994	99.990	99.994
2016/12/07	99.991	99.994	99.989	99.993
2016/12/08	99.991	99.992	99.988	99.991
2016/12/09	99.992	100.000	99.992	99.999
2016/12/12	99.992	99.993	99.987	99.991
2016/12/13	99.988	99.993	99.982	99.984
2016/12/14	99.983	99.984	99.975	99.977
2016/12/15	99.970	99.970	99.920	99.936
2016/12/16	99.936	99.940	99.850	99.930
2016/12/19	99.926	99.950	99.900	99.930
2016/12/20	99.940	99.960	99.930	99.957
2016/12/21	99.950	99.983	99.950	99.981
2016/12/22	99.981	99.987	99.981	99.985
2016/12/23	99.987	99.995	99.987	99.993
2016/12/26	99.985	99.985	99.975	99.978
2016/12/27	99.977	99.980	99.973	99.976
2016/12/28	99.975	100.002	99.967	99.998
2016/12/29	99.998	100.003	99.972	100.002
2016/12/30	100.004	100.037	100.000	100.004
2017/01/03	99.988	99.988	99.912	99.984
2017/01/04	99.984	99.986	99.981	99.983
2017/01/05	99.984	99.995	99.983	99.994
2017/01/06	99.995	100.008	99.995	100.004
2017/01/09	99.989	99.998	99.988	99.997
2017/01/10	99.995	100.003	99.993	100.002
2017/01/11	100.000	100.001	99.996	100.000
2017/01/12	99.995	100.000	99.995	99.998
2017/01/13	99.998	100.046	99.998	100.007
2017/01/16	99.996	99.998	99.990	99.993
2017/01/17	99.995	99.995	99.982	99.985
2017/01/18	99.983	99.984	99.976	99.977
2017/01/19	99.978	99.978	99.955	99.959
2017/01/20	99.983	100.000	99.983	99.997
2017/01/23	99.996	99.996	99.982	99.991
2017/01/24	99.988	100.999	99.987	100.003
2017/01/25	100.001	100.020	100.001	100.017
2017/01/26	100.070	100.070	100.017	100.063
2017/02/03	100.014	100.014	100.000	100.000
2017/02/06	100.000	100.000	99.990	99.996
2017/02/07	99.995	100.013	99.994	100.009
2017/02/08	100.006	100.011	100.004	100.008
2017/02/09	100.010	100.010	100.000	100.009
2017/02/10	100.008	100.020	100.007	100.020
2017/02/13	100.016	100.016	99.993	100.000
2017/02/14	99.997	99.999	99.992	99.994
2017/02/15	99.994	99.997	99.992	99.997
2017/02/16	99.996	99.997	99.994	99.997
2017/02/17	99.997	100.005	99.997	100.003
2017/02/20	99.994	99.995	99.986	99.987
2017/02/21	99.987	99.988	99.982	99.987
2017/02/22	99.986	99.993	99.986	99.993
2017/02/23	99.991	99.996	99.991	99.996
2017/02/24	99.997	100.010	99.997	100.009
2017/02/27	100.001	100.001	99.990	99.996
2017/02/28	99.995	99.997	99.993	99.997
2017/03/01	99.996	100.000	99.995	99.998
2017/03/02	99.997	100.004	99.996	100.003
2017/03/03	100.004	100.020	100.004	100.019
2017/03/06	100.000	100.004	99.995	100.002
2017/03/07	100.002	100.005	100.001	100.004
2017/03/08	100.004	100.004	99.997	99.998
2017/03/09	99.998	100.001	99.994	99.996
2017/03/10	99.998	100.018	99.998	100.017
2017/03/13	100.001	100.006	99.999	100.005
2017/03/14	100.003	100.013	100.001	100.010
2017/03/15	100.005	100.006	99.999	100.000
2017/03/16	99.999	100.001	99.986	99.992
2017/03/17	99.992	99.998	99.983	99.990
2017/03/20	99.985	99.987	99.972	99.982
2017/03/21	99.998	99.998	99.980	99.983
2017/03/22	99.982	99.997	99.982	99.996
2017/03/23	99.995	100.000	99.993	99.995
2017/03/24	99.997	100.008	99.997	100.006
2017/03/27	100.000	100.000	99.986	99.992
2017/03/28	99.992	99.995	99.984	99.991
2017/03/29	99.990	99.990	99.964	99.969
2017/03/30	99.972	99.975	99.967	99.970
2017/03/31	100.000	100.011	99.951	100.008
2017/04/05	99.979	99.995	99.979	99.993
2017/04/06	99.993	100.200	99.990	100.010
2017/04/07	100.006	100.024	100.006	100.022
2017/04/10	99.995	100.007	99.990	100.006
2017/04/11	100.004	100.016	100.001	100.016
2017/04/12	100.003	100.008	100.002	100.003
2017/04/13	100.003	100.004	99.996	100.001
2017/04/14	100.002	100.012	100.001	100.011
2017/04/17	100.000	100.001	99.992	100.000
2017/04/18	99.998	100.001	99.997	99.997
2017/04/19	99.997	99.998	99.992	99.996
2017/04/20	99.996	99.996	99.993	99.994
2017/04/21	99.998	100.004	99.996	100.001
2017/04/24	99.999	99.999	99.988	99.991
2017/04/25	99.990	99.993	99.970	99.989
2017/04/26	99.986	99.997	99.986	99.997
2017/04/27	99.997	99.997	99.988	99.993
2017/04/28	100.008	100.070	100.006	100.021
2017/05/02	99.994	99.998	99.992	99.998
2017/05/03	99.997	99.998	99.991	99.997
2017/05/04	99.996	100.006	99.994	100.000
2017/05/05	100.002	100.018	100.002	100.016
2017/05/08	100.002	100.002	99.995	100.000
2017/05/09	99.996	100.004	99.996	100.000
2017/05/10	100.000	100.002	99.998	100.000
2017/05/11	99.998	99.999	99.994	99.997
2017/05/12	100.001	100.005	99.999	100.000
2017/05/15	99.988	100.000	99.988	100.000
2017/05/16	99.997	99.999	99.993	99.996
2017/05/17	99.994	99.997	99.990	99.995
2017/05/18	99.992	99.998	99.991	99.997
2017/05/19	99.999	100.007	99.999	100.003
2017/05/22	99.998	100.000	99.990	99.999
2017/05/23	99.996	99.999	99.993	99.997
2017/05/24	99.996	100.000	99.995	99.999
2017/05/25	99.998	100.012	99.996	100.006
