'511650'	华夏快线	日线
日期	开盘	最高	最低	收盘
2017/01/16	100.000	100.000	99.084	99.985
2017/01/17	99.990	99.990	99.983	99.987
2017/01/18	99.901	99.987	99.901	99.973
2017/01/19	99.971	99.971	99.956	99.957
2017/01/20	99.997	99.997	99.957	99.985
2017/01/23	99.985	99.985	99.980	99.984
2017/01/24	99.992	99.992	99.989	99.990
2017/01/25	99.995	100.000	99.992	99.995
2017/01/26	100.014	100.050	100.009	100.015
2017/02/03	99.998	99.998	99.990	99.991
2017/02/06	99.985	99.988	99.982	99.988
2017/02/07	99.983	99.996	99.983	99.994
2017/02/08	99.995	100.000	99.995	99.999
2017/02/09	99.995	99.997	99.995	99.996
2017/02/10	99.993	100.003	99.993	100.003
2017/02/13	99.992	99.998	99.989	99.996
2017/02/14	99.995	99.996	99.993	99.994
2017/02/15	99.990	99.993	99.990	99.992
2017/02/16	99.993	99.995	99.991	99.991
2017/02/17	99.991	100.000	99.991	99.992
2017/02/20	99.990	99.990	99.982	99.985
2017/02/21	99.985	99.985	99.978	99.981
2017/02/22	99.980	99.993	99.980	99.992
2017/02/23	99.990	99.994	99.990	99.994
2017/02/24	99.999	100.005	99.999	100.004
2017/02/27	99.994	99.994	99.991	99.993
2017/02/28	99.992	99.995	99.992	99.994
2017/03/01	99.993	99.998	99.993	99.997
2017/03/02	100.000	100.000	99.998	99.999
2017/03/03	99.999	100.007	99.999	100.007
2017/03/06	99.995	100.045	99.992	100.020
2017/03/07	100.008	100.009	99.999	100.008
2017/03/08	100.008	100.098	100.006	100.016
2017/03/09	100.006	100.010	100.002	100.007
2017/03/10	100.003	100.011	100.001	100.010
2017/03/13	99.992	100.004	99.992	100.000
2017/03/14	99.998	100.090	99.998	100.011
2017/03/15	100.001	100.009	99.999	100.001
2017/03/16	99.996	100.001	99.987	99.988
2017/03/17	99.993	100.002	99.990	99.991
2017/03/20	99.990	100.000	99.975	99.999
2017/03/21	100.000	100.000	99.991	99.997
2017/03/22	99.977	100.002	99.977	99.997
2017/03/23	99.996	100.003	99.985	100.002
2017/03/24	100.002	100.011	100.002	100.011
2017/03/27	99.991	99.999	99.983	99.999
2017/03/28	99.991	100.001	99.987	100.001
2017/03/29	99.999	100.001	99.991	99.998
2017/03/30	99.998	100.000	99.996	100.000
2017/03/31	99.998	100.013	99.998	100.010
2017/04/05	99.982	99.992	99.982	99.992
2017/04/06	99.992	100.004	99.987	100.004
2017/04/07	99.999	100.023	99.999	100.021
2017/04/10	99.991	100.003	99.990	100.001
2017/04/11	99.999	100.014	99.998	100.012
2017/04/12	100.000	100.004	99.999	100.002
2017/04/13	99.999	100.002	99.997	100.000
2017/04/14	100.000	100.002	99.998	100.001
2017/04/17	99.994	100.000	99.991	100.000
2017/04/18	99.996	100.000	99.996	99.999
2017/04/19	99.995	99.998	99.991	99.993
2017/04/20	99.995	99.996	99.993	99.995
2017/04/21	99.999	100.004	99.998	100.000
2017/04/24	99.993	99.996	99.988	99.995
2017/04/25	99.993	99.993	99.985	99.987
2017/04/26	99.991	99.993	99.987	99.993
2017/04/27	99.989	99.993	99.973	99.991
2017/04/28	100.006	100.015	100.006	100.012
2017/05/02	99.992	99.997	99.992	99.996
2017/05/03	99.994	99.996	99.990	99.996
2017/05/04	99.996	99.996	99.993	99.996
2017/05/05	100.000	100.013	100.000	100.010
2017/05/08	99.992	100.001	99.992	100.001
2017/05/09	99.996	100.003	99.996	100.002
2017/05/10	100.000	100.005	99.996	99.998
2017/05/11	99.997	99.998	99.995	99.996
2017/05/12	100.000	100.009	99.999	100.006
2017/05/15	99.996	100.002	99.990	100.000
2017/05/16	99.998	100.003	99.997	100.000
2017/05/17	99.997	100.002	99.997	99.998
2017/05/18	99.993	100.002	99.990	100.001
2017/05/19	100.004	100.007	100.000	100.003
2017/05/22	99.993	99.999	99.993	99.998
2017/05/23	99.995	99.998	99.994	99.998
2017/05/24	99.994	99.999	99.993	99.997
2017/05/25	99.994	100.022	99.993	100.003
2017/05/26	100.009	100.017	100.009	100.017
2017/05/31	99.991	100.002	99.985	99.987
2017/06/01	99.993	100.000	99.987	99.997
2017/06/02	100.007	100.011	100.002	100.006
2017/06/05	100.000	100.000	99.991	99.996
2017/06/06	99.994	100.000	99.993	99.999
2017/06/07	99.995	100.001	99.994	100.000
2017/06/08	99.995	99.998	99.994	99.995
2017/06/09	100.000	100.010	100.000	100.004
2017/06/12	99.995	100.000	99.995	99.999
2017/06/13	99.999	100.000	99.995	100.000
2017/06/14	99.998	99.999	99.994	99.997
2017/06/15	99.999	99.999	99.987	99.995
2017/06/16	100.002	100.005	99.999	100.001
2017/06/19	99.990	99.995	99.988	99.992
2017/06/20	99.997	99.997	99.977	99.978
2017/06/21	99.978	99.995	99.974	99.991
2017/06/22	99.981	99.990	99.978	99.990
2017/06/23	99.999	100.005	99.994	100.004
2017/06/26	99.990	99.990	99.981	99.985
2017/06/27	99.982	99.988	99.982	99.987
2017/06/28	99.989	100.016	99.983	100.016
2017/06/29	99.999	100.030	99.999	100.022
2017/06/30	100.000	100.016	100.000	100.015
2017/07/03	99.992	99.999	99.992	99.998
2017/07/04	99.997	100.001	99.995	99.999
2017/07/05	100.000	100.000	99.998	100.000
2017/07/06	99.999	100.001	99.941	100.001
2017/07/07	100.007	100.013	100.006	100.012
2017/07/10	99.999	100.000	99.994	100.000
2017/07/11	99.999	100.004	99.992	100.001
2017/07/12	100.000	100.001	99.996	100.000
2017/07/13	99.998	100.000	99.994	99.997
2017/07/14	100.000	100.006	99.999	100.006
2017/07/17	99.993	100.001	99.993	100.000
2017/07/18	99.993	100.002	99.990	100.002
2017/07/19	100.000	100.000	99.979	99.982
2017/07/20	99.982	99.988	99.980	99.985
2017/07/21	100.000	100.007	100.000	100.002
2017/07/24	99.992	99.994	99.988	99.993
2017/07/25	99.992	99.997	99.989	99.996
2017/07/26	99.996	99.996	99.990	99.994
2017/07/27	99.992	99.996	99.990	99.996
2017/07/28	100.003	100.009	99.991	99.991
2017/07/31	99.988	99.995	99.984	99.991
2017/08/01	99.991	99.994	99.983	99.993
2017/08/02	99.991	99.995	99.985	99.995
2017/08/03	99.995	99.999	99.992	99.997
2017/08/04	100.006	100.014	100.003	100.014
2017/08/07	99.995	99.999	99.994	99.999
2017/08/08	99.995	99.998	99.995	99.997
2017/08/09	99.995	99.998	99.994	99.994
2017/08/10	99.995	99.999	99.994	99.998
2017/08/11	100.003	100.008	100.001	100.008
2017/08/14	99.994	99.996	99.992	99.995
2017/08/15	99.993	99.994	99.987	99.994
2017/08/16	99.991	99.992	99.987	99.989
2017/08/17	99.988	100.000	99.790	99.986
2017/08/18	100.000	100.004	100.000	100.003
2017/08/21	99.980	99.990	99.980	99.987
2017/08/22	99.991	99.993	99.986	99.993
2017/08/23	99.990	99.992	99.986	99.991
2017/08/24	99.988	100.001	99.988	100.001
2017/08/25	100.006	100.011	100.006	100.011
2017/08/28	99.992	99.999	99.985	99.994
2017/08/29	99.985	99.989	99.980	99.989
2017/08/30	99.980	99.982	99.969	99.980
2017/08/31	99.970	99.986	99.961	99.984
2017/09/01	100.001	100.009	100.001	100.007
2017/09/04	99.990	100.000	99.990	100.000
2017/09/05	99.993	100.000	99.993	99.998
2017/09/06	99.998	99.999	99.994	99.999
2017/09/07	99.999	99.999	99.994	99.995
2017/09/08	100.000	100.005	99.998	100.001
2017/09/11	99.993	99.995	99.988	99.994
2017/09/12	99.994	99.994	99.987	99.994
2017/09/13	99.992	99.995	99.990	99.994
2017/09/14	99.992	99.998	99.990	99.996
2017/09/15	100.006	100.007	99.996	100.003
2017/09/18	99.990	99.990	99.983	99.987
2017/09/19	99.989	99.989	99.977	99.978
2017/09/20	99.977	99.982	99.977	99.982
2017/09/21	99.978	99.982	99.977	99.982
2017/09/22	99.998	99.999	99.988	99.991
2017/09/25	99.981	99.983	99.974	99.982
2017/09/26	99.977	99.982	99.960	99.969
2017/09/27	99.975	99.975	99.940	99.960
2017/09/28	99.965	99.966	99.790	99.806
2017/09/29	100.037	100.067	100.037	100.052
2017/10/09	99.985	99.985	99.961	99.973
2017/10/10	99.973	99.997	99.972	99.997
2017/10/11	99.990	100.003	99.990	100.001
2017/10/12	99.993	100.005	99.993	100.005
2017/10/13	100.009	100.018	100.005	100.017
2017/10/16	99.991	100.029	99.991	100.027
2017/10/17	99.995	100.015	99.995	100.002
2017/10/18	100.000	100.004	99.999	100.004
2017/10/19	99.999	100.020	99.999	100.005
2017/10/20	100.006	100.010	100.005	100.009
2017/10/23	99.996	99.998	99.994	99.997
2017/10/24	99.996	99.999	99.994	99.997
2017/10/25	99.996	99.998	99.995	99.998
2017/10/26	99.996	99.997	99.989	99.996
2017/10/27	99.999	100.003	99.998	100.000
2017/10/30	99.988	99.990	99.930	99.976
2017/10/31	99.974	99.987	99.971	99.987
2017/11/01	99.987	99.999	99.987	99.999
2017/11/02	99.998	100.000	99.995	99.997
2017/11/03	100.001	100.015	100.001	100.013
2017/11/06	99.995	99.998	99.993	99.997
2017/11/07	99.995	99.998	99.995	99.997
