'511990'	华宝添益	日线
日期	开盘	最高	最低	收盘
2013/01/28	100.003	100.005	100.001	100.005
2013/01/29	100.004	100.004	100.003	100.004
2013/01/30	100.004	100.006	100.003	100.006
2013/01/31	100.004	100.050	100.003	100.006
2013/02/01	100.012	100.019	100.012	100.018
2013/02/04	100.004	100.006	100.004	100.004
2013/02/05	100.004	100.006	100.004	100.005
2013/02/06	100.005	100.006	100.004	100.005
2013/02/07	100.005	100.014	100.004	100.014
2013/02/08	100.033	100.098	100.033	100.081
2013/02/18	100.004	100.008	100.001	100.008
2013/02/19	100.004	100.006	100.003	100.006
2013/02/20	100.004	100.005	100.004	100.005
2013/02/21	100.004	100.006	100.004	100.005
2013/02/22	100.013	100.018	100.012	100.018
2013/02/25	100.004	100.005	100.004	100.005
2013/02/26	100.005	100.005	100.003	100.004
2013/02/27	100.004	100.005	100.003	100.004
2013/02/28	100.006	100.006	100.001	100.002
2013/03/01	100.013	100.015	100.008	100.014
2013/03/04	100.004	100.004	100.001	100.002
2013/03/05	100.002	100.003	100.001	100.002
2013/03/06	100.002	100.005	100.001	100.004
2013/03/07	100.004	100.007	100.002	100.007
2013/03/08	100.012	100.017	100.012	100.014
2013/03/11	100.002	100.009	100.001	100.009
2013/03/12	100.003	100.010	100.002	100.010
2013/03/13	100.004	100.007	100.003	100.007
2013/03/14	100.004	100.005	100.000	100.004
2013/03/15	100.008	100.013	100.006	100.013
2013/03/18	100.002	100.005	100.002	100.005
2013/03/19	100.002	100.005	100.002	100.005
2013/03/20	100.003	100.012	100.001	100.009
2013/03/21	100.003	100.009	100.002	100.007
2013/03/22	100.006	100.090	100.005	100.036
2013/03/25	100.003	100.007	100.001	100.006
2013/03/26	100.003	100.005	100.002	100.005
2013/03/27	100.003	100.005	100.000	100.003
2013/03/28	100.002	100.002	99.970	99.994
2013/03/29	100.006	100.010	100.003	100.009
2013/04/01	100.001	100.006	100.000	100.004
2013/04/02	100.001	100.007	99.999	100.004
2013/04/03	100.012	100.031	100.012	100.029
2013/04/08	100.002	100.007	100.000	100.007
2013/04/09	100.001	100.005	100.000	100.004
2013/04/10	100.001	100.005	100.000	100.004
2013/04/11	100.000	100.005	100.000	100.005
2013/04/12	100.004	100.013	100.004	100.012
2013/04/15	100.001	100.003	99.999	100.003
2013/04/16	100.001	100.004	100.000	100.003
2013/04/17	100.000	100.021	100.000	100.007
2013/04/18	100.005	100.005	100.000	100.003
2013/04/19	100.004	100.008	99.998	100.005
2013/04/22	100.000	100.001	99.965	99.991
2013/04/23	100.000	100.000	99.969	99.991
2013/04/24	99.989	100.001	99.975	100.000
2013/04/25	99.999	100.000	99.950	99.999
2013/04/26	100.011	100.031	100.011	100.030
2013/05/02	100.000	100.003	99.983	100.003
2013/05/03	100.005	100.013	100.005	100.013
2013/05/06	99.998	100.003	99.995	100.002
2013/05/07	100.000	100.001	99.998	100.000
2013/05/08	100.000	100.003	99.996	100.002
2013/05/09	100.000	100.001	99.998	100.001
2013/05/10	100.007	100.011	100.006	100.011
2013/05/13	99.999	100.001	99.996	100.001
2013/05/14	99.999	100.001	99.999	100.001
2013/05/15	100.000	100.001	99.997	100.000
2013/05/16	99.999	100.000	99.990	99.997
2013/05/17	100.003	100.006	99.994	99.997
2013/05/20	99.997	99.997	99.930	99.957
2013/05/21	99.978	99.997	99.932	99.979
2013/05/22	99.960	99.988	99.941	99.978
2013/05/23	99.970	99.988	99.955	99.982
2013/05/24	99.999	99.999	99.991	99.996
2013/05/27	99.987	99.987	99.967	99.978
2013/05/28	99.983	99.989	99.972	99.986
2013/05/29	99.984	99.995	99.971	99.987
2013/05/30	99.980	99.999	99.974	99.996
2013/05/31	100.000	100.007	99.996	100.006
2013/06/03	99.997	99.998	99.983	99.995
2013/06/04	99.992	99.994	99.983	99.993
2013/06/05	99.992	99.992	99.986	99.990
2013/06/06	99.982	99.993	99.965	99.992
2013/06/07	100.004	100.010	100.000	100.002
2013/06/13	99.980	99.980	90.010	99.907
2013/06/14	99.960	99.960	99.700	99.957
2013/06/17	99.970	99.980	99.938	99.979
2013/06/18	99.976	99.990	99.959	99.987
2013/06/19	99.985	99.989	99.951	99.988
2013/06/20	99.965	99.965	99.881	99.959
2013/06/21	99.945	99.990	99.915	99.976
2013/06/24	99.921	99.948	99.910	99.920
2013/06/25	99.930	99.935	99.900	99.906
2013/06/26	99.980	99.995	99.928	99.994
2013/06/27	99.990	99.991	99.941	99.988
2013/06/28	99.979	100.004	99.955	100.002
2013/07/01	99.993	100.003	99.975	100.003
2013/07/02	99.999	100.001	99.994	100.000
2013/07/03	100.000	100.004	99.998	100.003
2013/07/04	100.000	100.004	99.999	100.004
2013/07/05	100.005	100.022	100.004	100.022
2013/07/08	100.001	100.004	100.000	100.004
2013/07/09	100.001	100.004	100.000	100.004
2013/07/10	100.000	100.004	100.000	100.004
2013/07/11	100.001	100.003	100.001	100.003
2013/07/12	100.005	100.014	100.005	100.014
2013/07/15	100.001	100.003	100.000	100.003
2013/07/16	100.001	100.005	100.001	100.005
2013/07/17	100.001	100.006	100.001	100.006
2013/07/18	100.001	100.004	100.000	100.004
2013/07/19	100.007	100.014	100.006	100.013
2013/07/22	100.001	100.002	100.000	100.002
2013/07/23	100.001	100.003	99.999	100.002
2013/07/24	100.001	100.002	99.999	100.002
2013/07/25	100.001	100.003	99.998	100.000
2013/07/26	100.001	100.010	100.001	100.007
2013/07/29	100.001	100.006	99.976	100.005
2013/07/30	100.001	100.005	99.999	100.004
2013/07/31	100.000	100.006	100.000	100.005
2013/08/01	100.001	100.015	100.001	100.014
2013/08/02	100.009	100.054	100.009	100.048
2013/08/05	100.003	100.029	100.002	100.020
2013/08/06	100.004	100.010	100.003	100.009
2013/08/07	100.002	100.007	100.002	100.007
2013/08/08	100.003	100.007	100.002	100.006
2013/08/09	100.008	100.020	100.008	100.020
2013/08/12	100.002	100.003	99.999	100.001
2013/08/13	100.001	100.005	100.000	100.004
2013/08/14	100.000	100.003	99.999	100.001
2013/08/15	100.001	100.015	100.001	100.010
2013/08/16	100.014	100.020	100.001	100.019
2013/08/19	100.003	100.003	100.000	100.003
2013/08/20	100.001	100.003	100.000	100.003
2013/08/21	100.001	100.005	100.001	100.004
2013/08/22	100.001	100.003	99.950	100.000
2013/08/23	100.011	100.017	100.009	100.014
2013/08/26	100.001	100.002	99.999	100.002
2013/08/27	100.001	100.003	100.000	100.003
2013/08/28	100.001	100.004	100.000	100.004
2013/08/29	100.001	100.005	100.001	100.005
2013/08/30	100.012	100.020	100.010	100.020
