'511830'	华泰货币	日线
日期	开盘	最高	最低	收盘
2015/08/03	99.940	100.100	99.931	100.001
2015/08/04	100.000	100.001	100.000	100.000
2015/08/05	100.000	100.001	99.983	100.000
2015/08/06	99.996	100.001	99.996	99.999
2015/08/07	100.000	100.000	99.993	100.000
2015/08/10	99.990	99.999	99.990	99.998
2015/08/11	99.996	99.997	99.994	99.997
2015/08/12	99.996	99.999	99.992	99.997
2015/08/13	99.994	100.003	99.993	99.999
2015/08/14	99.997	100.003	99.997	100.003
2015/08/17	99.996	100.000	99.996	99.999
2015/08/18	99.997	100.001	99.997	100.000
2015/08/19	99.999	100.000	99.997	99.999
2015/08/20	99.998	100.000	99.996	100.000
2015/08/21	99.999	100.005	99.999	100.002
2015/08/24	99.998	100.000	99.997	99.998
2015/08/25	99.999	100.001	99.997	100.000
2015/08/26	99.999	100.001	99.998	100.000
2015/08/27	99.998	100.000	99.998	100.000
2015/08/28	99.999	100.001	99.994	100.000
2015/08/31	99.999	100.001	99.998	100.001
2015/09/01	99.999	100.010	99.999	100.003
2015/09/02	100.002	100.032	100.000	100.028
2015/09/07	100.000	100.001	99.998	100.000
2015/09/08	99.999	100.000	99.998	100.000
2015/09/09	99.999	100.000	99.996	100.000
2015/09/10	99.994	100.001	99.994	99.999
2015/09/11	100.001	100.006	100.000	100.002
2015/09/14	99.998	99.999	99.997	99.999
2015/09/15	99.998	100.000	99.998	100.000
2015/09/16	99.999	100.000	99.998	100.000
2015/09/17	99.999	100.025	99.989	99.991
2015/09/18	100.000	100.008	100.000	100.003
2015/09/21	100.000	100.001	99.995	100.001
2015/09/22	99.999	100.001	99.999	100.000
2015/09/23	99.999	100.001	99.999	100.001
2015/09/24	99.999	100.005	99.999	100.003
2015/09/25	100.001	100.002	100.000	100.002
2015/09/28	100.000	100.003	99.999	100.002
2015/09/29	100.000	100.010	99.999	100.004
2015/09/30	100.010	100.044	100.004	100.040
2015/10/08	99.999	99.999	99.955	99.981
2015/10/09	99.992	99.997	99.991	99.997
2015/10/12	99.992	99.999	99.976	99.991
2015/10/13	99.981	99.998	99.981	99.996
2015/10/14	99.997	99.999	99.996	99.997
2015/10/15	99.995	99.997	99.990	99.991
2015/10/16	99.993	100.004	99.993	100.004
2015/10/19	99.992	99.998	99.992	99.997
2015/10/20	99.996	99.997	99.994	99.996
2015/10/21	99.996	99.999	99.992	99.997
2015/10/22	99.993	99.995	99.986	99.990
2015/10/23	99.995	100.002	99.991	100.001
2015/10/26	99.990	99.996	99.985	99.996
2015/10/27	99.995	100.000	99.993	99.998
2015/10/28	99.995	100.001	99.993	99.999
