'511660'	建信添益	日线
日期	开盘	最高	最低	收盘
2016/09/21	99.990	99.990	99.977	99.988
2016/09/22	99.982	99.987	99.943	99.982
2016/09/23	99.987	99.993	99.980	99.989
2016/09/26	99.987	99.988	99.977	99.977
2016/09/27	99.981	99.983	99.967	99.977
2016/09/28	99.977	99.985	99.963	99.983
2016/09/29	99.983	99.995	99.980	99.992
2016/09/30	100.001	100.052	100.001	100.020
2016/10/10	99.988	99.990	99.983	99.985
2016/10/11	99.983	99.986	99.982	99.986
2016/10/12	99.986	99.993	99.984	99.992
2016/10/13	99.990	99.993	99.990	99.992
2016/10/14	99.995	100.000	99.995	100.000
2016/10/17	99.992	99.995	99.989	99.994
2016/10/18	99.990	99.994	99.986	99.990
2016/10/19	99.988	99.990	99.988	99.989
2016/10/20	99.990	99.991	99.986	99.988
2016/10/21	100.000	100.000	99.990	99.995
2016/10/24	99.991	99.991	99.977	99.983
2016/10/25	99.983	99.988	99.972	99.980
2016/10/26	99.980	99.983	99.978	99.978
2016/10/27	99.980	99.980	99.964	99.968
2016/10/28	99.993	99.999	99.987	99.993
2016/10/31	99.993	99.994	99.988	99.991
2016/11/01	99.995	99.995	99.990	99.992
2016/11/02	99.989	99.996	99.989	99.993
2016/11/03	99.995	100.008	99.995	100.005
2016/11/04	100.005	100.014	99.998	100.013
2016/11/07	99.998	100.001	99.997	100.000
2016/11/08	100.000	100.005	99.997	100.005
2016/11/09	100.000	100.001	99.993	99.997
2016/11/10	99.992	99.996	99.992	99.996
2016/11/11	99.993	100.000	99.989	99.992
2016/11/14	99.988	99.996	99.979	99.981
2016/11/15	99.984	99.996	99.980	99.996
2016/11/16	99.993	99.993	99.986	99.988
2016/11/17	99.988	99.990	99.986	99.989
2016/11/18	99.995	100.000	99.991	100.000
2016/11/21	99.996	99.996	99.987	99.990
2016/11/22	99.990	99.993	99.990	99.992
2016/11/23	99.991	99.993	99.987	99.992
2016/11/24	99.992	99.999	99.989	99.995
2016/11/25	99.998	100.008	99.998	100.008
2016/11/28	99.988	99.988	99.980	99.984
2016/11/29	99.984	99.986	99.978	99.980
2016/11/30	99.980	99.981	99.962	99.970
2016/12/01	99.970	99.995	99.965	99.990
2016/12/02	99.987	100.002	99.987	100.001
2016/12/05	99.989	100.002	99.985	99.998
2016/12/06	99.995	100.006	99.995	100.005
2016/12/07	100.000	100.004	99.993	100.004
2016/12/08	100.000	100.010	99.992	100.009
2016/12/09	100.003	100.020	99.998	100.013
2016/12/12	99.999	100.001	99.995	99.999
2016/12/13	99.996	99.996	99.983	99.985
2016/12/14	99.984	99.985	99.975	99.981
2016/12/15	99.972	99.972	99.781	99.883
2016/12/16	99.950	99.950	99.800	99.920
2016/12/19	99.900	99.945	99.890	99.927
2016/12/20	99.933	99.965	99.927	99.961
2016/12/21	99.959	99.988	99.956	99.982
2016/12/22	99.985	99.993	99.980	99.986
2016/12/23	99.989	100.001	99.989	100.000
2016/12/26	99.990	99.990	99.981	99.987
2016/12/27	99.984	99.985	99.925	99.945
2016/12/28	99.960	99.968	99.942	99.968
2016/12/29	99.965	100.020	99.947	100.018
2016/12/30	100.015	100.030	100.000	100.030
2017/01/03	99.985	99.988	99.978	99.983
2017/01/04	99.983	99.991	99.977	99.990
2017/01/05	99.987	100.001	99.985	100.001
2017/01/06	100.000	100.017	100.000	100.016
2017/01/09	99.999	100.005	99.994	100.003
2017/01/10	99.998	100.009	99.995	100.008
2017/01/11	100.000	100.012	100.000	100.011
2017/01/12	100.001	100.007	99.995	100.005
2017/01/13	100.005	100.012	100.005	100.010
2017/01/16	99.999	100.000	99.990	99.998
2017/01/17	99.995	99.995	99.978	99.989
2017/01/18	99.992	99.992	99.975	99.978
2017/01/19	99.975	99.982	99.910	99.961
2017/01/20	99.983	99.999	99.983	99.995
2017/01/23	99.990	99.993	99.982	99.993
2017/01/24	99.994	99.998	99.992	99.998
2017/01/25	99.997	100.026	99.997	100.016
2017/01/26	100.037	100.060	100.036	100.060
2017/02/03	100.030	100.030	99.992	99.999
2017/02/06	99.996	100.000	99.990	100.000
2017/02/07	99.997	100.026	99.995	100.020
2017/02/08	100.007	100.015	100.003	100.014
2017/02/09	100.010	100.010	99.999	100.008
2017/02/10	100.005	100.018	100.005	100.017
2017/02/13	99.998	100.002	99.985	99.998
2017/02/14	99.998	99.999	99.990	99.998
2017/02/15	99.995	99.997	99.991	99.996
2017/02/16	99.995	99.998	99.990	99.997
2017/02/17	100.000	100.007	100.000	100.002
2017/02/20	99.991	100.000	99.986	99.994
2017/02/21	99.991	99.991	99.978	99.987
2017/02/22	99.984	99.996	99.984	99.993
2017/02/23	99.991	100.000	99.990	99.998
2017/02/24	100.002	100.009	100.002	100.008
2017/02/27	99.998	99.998	99.989	99.997
2017/02/28	99.996	99.998	99.991	99.996
2017/03/01	99.995	99.998	99.994	99.998
2017/03/02	99.995	100.003	99.993	99.999
2017/03/03	100.006	100.014	100.004	100.013
2017/03/06	99.996	100.007	99.995	100.006
2017/03/07	100.001	100.008	100.000	100.007
2017/03/08	100.002	100.007	100.002	100.007
2017/03/09	100.002	100.006	100.000	100.001
2017/03/10	100.002	100.020	100.002	100.018
2017/03/13	100.000	100.005	99.998	100.003
2017/03/14	100.000	100.004	99.998	100.004
2017/03/15	100.001	100.001	99.994	99.999
2017/03/16	99.993	99.994	99.950	99.950
2017/03/17	99.980	99.993	99.965	99.990
2017/03/20	99.986	99.986	99.970	99.980
2017/03/21	99.980	99.982	99.971	99.978
2017/03/22	99.980	100.000	99.980	99.999
2017/03/23	99.987	100.002	99.987	100.000
2017/03/24	100.000	100.007	99.999	100.004
2017/03/27	99.995	99.995	99.984	99.987
2017/03/28	99.987	99.990	99.980	99.981
