'511810'	理财金H 	日线
日期	开盘	最高	最低	收盘	
2015/01/05	99.811	99.995	99.810	99.977
2015/01/06	99.974	99.989	99.905	99.980
2015/01/07	99.961	99.990	99.961	99.987
2015/01/08	99.962	99.995	99.962	99.995
2015/01/09	100.000	100.004	99.996	99.999
2015/01/12	99.910	99.993	99.810	99.979
2015/01/13	99.965	99.990	99.965	99.987
2015/01/14	99.987	99.997	99.983	99.996
2015/01/15	99.996	100.000	99.996	99.997
2015/01/16	100.004	100.004	99.998	100.000
2015/01/19	99.999	100.002	99.999	100.002
2015/01/20	100.002	100.019	100.002	100.018
2015/01/21	100.018	100.022	100.010	100.022
2015/01/22	100.022	100.026	100.012	100.024
2015/01/23	100.024	100.045	100.023	100.041
2015/01/26	100.005	100.020	100.001	100.016
2015/01/27	100.000	100.015	100.000	100.002
2015/01/28	100.002	100.002	100.000	100.002
2015/01/29	100.000	100.001	99.999	100.001
2015/01/30	100.001	100.013	99.999	100.000
2015/02/02	99.997	99.999	99.994	99.996
2015/02/03	99.997	99.999	99.993	99.998
2015/02/04	99.998	100.000	99.996	99.998
2015/02/05	99.996	99.997	99.955	99.987
2015/02/06	99.987	100.000	99.985	99.999
2015/02/09	99.980	99.982	99.940	99.950
2015/02/10	99.900	99.960	99.880	99.903
2015/02/11	99.954	99.958	99.906	99.949
2015/02/12	99.995	100.000	99.982	99.999
2015/02/13	100.030	100.300	100.030	100.249
2015/02/16	100.249	100.440	100.066	100.270
2015/02/17	100.200	100.399	100.199	100.381
2015/02/25	100.001	100.170	99.998	100.014
2015/02/26	100.003	100.015	100.000	100.012
2015/02/27	100.010	100.025	100.004	100.013
2015/03/02	100.000	100.004	99.996	100.004
2015/03/03	100.000	100.005	99.998	100.001
2015/03/04	100.001	100.003	99.999	100.002
2015/03/05	99.999	100.001	99.998	100.000
2015/03/06	100.000	100.000	99.987	99.997
2015/03/09	99.961	99.967	99.910	99.963
2015/03/10	99.960	99.960	99.920	99.939
2015/03/11	99.930	99.933	99.800	99.923
2015/03/12	99.911	99.961	99.110	99.952
2015/03/13	99.990	100.003	99.990	100.002
2015/03/16	100.000	100.007	100.000	100.007
2015/03/17	100.000	100.012	100.000	100.010
2015/03/18	100.005	100.014	100.001	100.010
2015/03/19	100.005	100.012	100.003	100.010
2015/03/20	100.010	100.025	100.005	100.025
2015/03/23	100.000	100.015	100.000	100.012
2015/03/24	100.004	100.016	100.002	100.011
2015/03/25	100.010	100.026	100.005	100.014
2015/03/26	100.013	100.019	100.012	100.015
2015/03/27	100.015	100.029	100.012	100.023
2015/03/30	100.011	100.012	99.995	100.010
2015/03/31	100.007	100.018	100.005	100.017
2015/04/01	100.000	100.000	99.995	100.000
2015/04/02	100.000	100.000	99.991	99.995
2015/04/03	99.998	100.026	99.998	100.025
2015/04/07	99.998	100.004	99.987	100.003
2015/04/08	99.998	100.002	99.994	100.001
2015/04/09	99.998	99.998	99.993	99.995
2015/04/10	99.995	99.995	99.985	99.994
2015/04/13	99.979	99.979	99.920	99.937
2015/04/14	99.930	99.960	99.921	99.960
2015/04/15	99.958	99.982	99.941	99.979
2015/04/16	99.979	99.992	99.966	99.985
2015/04/17	100.002	100.033	100.002	100.032
2015/04/20	100.018	100.023	100.010	100.020
2015/04/21	100.020	100.040	100.015	100.040
2015/04/22	100.027	100.035	100.011	100.025
2015/04/23	100.023	100.023	100.002	100.020
2015/04/24	100.003	100.020	100.002	100.018
2015/04/27	100.004	100.007	100.002	100.005
2015/04/28	100.001	100.002	99.996	100.000
2015/04/29	99.996	100.008	99.996	100.005
2015/04/30	100.003	100.017	100.002	100.006
2015/05/04	99.965	99.965	99.930	99.951
2015/05/05	99.950	99.950	99.928	99.947
2015/05/06	99.940	99.988	99.935	99.973
2015/05/07	99.973	99.986	99.965	99.979
2015/05/08	100.006	100.036	100.006	100.035
2015/05/11	100.019	100.039	100.018	100.039
2015/05/12	100.029	100.040	100.025	100.039
2015/05/13	100.037	100.037	100.010	100.027
2015/05/14	100.023	100.023	100.007	100.012
2015/05/15	100.006	100.009	99.996	100.004
2015/05/18	99.994	99.994	99.954	99.977
2015/05/19	99.963	99.972	99.941	99.954
2015/05/20	99.960	99.961	99.940	99.952
2015/05/21	99.970	99.990	99.970	99.982
2015/05/22	100.021	100.041	100.021	100.040
2015/05/25	100.037	100.037	100.019	100.035
2015/05/26	100.022	100.046	100.022	100.030
2015/05/27	100.018	100.022	100.000	100.019
2015/05/28	100.020	100.020	99.996	99.997
2015/05/29	99.997	99.999	99.936	99.991
2015/06/01	99.920	99.960	99.901	99.912
2015/06/02	99.911	99.911	99.810	99.894
2015/06/03	99.896	99.971	99.861	99.967
2015/06/04	99.995	100.030	99.956	100.029
2015/06/05	100.020	100.040	100.020	100.040
2015/06/08	100.010	100.030	100.010	100.027
2015/06/09	100.025	100.026	100.010	100.020
2015/06/10	100.001	100.005	99.995	100.002
2015/06/11	99.995	100.009	99.981	100.007
2015/06/12	99.970	100.005	99.970	100.000
