'511850'	财富宝E 	日线
日期	开盘	最高	最低	收盘
2016/07/18	99.985	99.996	99.985	99.995
2016/07/19	99.990	99.994	99.990	99.991
2016/07/20	99.993	99.994	99.990	99.991
2016/07/21	99.991	99.994	99.990	99.993
2016/07/22	99.994	99.999	99.994	99.996
2016/07/25	99.991	99.993	99.989	99.992
2016/07/26	99.992	99.995	99.992	99.994
2016/07/27	99.985	99.991	99.984	99.989
2016/07/28	99.986	99.996	99.986	99.996
2016/07/29	99.992	99.997	99.991	99.995
2016/08/01	99.990	99.994	99.988	99.992
2016/08/02	99.991	99.993	99.990	99.992
2016/08/03	99.990	99.996	99.990	99.995
2016/08/04	99.991	99.997	99.991	99.995
2016/08/05	100.000	100.003	99.996	100.003
2016/08/08	99.998	99.999	99.992	99.995
2016/08/09	99.995	99.999	99.993	99.998
2016/08/10	99.995	99.998	99.994	99.995
2016/08/11	99.995	99.997	99.992	99.996
2016/08/12	99.997	99.999	99.796	99.981
2016/08/15	99.995	99.995	99.985	99.987
2016/08/16	99.986	99.989	99.976	99.980
2016/08/17	99.995	99.995	99.988	99.991
2016/08/18	99.991	99.991	99.988	99.988
2016/08/19	99.996	100.000	99.996	99.998
2016/08/22	99.992	99.996	99.992	99.994
2016/08/23	99.991	99.997	99.991	99.992
2016/08/24	99.998	99.998	99.992	99.995
2016/08/25	99.991	99.996	99.990	99.992
2016/08/26	99.999	100.001	99.997	100.000
2016/08/29	99.997	99.997	99.991	99.994
2016/08/30	99.995	99.997	99.993	99.995
2016/08/31	99.998	99.998	99.995	99.995
2016/09/01	99.999	100.001	99.995	100.000
2016/09/02	99.998	100.003	99.998	100.000
2016/09/05	99.996	99.999	99.995	99.997
2016/09/06	99.996	100.001	99.995	99.997
2016/09/07	99.995	99.998	99.994	99.998
2016/09/08	99.999	99.999	99.995	99.998
2016/09/09	100.001	100.006	100.000	100.005
2016/09/12	99.999	99.999	99.990	99.994
2016/09/13	99.992	99.994	99.990	99.994
2016/09/14	100.004	100.019	100.004	100.012
2016/09/19	99.993	99.998	99.992	99.997
2016/09/20	99.991	100.000	99.991	99.999
2016/09/21	99.991	99.996	99.991	99.995
2016/09/22	99.993	99.995	99.990	99.993
2016/09/23	99.996	100.003	99.995	100.001
2016/09/26	99.991	100.005	99.989	99.989
2016/09/27	99.991	99.999	99.989	99.991
2016/09/28	99.994	99.994	99.991	99.992
2016/09/29	99.992	99.994	99.990	99.991
2016/09/30	100.030	100.050	100.000	100.029
2016/10/10	99.996	99.997	99.972	99.995
2016/10/11	99.994	99.994	99.987	99.993
2016/10/12	99.990	99.995	99.990	99.995
2016/10/13	99.992	99.996	99.989	99.996
2016/10/14	99.997	100.005	99.997	100.002
2016/10/17	99.995	99.998	99.988	99.996
2016/10/18	99.996	99.996	99.991	99.994
2016/10/19	99.991	99.997	99.990	99.993
2016/10/20	99.994	99.994	99.988	99.990
2016/10/21	100.007	100.007	99.993	99.995
2016/10/24	99.992	99.994	99.977	99.982
2016/10/25	99.984	100.000	99.974	99.985
2016/10/26	99.983	99.985	99.978	99.982
2016/10/27	99.985	99.985	99.951	99.961
2016/10/28	99.989	99.998	99.985	99.993
2016/10/31	99.990	99.992	99.981	99.989
2016/11/01	99.996	99.996	99.988	99.993
2016/11/02	99.992	100.003	99.991	100.003
2016/11/03	100.000	100.005	99.994	100.004
2016/11/04	100.004	100.015	99.998	100.013
2016/11/07	100.000	100.003	99.993	99.999
2016/11/08	99.995	100.015	99.990	100.014
2016/11/09	100.003	100.007	99.995	100.000
