'511880'	银华日利	日线
日期	开盘	最高	最低	收盘
2013/04/18	100.152	100.153	100.086	100.093
2013/04/19	100.090	100.145	100.051	100.133
2013/04/22	100.001	100.106	100.001	100.084
2013/04/23	100.085	100.095	100.001	100.029
2013/04/24	100.040	100.092	100.040	100.088
2013/04/25	100.088	100.104	100.010	100.099
2013/04/26	100.176	100.180	100.130	100.161
2013/05/02	100.168	100.219	100.168	100.218
2013/05/03	100.210	100.255	100.204	100.254
2013/05/06	100.226	100.263	100.213	100.262
2013/05/07	100.251	100.263	100.251	100.263
2013/05/08	100.263	100.266	100.260	100.266
2013/05/09	100.260	100.270	100.260	100.269
2013/05/10	100.273	100.286	100.273	100.286
2013/05/13	100.299	100.301	100.296	100.299
2013/05/14	100.299	100.305	100.299	100.305
2013/05/15	100.306	100.312	100.305	100.311
2013/05/16	100.311	100.317	100.311	100.317
2013/05/17	100.317	100.325	100.317	100.324
2013/05/20	100.325	100.345	100.250	100.324
2013/05/21	100.338	100.338	100.262	100.299
2013/05/22	100.300	100.328	100.299	100.321
2013/05/23	100.322	100.370	100.322	100.370
2013/05/24	100.370	100.378	100.352	100.377
2013/05/27	100.390	100.401	100.380	100.401
2013/05/28	100.402	100.410	100.397	100.405
2013/05/29	100.405	100.413	100.396	100.413
2013/05/30	100.413	100.413	100.410	100.413
2013/05/31	100.415	100.431	100.413	100.431
2013/06/03	100.400	100.450	100.400	100.450
2013/06/04	100.450	100.455	100.446	100.455
2013/06/05	100.455	100.463	100.455	100.463
2013/06/06	100.465	100.473	100.461	100.473
2013/06/07	100.485	100.491	100.485	100.490
2013/06/13	100.491	100.517	100.421	100.486
2013/06/14	100.487	100.521	100.480	100.511
2013/06/17	100.515	100.570	100.501	100.570
2013/06/18	100.528	100.577	100.528	100.575
2013/06/19	100.570	100.578	100.555	100.576
2013/06/20	100.562	100.585	100.560	100.563
2013/06/21	100.563	100.596	100.400	100.590
2013/06/24	100.589	100.589	100.200	100.523
2013/06/25	100.524	100.590	100.500	100.542
