'000016'	上证50  	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2004/01/02	996.99	1021.56	993.89	1011.34	8064652.00	5742750208
2004/01/05	1008.27	1060.98	1008.15	1060.80	14468180.00	10706459648
2004/01/06	1059.14	1086.69	1059.09	1075.65	16991334.00	12416990208
2004/01/07	1075.56	1095.84	1070.98	1086.30	13729419.00	10352529408
2004/01/08	1087.68	1108.29	1082.50	1102.66	10780427.00	8188919808
2004/01/09	1105.77	1115.46	1079.07	1081.78	13467442.00	10548440064
2004/01/12	1081.80	1117.50	1079.77	1116.79	10233943.00	8376560128
2004/01/13	1120.14	1123.65	1089.63	1102.34	9837189.00	7989279744
2004/01/14	1101.44	1101.66	1076.86	1079.72	7120499.00	5343569920
2004/01/15	1078.53	1088.67	1070.72	1073.97	6179207.00	4755870208
2004/01/16	1076.63	1087.81	1067.84	1083.65	7174167.00	5520309760
2004/01/29	1086.65	1101.02	1084.45	1100.60	5791230.00	4529580032
2004/01/30	1102.17	1103.69	1066.44	1067.55	7761118.00	5943969792
2004/02/02	1107.49	1116.31	1069.96	1091.72	15432922.00	11668199424
2004/02/03	1091.86	1103.24	1084.39	1102.95	8411107.00	6827910144
2004/02/04	1104.74	1126.82	1104.74	1126.62	7148542.00	6150569984
2004/02/05	1135.61	1136.42	1118.16	1127.89	9774314.00	8521829888
2004/02/06	1125.48	1139.08	1108.90	1122.08	11140337.00	9086949376
2004/02/09	1122.28	1134.91	1122.27	1134.61	8598305.00	7038850048
2004/02/10	1137.71	1141.99	1116.92	1120.96	8662780.00	7084270080
2004/02/11	1121.80	1123.76	1100.23	1110.06	9246320.00	7161099776
2004/02/12	1110.83	1122.48	1092.29	1094.11	9581597.00	7735860224
2004/02/13	1094.00	1105.81	1088.85	1096.36	6904821.00	5758470144
2004/02/16	1098.85	1119.96	1098.85	1116.19	5582548.00	4382649856
2004/02/17	1127.09	1132.71	1121.27	1123.61	8815897.00	7856929792
2004/02/18	1123.70	1136.53	1119.62	1129.27	8093711.00	7208800256
2004/02/19	1130.39	1138.08	1119.66	1122.38	7130805.00	6217180160
2004/02/20	1122.93	1125.37	1112.94	1124.66	5988759.00	5258599936
2004/02/23	1126.23	1129.52	1092.01	1093.13	8802509.00	7258270208
2004/02/24	1090.25	1095.93	1072.32	1093.10	8449382.00	6881090048
2004/02/25	1094.43	1104.34	1067.12	1070.36	8064055.00	6373120000
2004/02/26	1068.12	1080.23	1061.19	1079.89	8100890.00	6041580032
2004/02/27	1081.71	1090.89	1079.93	1088.72	7293069.00	5654380032
2004/03/01	1089.65	1095.23	1076.07	1094.24	6441715.00	5297529856
2004/03/02	1096.10	1099.71	1086.72	1093.39	5577318.00	4608229888
2004/03/03	1093.35	1093.74	1067.94	1072.63	5214819.00	4177169920
2004/03/04	1070.90	1079.26	1061.88	1078.34	4810433.00	3854360064
2004/03/05	1080.33	1083.14	1070.30	1071.58	3365027.00	2754909952
2004/03/08	1070.11	1075.74	1056.04	1057.10	4599849.00	3706589952
2004/03/09	1057.35	1075.22	1056.88	1061.15	6918021.00	4876680192
2004/03/10	1062.97	1091.34	1062.97	1091.09	6113973.00	4768359936
2004/03/11	1092.74	1102.22	1086.54	1095.56	5761791.00	4817169920
2004/03/12	1096.34	1102.12	1088.44	1099.08	5236097.00	4158680064
2004/03/15	1100.40	1134.28	1100.14	1131.67	10252069.00	8500639744
2004/03/16	1136.27	1139.48	1127.85	1135.57	7329359.00	6223969792
2004/03/17	1136.45	1139.27	1124.60	1135.16	5489802.00	4842840064
2004/03/18	1134.92	1141.80	1110.31	1111.84	6869805.00	5785900032
2004/03/19	1110.44	1130.26	1107.10	1129.77	5885994.00	4782870016
2004/03/22	1130.86	1141.81	1126.19	1134.78	5093686.00	4319529984
2004/03/23	1133.99	1134.12	1115.67	1121.33	5587535.00	4644460032
2004/03/24	1120.20	1125.06	1109.33	1115.51	4800139.00	4213860096
2004/03/25	1114.74	1126.18	1108.17	1115.23	4609216.00	3777129984
2004/03/26	1115.49	1118.72	1105.55	1112.78	5394547.00	4629499904
2004/03/29	1112.27	1115.05	1100.42	1101.65	5336270.00	4156400128
2004/03/30	1100.79	1106.01	1093.11	1101.27	4158677.00	3465939968
2004/03/31	1102.28	1113.73	1097.86	1108.54	4247860.00	3468940032
2004/04/01	1109.72	1124.25	1108.91	1123.43	4682707.00	3975830016
2004/04/02	1125.36	1133.43	1122.64	1127.80	5788954.00	4954570240
2004/04/05	1128.50	1129.81	1112.29	1118.27	6259749.00	5142210048
2004/04/06	1117.88	1124.01	1106.60	1123.85	5545980.00	4525590016
2004/04/07	1124.25	1125.63	1116.12	1117.44	4674499.00	4104679936
2004/04/08	1117.11	1118.47	1109.77	1112.83	5758736.00	4997159936
2004/04/09	1113.72	1119.14	1083.33	1088.15	6921966.00	5577010176
2004/04/12	1082.44	1087.47	1071.11	1080.08	5021174.00	3920290048
2004/04/13	1081.05	1087.32	1070.84	1072.72	4958853.00	3738540032
2004/04/14	1072.19	1074.62	1052.91	1065.68	4838037.00	3806040064
2004/04/15	1066.18	1072.23	1053.07	1055.88	3601203.00	2762240000
2004/04/16	1056.79	1071.55	1049.02	1071.22	4437637.00	3409110016
2004/04/19	1072.49	1073.39	1052.50	1054.73	4078683.00	2964930048
2004/04/20	1053.43	1059.41	1045.20	1052.24	3393887.00	2559569920
2004/04/21	1053.37	1061.65	1040.37	1043.53	4492804.00	3406299904
2004/04/22	1042.47	1055.21	1039.35	1050.75	4135646.00	3094109952
2004/04/23	1048.23	1048.26	1032.86	1034.40	3236349.00	2428800000
2004/04/26	1034.04	1041.59	1030.05	1038.99	2507985.00	1895929984
2004/04/27	1040.91	1045.24	1027.55	1031.21	3599316.00	2718650112
