'399005'	中小板指	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2006/01/24	1457.21	1471.20	1446.43	1459.19	906549.00	788028992
2006/01/25	1456.08	1463.72	1414.45	1430.01	1156780.00	924779008
2006/02/06	1433.44	1482.33	1433.44	1482.33	812891.00	731032000
2006/02/07	1483.45	1485.68	1450.15	1463.91	1026231.00	935385024
2006/02/08	1459.66	1469.49	1446.54	1469.49	609552.00	537168000
2006/02/09	1470.10	1481.80	1463.43	1465.88	729756.00	622900992
2006/02/10	1468.71	1485.81	1467.04	1485.81	780154.00	641062016
2006/02/13	1488.58	1511.61	1488.58	1508.13	778499.00	711721984
2006/02/14	1508.66	1529.09	1506.20	1527.94	682076.00	666246976
2006/02/15	1529.76	1533.49	1513.07	1516.94	730321.00	648380992
2006/02/16	1517.42	1517.79	1461.28	1465.29	953169.00	806921024
2006/02/17	1463.23	1473.73	1440.04	1440.04	790989.00	692038976
2006/02/20	1432.93	1436.11	1395.42	1396.41	799557.00	645323008
2006/02/21	1389.61	1434.70	1383.95	1434.70	699578.00	554539008
2006/02/22	1437.22	1445.27	1423.45	1425.00	669154.00	536820992
2006/02/23	1421.51	1425.80	1400.00	1413.08	597853.00	461190016
2006/02/24	1412.93	1445.91	1412.93	1442.34	666668.00	521732992
2006/02/27	1444.13	1444.14	1416.22	1423.14	498620.00	415198016
2006/02/28	1421.18	1438.80	1402.16	1438.80	482814.00	430260992
2006/03/01	1439.09	1477.52	1435.52	1472.62	629413.00	608708992
2006/03/02	1472.09	1472.09	1424.47	1432.49	640209.00	571686976
2006/03/03	1430.01	1440.65	1414.38	1439.11	607480.00	543820992
2006/03/06	1439.78	1447.47	1429.66	1436.69	446774.00	388392992
2006/03/07	1435.28	1435.28	1389.86	1391.45	509867.00	426459008
2006/03/08	1387.41	1405.07	1377.71	1399.76	398050.00	339001984
2006/03/09	1398.59	1406.91	1391.04	1394.22	409678.00	299505984
2006/03/10	1395.38	1404.74	1389.64	1397.12	296558.00	241283008
2006/03/13	1393.58	1410.59	1389.02	1404.17	319889.00	269326016
2006/03/14	1403.57	1409.25	1398.75	1406.65	314848.00	265182000
2006/03/15	1405.41	1430.89	1404.30	1429.41	450613.00	405990016
2006/03/16	1429.59	1432.05	1419.59	1431.95	373705.00	332352992
2006/03/17	1433.13	1435.05	1420.22	1424.81	362333.00	291022016
2006/03/20	1426.15	1438.36	1413.73	1438.36	437201.00	353040000
2006/03/21	1439.13	1452.00	1435.12	1443.41	539900.00	426918016
2006/03/22	1443.60	1464.01	1438.34	1464.01	492729.00	403478016
2006/03/23	1462.73	1492.53	1462.73	1488.75	826167.00	667809984
2006/03/24	1488.72	1491.38	1469.37	1473.55	657308.00	539080000
2006/03/27	1476.54	1491.65	1469.74	1491.65	714107.00	524956992
2006/03/28	1494.35	1507.82	1490.81	1504.68	619008.00	558700032
2006/03/29	1504.50	1522.46	1501.67	1510.23	726755.00	640011008
2006/03/30	1508.17	1514.26	1489.33	1490.96	627525.00	552113984
2006/03/31	1488.63	1506.64	1481.98	1506.00	557902.00	510032000
2006/04/03	1505.25	1549.39	1505.25	1549.39	801232.00	772262016
2006/04/04	1556.17	1578.79	1546.09	1578.79	827789.00	849561984
2006/04/05	1582.28	1622.68	1582.28	1608.91	1133894.00	1045017024
2006/04/06	1607.51	1620.66	1592.90	1597.17	967368.00	887545984
2006/04/07	1596.53	1599.35	1574.99	1591.73	818489.00	734208000
2006/04/10	1595.62	1631.23	1595.62	1627.15	987783.00	905923968
2006/04/11	1629.25	1635.92	1617.87	1627.91	958736.00	829168000
2006/04/12	1627.96	1641.44	1620.77	1627.92	1080280.00	870376000
2006/04/13	1626.03	1643.77	1582.75	1582.75	1110266.00	985417024
2006/04/14	1571.25	1632.16	1569.84	1631.31	1026058.00	892588992
2006/04/17	1630.53	1685.67	1622.90	1671.56	1634015.00	1373035008
