'000932'	中证消费	日线
日期	开盘	最高	最低	收盘
2009/07/03	4395.66	4467.89	4384.52	4443.05
2009/07/06	4446.92	4452.72	4389.31	4435.52
2009/07/07	4429.97	4523.88	4418.31	4476.95
2009/07/08	4443.02	4506.67	4427.63	4494.12
2009/07/09	4498.51	4606.12	4498.51	4606.12
2009/07/10	4613.41	4675.06	4612.20	4647.15
2009/07/13	4684.20	4743.66	4684.20	4726.38
2009/07/14	4782.58	4815.55	4751.52	4815.50
2009/07/15	4819.49	4822.51	4764.30	4793.46
2009/07/16	4810.80	4821.99	4743.54	4765.28
2009/07/17	4755.55	4784.37	4716.53	4757.14
2009/07/20	4763.55	4806.32	4750.75	4805.80
2009/07/21	4813.54	4846.07	4736.95	4747.85
2009/07/22	4745.85	4800.35	4744.52	4800.35
2009/07/23	4807.44	4853.72	4779.82	4852.47
2009/07/24	4858.46	4867.31	4729.78	4791.92
2009/07/27	4790.62	4877.26	4790.62	4877.00
2009/07/28	4879.99	4977.79	4869.50	4954.38
2009/07/29	4944.70	4964.82	4580.85	4711.68
2009/07/30	4742.33	4794.88	4609.72	4741.64
2009/07/31	4772.28	4844.67	4749.74	4844.62
2009/08/03	4890.81	5005.86	4890.81	5003.48
2009/08/04	5015.98	5105.50	4922.97	5104.21
2009/08/05	5120.73	5218.11	5099.13	5184.85
2009/08/06	5138.97	5166.03	5020.63	5088.63
2009/08/07	5090.18	5141.19	4905.66	4935.44
2009/08/10	4991.51	5028.20	4873.04	4953.58
2009/08/11	4966.61	5057.59	4930.72	5032.45
2009/08/12	5021.29	5065.59	4817.29	4839.36
2009/08/13	4832.28	4865.50	4749.60	4801.93
2009/08/14	4803.15	4803.33	4570.80	4572.48
2009/08/17	4518.21	4551.35	4296.02	4307.80
2009/08/18	4280.45	4394.48	4270.98	4383.31
2009/08/19	4392.37	4441.77	4220.38	4254.46
2009/08/20	4252.70	4396.47	4250.11	4395.56
2009/08/21	4398.50	4520.49	4375.04	4518.74
2009/08/24	4531.41	4606.42	4489.19	4589.42
2009/08/25	4587.36	4587.36	4392.56	4513.86
2009/08/26	4483.97	4684.09	4466.72	4659.37
2009/08/27	4649.41	4768.46	4630.01	4744.83
2009/08/28	4734.30	4757.69	4667.54	4672.49
2009/08/31	4612.65	4612.65	4408.14	4415.19
2009/09/01	4382.97	4464.07	4334.71	4382.90
2009/09/02	4347.07	4384.73	4301.35	4377.42
2009/09/03	4370.74	4550.13	4370.74	4547.84
2009/09/04	4533.25	4672.02	4507.12	4645.33
2009/09/07	4667.23	4849.93	4667.23	4791.38
2009/09/08	4768.60	4875.00	4732.55	4851.99
2009/09/09	4845.31	4886.23	4722.96	4797.32
2009/09/10	4759.91	4782.36	4694.10	4753.72
2009/09/11	4737.45	4828.78	4735.09	4811.50
2009/09/14	4834.78	4946.99	4829.47	4938.94
2009/09/15	4941.13	4960.93	4880.93	4940.52
2009/09/16	4930.10	4933.30	4826.69	4896.64
2009/09/17	4895.93	4970.44	4895.93	4962.28
2009/09/18	4967.23	4976.69	4795.21	4831.88
2009/09/21	4792.85	4890.03	4709.10	4888.93
2009/09/22	4875.35	4964.48	4853.30	4853.30
2009/09/23	4829.65	4870.60	4695.09	4709.95
2009/09/24	4688.99	4698.04	4555.02	4652.59
2009/09/25	4647.03	4693.99	4615.38	4657.38
2009/09/28	4666.11	4710.26	4561.33	4575.54
2009/09/29	4581.48	4598.16	4457.28	4509.76
2009/09/30	4524.06	4572.74	4516.42	4544.33
2009/10/09	4597.96	4724.66	4597.36	4721.02
2009/10/12	4734.32	4794.60	4710.80	4756.02
2009/10/13	4751.04	4789.84	4738.98	4787.95
2009/10/14	4800.53	4829.63	4761.20	4772.77
2009/10/15	4792.43	4806.58	4707.14	4719.33
2009/10/16	4734.09	4754.48	4669.66	4737.26
2009/10/19	4751.99	4833.93	4741.68	4833.93
2009/10/20	4854.29	4971.08	4829.57	4971.00
2009/10/21	4952.91	4952.91	4892.28	4893.57
2009/10/22	4887.18	4931.85	4867.01	4914.96
2009/10/23	4916.06	4967.14	4915.42	4958.46
2009/10/26	4977.54	4982.53	4899.35	4945.55
2009/10/27	4916.75	4916.75	4832.53	4832.70
2009/10/28	4823.66	4893.24	4813.82	4892.28
2009/10/29	4831.93	4889.01	4806.00	4847.29
2009/10/30	4901.93	4954.62	4865.23	4919.37
2009/11/02	4837.29	5071.88	4819.88	5071.14
2009/11/03	5088.43	5161.20	5073.64	5144.75
2009/11/04	5145.11	5231.07	5130.64	5221.61
2009/11/05	5210.87	5247.11	5187.94	5239.15
2009/11/06	5266.90	5280.25	5191.61	5203.97
2009/11/09	5209.50	5264.01	5174.91	5263.89
2009/11/10	5277.88	5351.70	5270.96	5317.33
2009/11/11	5307.25	5372.58	5283.00	5353.86
2009/11/12	5365.35	5478.86	5365.35	5423.72
2009/11/13	5419.68	5510.12	5396.35	5506.04
2009/11/16	5537.25	5656.47	5537.25	5623.98
2009/11/17	5635.15	5646.64	5564.11	5626.03
2009/11/18	5623.46	5682.43	5600.43	5682.43
2009/11/19	5685.63	5724.93	5659.45	5715.56
2009/11/20	5687.42	5754.38	5666.88	5734.40
2009/11/23	5742.62	5914.43	5742.11	5913.72
2009/11/24	5940.69	5964.21	5623.87	5644.46
2009/11/25	5621.59	5859.14	5599.54	5854.50
2009/11/26	5860.11	5871.50	5532.00	5556.76
2009/11/27	5482.46	5596.14	5398.00	5443.10
2009/11/30	5501.31	5783.75	5501.31	5781.71
2009/12/01	5777.93	5963.94	5753.85	5932.46
2009/12/02	5939.60	5952.64	5879.82	5925.20
2009/12/03	5911.26	5980.43	5865.24	5968.06
2009/12/04	5963.44	5963.71	5694.08	5815.36
2009/12/07	5890.32	5947.23	5868.12	5938.36
2009/12/08	5935.16	5938.03	5815.72	5879.02
2009/12/09	5828.46	5876.82	5791.94	5812.73
2009/12/10	5836.70	5896.68	5820.76	5896.09
2009/12/11	5913.93	5993.42	5904.61	5928.92
2009/12/14	5927.74	5928.91	5783.17	5882.48
2009/12/15	5879.67	5915.67	5864.87	5895.83
2009/12/16	5877.44	5893.80	5823.08	5836.84
2009/12/17	5837.53	5846.36	5642.32	5651.63
2009/12/18	5607.02	5619.74	5469.79	5473.43
2009/12/21	5468.64	5592.13	5468.45	5592.10
2009/12/22	5602.16	5621.42	5460.56	5478.49
2009/12/23	5476.80	5593.85	5476.80	5593.85
2009/12/24	5600.76	5802.84	5596.70	5789.14
2009/12/25	5786.55	5813.28	5748.09	5789.61
2009/12/28	5813.45	5855.32	5806.54	5854.04
2009/12/29	5860.24	5869.65	5782.32	5868.17
2009/12/30	5858.69	5858.69	5759.33	5834.20
2009/12/31	5837.37	5909.72	5829.21	5909.72
2010/01/04	5964.63	5994.66	5922.61	5927.72
2010/01/05	5931.78	5962.06	5873.04	5958.50
2010/01/06	5946.42	5946.66	5886.38	5887.32
2010/01/07	5875.95	5882.35	5707.77	5743.23
2010/01/08	5722.30	5788.98	5674.66	5788.82
2010/01/11	5825.64	5852.83	5734.43	5761.49
2010/01/12	5751.01	5918.93	5741.90	5918.52
2010/01/13	5817.13	5971.47	5794.27	5909.94
2010/01/14	5914.39	6111.48	5914.30	6096.68
2010/01/15	6108.20	6139.38	6075.24	6110.29
2010/01/18	6112.55	6226.34	6105.15	6219.04
2010/01/19	6228.18	6231.57	6165.51	6188.05
2010/01/20	6191.60	6193.94	5975.54	5996.53
2010/01/21	5980.93	6033.18	5946.75	6018.87
2010/01/22	5959.64	5960.81	5767.88	5855.01
2010/01/25	5840.78	5891.37	5815.49	5823.38
2010/01/26	5839.52	5862.86	5624.62	5672.78
2010/01/27	5674.29	5711.34	5565.11	5621.07
2010/01/28	5615.67	5730.01	5581.96	5728.88
2010/01/29	5706.61	5861.02	5679.91	5814.60
2010/02/01	5837.83	5871.87	5768.10	5811.78
2010/02/02	5819.76	5852.39	5726.40	5728.86
2010/02/03	5720.84	5747.99	5571.48	5741.07
2010/02/04	5734.57	5844.42	5708.84	5808.90
2010/02/05	5735.14	5778.97	5693.40	5740.00
2010/02/08	5725.17	5788.21	5722.03	5766.25
2010/02/09	5760.69	5785.67	5719.33	5747.90
2010/02/10	5775.87	5795.85	5744.69	5791.66
2010/02/11	5795.48	5826.35	5773.53	5785.96
2010/02/12	5793.89	5832.61	5786.78	5832.06
2010/02/22	5831.26	5867.58	5815.09	5825.15
2010/02/23	5822.46	5827.58	5738.36	5826.44
2010/02/24	5809.18	5910.77	5790.25	5910.00
2010/02/25	5910.71	5978.18	5910.16	5975.70
2010/02/26	5968.28	5994.75	5937.32	5947.88
2010/03/01	5944.41	5998.32	5941.15	5991.21
2010/03/02	6008.85	6017.32	5937.13	5977.50
2010/03/03	5981.35	6063.69	5940.67	6063.33
2010/03/04	6068.12	6068.12	5820.71	5847.76
2010/03/05	5850.66	5890.41	5803.56	5844.63
2010/03/08	5858.45	5872.57	5831.08	5852.64
2010/03/09	5864.11	5865.21	5811.32	5851.27
