'000827'	中证环保	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2012/01/04	1006.94	1007.56	970.89	970.89	4092313.00	4565331456
2012/01/05	963.67	963.67	924.74	926.83	4725051.00	5254737920
2012/01/06	922.33	932.66	904.81	931.95	4202070.00	4410152448
2012/01/09	931.64	970.49	924.62	970.49	5577689.00	5969426432
2012/01/10	968.90	1010.39	968.90	1009.54	8289757.00	9081151488
2012/01/11	1007.70	1022.67	1003.38	1011.27	7112355.00	7839668736
2012/01/12	1008.07	1026.21	1006.56	1013.00	6475522.00	7505382912
2012/01/13	1011.79	1011.79	964.66	969.01	6257583.00	7008820224
2012/01/16	957.64	958.65	930.05	930.05	4069635.00	4848762880
2012/01/17	929.11	982.52	926.30	982.52	6189696.00	6985980928
2012/01/18	983.85	990.64	950.14	953.63	6204368.00	7064967168
2012/01/19	951.91	967.28	948.61	963.35	4816137.00	5458182656
2012/01/20	966.10	977.78	966.10	975.66	4456498.00	5029069312
2012/01/30	979.72	983.68	971.67	971.81	3924197.00	4375252480
2012/01/31	968.64	968.64	955.70	964.91	3243407.00	3615978496
2012/02/01	964.46	976.13	959.53	961.40	3851420.00	4384361984
2012/02/02	962.70	980.03	960.24	980.03	4082093.00	4534745600
2012/02/03	979.51	1002.60	978.86	1001.42	6589879.00	7407427584
2012/02/06	1004.26	1014.09	1002.02	1012.34	7024192.00	7866436608
2012/02/07	1006.49	1006.49	985.58	990.97	5383403.00	5655188480
2012/02/08	989.29	1018.59	988.39	1018.59	5931971.00	6624590336
2012/02/09	1017.64	1036.88	1017.64	1027.21	8310227.00	9263960064
2012/02/10	1025.14	1034.53	1022.87	1031.50	6940471.00	7465559552
2012/02/13	1023.26	1051.07	1022.29	1048.28	7730062.00	8627803136
2012/02/14	1047.30	1048.74	1038.72	1045.15	5755356.00	6394396160
2012/02/15	1044.20	1064.51	1039.59	1064.51	8219659.00	8702949376
2012/02/16	1063.00	1070.32	1054.13	1065.12	8519360.00	8995854336
2012/02/17	1066.96	1067.90	1050.87	1059.24	7146512.00	7594002944
2012/02/20	1072.37	1072.37	1059.09	1059.30	6890664.00	8025575936
2012/02/21	1059.40	1076.45	1048.90	1076.45	7351331.00	8490793472
2012/02/22	1076.55	1096.97	1076.18	1096.97	9497669.00	11270806528
2012/02/23	1095.12	1100.71	1085.48	1096.55	8110313.00	9324183552
2012/02/24	1096.06	1109.75	1095.85	1109.75	9622634.00	10823619584
2012/02/27	1114.51	1125.23	1108.77	1110.03	11465757.00	13271324672
2012/02/28	1105.30	1109.64	1089.91	1104.28	10064933.00	11479947264
2012/02/29	1101.87	1103.82	1088.05	1088.38	7021135.00	8151662592
2012/03/01	1086.67	1104.42	1086.67	1097.75	6158572.00	7102293504
2012/03/02	1100.78	1120.63	1100.78	1120.63	8328396.00	9531614208
2012/03/05	1123.84	1128.07	1117.80	1117.82	8450578.00	9930567680
2012/03/06	1114.66	1114.66	1096.29	1103.13	8291285.00	9265413120
2012/03/07	1091.82	1111.93	1091.82	1101.57	7457406.00	8264039424
2012/03/08	1103.94	1122.87	1103.94	1119.29	7793006.00	9230221312
2012/03/09	1121.93	1133.25	1116.78	1133.25	7487529.00	9134624768
2012/03/12	1136.24	1141.06	1128.54	1138.41	7231130.00	9074921472
2012/03/13	1138.41	1153.77	1138.41	1153.77	9047110.00	11482372096
2012/03/14	1157.30	1160.80	1091.00	1098.50	12397541.00	15329036288
2012/03/15	1095.45	1104.06	1064.43	1078.87	7726416.00	9208512512
2012/03/16	1081.39	1104.31	1077.18	1104.31	6406229.00	7811168768
2012/03/19	1102.19	1119.23	1096.44	1119.23	6243541.00	7950983680
2012/03/20	1119.55	1119.55	1093.49	1093.49	5857994.00	7417053696
2012/03/21	1099.96	1103.48	1081.90	1097.55	5746871.00	6880579072
2012/03/22	1096.91	1101.33	1089.11	1093.73	5612557.00	6943138304
2012/03/23	1089.44	1089.44	1064.82	1068.16	5204739.00	6108118528
2012/03/26	1064.85	1068.80	1055.06	1059.71	3706318.00	4428292096
2012/03/27	1064.37	1069.22	1057.31	1058.50	3838965.00	4665658368
2012/03/28	1054.70	1054.70	1007.01	1008.42	5693127.00	6266044416
2012/03/29	1004.42	1004.42	978.93	985.82	4600381.00	5016486400
2012/03/30	984.86	990.18	975.99	985.10	3821234.00	4141750784
2012/04/05	984.93	1011.58	984.93	1011.58	4291086.00	4770868736
2012/04/06	1010.56	1019.91	1009.34	1015.43	4108115.00	4612487168
2012/04/09	1012.39	1012.39	1000.27	1000.27	4183433.00	4569482752
2012/04/10	995.04	1009.97	979.93	1009.97	4611713.00	4976802816
2012/04/11	999.26	1013.74	997.59	1012.10	4284653.00	4583241216
2012/04/12	1013.40	1032.57	1011.33	1032.57	5630487.00	5863289344
2012/04/13	1036.63	1047.18	1035.50	1042.95	6439077.00	6908751360
2012/04/16	1036.53	1046.96	1035.38	1043.00	5441240.00	5498775040
2012/04/17	1042.59	1047.23	1029.21	1029.59	5793507.00	5819283456
2012/04/18	1031.87	1051.44	1031.21	1051.38	6494485.00	6557709312
2012/04/19	1052.40	1057.97	1048.90	1053.30	5936211.00	6697889280
2012/04/20	1051.45	1058.02	1045.77	1055.75	6033019.00	6489181184
2012/04/23	1053.49	1053.49	1029.35	1032.67	6332807.00	6899826688
2012/04/24	1024.33	1033.64	995.24	1015.93	6332374.00	6645043200
2012/04/25	1014.80	1027.43	1013.31	1027.43	6130268.00	6212006912
2012/04/26	1028.28	1030.03	1022.38	1024.45	6537720.00	6701752320
2012/04/27	1022.35	1023.85	1014.76	1018.51	4361980.00	4449871360
2012/05/02	1031.03	1036.69	1024.63	1033.87	5962515.00	6359068672
2012/05/03	1031.59	1035.60	1025.61	1035.60	5067863.00	5364436992
2012/05/04	1040.03	1050.04	1040.03	1048.73	6640562.00	7426316800
2012/05/07	1044.15	1067.65	1044.15	1067.65	7861777.00	8858179584
2012/05/08	1070.30	1075.26	1065.70	1069.28	8079028.00	8875492352
2012/05/09	1064.08	1064.08	1049.78	1049.78	7882740.00	7844933632
2012/05/10	1048.29	1054.54	1046.96	1050.94	4856484.00	5113168896
2012/05/11	1050.79	1056.85	1046.36	1046.37	4857505.00	5328045056
2012/05/14	1053.50	1053.50	1042.53	1044.05	5443302.00	5831480320
2012/05/15	1037.56	1039.96	1029.26	1039.96	5249938.00	5675958272
2012/05/16	1038.98	1041.89	1030.19	1030.59	4069803.00	4461399552
2012/05/17	1031.03	1044.04	1029.25	1042.54	5023979.00	5197867008
2012/05/18	1035.79	1038.64	1026.43	1027.15	5295933.00	5388833792
2012/05/21	1027.06	1028.07	1012.26	1020.36	4238972.00	4535200256
2012/05/22	1023.52	1033.62	1023.52	1033.62	4161020.00	4449276416
2012/05/23	1032.25	1033.73	1019.48	1025.92	4450551.00	4897044480
2012/05/24	1024.06	1034.98	1022.18	1023.27	5424603.00	5973131264
2012/05/25	1023.87	1028.59	1011.71	1014.19	4632725.00	5198881792
2012/05/28	1011.52	1025.53	995.57	1025.53	5259069.00	5569688576
2012/05/29	1024.68	1044.39	1024.68	1044.39	7091758.00	7913225216
2012/05/30	1043.82	1062.92	1043.82	1058.66	8139753.00	9012865024
2012/05/31	1054.41	1066.11	1054.08	1060.28	6886810.00	7575233536
2012/06/01	1059.70	1062.35	1045.99	1049.42	5287679.00	5793875456
2012/06/04	1030.94	1035.97	1012.86	1012.93	5449903.00	5706273792
2012/06/05	1014.20	1018.99	1008.24	1013.47	4211014.00	4099985664
2012/06/06	1015.22	1021.32	1008.00	1011.26	3795529.00	3672983040
2012/06/07	1022.21	1025.54	1007.52	1009.09	3887269.00	4077609984
2012/06/08	1020.45	1020.45	1006.35	1008.43	3930049.00	4237939456
2012/06/11	1008.58	1038.99	1008.58	1038.99	5868512.00	6815560704
2012/06/12	1033.37	1033.86	1026.86	1027.96	4568528.00	5288365568
2012/06/13	1029.19	1047.96	1029.19	1047.96	5850140.00	6318995456
2012/06/14	1047.63	1054.71	1043.04	1044.91	6106866.00	7577747968
2012/06/15	1045.15	1048.41	1032.32	1048.38	6319503.00	7153249792
2012/06/18	1052.22	1062.14	1052.22	1059.83	6712783.00	7804289024
2012/06/19	1057.11	1057.11	1045.57	1046.70	5511375.00	6234295808
2012/06/20	1049.77	1052.73	1043.51	1047.47	4326876.00	4805303808
2012/06/21	1045.63	1045.63	1023.51	1029.55	4857191.00	5558259712
2012/06/25	1025.79	1025.79	1002.94	1002.96	4836484.00	5343455744
2012/06/26	996.37	1002.92	984.97	998.88	4246285.00	4586786304
