
'399805'	互联金融	日线
日期	开盘	最高	最低	收盘
2012/07/02	1002.23	1010.33	1000.31	1007.26
2012/07/03	1007.02	1016.96	1003.33	1008.43
2012/07/04	1008.69	1012.42	1001.15	1003.79
2012/07/05	999.93	999.93	980.41	981.98
2012/07/06	986.37	997.97	973.92	997.18
2012/07/09	990.78	994.22	968.52	968.52
2012/07/10	966.47	967.85	953.78	958.26
2012/07/11	954.79	961.62	954.01	961.62
2012/07/12	957.22	973.21	951.11	971.21
2012/07/13	967.80	974.19	964.05	965.67
2012/07/16	964.14	964.14	927.56	927.86
2012/07/17	924.54	934.04	922.03	933.11
2012/07/18	931.26	937.89	918.77	937.89
2012/07/19	934.28	952.65	934.28	944.80
2012/07/20	942.99	946.54	936.52	937.74
2012/07/23	929.60	929.60	916.88	925.15
2012/07/24	919.79	933.65	919.79	929.84
2012/07/25	927.94	933.33	923.91	923.91
2012/07/26	925.66	933.89	920.70	921.34
2012/07/27	924.35	931.22	922.00	930.77
2012/07/30	929.59	932.84	910.47	910.47
2012/07/31	909.25	909.29	895.74	896.21
2012/08/01	896.31	913.81	896.31	908.61
2012/08/02	908.02	914.34	900.61	903.76
2012/08/03	905.64	918.01	902.09	918.01
2012/08/06	914.97	939.75	914.97	939.37
2012/08/07	939.38	945.31	938.89	943.56
2012/08/08	943.19	944.28	935.30	941.35
2012/08/09	940.00	949.77	934.74	949.77
2012/08/10	950.33	950.84	945.00	947.72
2012/08/13	945.12	945.12	924.39	924.39
2012/08/14	923.59	928.25	910.60	928.25
2012/08/15	926.74	926.74	917.34	919.44
2012/08/16	915.31	918.09	910.37	911.54
2012/08/17	911.78	914.83	903.97	912.61
2012/08/20	906.19	913.79	901.38	912.21
2012/08/21	912.66	933.01	910.19	929.00
2012/08/22	929.11	929.19	917.45	921.62
2012/08/23	921.25	925.57	917.02	924.13
2012/08/24	921.31	921.39	902.23	902.23
2012/08/27	899.24	899.24	882.76	882.88
2012/08/28	882.39	896.18	882.39	893.78
2012/08/29	891.44	900.45	886.78	887.20
2012/08/30	884.07	892.51	868.56	880.36
2012/08/31	876.80	885.72	874.71	882.07
2012/09/03	881.38	899.20	881.28	896.90
2012/09/04	896.51	906.73	891.59	893.91
2012/09/05	890.39	905.35	890.39	902.00
2012/09/06	902.47	912.05	900.52	912.05
2012/09/07	918.23	948.02	918.21	941.12
2012/09/10	940.66	951.71	937.51	946.13
2012/09/11	943.62	949.34	942.14	948.23
2012/09/12	952.54	952.54	940.81	950.19
2012/09/13	951.21	954.12	938.42	938.42
2012/09/14	946.81	949.13	934.83	941.27
2012/09/17	938.98	939.70	910.71	911.03
2012/09/18	908.31	913.80	903.89	908.27
2012/09/19	910.62	922.28	910.62	919.34
2012/09/20	917.70	917.70	888.71	888.84
2012/09/21	885.57	888.25	876.12	877.71
2012/09/24	872.07	885.17	865.82	883.78
2012/09/25	881.07	884.92	870.33	873.61
2012/09/26	873.37	876.28	860.62	861.29
2012/09/27	860.44	890.84	860.44	885.58
2012/09/28	880.20	903.28	879.76	903.28
2012/10/08	902.32	907.17	893.80	899.46
2012/10/09	899.64	922.36	899.64	922.36
2012/10/10	920.45	930.25	919.68	929.34
2012/10/11	924.71	931.24	914.28	914.28
2012/10/12	916.84	924.20	902.96	912.38
2012/10/15	909.55	909.55	891.97	900.31
2012/10/16	899.16	908.66	898.49	900.30
2012/10/17	903.06	906.08	893.82	902.19
2012/10/18	903.38	917.83	903.38	916.55
2012/10/19	916.39	921.50	914.19	919.24
2012/10/22	915.64	927.29	915.50	927.29
2012/10/23	927.40	927.40	911.52	911.78
2012/10/24	906.80	912.04	904.71	906.27
2012/10/25	905.61	910.15	898.39	899.61
2012/10/26	898.48	898.48	876.85	881.77
2012/10/29	878.68	881.26	874.44	878.15
2012/10/30	874.89	880.06	870.66	872.35
2012/10/31	869.80	869.80	861.74	869.27
2012/11/01	869.52	887.45	869.52	885.93
2012/11/02	885.16	886.89	880.20	886.35
2012/11/05	885.93	887.76	878.90	881.12
2012/11/06	880.25	880.25	862.83	875.96
2012/11/07	874.69	877.68	870.58	872.74
2012/11/08	866.66	868.16	853.84	853.84
2012/11/09	852.51	855.56	847.83	851.18
2012/11/12	853.38	857.84	851.21	857.84
2012/11/13	859.50	859.50	843.26	845.69
2012/11/14	846.17	847.18	838.69	847.14
2012/11/15	842.39	843.96	832.19	832.19
2012/11/16	829.86	829.86	819.67	827.17
2012/11/19	826.11	828.39	815.29	828.39
2012/11/20	829.59	829.74	822.43	823.55
2012/11/21	822.74	835.21	817.77	835.21
2012/11/22	831.45	831.45	824.07	826.25
