'000978'	医药100	日线
日期	开盘	最高	最低	收盘
2005/01/04	997.47	997.47	981.83	982.19
2005/01/05	982.25	1001.13	982.25	998.75
2005/01/06	1000.47	1000.47	988.48	991.33
2005/01/07	989.43	1001.45	985.24	989.81
2005/01/10	988.69	1000.70	984.84	1000.70
2005/01/11	1001.99	1004.28	994.75	1001.18
2005/01/12	999.00	999.58	991.73	999.58
2005/01/13	999.41	1002.67	995.33	1001.54
2005/01/14	1001.55	1006.56	992.69	992.87
2005/01/17	985.87	985.87	968.34	971.08
2005/01/18	971.17	984.05	969.33	984.05
2005/01/19	983.90	983.90	974.02	976.07
2005/01/20	972.83	972.83	953.64	957.26
2005/01/21	956.02	977.61	944.25	977.61
2005/01/24	991.37	998.58	986.94	997.46
2005/01/25	993.85	993.85	977.63	988.14
2005/01/26	984.75	984.84	977.67	979.80
2005/01/27	978.96	978.96	968.78	968.93
2005/01/28	968.93	968.93	946.90	950.19
2005/01/31	947.21	947.21	917.22	918.51
2005/02/01	915.97	923.03	906.71	907.34
2005/02/02	906.60	955.87	906.60	955.87
2005/02/03	954.92	961.54	939.34	940.40
2005/02/04	940.46	959.88	938.95	957.18
2005/02/16	960.16	970.00	959.42	964.17
2005/02/17	963.05	969.61	957.32	969.61
2005/02/18	969.62	969.62	957.13	957.65
2005/02/21	957.86	974.72	957.86	974.72
2005/02/22	975.97	1000.48	974.13	1000.48
2005/02/23	1000.55	1009.64	992.81	1005.60
2005/02/24	1004.81	1011.42	1001.24	1011.42
2005/02/25	1011.25	1022.24	1010.95	1011.02
2005/02/28	1012.35	1013.86	1004.61	1009.28
2005/03/01	1008.27	1009.68	999.44	1008.24
2005/03/02	1008.61	1015.51	996.24	997.39
2005/03/03	996.04	1000.52	987.26	1000.38
2005/03/04	1000.24	1002.73	992.81	994.81
2005/03/07	994.64	998.51	991.45	995.03
2005/03/08	995.22	1022.43	995.22	1022.43
2005/03/09	1024.43	1030.23	1020.11	1024.78
2005/03/10	1024.64	1028.20	1000.13	1004.69
2005/03/11	1003.04	1010.30	996.61	1010.28
2005/03/14	1010.13	1017.41	992.39	1009.56
2005/03/15	1009.49	1010.02	996.86	998.52
2005/03/16	997.61	997.61	977.62	982.76
2005/03/17	982.06	986.30	973.98	974.02
2005/03/18	972.57	975.80	950.64	953.22
