'BY0'	布伦特原油	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数
2012/11/19	109.24	109.51	109.19	109.44	918.00	0	0
2012/11/20	111.80	111.85	109.01	110.49	236654.00	0	314046
2012/11/21	110.49	111.46	109.55	111.10	192505.00	0	314046
2012/11/22	110.97	111.17	110.11	110.55	55283.00	0	296359
2012/11/23	110.47	111.54	110.10	111.38	103820.00	0	302556
2012/11/26	111.16	111.48	110.27	110.77	134462.00	0	296402
2012/11/27	111.00	111.36	109.31	110.00	177981.00	0	290809
2012/11/28	109.95	110.17	108.44	109.64	192860.00	0	282016
2012/11/29	109.70	111.30	109.45	110.42	254893.00	0	282016
2012/11/30	110.35	111.34	110.25	111.19	162848.00	0	273597
2012/12/03	110.96	112.33	110.60	110.88	195633.00	0	238468
2012/12/04	110.92	110.92	109.15	109.86	213906.00	0	224212
2012/12/05	109.87	110.57	108.64	108.82	184631.00	0	224212
2012/12/06	108.63	109.16	106.63	107.05	215243.00	0	201133
2012/12/07	107.05	107.89	106.66	107.23	181182.00	0	185021
2012/12/10	107.30	108.54	107.01	107.36	168547.00	0	163310
2012/12/11	107.45	108.37	107.09	108.20	160053.00	0	120878
2012/12/12	108.14	110.50	108.14	109.46	169419.00	0	96194
2012/12/13	107.95	108.13	106.38	106.50	188654.00	0	308779
2012/12/14	106.62	108.31	106.55	108.28	169485.00	0	313795
2012/12/17	108.30	108.50	107.58	108.12	128996.00	0	313795
2012/12/18	107.98	108.98	107.93	108.95	137261.00	0	310466
2012/12/19	108.90	110.48	108.74	110.21	162348.00	0	307938
2012/12/20	110.10	110.66	109.70	110.21	136503.00	0	313455
2012/12/21	110.20	110.28	108.66	109.15	132626.00	0	309362
2012/12/24	109.02	109.22	108.13	109.06	49454.00	0	301088
2012/12/26	109.15	111.52	109.00	111.18	74917.00	0	297397
2012/12/27	110.78	111.33	110.10	110.97	104672.00	0	297397
2012/12/28	111.24	111.38	109.83	110.47	117886.00	0	295547
2012/12/31	110.35	111.34	109.38	111.27	98644.00	0	275415
2013/01/02	111.50	112.90	111.27	112.57	182875.00	0	275415
2013/01/03	112.20	112.42	111.63	111.99	190094.00	0	253913
2013/01/04	111.72	111.78	110.38	111.38	191320.00	0	218806
2013/01/07	111.42	111.69	110.54	111.58	203454.00	0	218806
2013/01/08	111.42	112.47	111.12	112.06	193363.00	0	201097
2013/01/09	111.90	112.23	111.11	111.68	171865.00	0	169873
2013/01/10	111.68	113.29	111.60	111.77	196963.00	0	117104
2013/01/11	111.95	111.95	109.60	110.47	167983.00	0	98695
2013/01/14	110.62	112.07	110.31	111.96	110130.00	0	82042
2013/01/15	110.98	111.49	109.52	109.70	250037.00	0	312651
2013/01/16	109.76	110.35	109.33	109.81	203808.00	0	321830
2013/01/17	109.74	111.38	109.45	110.95	206264.00	0	321830
2013/01/18	111.10	111.97	110.47	111.66	182473.00	0	322465
2013/01/21	111.67	111.99	111.41	111.80	74581.00	0	315487
2013/01/22	111.71	112.65	111.35	112.40	207776.00	0	315654
2013/01/23	112.42	113.15	112.06	112.79	239710.00	0	306569
2013/01/24	112.76	113.65	112.40	113.40	211572.00	0	314069
2013/01/25	113.28	113.84	112.83	113.46	204350.00	0	314069
2013/01/28	113.45	113.80	112.60	113.52	171866.00	0	298910
2013/01/29	113.48	114.49	113.07	114.27	208840.00	0	298910
2013/01/30	114.28	115.24	114.07	115.03	200410.00	0	291606
2013/01/31	114.91	115.76	114.28	115.61	195454.00	0	285987
2013/02/01	115.77	117.07	115.40	116.50	245787.00	0	285987
2013/02/04	116.50	116.67	115.32	115.54	214939.00	0	272889
2013/02/05	115.47	117.23	115.01	116.57	226863.00	0	214929
2013/02/06	116.45	117.05	115.72	116.90	207673.00	0	214929
2013/02/07	116.90	117.83	116.71	117.53	242183.00	0	187007
2013/02/08	117.48	119.17	117.31	118.94	206458.00	0	166037
2013/02/11	118.90	119.07	117.54	118.13	141146.00	0	102346
2013/02/12	117.33	118.00	116.88	117.78	208108.00	0	323563
