'HSI'	恒生指数	日线
日期	开盘	最高	最低	收盘	成交量	成交额
1990/05/14	2963.51	2988.81	2963.51	2976.44	0.00	0
1990/05/15	2978.00	2990.15	2960.70	2965.09	0.00	0
1990/05/16	2964.00	2964.05	2931.93	2948.89	0.00	0
1990/05/17	2948.00	2949.01	2906.74	2917.63	0.00	0
1990/05/18	2909.33	2941.54	2909.33	2925.89	0.00	0
1990/05/21	2925.04	2938.47	2925.04	2930.83	0.00	0
1990/05/22	2925.40	2971.58	2925.40	2970.87	0.00	0
1990/05/23	2970.87	3034.60	2970.87	3028.31	0.00	0
1990/05/24	3028.31	3054.15	3028.31	3048.01	0.00	0
1990/05/25	3049.00	3068.68	3037.10	3059.50	0.00	0
1990/05/29	3059.00	3059.50	3024.61	3048.55	0.00	0
1990/05/30	3048.48	3087.16	3048.48	3083.35	0.00	0
1990/05/31	3084.20	3137.69	3084.20	3132.32	0.00	0
1990/06/01	3139.57	3166.72	3139.57	3159.17	0.00	0
1990/06/04	3159.00	3200.33	3150.57	3153.22	0.00	0
1990/06/05	3153.00	3179.00	3152.69	3159.06	0.00	0
1990/06/06	3159.00	3172.49	3138.88	3172.49	0.00	0
1990/06/07	3172.00	3172.49	3143.91	3145.30	0.00	0
1990/06/08	3144.00	3179.44	3136.23	3174.33	0.00	0
1990/06/11	3174.00	3174.33	3148.81	3154.99	0.00	0
1990/06/12	3157.93	3207.54	3157.93	3203.00	0.00	0
1990/06/13	3203.00	3226.92	3184.61	3185.14	0.00	0
1990/06/14	3185.00	3199.39	3180.38	3191.55	0.00	0
1990/06/15	3189.00	3205.29	3176.08	3201.52	0.00	0
1990/06/19	3200.00	3229.33	3185.21	3229.02	0.00	0
1990/06/20	3229.00	3250.04	3214.71	3234.39	0.00	0
1990/06/21	3234.00	3259.47	3230.45	3246.21	0.00	0
1990/06/22	3246.00	3253.17	3226.69	3250.44	0.00	0
1990/06/25	3250.00	3276.47	3246.63	3276.44	0.00	0
1990/06/26	3278.15	3305.28	3278.15	3292.35	0.00	0
1990/06/27	3292.00	3293.50	3258.98	3284.47	0.00	0
1990/06/28	3284.00	3284.47	3266.50	3273.28	0.00	0
1990/06/29	3272.00	3281.12	3255.94	3278.24	0.00	0
1990/07/02	3278.24	3323.44	3278.24	3319.47	0.00	0
1990/07/03	3319.47	3365.54	3319.47	3356.55	0.00	0
1990/07/04	3356.00	3366.70	3338.31	3363.49	0.00	0
1990/07/05	3363.00	3369.98	3338.31	3356.44	0.00	0
1990/07/06	3345.00	3360.95	3325.74	3357.61	0.00	0
1990/07/09	3359.89	3389.17	3359.89	3385.15	0.00	0
1990/07/10	3385.00	3413.36	3378.46	3408.16	0.00	0
1990/07/11	3407.94	3450.11	3407.94	3440.93	0.00	0
1990/07/12	3448.00	3472.44	3443.85	3468.59	0.00	0
1990/07/13	3468.59	3515.73	3468.59	3507.16	0.00	0
1990/07/16	3507.00	3513.48	3468.66	3488.85	0.00	0
1990/07/17	3488.00	3490.94	3463.94	3463.94	0.00	0
1990/07/18	3463.94	3529.34	3463.94	3528.29	0.00	0
1990/07/19	3528.00	3530.09	3515.51	3523.58	0.00	0
1990/07/20	3523.00	3542.88	3504.69	3540.43	0.00	0
