'SPX'	标普500	日线
日期	开盘	最高	最低	收盘	成交量	成交额
1986/03/17	236.55	236.55	233.69	234.67	0.00	0
1986/03/18	234.67	236.53	234.14	235.78	0.00	0
1986/03/19	235.78	236.52	235.13	235.60	0.00	0
1986/03/20	235.60	237.09	235.60	236.54	0.00	0
1986/03/21	236.54	237.35	233.29	233.34	0.00	0
1986/03/24	233.34	235.33	232.92	235.33	0.00	0
1986/03/25	235.33	235.33	233.62	234.72	0.00	0
1986/03/26	234.72	237.79	234.71	237.30	0.00	0
1986/03/27	237.30	240.11	237.30	238.97	0.00	0
1986/03/28	238.97	238.97	238.97	238.97	0.00	0
1986/03/31	238.97	239.86	238.08	238.90	0.00	0
1986/04/01	238.90	239.10	234.57	235.14	0.00	0
1986/04/02	235.14	235.71	233.40	235.71	0.00	0
1986/04/03	235.71	236.42	232.07	232.47	0.00	0
1986/04/04	232.47	232.56	228.32	228.69	0.00	0
1986/04/07	228.69	228.83	226.30	228.63	0.00	0
1986/04/08	228.63	233.70	228.63	233.52	0.00	0
1986/04/09	233.52	235.57	232.13	233.75	0.00	0
1986/04/10	233.75	236.54	233.75	236.44	0.00	0
1986/04/11	236.44	237.85	235.13	235.97	0.00	0
1986/04/14	235.97	237.48	235.43	237.28	0.00	0
1986/04/15	237.28	238.09	236.64	237.73	0.00	0
1986/04/16	237.73	242.57	237.73	242.22	0.00	0
1986/04/17	242.22	243.36	241.89	243.03	0.00	0
1986/04/18	243.03	243.47	241.74	242.38	0.00	0
1986/04/21	242.38	244.78	241.88	244.74	0.00	0
1986/04/22	244.74	245.47	241.30	242.42	0.00	0
1986/04/23	242.42	242.42	240.08	241.75	0.00	0
1986/04/24	241.75	243.13	241.65	242.02	0.00	0
1986/04/25	242.02	242.80	240.91	242.29	0.00	0
1986/04/28	242.29	243.08	241.23	243.08	0.00	0
1986/04/29	243.08	243.57	239.23	240.51	0.00	0
1986/04/30	240.51	240.52	235.26	235.52	0.00	0
1986/05/01	235.52	236.01	234.21	235.16	0.00	0
1986/05/02	235.16	236.52	234.15	234.79	0.00	0
1986/05/05	234.79	237.73	234.79	237.73	0.00	0
1986/05/06	237.73	238.28	236.26	237.24	0.00	0
1986/05/07	237.24	237.24	233.98	236.08	0.00	0
1986/05/08	236.08	237.96	236.08	237.13	0.00	0
1986/05/09	237.13	238.01	235.85	237.85	0.00	0
1986/05/12	237.85	238.53	237.02	237.58	0.00	0
1986/05/13	237.58	237.87	236.02	236.41	0.00	0
1986/05/14	236.41	237.54	235.85	237.54	0.00	0
1986/05/15	237.54	237.54	233.93	234.43	0.00	0
1986/05/16	234.43	234.43	232.26	232.76	0.00	0
1986/05/19	232.76	233.54	232.41	233.20	0.00	0
1986/05/20	233.20	236.12	232.58	236.11	0.00	0
1986/05/21	236.11	236.83	235.45	235.45	0.00	0
1986/05/22	235.45	240.25	235.45	240.12	0.00	0
1986/05/23	240.12	242.16	240.12	241.35	0.00	0
1986/05/26	241.35	241.35	241.35	241.35	0.00	0
1986/05/27	241.35	244.76	241.35	244.75	0.00	0
1986/05/28	244.75	247.40	244.75	246.63	0.00	0
1986/05/29	246.63	248.32	245.29	247.98	0.00	0
1986/05/30	247.98	249.19	246.43	247.35	0.00	0
1986/06/02	247.35	247.74	243.83	245.04	0.00	0
1986/06/03	245.04	245.51	243.67	245.51	0.00	0
1986/06/04	245.51	246.30	242.59	243.94	0.00	0
1986/06/05	243.94	245.66	243.41	245.65	0.00	0
1986/06/06	245.65	246.07	244.43	245.67	0.00	0
1986/06/09	245.67	245.67	239.68	239.96	0.00	0
1986/06/10	239.96	240.08	238.23	239.58	0.00	0
1986/06/11	239.58	241.13	239.21	241.13	0.00	0
1986/06/12	241.13	241.64	240.70	241.49	0.00	0
1986/06/13	241.49	245.91	241.49	245.73	0.00	0
1986/06/16	245.73	246.50	245.17	246.13	0.00	0
1986/06/17	246.13	246.26	243.60	244.35	0.00	0
1986/06/18	244.35	245.25	242.57	244.99	0.00	0
1986/06/19	244.99	245.80	244.05	244.06	0.00	0
1986/06/20	244.06	247.60	243.98	247.58	0.00	0
1986/06/23	247.58	247.58	244.45	245.26	0.00	0
1986/06/24	245.26	248.26	244.53	247.03	0.00	0
1986/06/25	247.03	250.13	247.03	248.93	0.00	0
1986/06/26	248.93	249.43	247.72	248.74	0.00	0
1986/06/27	248.74	249.74	248.74	249.60	0.00	0
1986/06/30	249.60	251.81	249.60	250.84	0.00	0
1986/07/01	250.84	252.04	250.53	252.04	0.00	0
1986/07/02	252.04	253.20	251.79	252.70	0.00	0
1986/07/03	252.70	252.94	251.23	251.79	0.00	0
1986/07/04	251.79	251.79	251.79	251.79	0.00	0
1986/07/07	251.79	251.81	243.63	244.05	0.00	0
1986/07/08	244.05	244.06	239.07	241.59	0.00	0
1986/07/09	241.59	243.07	241.46	242.82	0.00	0
1986/07/10	242.82	243.44	239.66	243.01	0.00	0
1986/07/11	243.01	243.48	241.68	242.22	0.00	0
1986/07/14	242.22	242.22	238.04	238.11	0.00	0
1986/07/15	238.11	238.12	233.60	233.66	0.00	0
1986/07/16	233.66	236.19	233.66	235.01	0.00	0
1986/07/17	235.01	236.65	235.01	236.07	0.00	0
1986/07/18	236.07	238.22	233.94	236.36	0.00	0
1986/07/21	236.36	236.45	235.53	236.24	0.00	0
1986/07/22	236.24	238.42	235.92	238.18	0.00	0
1986/07/23	238.18	239.25	238.17	238.67	0.00	0
1986/07/24	238.67	239.05	237.32	237.95	0.00	0
1986/07/25	237.95	240.36	237.95	240.22	0.00	0
1986/07/28	240.22	240.25	235.23	236.01	0.00	0
1986/07/29	236.01	236.01	234.40	234.55	0.00	0
1986/07/30	234.55	237.38	233.07	236.59	0.00	0
1986/07/31	236.59	236.92	235.89	236.12	0.00	0
1986/08/01	236.12	236.89	234.59	234.91	0.00	0
1986/08/04	234.91	236.86	231.92	235.99	0.00	0
1986/08/05	235.99	238.31	235.97	237.03	0.00	0
