代码	名称			板块	上市日		一手资金	一手中签率	发行价	超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘
08418	傲迪玛汽车		创业	2019/10/11	2600		40.00%		0.240	28.18		0.6			6.25%		93.75%		0.270	0.465	0.270	0.465
03601	鲁大师			主板	2019/10/10	3000		20.00%		2.700	277.36		1.5			38.89%		218.52%		4.000	8.700	3.990	8.600
06110	滔博			主板	2019/10/10	10100		100.00%		8.500	2.39		78			-0.71%		8.82%		8.500	9.500	8.500	9.250
01895	鑫苑服务		主板	2019/10/11	3000		20.01%		2.080	6.01		2.6			12.98%		41.83%		2.800	4.200	2.800	2.950
06820	FRIENDTIMES		主板	2019/10/08	3920		50.00%		1.520	7.95		5.016		0.66%		0.00%		1.520	1.550	1.410	1.520
01876	百威亚太		主板	2019/09/30	3000		100.00%		27.000	3.64		367			1.30%		4.44%		27.400	28.900	27.250	28.200
03938	LFG投资控股		主板	2019/09/30	3400		25.06%		1.680	28.42		1.2			-1.79%		-36.31%		1.450	1.630	1.050	1.070
01960	TBKS HLDGS		主板	2019/09/30	3000		10.01%		0.500	9.60		1.25		46.00%		60.00%		0.690	0.970	0.690	0.800
08668	瀛海集团		创业	2019/09/26	2400		30.00%		0.240	54.90		0.72		-10.00%		0.42%		0.240	0.242	0.204	0.241
02696	复宏汉霖-B		主板	2019/09/25	5780		100.00%		49.600	3.89		32.1		-2.22%		-0.30%		47.450	49.500	46.650	49.450
03928	S&T HLDGS		主板	2019/09/19	2300		35.01%		1.070	7.21		1.27		14.95%		14.02%		1.340	1.360	1.150	1.220
01920	恒新丰控股		主板	2019/08/16	2000		80.00%		0.200	15.14		1.3			15.00%		-16.00%		0.171	0.190	0.163	0.168
00382	中汇集团		主板	2019/07/16	6440		100.00%		2.850	2.42		7			0.00%		0.70%		2.850	2.950	2.840	2.870
02558	晋商银行		主板	2019/07/18	3980		100.00%		3.820	0.18		32.7		3.40%		0.00%		3.950	3.950	3.820	3.820
01912	康特隆			主板	2019/07/16	3400		25.00%		0.650	39.90		1.29		27.69%		6.15%		0.880	0.890	0.680	0.690
01949	PLATT NERA		主板	2019/07/16	3100		14.01%		1.250	13.67		1.25		30.40%		24.00%		1.730	1.770	1.440	1.550
01134	恒发光学		主板	2019/07/16	4800		15.00%		1.000	29.68		1.25		27.00%		6.00%		1.290	1.320	1.030	1.060
06805	金茂源环保		主板	2019/07/16	2880		90.00%		1.330	1.96		3.5			-0.75%		-2.26%		1.350	1.440	1.160	1.300
01931	华检医疗		主板	2019/07/12	3680		50.00%		3.070	2.21		10.2		-3.58%		0.00%		2.810	3.440	2.810	3.070
01977	安乐工程		主板	2019/07/12	2400		100.00%		1.200	7.59		4.2			-15.00%		35.83%		1.150	1.710	1.130	1.630
02772	中梁控股		主板	2019/07/16	3340		100.00%		5.550	1.01		28			-2.88%		7.21%		5.550	6.220	5.530	5.950
06093	和泓服务		主板	2019/07/12	3120		20.01%		1.280	5.31		1.28		61.72%		34.37%		1.820	2.230	1.630	1.720
08612	维亮控股		创业	2019/07/12	5500		35.01%		0.550	28.19		0.825		18.18%		41.82%		0.700	0.810	0.610	0.780
01839	中集车辆		主板	2019/07/11	4040		100.00%		6.380	2.74		16.9		-4.39%		-3.76%		5.900	6.340	5.800	6.140
02180	万宝盛华		主板	2019/07/10	3150		85.01%		9.900	4.67		4.95		10.10%		-1.01%		10.680	10.780	9.170	9.800
00924	坤集团			主板	2019/07/05	4800		6.83%		0.500	13.36		1.25		110.00%		132.00%		1.000	1.250	0.790	1.160
03798	家乡互动		主板	2019/07/04	3700		60.00%		1.350	2.77		4.2			33.33%		26.67%		2.200	2.640	1.640	1.710
01286	鹰普精密		主板	2019/06/28	3300		100.00%		3.000	2.72		10			8.67%		0.33%		3.250	3.380	3.000	3.010
01701	途屹控股		主板	2019/06/28	2720		60.01%		0.520	6.20		1.3			-5.77%		-41.35%		0.405	0.430	0.300	0.305
01901	飞扬集团		主板	2019/06/28	2200		50.01%		1.050	19.14		1.3			-0.95%		-6.67%		0.990	1.010	0.900	0.980
01943	银涛控股		主板	2019/06/28	2700		100.00%		0.500	3.23		1.25		-24.00%		-7.00%		0.410	0.495	0.410	0.465
01930	勋龙			主板	2019/06/28	3520		40.04%		0.880	6.01		1.45		29.55%		34.09%		1.270	1.420	0.990	1.180
01849	创世纪集团		主板	2019/06/26	3500		25.00%		0.650	9.03		1.3			-3.08%		-24.62%		0.500	0.580	0.480	0.490
01842	植华集团		主板	2019/06/28	2000		35.00%		0.500	8.29		1.25		18.00%		14.00%		0.540	0.670	0.540	0.570
01951	锦欣生殖		主板	2019/06/25	17080		65.00%		8.540	99.26		30			17.33%		8.67%		9.900	10.680	9.120	9.280
01769	思考乐教育		主板	2019/06/21	4680		100.00%		3.680	1.57		4.5			7.61%		0.27%		4.100	4.160	3.530	3.690
01935	嘉宏教育		主板	2019/06/18	3840		100.00%		1.500	0.46		6			-1.33%		10.00%		1.490	1.660	1.450	1.650
06117	日照港裕廊		主板	2019/06/19	3020		100.00%		1.500	0.24		6			4.00%		166.67%		1.600	5.510	1.560	4.000
