'H30373'	百发100	日线
日期	开盘	最高	最低	收盘
2014/07/30	6956.98	7010.65	6937.22	6997.99
2014/07/31	6992.80	7092.30	6980.72	7092.30
2014/08/01	7078.53	7130.87	7008.72	7019.36
2014/08/04	7018.98	7143.26	7017.75	7143.26
2014/08/05	7140.93	7221.78	7114.46	7220.92
2014/08/06	7205.51	7280.56	7179.44	7275.07
2014/08/07	7269.95	7295.46	7182.27	7186.73
2014/08/08	7194.80	7275.29	7194.36	7270.34
2014/08/11	7278.39	7383.68	7277.06	7383.68
2014/08/12	7374.34	7429.44	7352.68	7429.44
2014/08/13	7418.47	7439.79	7314.69	7422.41
2014/08/14	7411.53	7482.34	7386.59	7399.75
2014/08/15	7388.02	7484.48	7364.81	7470.26
2014/08/18	7472.77	7571.09	7472.77	7569.58
2014/08/19	7583.94	7627.59	7553.46	7609.89
2014/08/20	7599.20	7636.27	7563.74	7600.35
2014/08/21	7600.72	7604.01	7499.17	7599.59
2014/08/22	7597.23	7674.78	7584.79	7668.10
2014/08/25	7661.88	7662.93	7567.79	7591.10
2014/08/26	7569.28	7598.76	7420.11	7451.95
2014/08/27	7439.24	7491.95	7433.52	7475.64
2014/08/28	7465.08	7481.57	7387.93	7416.11
2014/08/29	7405.36	7507.69	7390.92	7506.95
2014/09/01	7511.62	7629.07	7506.01	7629.07
2014/09/02	7637.59	7734.35	7629.07	7734.35
2014/09/03	7739.35	7808.45	7736.34	7797.00
2014/09/04	7801.10	7838.71	7768.39	7838.71
2014/09/05	7850.54	7892.99	7819.36	7891.23
2014/09/09	7886.89	7956.36	7846.45	7956.36
2014/09/10	7916.43	7996.28	7887.90	7990.84
2014/09/11	7991.20	8108.79	7934.26	8003.18
2014/09/12	7988.11	8100.62	7979.16	8100.03
2014/09/15	8098.96	8179.59	8083.39	8171.37
2014/09/16	8182.11	8213.71	7935.32	7940.20
2014/09/17	7945.33	8022.21	7881.56	8022.21
2014/09/18	8009.45	8077.88	7984.81	8077.88
2014/09/19	8064.25	8213.68	8059.92	8197.43
2014/09/22	8174.21	8176.14	8084.92	8127.99
2014/09/23	8109.94	8248.43	8106.94	8248.43
2014/09/24	8223.76	8337.34	8196.40	8337.26
2014/09/25	8364.71	8428.09	8309.19	8340.99
2014/09/26	8310.16	8393.13	8287.16	8388.52
2014/09/29	8406.50	8493.32	8403.33	8491.46
2014/09/30	8491.31	8558.90	8482.11	8553.42
2014/10/08	8589.44	8673.31	8540.85	8673.31
2014/10/09	8676.10	8702.61	8554.82	8687.03
2014/10/10	8653.08	8672.21	8578.31	8651.33
2014/10/13	8617.54	8664.39	8527.03	8663.27
2014/10/14	8634.22	8703.94	8581.96	8635.67
2014/10/15	8633.73	8703.38	8564.53	8703.38
2014/10/16	8646.82	8739.13	8571.44	8571.45
2014/10/17	8537.27	8562.85	8268.21	8436.31
2014/10/20	8441.91	8549.15	8438.07	8547.63
2014/10/21	8539.66	8578.89	8451.40	8453.33
2014/10/22	8447.35	8487.07	8306.85	8313.90
2014/10/23	8283.84	8323.65	8102.53	8141.90
2014/10/24	8139.93	8220.60	8135.88	8166.64
2014/10/27	8127.03	8200.49	8064.00	8200.15
2014/10/28	8210.53	8455.30	8210.53	8454.90
2014/10/29	8489.97	8646.24	8479.47	8600.27
2014/10/30	8586.94	8678.53	8565.64	8636.04
2014/10/31	8635.42	8680.02	8553.37	8646.97
2014/11/03	8656.33	8808.54	8656.33	8808.54
2014/11/04	8827.23	8896.73	8802.01	8882.57
2014/11/05	8895.13	8895.13	8790.35	8843.80
2014/11/06	8822.08	8853.86	8722.07	8853.39
2014/11/07	8857.92	8909.76	8698.76	8744.28
2014/11/10	8773.71	8905.24	8730.32	8905.24
2014/11/11	8924.04	8928.66	8532.55	8631.76
2014/11/12	8598.83	8788.41	8580.81	8787.88
2014/11/13	8777.58	8784.25	8618.89	8707.18
2014/11/14	8662.46	8674.00	8583.29	8646.58
2014/11/17	8677.77	8740.05	8607.47	8689.28
2014/11/18	8677.96	8709.62	8656.74	8699.61
2014/11/19	8696.93	8764.42	8677.07	8741.90
2014/11/20	8708.79	8756.48	8680.82	8743.05
2014/11/21	8729.26	8898.36	8714.50	8890.81
2014/11/24	8989.87	9113.23	8917.42	9074.10
2014/11/25	9072.99	9257.36	9049.66	9257.36
2014/11/26	9280.28	9313.23	9181.40	9289.57
2014/11/27	9308.79	9371.25	9236.98	9371.25
2014/11/28	9375.45	9446.29	9308.27	9443.83
