'NDX'	纳斯达克	日线
日期	开盘	最高	最低	收盘	成交量	成交额
1991/08/12	508.27	510.23	507.14	510.00	114070000.00	0
1991/08/13	510.91	515.27	510.00	514.40	166820000.00	0
1991/08/14	515.30	517.98	514.42	517.68	108730000.00	0
1991/08/15	517.82	518.52	515.28	515.67	159480000.00	0
1991/08/16	515.38	515.85	510.83	512.47	135100000.00	0
1991/08/19	504.97	511.98	487.00	497.64	161590000.00	0
1991/08/20	499.10	504.02	497.70	502.05	145430000.00	0
1991/08/21	505.51	517.97	502.14	517.97	192750000.00	0
1991/08/22	518.26	519.39	516.25	518.30	157460000.00	0
1991/08/23	517.57	521.52	516.12	521.06	172120000.00	0
1991/08/26	520.60	521.48	519.28	521.38	112280000.00	0
1991/08/27	521.63	522.26	519.26	521.75	139670000.00	0
1991/08/28	521.94	526.48	521.64	526.29	165660000.00	0
1991/08/29	526.80	527.76	525.33	526.39	158800000.00	0
1991/08/30	526.49	526.65	523.54	525.68	129400000.00	0
1991/09/03	526.01	526.58	520.80	520.91	134330000.00	0
1991/09/04	521.15	521.63	517.16	517.92	154070000.00	0
1991/09/05	518.42	518.82	516.36	516.93	167420000.00	0
1991/09/06	517.57	518.36	516.39	516.94	149330000.00	0
1991/09/09	516.90	518.14	516.30	518.07	105850000.00	0
1991/09/10	518.25	518.50	510.97	511.28	146780000.00	0
1991/09/11	512.19	514.86	511.23	514.76	151800000.00	0
1991/09/12	516.76	521.15	514.77	521.13	172800000.00	0
1991/09/13	521.53	522.03	516.04	516.71	166630000.00	0
1991/09/16	516.99	517.14	514.08	515.68	137570000.00	0
1991/09/17	515.60	516.23	513.85	515.17	166960000.00	0
1991/09/18	514.69	518.96	513.80	518.55	133250000.00	0
1991/09/19	519.17	523.55	518.57	522.67	203950000.00	0
1991/09/20	523.98	528.23	522.69	527.19	226510000.00	0
1991/09/23	526.39	527.22	524.02	524.69	158860000.00	0
1991/09/24	525.38	526.55	522.99	526.47	179750000.00	0
1991/09/25	527.24	528.45	525.97	527.82	178120000.00	0
1991/09/26	527.14	528.37	524.88	526.94	172340000.00	0
1991/09/27	527.32	529.29	523.96	524.48	168300000.00	0
1991/09/30	524.29	527.01	522.28	526.88	141030000.00	0
1991/10/01	527.34	528.91	525.86	528.51	162680000.00	0
1991/10/02	528.69	529.21	526.09	526.33	179610000.00	0
1991/10/03	525.75	526.31	519.78	520.51	179370000.00	0
1991/10/04	521.01	522.69	519.90	520.40	151230000.00	0
1991/10/07	519.63	520.45	515.87	516.20	133850000.00	0
1991/10/08	515.15	517.28	514.73	517.25	158960000.00	0
1991/10/09	517.21	517.48	513.80	513.81	165400000.00	0
1991/10/10	515.25	516.45	513.08	515.94	166800000.00	0
1991/10/11	517.16	519.16	515.94	519.05	145010000.00	0
1991/10/14	519.79	525.69	519.00	525.66	117080000.00	0
1991/10/15	526.64	534.12	525.67	534.11	177930000.00	0
1991/10/16	534.99	541.05	534.13	540.94	223330000.00	0
1991/10/17	539.49	540.96	535.27	536.27	226840000.00	0
1991/10/18	536.92	539.22	536.27	538.90	212130000.00	0
1991/10/21	538.95	539.20	535.70	536.96	158140000.00	0
1991/10/22	537.83	539.58	536.82	537.14	180130000.00	0
1991/10/23	537.66	538.45	534.11	535.17	199760000.00	0
1991/10/24	535.33	535.68	527.63	528.75	199360000.00	0
1991/10/25	528.40	528.82	524.89	525.17	173950000.00	0
1991/10/28	526.58	529.46	525.14	529.41	145910000.00	0
1991/10/29	530.49	534.62	529.29	534.51	182350000.00	0
