'DJIA'	道琼斯工业	日线
日期	开盘	最高	最低	收盘	成交量	成交额
1990/04/25	2654.28	2674.77	2654.28	2666.43	0.00	0
1990/04/26	2666.43	2682.65	2655.86	2676.58	0.00	0
1990/04/27	2675.89	2681.31	2644.13	2645.05	0.00	0
1990/04/30	2641.43	2663.96	2634.01	2656.76	0.00	0
1990/05/01	2655.17	2677.25	2654.28	2668.91	0.00	0
1990/05/02	2668.47	2689.63	2666.66	2689.63	0.00	0
1990/05/03	2689.18	2710.59	2689.18	2696.16	0.00	0
1990/05/04	2692.34	2710.81	2685.36	2710.36	0.00	0
1990/05/07	2710.36	2729.95	2706.31	2721.62	0.00	0
1990/05/08	2720.50	2734.23	2718.24	2733.56	0.00	0
1990/05/09	2732.65	2735.13	2717.34	2732.87	0.00	0
1990/05/10	2731.98	2746.62	2726.35	2738.51	0.00	0
1990/05/11	2737.15	2804.28	2737.15	2801.58	0.00	0
1990/05/14	2799.54	2853.93	2799.07	2821.53	0.00	0
1990/05/15	2821.30	2829.16	2807.40	2822.45	0.00	0
1990/05/16	2822.45	2831.02	2806.25	2819.67	0.00	0
1990/05/17	2819.67	2846.53	2819.67	2831.71	0.00	0
1990/05/18	2831.71	2832.63	2811.57	2819.90	0.00	0
1990/05/21	2817.59	2851.38	2808.80	2844.67	0.00	0
1990/05/22	2846.54	2870.49	2835.14	2852.23	0.00	0
1990/05/23	2852.23	2856.26	2835.62	2856.26	0.00	0
1990/05/24	2856.26	2860.77	2842.98	2855.55	0.00	0
1990/05/25	2853.17	2853.17	2817.84	2820.91	0.00	0
1990/05/29	2819.50	2871.67	2819.02	2870.49	0.00	0
1990/05/30	2871.43	2895.15	2867.40	2878.56	0.00	0
1990/05/31	2877.37	2888.52	2869.54	2876.65	0.00	0
1990/06/01	2878.87	2901.70	2877.90	2900.97	0.00	0
1990/06/04	2900.73	2936.89	2894.41	2935.18	0.00	0
1990/06/05	2934.95	2948.50	2918.68	2925.00	0.00	0
1990/06/06	2925.00	2926.00	2901.93	2911.64	0.00	0
1990/06/07	2911.64	2920.39	2885.67	2897.33	0.00	0
1990/06/08	2897.33	2905.80	2859.47	2862.37	0.00	0
1990/06/11	2862.87	2892.80	2859.40	2892.57	0.00	0
1990/06/12	2892.57	2941.30	2885.63	2933.41	0.00	0
1990/06/13	2933.41	2948.50	2921.53	2929.70	0.00	0
1990/06/14	2929.95	2930.39	2908.41	2928.22	0.00	0
1990/06/15	2928.22	2937.60	2912.62	2935.88	0.00	0
1990/06/18	2935.39	2935.39	2881.43	2882.17	0.00	0
1990/06/19	2882.17	2898.80	2873.51	2893.56	0.00	0
1990/06/20	2893.56	2904.70	2876.73	2895.30	0.00	0
1990/06/21	2895.30	2905.70	2875.50	2901.73	0.00	0
1990/06/22	2901.73	2923.00	2853.96	2857.17	0.00	0
1990/06/25	2856.92	2875.00	2840.35	2845.05	0.00	0
1990/06/26	2845.05	2875.70	2838.61	2842.33	0.00	0
1990/06/27	2842.33	2868.30	2832.17	2862.12	0.00	0
1990/06/28	2862.12	2880.68	2859.40	2878.71	0.00	0
1990/06/29	2878.22	2892.82	2876.24	2880.68	0.00	0
1990/07/02	2880.70	2901.70	2879.20	2899.26	0.00	0
1990/07/03	2899.00	2915.60	2899.00	2911.62	0.00	0
1990/07/05	2911.60	2911.60	2872.50	2879.21	0.00	0
1990/07/06	2879.20	2909.60	2870.80	2904.95	0.00	0
1990/07/09	2905.70	2920.30	2899.50	2914.11	0.00	0
1990/07/10	2914.10	2916.60	2890.80	2890.84	0.00	0
1990/07/11	2890.80	2932.89	2890.80	2932.66	0.00	0
1990/07/12	2932.70	2970.30	2930.20	2969.80	0.00	0
1990/07/13	2969.80	3003.00	2969.80	2980.20	0.00	0
1990/07/16	2979.20	3008.70	2979.20	2999.75	0.00	0
1990/07/17	2999.80	3010.60	2978.70	2999.75	0.00	0
1990/07/18	2999.80	2999.80	2970.80	2981.67	0.00	0
1990/07/19	2981.70	3006.18	2948.27	2993.81	0.00	0
1990/07/20	2993.80	3005.70	2959.89	2961.13	0.00	0
1990/07/23	2960.10	2960.10	2852.20	2904.70	0.00	0
1990/07/24	2904.89	2923.30	2876.70	2922.52	0.00	0
1990/07/25	2922.50	2935.60	2908.20	2930.93	0.00	0
