'XAUUSD'	黄金现货/美元	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数
1992/05/19	338.450	340.900	337.000	337.550	0.00	0	0
1992/05/20	337.650	338.150	336.000	337.650	0.00	0	0
1992/05/21	337.650	337.850	336.300	336.900	0.00	0	0
1992/05/22	336.950	337.900	336.650	337.600	0.00	0	0
1992/05/25	337.700	338.900	337.000	338.100	0.00	0	0
1992/05/26	338.200	338.650	337.000	337.900	0.00	0	0
1992/05/27	337.950	339.000	337.300	337.550	0.00	0	0
1992/05/28	337.600	337.750	335.900	337.050	0.00	0	0
1992/05/29	336.950	338.100	336.050	336.300	0.00	0	0
1992/06/01	336.500	337.700	335.900	337.600	0.00	0	0
1992/06/02	337.500	339.500	336.700	338.700	0.00	0	0
1992/06/03	338.500	340.700	337.600	338.250	0.00	0	0
1992/06/04	338.300	339.000	337.650	338.500	0.00	0	0
1992/06/05	338.500	339.250	338.200	338.500	0.00	0	0
1992/06/08	338.550	339.250	337.800	337.900	0.00	0	0
1992/06/09	338.050	338.400	337.250	337.800	0.00	0	0
1992/06/10	337.800	338.700	337.300	337.650	0.00	0	0
1992/06/11	337.600	340.200	337.550	340.000	0.00	0	0
1992/06/12	340.000	343.900	339.100	342.500	0.00	0	0
1992/06/15	342.300	343.500	341.400	342.500	0.00	0	0
1992/06/16	342.600	343.200	340.200	341.900	0.00	0	0
1992/06/17	341.800	344.089	340.700	341.350	0.00	0	0
1992/06/18	341.300	343.200	340.600	342.250	0.00	0	0
1992/06/19	342.200	345.000	340.000	340.700	0.00	0	0
1992/06/22	341.150	343.700	340.700	343.200	0.00	0	0
1992/06/23	343.200	344.800	342.500	344.100	0.00	0	0
1992/06/24	343.950	344.900	341.700	342.650	0.00	0	0
1992/06/25	342.700	344.000	342.000	342.800	0.00	0	0
1992/06/26	342.850	344.000	341.800	342.350	0.00	0	0
1992/06/29	342.250	343.800	341.300	343.450	0.00	0	0
1992/06/30	343.500	343.750	342.000	343.000	0.00	0	0
1992/07/01	343.050	344.500	342.800	343.900	0.00	0	0
1992/07/02	343.900	348.250	343.300	346.000	0.00	0	0
1992/07/03	346.000	346.500	344.900	346.000	0.00	0	0
1992/07/06	345.900	347.000	345.000	346.400	0.00	0	0
1992/07/07	346.300	346.700	344.500	346.150	0.00	0	0
