'000016'	上证50  	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2004/01/02	996.99	1021.56	993.89	1011.34	8064652.00	5742750208						
2004/01/05	1008.27	1060.98	1008.15	1060.80	14468180.00	10706459648	1036.07					
2004/01/06	1059.14	1086.69	1059.09	1075.65	16991334.00	12416990208	1068.225	1049.263				
2004/01/07	1075.56	1095.84	1070.98	1086.30	13729419.00	10352529408	1080.975	1074.25				
2004/01/08	1087.68	1108.29	1082.50	1102.66	10780427.00	8188919808	1094.48	1088.203	1067.35			
2004/01/09	1105.77	1115.46	1079.07	1081.78	13467442.00	10548440064	1092.22	1090.247	1081.438			
2004/01/12	1081.80	1117.50	1079.77	1116.79	10233943.00	8376560128	1099.285	1100.41	1092.636			
2004/01/13	1120.14	1123.65	1089.63	1102.34	9837189.00	7989279744	1109.565	1100.303	1097.974			
2004/01/14	1101.44	1101.66	1076.86	1079.72	7120499.00	5343569920	1091.03	1099.617	1096.658			
2004/01/15	1078.53	1088.67	1070.72	1073.97	6179207.00	4755870208	1076.845	1085.343	1090.92	1079.135		
2004/01/16	1076.63	1087.81	1067.84	1083.65	7174167.00	5520309760	1078.81	1079.113	1091.294	1086.366		
2004/01/29	1086.65	1101.02	1084.45	1100.60	5791230.00	4529580032	1092.125	1086.073	1088.056	1090.346		
2004/01/30	1102.17	1103.69	1066.44	1067.55	7761118.00	5943969792	1084.075	1083.933	1081.098	1089.536		
2004/02/02	1107.49	1116.31	1069.96	1091.72	15432922.00	11668199424	1079.635	1086.623	1083.498	1090.078		
2004/02/03	1091.86	1103.24	1084.39	1102.95	8411107.00	6827910144	1097.335	1087.407	1089.294	1090.107		
2004/02/04	1104.74	1126.82	1104.74	1126.62	7148542.00	6150569984	1114.785	1107.097	1097.888	1094.591		
2004/02/05	1135.61	1136.42	1118.16	1127.89	9774314.00	8521829888	1127.255	1119.153	1103.346	1095.701		
2004/02/06	1125.48	1139.08	1108.90	1122.08	11140337.00	9086949376	1124.985	1125.53	1114.252	1097.675		
2004/02/09	1122.28	1134.91	1122.27	1134.61	8598305.00	7038850048	1128.345	1128.193	1122.83	1103.164		
2004/02/10	1137.71	1141.99	1116.92	1120.96	8662780.00	7084270080	1127.785	1125.883	1126.432	1107.863	1093.499	
2004/02/11	1121.80	1123.76	1100.23	1110.06	9246320.00	7161099776	1115.51	1121.877	1123.12	1110.504	1098.435	
2004/02/12	1110.83	1122.48	1092.29	1094.11	9581597.00	7735860224	1102.085	1108.377	1116.364	1109.855	1100.1	
2004/02/13	1094.00	1105.81	1088.85	1096.36	6904821.00	5758470144	1095.235	1100.177	1111.22	1112.736	1101.136	
2004/02/16	1098.85	1119.96	1098.85	1116.19	5582548.00	4382649856	1106.275	1102.22	1107.536	1115.183	1102.63	
2004/02/17	1127.09	1132.71	1121.27	1123.61	8815897.00	7856929792	1119.9	1112.053	1108.066	1117.249	1103.678	
2004/02/18	1123.70	1136.53	1119.62	1129.27	8093711.00	7208800256	1126.44	1123.023	1111.908	1117.514	1106.052	
2004/02/19	1130.39	1138.08	1119.66	1122.38	7130805.00	6217180160	1125.825	1125.087	1117.562	1116.963	1106.332	
2004/02/20	1122.93	1125.37	1112.94	1124.66	5988759.00	5258599936	1123.52	1125.437	1123.222	1117.221	1107.448	
2004/02/23	1126.23	1129.52	1092.01	1093.13	8802509.00	7258270208	1108.895	1113.39	1118.61	1113.073	1108.119	
2004/02/24	1090.25	1095.93	1072.32	1093.10	8449382.00	6881090048	1093.115	1103.63	1112.508	1110.287	1109.075	
2004/02/25	1094.43	1104.34	1067.12	1070.36	8064055.00	6373120000	1081.73	1085.53	1100.726	1106.317	1108.411	
2004/02/26	1068.12	1080.23	1061.19	1079.89	8100890.00	6041580032	1075.125	1081.117	1092.228	1104.895	1107.375	
2004/02/27	1081.71	1090.89	1079.93	1088.72	7293069.00	5654380032	1084.305	1079.657	1085.04	1104.131	1108.433	
2004/03/01	1089.65	1095.23	1076.07	1094.24	6441715.00	5297529856	1091.48	1087.617	1085.262	1101.936	1108.559	
2004/03/02	1096.10	1099.71	1086.72	1093.39	5577318.00	4608229888	1093.815	1092.117	1085.32	1098.914	1108.082	
2004/03/03	1093.35	1093.74	1067.94	1072.63	5214819.00	4177169920	1083.01	1086.753	1085.774	1093.25	1105.382	
2004/03/04	1070.90	1079.26	1061.88	1078.34	4810433.00	3854360064	1075.485	1081.453	1085.464	1088.846	1102.905	
2004/03/05	1080.33	1083.14	1070.30	1071.58	3365027.00	2754909952	1074.96	1074.183	1082.036	1083.538	1100.38	
2004/03/08	1070.11	1075.74	1056.04	1057.10	4599849.00	3706589952	1064.34	1069.007	1074.608	1079.935	1096.504	
2004/03/09	1057.35	1075.22	1056.88	1061.15	6918021.00	4876680192	1059.125	1063.277	1068.16	1076.74	1093.514	
2004/03/10	1062.97	1091.34	1062.97	1091.09	6113973.00	4768359936	1076.12	1069.78	1071.852	1078.813	1092.565	
2004/03/11	1092.74	1102.22	1086.54	1095.56	5761791.00	4817169920	1093.325	1082.6	1075.296	1080.38	1092.637	
2004/03/12	1096.34	1102.12	1088.44	1099.08	5236097.00	4158680064	1097.32	1095.243	1080.796	1081.416	1092.773	
2004/03/15	1100.40	1134.28	1100.14	1131.67	10252069.00	8500639744	1115.375	1108.77	1095.71	1085.159	1093.547	
2004/03/16	1136.27	1139.48	1127.85	1135.57	7329359.00	6223969792	1133.62	1122.107	1110.594	1089.377	1094.146	
2004/03/17	1136.45	1139.27	1124.60	1135.16	5489802.00	4842840064	1135.365	1134.133	1119.408	1095.63	1094.44	
2004/03/18	1134.92	1141.80	1110.31	1111.84	6869805.00	5785900032	1123.5	1127.523	1122.664	1098.98	1093.913	
2004/03/19	1110.44	1130.26	1107.10	1129.77	5885994.00	4782870016	1120.805	1125.59	1128.802	1104.799	1094.168	
2004/03/22	1130.86	1141.81	1126.19	1134.78	5093686.00	4319529984	1132.275	1125.463	1129.424	1112.567	1096.251	
2004/03/23	1133.99	1134.12	1115.67	1121.33	5587535.00	4644460032	1128.055	1128.627	1126.576	1118.585	1097.662	
2004/03/24	1120.20	1125.06	1109.33	1115.51	4800139.00	4213860096	1118.42	1123.873	1122.646	1121.027	1099.92	
2004/03/25	1114.74	1126.18	1108.17	1115.23	4609216.00	3777129984	1115.37	1117.357	1123.324	1122.994	1101.687	
2004/03/26	1115.49	1118.72	1105.55	1112.78	5394547.00	4629499904	1114.005	1114.507	1119.926	1124.364	1102.89	
2004/03/29	1112.27	1115.05	1100.42	1101.65	5336270.00	4156400128	1107.215	1109.887	1113.3	1121.362	1103.26	
2004/03/30	1100.79	1106.01	1093.11	1101.27	4158677.00	3465939968	1101.46	1105.233	1109.288	1117.932	1103.655	
2004/03/31	1102.28	1113.73	1097.86	1108.54	4247860.00	3468940032	1104.905	1103.82	1107.894	1115.27	1105.45	
2004/04/01	1109.72	1124.25	1108.91	1123.43	4682707.00	3975830016	1115.985	1111.08	1109.534	1116.429	1107.704	
2004/04/02	1125.36	1133.43	1122.64	1127.80	5788954.00	4954570240	1125.615	1119.923	1112.538	1116.232	1110.516	
2004/04/05	1128.50	1129.81	1112.29	1118.27	6259749.00	5142210048	1123.035	1123.167	1115.862	1114.581	1113.574	
2004/04/06	1117.88	1124.01	1106.60	1123.85	5545980.00	4525590016	1121.06	1123.307	1120.378	1114.833	1116.709	1101.24
2004/04/07	1124.25	1125.63	1116.12	1117.44	4674499.00	4104679936	1120.645	1119.853	1122.158	1115.026	1118.026	1103.009
2004/04/08	1117.11	1118.47	1109.77	1112.83	5758736.00	4997159936	1115.135	1118.04	1120.038	1114.786	1118.89	1103.876
2004/04/09	1113.72	1119.14	1083.33	1088.15	6921966.00	5577010176	1100.49	1106.14	1112.108	1112.323	1118.344	1104.084
2004/04/12	1082.44	1087.47	1071.11	1080.08	5021174.00	3920290048	1084.115	1093.687	1104.47	1110.166	1115.764	1103.981
2004/04/13	1081.05	1087.32	1070.84	1072.72	4958853.00	3738540032	1076.4	1080.317	1094.244	1107.311	1112.621	1103.482
2004/04/14	1072.19	1074.62	1052.91	1065.68	4838037.00	3806040064	1069.2	1072.827	1083.892	1103.025	1109.147	1103.213
2004/04/15	1066.18	1072.23	1053.07	1055.88	3601203.00	2762240000	1060.78	1064.76	1072.502	1096.27	1106.349	1102.198
2004/04/16	1056.79	1071.55	1049.02	1071.22	4437637.00	3409110016	1063.55	1064.26	1069.116	1090.612	1103.422	1101.679
2004/04/19	1072.49	1073.39	1052.50	1054.73	4078683.00	2964930048	1062.975	1060.61	1064.046	1084.258	1099.42	1101.263
2004/04/20	1053.43	1059.41	1045.20	1052.24	3393887.00	2559569920	1053.485	1059.397	1059.95	1077.097	1095.965	1100.901
2004/04/21	1053.37	1061.65	1040.37	1043.53	4492804.00	3406299904	1047.885	1050.167	1055.52	1069.706	1092.366	1100.232
2004/04/22	1042.47	1055.21	1039.35	1050.75	4135646.00	3094109952	1047.14	1048.84	1054.494	1063.498	1089.142	1099.401
2004/04/23	1048.23	1048.26	1032.86	1034.40	3236349.00	2428800000	1042.575	1042.893	1047.13	1058.123	1085.223	1098.849
2004/04/26	1034.04	1041.59	1030.05	1038.99	2507985.00	1895929984	1036.695	1041.38	1043.982	1054.014	1082.09	1097.97
