'000001'	上证指数	周线
日期	开盘	最高	最低	收盘	成交量	成交额	涨数	跌数
1990/12/21	96.05	109.13	95.79	109.13	1485.00	595399	5	0
1990/12/28	113.57	126.45	109.13	126.45	321.00	283978	5	0
1991/01/04	126.56	131.44	126.48	131.44	730.00	474950	5	0
1991/01/11	131.99	134.61	131.45	134.60	32063.00	17692512	6	1
1991/01/18	134.11	135.19	133.65	134.24	18147.00	10069172	2	3
1991/01/25	133.70	134.24	132.03	132.05	8804.00	4425658	2	4
1991/02/01	131.46	131.55	129.45	129.51	7876.00	3922548	2	1
1991/02/08	129.05	130.39	128.06	130.38	19123.00	10755686	4	0
1991/02/14	130.92	132.53	130.39	132.53	17867.00	9378669	4	1
1991/02/22	133.12	134.87	133.08	134.87	9271.00	5512402	5	1
1991/03/01	134.37	134.87	132.47	132.53	11500.00	8273978	3	1
1991/03/08	132.09	132.09	129.84	129.89	5720.00	4667358	1	4
1991/03/15	129.30	129.89	125.08	125.17	3085.00	2146980	3	3
1991/03/22	124.70	125.17	122.62	122.62	3178.00	2577684	0	4
1991/03/29	122.12	122.62	120.11	120.19	5421.00	4091058	4	2
1991/04/05	120.69	122.20	119.68	121.54	36984.00	18112904	3	2
1991/04/12	121.11	121.11	119.15	119.21	3286.00	3132341	2	3
1991/04/19	118.73	119.22	117.05	117.08	1431.00	1382294	4	2
1991/04/26	116.63	117.08	114.52	115.56	15709.00	7513185	5	2
1991/05/03	114.86	116.29	112.30	112.41	18956.00	9855812	2	3
1991/05/10	111.65	112.41	108.53	108.53	7566.00	4234532	3	4
1991/05/17	107.88	107.88	104.96	106.75	24192.00	9754407	6	1
1991/05/24	107.76	110.08	106.71	110.08	26944.00	13632290	6	1
1991/05/31	111.05	114.83	109.47	114.83	12378.00	8342822	5	0
1991/06/07	115.90	120.47	114.89	120.47	5231.00	4184708	6	0
1991/06/14	121.65	126.34	120.47	124.53	29816.00	16674173	3	4
1991/06/21	125.63	130.86	123.54	130.86	26356.00	14883692	7	0
1991/06/28	132.10	137.56	131.80	137.56	16425.00	10657974	7	0
1991/07/05	136.64	138.62	134.19	135.96	56427.00	35572488	4	3
1991/07/12	135.26	136.57	132.42	132.80	28556.00	13897346	5	2
1991/07/19	133.90	138.54	131.87	136.70	27064.00	12968168	6	1
1991/07/26	138.07	141.46	136.70	140.66	33662.00	16474942	5	0
1991/08/02	141.22	146.68	140.81	146.68	30898.00	15197191	7	0
1991/08/09	148.06	154.10	146.68	154.10	13900.00	7275539	5	0
1991/08/16	155.34	161.60	154.10	161.60	31959.00	17045278	6	0
1991/08/23	163.21	169.81	161.60	169.81	6870.00	4457904	6	0
1991/08/30	171.51	178.43	169.81	178.43	11610.00	7398740	6	0
1991/09/06	180.08	187.36	178.43	187.36	7812.00	5153687	7	0
1991/09/13	189.10	190.98	185.01	187.79	115511.00	78835456	6	1
1991/09/20	189.55	191.18	185.66	185.92	90098.00	58007824	3	3
1991/09/27	185.00	185.92	181.19	181.82	47118.00	29780128	3	3
1991/10/04	180.28	184.29	179.80	184.29	51695.00	39705948	6	0
1991/10/11	185.95	192.88	185.41	192.85	73722.00	47558168	7	0
1991/10/18	194.06	202.51	192.32	202.51	51102.00	34007628	7	0
1991/10/25	204.53	211.97	202.51	211.86	60295.00	41452952	5	0
1991/11/01	213.50	220.72	211.86	220.72	18129.00	13470078	6	0
1991/11/08	222.77	231.22	220.79	231.22	29366.00	22890222	7	0
1991/11/15	233.48	238.25	231.22	238.25	7088.00	6780092	4	0
1991/11/22	240.04	248.53	238.25	248.53	10808.00	9489433	5	0
1991/11/29	250.84	259.85	248.53	259.60	43102.00	36753232	5	1
1991/12/06	261.78	269.35	259.67	269.35	24634.00	22320216	7	0
1991/12/13	270.27	277.00	269.35	277.00	5139.00	5779797	5	0
1991/12/20	277.53	282.83	277.00	282.83	7320.00	9976711	5	0
1991/12/27	285.65	290.85	282.83	290.85	4824.00	5861067	6	0
1992/01/03	291.71	296.52	290.85	296.52	4113.00	5921758	6	0
1992/01/10	297.68	301.83	296.52	301.83	7499.00	10104991	6	0
1992/01/17	302.83	307.38	302.00	307.38	2244.00	3081256	2	0
