'164906'	中国互联	日线
日期	开盘	最高	最低	收盘
2015/07/10	0.846	0.916	0.846	0.916
2015/07/13	0.968	1.008	0.968	1.008
2015/07/14	1.109	1.109	1.109	1.109
2015/07/15	1.110	1.220	1.110	1.220
2015/07/16	1.098	1.098	1.098	1.098
2015/07/17	0.988	0.988	0.988	0.988
2015/07/20	0.889	0.931	0.889	0.896
2015/07/21	0.898	0.899	0.881	0.888
2015/07/22	0.892	0.896	0.883	0.889
2015/07/23	0.891	0.898	0.884	0.895
2015/07/24	0.899	0.899	0.880	0.883
2015/07/27	0.877	0.877	0.845	0.847
2015/07/28	0.823	0.839	0.811	0.829
2015/07/29	0.831	0.844	0.830	0.843
2015/07/30	0.844	0.846	0.822	0.822
2015/07/31	0.834	0.838	0.824	0.830
2015/08/03	0.829	0.831	0.819	0.822
2015/08/04	0.820	0.863	0.820	0.844
2015/08/05	0.844	0.844	0.834	0.840
2015/08/06	0.840	0.852	0.840	0.846
2015/08/07	0.845	0.853	0.843	0.849
2015/08/10	0.849	0.901	0.840	0.876
2015/08/11	0.876	0.928	0.800	0.876
2015/08/12	0.860	0.878	0.840	0.856
2015/08/13	0.850	0.850	0.828	0.846
2015/08/14	0.857	0.857	0.832	0.833
2015/08/17	0.841	0.847	0.830	0.841
2015/08/18	0.841	0.845	0.815	0.819
2015/08/19	0.818	0.827	0.813	0.825
2015/08/20	0.818	0.818	0.808	0.810
2015/08/21	0.796	0.796	0.769	0.771
2015/08/24	0.756	0.756	0.696	0.697
2015/08/25	0.695	0.719	0.646	0.686
2015/08/26	0.707	0.720	0.704	0.720
2015/08/27	0.732	0.739	0.725	0.738
2015/08/28	0.756	0.798	0.756	0.771
2015/08/31	0.771	0.771	0.751	0.760
2015/09/01	0.760	0.760	0.736	0.741
2015/09/02	0.716	0.779	0.711	0.724
2015/09/07	0.736	0.738	0.718	0.722
2015/09/08	0.722	0.727	0.708	0.725
2015/09/09	0.739	0.755	0.731	0.755
2015/09/10	0.749	0.749	0.723	0.736
2015/09/11	0.721	0.741	0.721	0.740
2015/09/14	0.730	0.740	0.723	0.724
2015/09/15	0.720	0.722	0.710	0.716
2015/09/16	0.727	0.749	0.721	0.744
2015/09/17	0.749	0.760	0.749	0.755
2015/09/18	0.750	0.759	0.750	0.759
2015/09/21	0.759	0.759	0.743	0.754
2015/09/22	0.754	0.759	0.750	0.757
2015/09/23	0.750	0.750	0.732	0.736
2015/09/24	0.734	0.740	0.733	0.739
2015/09/25	0.740	0.749	0.722	0.735
2015/09/28	0.730	0.746	0.722	0.737
2015/09/29	0.734	0.734	0.711	0.716
2015/09/30	0.720	0.729	0.716	0.720
2015/10/08	0.778	0.792	0.778	0.785
2015/10/09	0.786	0.799	0.758	0.784
2015/10/12	0.791	0.818	0.791	0.811
2015/10/13	0.811	0.815	0.801	0.802
2015/10/14	0.794	0.803	0.790	0.790
2015/10/15	0.790	0.798	0.785	0.798
2015/10/16	0.806	0.810	0.798	0.805
2015/10/19	0.822	0.831	0.819	0.824
2015/10/20	0.825	0.835	0.825	0.831
2015/10/21	0.831	0.836	0.820	0.822
2015/10/22	0.822	0.830	0.810	0.823
2015/10/23	0.832	0.840	0.832	0.835
2015/10/26	0.838	0.860	0.838	0.850
2015/10/27	0.858	0.878	0.858	0.876
2015/10/28	0.890	0.900	0.878	0.890
2015/10/29	0.890	0.920	0.890	0.908
2015/10/30	0.908	0.950	0.900	0.900
2015/11/02	0.905	0.905	0.878	0.883
2015/11/03	0.899	0.904	0.893	0.902
2015/11/04	0.908	0.908	0.897	0.907
2015/11/05	0.910	0.918	0.908	0.913
2015/11/06	0.915	0.915	0.907	0.914
2015/11/09	0.919	0.929	0.919	0.925
2015/11/10	0.923	0.923	0.900	0.909
2015/11/11	0.905	0.926	0.901	0.924
2015/11/12	0.924	0.925	0.912	0.916
2015/11/13	0.922	0.934	0.906	0.917
2015/11/16	0.907	0.907	0.878	0.902
2015/11/17	0.902	0.920	0.902	0.906
2015/11/18	0.904	0.919	0.902	0.902
2015/11/19	0.912	0.917	0.904	0.914
2015/11/20	0.915	0.920	0.908	0.920
2015/11/23	0.928	0.939	0.928	0.935
2015/11/24	0.948	0.948	0.936	0.939
2015/11/25	0.940	0.941	0.934	0.941
2015/11/26	0.945	0.945	0.940	0.944
2015/11/27	0.943	0.943	0.918	0.926
2015/11/30	0.925	0.931	0.917	0.928
2015/12/01	0.940	0.949	0.935	0.948
2015/12/02	0.950	0.954	0.947	0.953
2015/12/03	0.956	0.960	0.946	0.955
2015/12/04	0.949	0.949	0.936	0.944
2015/12/07	0.949	0.964	0.949	0.962
2015/12/08	0.960	0.960	0.940	0.960
2015/12/09	0.945	0.957	0.945	0.951
2015/12/10	0.932	0.955	0.932	0.950
