'399005'	中小板指	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6
2006/01/24	1457.21	1471.20	1446.43	1459.19	906549.00	788028992						
2006/01/25	1456.08	1463.72	1414.45	1430.01	1156780.00	924779008	1444.6					
2006/02/06	1433.44	1482.33	1433.44	1482.33	812891.00	731032000	1456.17	1457.177				
2006/02/07	1483.45	1485.68	1450.15	1463.91	1026231.00	935385024	1473.12	1458.75				
2006/02/08	1459.66	1469.49	1446.54	1469.49	609552.00	537168000	1466.7	1471.91	1460.986			
2006/02/09	1470.10	1481.80	1463.43	1465.88	729756.00	622900992	1467.685	1466.427	1462.324			
2006/02/10	1468.71	1485.81	1467.04	1485.81	780154.00	641062016	1475.845	1473.727	1473.484			
2006/02/13	1488.58	1511.61	1488.58	1508.13	778499.00	711721984	1496.97	1486.607	1478.644			
2006/02/14	1508.66	1529.09	1506.20	1527.94	682076.00	666246976	1518.035	1507.293	1491.45			
2006/02/15	1529.76	1533.49	1513.07	1516.94	730321.00	648380992	1522.44	1517.67	1500.94	1480.963		
2006/02/16	1517.42	1517.79	1461.28	1465.29	953169.00	806921024	1491.115	1503.39	1500.822	1481.573		
2006/02/17	1463.23	1473.73	1440.04	1440.04	790989.00	692038976	1452.665	1474.09	1491.668	1482.576		
2006/02/20	1432.93	1436.11	1395.42	1396.41	799557.00	645323008	1418.225	1433.913	1469.324	1473.984		
2006/02/21	1389.61	1434.70	1383.95	1434.70	699578.00	554539008	1415.555	1423.717	1450.676	1471.063		
2006/02/22	1437.22	1445.27	1423.45	1425.00	669154.00	536820992	1429.85	1418.703	1432.288	1466.614		
2006/02/23	1421.51	1425.80	1400.00	1413.08	597853.00	461190016	1419.04	1424.26	1421.846	1461.334		
2006/02/24	1412.93	1445.91	1412.93	1442.34	666668.00	521732992	1427.71	1426.807	1422.306	1456.987		
2006/02/27	1444.13	1444.14	1416.22	1423.14	498620.00	415198016	1432.74	1426.187	1427.652	1448.488		
2006/02/28	1421.18	1438.80	1402.16	1438.80	482814.00	430260992	1430.97	1434.76	1428.472	1439.574		
2006/03/01	1439.09	1477.52	1435.52	1472.62	629413.00	608708992	1455.71	1444.853	1437.996	1435.142	1458.052	
2006/03/02	1472.09	1472.09	1424.47	1432.49	640209.00	571686976	1452.555	1447.97	1441.878	1431.862	1456.718	
2006/03/03	1430.01	1440.65	1414.38	1439.11	607480.00	543820992	1435.8	1448.073	1441.232	1431.769	1457.172	
2006/03/06	1439.78	1447.47	1429.66	1436.69	446774.00	388392992	1437.9	1436.097	1443.942	1435.797	1454.891	
2006/03/07	1435.28	1435.28	1389.86	1391.45	509867.00	426459008	1414.07	1422.417	1434.472	1431.472	1451.267	
2006/03/08	1387.41	1405.07	1377.71	1399.76	398050.00	339001984	1395.605	1409.3	1419.9	1428.948	1447.781	
2006/03/09	1398.59	1406.91	1391.04	1394.22	409678.00	299505984	1396.99	1395.143	1412.246	1427.062	1444.198	
2006/03/10	1395.38	1404.74	1389.64	1397.12	296558.00	241283008	1395.67	1397.033	1403.848	1422.54	1439.763	
2006/03/13	1393.58	1410.59	1389.02	1404.17	319889.00	269326016	1400.645	1398.503	1397.344	1420.643	1434.565	
2006/03/14	1403.57	1409.25	1398.75	1406.65	314848.00	265182000	1405.41	1402.647	1400.384	1417.428	1428.501	
2006/03/15	1405.41	1430.89	1404.30	1429.41	450613.00	405990016	1418.03	1413.41	1406.314	1413.107	1424.125	
2006/03/16	1429.59	1432.05	1419.59	1431.95	373705.00	332352992	1430.68	1422.67	1413.86	1413.053	1422.458	
2006/03/17	1433.13	1435.05	1420.22	1424.81	362333.00	291022016	1428.38	1428.723	1419.398	1411.623	1421.696	
2006/03/20	1426.15	1438.36	1413.73	1438.36	437201.00	353040000	1431.585	1431.707	1426.236	1411.79	1423.793	
2006/03/21	1439.13	1452.00	1435.12	1443.41	539900.00	426918016	1440.885	1435.527	1433.588	1416.986	1424.229	
2006/03/22	1443.60	1464.01	1438.34	1464.01	492729.00	403478016	1453.71	1448.593	1440.508	1423.411	1426.179	
2006/03/23	1462.73	1492.53	1462.73	1488.75	826167.00	667809984	1476.38	1465.39	1451.868	1432.864	1429.963	
2006/03/24	1488.72	1491.38	1469.37	1473.55	657308.00	539080000	1481.15	1475.437	1461.616	1440.507	1431.524	
2006/03/27	1476.54	1491.65	1469.74	1491.65	714107.00	524956992	1482.6	1484.65	1472.274	1449.255	1434.949	
2006/03/28	1494.35	1507.82	1490.81	1504.68	619008.00	558700032	1498.165	1489.96	1484.528	1459.058	1438.243	
2006/03/29	1504.50	1522.46	1501.67	1510.23	726755.00	640011008	1507.455	1502.187	1493.772	1467.14	1440.124	
2006/03/30	1508.17	1514.26	1489.33	1490.96	627525.00	552113984	1500.595	1501.957	1494.214	1473.041	1443.047	
2006/03/31	1488.63	1506.64	1481.98	1506.00	557902.00	510032000	1498.48	1502.397	1500.704	1481.16	1446.391	
2006/04/03	1505.25	1549.39	1505.25	1549.39	801232.00	772262016	1527.695	1515.45	1512.252	1492.263	1452.026	
2006/04/04	1556.17	1578.79	1546.09	1578.79	827789.00	849561984	1564.09	1544.727	1527.074	1505.801	1461.394	
2006/04/05	1582.28	1622.68	1582.28	1608.91	1133894.00	1045017024	1593.85	1579.03	1546.81	1520.291	1471.851	
2006/04/06	1607.51	1620.66	1592.90	1597.17	967368.00	887545984	1603.04	1594.957	1568.052	1531.133	1481.999	
2006/04/07	1596.53	1599.35	1574.99	1591.73	818489.00	734208000	1594.45	1599.27	1585.198	1542.951	1491.729	
2006/04/10	1595.62	1631.23	1595.62	1627.15	987783.00	905923968	1609.44	1605.35	1600.75	1556.501	1502.878	
2006/04/11	1629.25	1635.92	1617.87	1627.91	958736.00	829168000	1627.53	1615.597	1610.574	1568.824	1513.941	
2006/04/12	1627.96	1641.44	1620.77	1627.92	1080280.00	870376000	1627.915	1627.66	1614.376	1580.593	1523.866	
2006/04/13	1626.03	1643.77	1582.75	1582.75	1110266.00	985417024	1605.335	1612.86	1611.492	1589.772	1531.406	
2006/04/14	1571.25	1632.16	1569.84	1631.31	1026058.00	892588992	1607.03	1613.993	1619.408	1602.303	1541.732	
2006/04/17	1630.53	1685.67	1622.90	1671.56	1634015.00	1373035008	1651.435	1628.54	1628.29	1614.52	1553.391	
2006/04/18	1675.50	1675.60	1643.02	1653.00	1217575.00	1055996992	1662.28	1651.957	1633.308	1621.941	1563.871	
2006/04/19	1650.67	1669.46	1630.40	1667.83	1069231.00	1043372032	1660.415	1664.13	1641.29	1627.833	1574.062	
2006/04/20	1665.80	1669.31	1641.10	1654.09	1006947.00	932974016	1660.96	1658.307	1655.558	1633.525	1582.329	
2006/04/21	1646.30	1691.18	1626.99	1681.89	1164354.00	1098134016	1667.99	1667.937	1665.674	1642.541	1592.746	
2006/04/24	1681.50	1681.74	1628.48	1642.61	1360081.00	1218019968	1662.25	1659.53	1659.884	1644.087	1600.294	
2006/04/25	1632.94	1638.50	1602.15	1620.85	978851.00	861739008	1631.73	1648.45	1653.454	1643.381	1606.103	
2006/04/26	1618.06	1683.66	1612.80	1678.62	1117223.00	1096699008	1649.735	1647.36	1655.612	1648.451	1614.522	1504.233
2006/04/27	1678.87	1680.28	1644.59	1657.68	896607.00	859606016	1668.15	1652.383	1656.33	1655.944	1622.858	1507.541
2006/04/28	1638.91	1738.94	1615.52	1723.09	1451123.00	1403682944	1690.385	1686.463	1664.57	1665.122	1633.713	1512.426
2006/05/08	1724.51	1750.02	1724.51	1748.23	1222532.00	1135405952	1735.66	1709.667	1685.694	1672.789	1643.655	1516.857
2006/05/09	1753.17	1823.99	1741.95	1813.30	1458156.00	1315931008	1780.765	1761.54	1724.184	1688.819	1655.38	1522.68
2006/05/10	1854.31	1862.09	1820.01	1854.92	1419283.00	1421364992	1834.11	1805.483	1759.444	1707.528	1667.681	1529.104
2006/05/11	1855.95	1930.21	1840.30	1843.41	1932344.00	1792002944	1849.165	1837.21	1796.59	1726.46	1679.993	1535.396
2006/05/12	1842.65	1930.05	1834.43	1930.05	1703256.00	1496886016	1886.73	1876.127	1837.982	1751.276	1696.909	1542.8
2006/05/15	1977.01	2033.06	1940.85	2033.06	2238311.00	2023672960	1981.555	1935.507	1894.948	1790.321	1717.204	1551.549
2006/05/16	2038.42	2043.87	1918.43	1925.14	2152482.00	2046557056	1979.1	1962.75	1917.316	1820.75	1732.066	1558.169
2006/05/17	1921.32	1962.84	1884.14	1922.06	1650084.00	1605355008	1923.6	1960.087	1930.744	1845.094	1746.772	1564.921
2006/05/18	1916.03	1980.82	1881.24	1973.58	1488949.00	1358662016	1947.82	1940.26	1956.778	1876.684	1766.314	1573.393
2006/05/19	1979.85	2110.11	1979.85	2107.81	2445353.00	2206642944	2040.695	2001.15	1992.33	1915.156	1790.139	1584.522
2006/05/22	2135.32	2174.99	2110.54	2121.52	2431269.00	2263279104	2114.665	2067.637	2010.022	1952.485	1812.637	1596.607
2006/05/23	2096.69	2096.69	1972.79	1972.79	1874388.00	1838168960	2047.155	2067.373	2019.552	1968.434	1828.626	1605.576
2006/05/24	1973.19	2015.72	1888.24	1924.73	1455313.00	1297108992	1948.76	2006.347	2020.086	1975.415	1841.472	1613.904
2006/05/25	1920.18	1967.27	1902.87	1957.63	942281.00	834577984	1941.18	1951.717	2016.896	1986.837	1856.649	1622.98
2006/05/26	1970.86	2024.14	1966.47	2020.89	1347626.00	1220882944	1989.26	1967.75	1999.512	1995.921	1873.599	1632.623
2006/05/29	2047.90	2072.87	2026.35	2063.19	1359732.00	1226164992	2042.04	2013.903	1987.846	1998.934	1894.628	1643.29
2006/05/30	2074.85	2079.45	2030.21	2079.21	1310889.00	1240088064	2071.2	2054.43	2009.13	2014.341	1917.546	1653.964
2006/05/31	2078.18	2106.69	2056.79	2085.91	1497278.00	1426924032	2082.56	2076.103	2041.366	2030.726	1937.91	1664.185
2006/06/01	2089.11	2195.06	2089.11	2195.06	2127938.00	1985318016	2140.485	2120.06	2088.852	2052.874	1964.779	1676.895
2006/06/02	2215.14	2238.62	2162.69	2225.94	2365935.00	2276130048	2210.5	2168.97	2129.862	2064.687	1989.922	1690.009
2006/06/05	2233.87	2305.74	2233.87	2298.22	2095544.00	2069383936	2262.08	2239.74	2176.868	2082.357	2017.421	1704.367
2006/06/06	2286.60	2286.60	2200.42	2210.47	1451220.00	1439697024	2254.345	2244.877	2203.12	2106.125	2037.28	1718.018
2006/06/07	2203.80	2206.45	2038.09	2038.09	1597572.00	1470616960	2124.28	2182.26	2193.556	2117.461	2046.438	1728.656
2006/06/08	2005.84	2067.08	1977.46	2067.08	1310495.00	1182488960	2052.585	2105.213	2167.96	2128.406	2057.622	1739.871
2006/06/09	2069.97	2129.54	2043.99	2103.23	1235528.00	1246450048	2085.155	2069.467	2143.418	2136.64	2066.281	1751.639
2006/06/12	2083.31	2145.41	2061.38	2141.83	777000.00	817350976	2122.53	2104.047	2112.14	2144.504	2071.719	1763.934
2006/06/13	2152.91	2171.85	2133.10	2152.21	832125.00	874043008	2147.02	2132.423	2100.488	2151.804	2083.073	1776.36
2006/06/14	2141.46	2157.45	2096.55	2156.92	695035.00	708108032	2154.565	2150.32	2124.254	2158.905	2094.815	1788.485
2006/06/15	2154.85	2197.46	2144.88	2168.73	883854.00	896921984	2162.825	2159.287	2144.584	2156.272	2104.573	1800.765
2006/06/16	2177.24	2232.63	2177.24	2232.63	1370669.00	1334096000	2200.68	2186.093	2170.464	2156.941	2110.814	1814.228
2006/06/19	2230.49	2245.65	2202.95	2218.64	1413100.00	1305095936	2225.635	2206.667	2185.826	2148.983	2115.67	1827.233
2006/06/20	2205.67	2243.87	2198.67	2240.22	1168379.00	1126194048	2229.43	2230.497	2203.428	2151.958	2129.042	1840.513
2006/06/21	2242.13	2245.58	2215.45	2222.55	982156.00	938419008	2231.385	2227.137	2216.554	2170.404	2143.932	1853.155
2006/06/22	2254.93	2254.93	2174.12	2192.13	926363.00	922840000	2207.34	2218.3	2221.234	2182.909	2155.657	1864.878
2006/06/23	2183.52	2190.55	2153.09	2190.48	776444.00	707736000	2191.305	2201.72	2212.804	2191.634	2164.137	1876.827
2006/06/26	2182.41	2216.13	2181.92	2213.58	995259.00	929297984	2202.03	2198.73	2211.792	2198.809	2171.656	1888.859
2006/06/27	2221.52	2235.30	2201.69	2231.56	1265442.00	1488702976	2222.57	2211.873	2210.06	2206.744	2179.274	1900.974
2006/06/28	2231.42	2243.68	2221.12	2226.89	1303592.00	1528460032	2229.225	2224.01	2210.928	2213.741	2186.323	1912.918
2006/06/29	2225.15	2264.66	2225.15	2264.38	1602049.00	1824865024	2245.635	2240.943	2225.378	2223.306	2189.789	1925.809
2006/06/30	2269.11	2274.57	2221.32	2231.10	1428887.00	1472486016	2247.74	2240.79	2233.502	2223.153	2190.047	1937.894
2006/07/03	2230.99	2240.58	2220.86	2240.58	1368865.00	1436594048	2235.84	2245.353	2238.902	2225.347	2187.165	1949.413
2006/07/04	2241.40	2246.71	2209.16	2223.79	1441797.00	1434788992	2232.185	2231.823	2237.348	2223.704	2187.831	1960.163
2006/07/05	2219.05	2231.27	2192.27	2224.11	1268358.00	1221440000	2223.95	2229.493	2236.792	2223.86	2197.132	1970.417
2006/07/06	2223.11	2289.70	2221.54	2285.19	1833849.00	1881074944	2254.65	2244.363	2240.954	2233.166	2208.038	1981.884
2006/07/07	2291.62	2297.06	2247.78	2256.15	1719376.00	1791444992	2270.67	2255.15	2245.964	2239.733	2215.684	1992.958
2006/07/10	2248.73	2282.79	2239.91	2279.94	1686358.00	1656818944	2268.045	2273.76	2253.836	2246.369	2222.589	2003.837
2006/07/11	2277.86	2319.06	2266.82	2314.49	1854428.00	1887094016	2297.215	2283.527	2271.976	2254.662	2230.703	2015.28
2006/07/12	2306.41	2320.28	2283.88	2289.53	1595273.00	1606130944	2302.01	2294.653	2285.06	2260.926	2237.333	2026.307
2006/07/13	2281.46	2286.24	2149.14	2167.15	2388829.00	2308934912	2228.34	2257.057	2261.452	2251.203	2237.254	2036.047
2006/07/14	2141.53	2205.48	2134.05	2186.49	1428966.00	1310690048	2176.82	2214.39	2247.52	2246.742	2234.948	2045.3
2006/07/17	2172.82	2201.12	2157.32	2201.12	1319663.00	1201625984	2193.805	2184.92	2231.756	2242.796	2234.072	2054.126
2006/07/18	2198.60	2199.72	2171.02	2196.70	975124.00	928868992	2198.91	2194.77	2208.198	2240.087	2231.896	2063.188
2006/07/19	2195.94	2195.94	2123.64	2158.75	1111067.00	1076249984	2177.725	2185.523	2182.042	2233.551	2228.706	2071.37
2006/07/20	2152.12	2177.09	2144.04	2170.06	730991.00	729219008	2164.405	2175.17	2182.624	2222.038	2227.602	2079.969
2006/07/21	2169.45	2198.59	2167.25	2194.89	624481.00	603539008	2182.475	2174.567	2184.304	2215.912	2227.823	2088.519
2006/07/24	2170.81	2185.82	2142.60	2181.15	738015.00	735660032	2188.02	2182.033	2180.31	2206.033	2226.201	2097.495
2006/07/25	2173.63	2207.54	2173.22	2197.73	686047.00	665852032	2189.44	2191.257	2180.516	2194.357	2224.51	2107.11
2006/07/26	2198.26	2205.86	2174.91	2187.73	858470.00	916769984	2192.73	2188.87	2186.312	2184.177	2222.552	2115.595
2006/07/27	2183.98	2187.66	2143.79	2160.90	937153.00	979569984	2174.315	2182.12	2184.48	2183.552	2217.377	2123.982
2006/07/28	2155.37	2159.66	2112.76	2123.43	946371.00	932643008	2142.165	2157.353	2170.188	2177.246	2211.994	2130.654
2006/07/31	2115.14	2115.14	2005.37	2005.55	985940.00	910688000	2064.49	2096.627	2135.068	2157.689	2200.242	2134.943
2006/08/01	2006.85	2022.95	1983.27	1988.35	632113.00	569153024	1996.95	2039.11	2093.192	2136.854	2188.47	2137.86
2006/08/02	1988.77	1999.67	1950.37	1987.38	739894.00	758617984	1987.865	1993.76	2053.122	2119.717	2176.634	2140.068
2006/08/03	1983.18	1995.54	1949.38	1963.95	982558.00	1198573952	1975.665	1979.893	2013.732	2099.106	2160.572	2142.077
2006/08/04	1959.72	1964.04	1898.24	1898.84	879420.00	970470976	1931.395	1950.057	1968.814	2069.501	2142.707	2141.557
2006/08/07	1891.56	1909.66	1865.90	1868.78	781493.00	792796032	1883.81	1910.523	1941.46	2038.264	2122.148	2138.819
2006/08/08	1865.16	1909.42	1865.16	1909.42	708781.00	701862976	1889.1	1892.347	1925.674	2009.433	2101.895	2138.557
2006/08/09	1908.80	1908.80	1882.81	1901.60	673744.00	671907968	1905.51	1893.267	1908.518	1980.82	2082.499	2138.216
2006/08/10	1896.23	1924.52	1893.48	1924.52	621880.00	588899008	1913.06	1911.847	1900.632	1957.182	2070.367	2137.398
2006/08/11	1945.23	1956.65	1919.68	1954.97	1157895.00	1112761984	1939.745	1927.03	1911.858	1940.336	2058.791	2134.851
2006/08/14	1949.68	1972.98	1897.38	1902.56	1085816.00	977672000	1928.765	1927.35	1918.614	1930.037	2043.863	2131.201
2006/08/15	1895.52	1931.84	1891.49	1929.38	833818.00	774174016	1915.97	1928.97	1922.606	1924.14	2030.497	2130.478
2006/08/16	1927.74	1963.23	1923.62	1960.88	896536.00	837230016	1945.13	1930.94	1934.462	1921.49	2020.604	2131.081
2006/08/17	1957.11	1957.11	1923.13	1936.02	924290.00	879678976	1948.45	1942.093	1936.762	1918.697	2008.901	2130.72
2006/08/18	1934.24	1936.87	1910.39	1912.58	685860.00	690252032	1924.3	1936.493	1928.284	1920.071	1994.786	2128.915
2006/08/21	1869.22	1933.27	1850.80	1933.07	922714.00	818630976	1922.825	1927.223	1934.386	1926.5	1982.382	2126.747
2006/08/22	1932.31	1963.25	1927.31	1962.44	1020640.00	936531968	1947.755	1936.03	1940.998	1931.802	1970.617	2124.8
