'000905'	中证500	日线
日期	开盘	最高	最低	收盘
2007/01/15	1881.47	1986.54	1881.47	1986.54
2007/01/16	2002.56	2055.02	1990.87	2055.02
2007/01/17	2064.29	2093.88	1992.54	2035.65
2007/01/18	2025.85	2085.40	2002.66	2085.40
2007/01/19	2097.51	2159.65	2097.51	2159.64
2007/01/22	2183.44	2259.03	2183.44	2258.99
2007/01/23	2267.45	2268.69	2175.60	2261.79
2007/01/24	2260.71	2295.26	2236.57	2283.70
2007/01/25	2271.52	2271.52	2172.98	2174.24
2007/01/26	2143.99	2196.28	2061.66	2186.27
2007/01/29	2201.59	2261.24	2201.59	2260.60
2007/01/30	2271.47	2280.73	2230.65	2255.94
2007/01/31	2251.32	2258.70	2129.79	2142.89
2007/02/01	2120.01	2176.20	2080.16	2165.41
2007/02/02	2170.03	2190.96	2124.30	2127.10
2007/02/05	2122.37	2166.09	2118.87	2152.25
2007/02/06	2158.50	2198.63	2148.10	2198.24
2007/02/07	2209.65	2237.94	2208.38	2237.94
2007/02/08	2245.08	2282.19	2233.52	2278.45
2007/02/09	2282.63	2300.81	2263.61	2287.38
2007/02/12	2291.66	2341.07	2291.66	2341.07
2007/02/13	2351.65	2384.16	2338.57	2384.16
2007/02/14	2386.84	2445.77	2380.74	2435.96
2007/02/15	2451.44	2512.55	2451.32	2512.40
2007/02/16	2528.84	2581.56	2519.23	2541.41
2007/02/26	2557.25	2642.11	2532.10	2642.11
2007/02/27	2654.44	2673.53	2402.72	2405.57
2007/02/28	2370.95	2520.00	2369.05	2513.53
2007/03/01	2526.15	2526.16	2417.84	2459.51
2007/03/02	2458.26	2515.02	2452.97	2503.68
2007/03/05	2508.39	2548.25	2419.29	2511.92
2007/03/06	2501.29	2524.63	2467.68	2516.00
2007/03/07	2525.53	2580.60	2525.47	2580.60
2007/03/08	2587.75	2634.88	2562.50	2634.88
2007/03/09	2637.60	2662.33	2590.44	2638.05
2007/03/12	2639.89	2696.87	2610.40	2696.50
2007/03/13	2701.50	2740.46	2694.38	2727.46
2007/03/14	2704.45	2740.53	2622.76	2708.69
2007/03/15	2703.93	2760.84	2703.57	2760.84
2007/03/16	2769.15	2777.41	2671.96	2710.86
2007/03/19	2623.74	2760.09	2609.31	2751.48
2007/03/20	2761.01	2811.15	2759.00	2810.71
2007/03/21	2821.44	2859.03	2801.93	2859.01
2007/03/22	2869.75	2899.35	2852.67	2861.15
2007/03/23	2862.63	2901.79	2820.99	2898.00
2007/03/26	2915.05	2989.05	2915.05	2989.05
2007/03/27	2995.46	3040.35	2979.13	3039.53
2007/03/28	3048.50	3060.19	2873.38	3004.30
2007/03/29	3005.06	3008.22	2894.74	2894.78
2007/03/30	2878.24	2935.24	2859.73	2926.06
2007/04/02	2935.21	2993.63	2932.64	2993.63
2007/04/03	3004.90	3042.46	2993.19	3042.46
2007/04/04	3049.92	3084.62	3032.49	3078.90
2007/04/05	3076.76	3137.02	3063.42	3133.14
2007/04/06	3110.95	3189.11	3097.06	3182.80
2007/04/09	3201.15	3243.88	3201.15	3240.30
2007/04/10	3253.67	3261.53	3151.49	3261.53
2007/04/11	3267.61	3309.98	3231.31	3309.75
2007/04/12	3316.20	3387.41	3302.36	3387.41
2007/04/13	3393.96	3419.99	3341.27	3358.63
2007/04/16	3362.73	3458.07	3362.73	3458.07
2007/04/17	3482.36	3558.22	3420.31	3558.22
2007/04/18	3572.70	3652.72	3548.36	3649.71
2007/04/19	3642.85	3642.85	3356.02	3435.78
2007/04/20	3456.74	3624.82	3456.74	3614.39
2007/04/23	3667.55	3784.08	3667.55	3782.26
2007/04/24	3813.53	3861.57	3753.13	3821.42
2007/04/25	3802.69	3822.41	3712.04	3805.05
2007/04/26	3814.82	3854.05	3788.87	3853.27
2007/04/27	3861.06	3871.40	3801.55	3845.81
2007/04/30	3831.55	3909.04	3809.97	3903.69
2007/05/08	3990.71	4093.01	3972.03	4091.13
2007/05/09	4107.55	4125.42	3918.75	4099.13
2007/05/10	4103.57	4146.59	4062.48	4128.08
2007/05/11	4101.65	4130.90	4028.36	4109.40
2007/05/14	4051.84	4164.81	4014.57	4133.83
2007/05/15	4140.33	4161.52	3989.36	3998.78
2007/05/16	3981.82	4118.24	3929.52	4118.14
2007/05/17	4146.32	4235.05	4135.37	4221.91
2007/05/18	4219.61	4261.46	4188.32	4235.19
2007/05/21	4089.85	4364.16	4076.52	4364.16
2007/05/22	4402.93	4484.53	4402.76	4459.81
2007/05/23	4486.02	4582.45	4463.27	4582.31
2007/05/24	4606.15	4625.92	4460.93	4571.71
2007/05/25	4559.43	4665.98	4525.29	4649.86
2007/05/28	4707.69	4784.43	4700.62	4761.70
2007/05/29	4782.41	4853.88	4730.48	4853.64
2007/05/30	4486.51	4751.04	4430.69	4456.28
2007/05/31	4328.77	4414.61	4095.40	4267.78
2007/06/01	4260.77	4317.30	3945.40	3960.44
2007/06/04	3901.79	3930.34	3615.11	3618.69
2007/06/05	3430.55	3660.51	3317.87	3659.94
2007/06/06	3676.69	3786.77	3563.23	3736.93
2007/06/07	3751.67	3936.84	3736.16	3936.77
2007/06/08	3970.28	4036.88	3931.38	4002.87
2007/06/11	4057.17	4117.25	4056.82	4104.55
2007/06/12	4138.33	4218.61	3945.68	4218.44
2007/06/13	4263.62	4398.61	4254.63	4372.53
2007/06/14	4365.98	4399.52	4249.21	4311.98
2007/06/15	4262.75	4349.16	4232.30	4316.53
2007/06/18	4400.40	4454.78	4400.40	4439.19
2007/06/19	4446.70	4529.28	4394.23	4529.03
2007/06/20	4539.58	4589.22	4371.00	4396.22
2007/06/21	4372.35	4452.48	4277.04	4374.49
2007/06/22	4376.38	4386.93	4050.67	4123.22
2007/06/25	4139.28	4184.33	3824.89	3851.94
2007/06/26	3739.19	3930.04	3667.82	3928.70
2007/06/27	3944.36	4031.63	3877.08	4022.31
2007/06/28	4017.18	4026.10	3756.60	3757.98
2007/06/29	3636.31	3718.18	3527.32	3585.49
2007/07/02	3571.72	3658.14	3489.12	3644.79
2007/07/03	3675.36	3710.08	3587.71	3704.71
2007/07/04	3711.61	3716.51	3605.45	3622.52
2007/07/05	3562.28	3570.05	3378.45	3380.18
2007/07/06	3359.09	3594.42	3309.15	3591.38
2007/07/09	3627.98	3737.69	3603.51	3711.71
2007/07/10	3704.88	3704.88	3587.16	3606.19
2007/07/11	3581.91	3653.31	3564.15	3653.31
2007/07/12	3659.40	3687.15	3634.48	3671.18
2007/07/13	3671.46	3672.34	3596.25	3655.85
2007/07/16	3654.86	3662.36	3532.06	3532.06
2007/07/17	3514.28	3641.50	3492.27	3610.38
2007/07/18	3601.29	3673.90	3573.53	3624.34
2007/07/19	3615.97	3652.54	3593.21	3640.28
2007/07/20	3642.33	3791.31	3642.33	3788.74
2007/07/23	3813.98	3984.79	3813.98	3984.79
2007/07/24	4012.80	4097.47	3977.45	3993.02
2007/07/25	3991.35	4106.83	3991.18	4106.83
2007/07/26	4135.06	4212.32	4103.28	4190.88
2007/07/27	4171.89	4269.85	4111.69	4269.77
2007/07/30	4279.04	4386.29	4277.83	4353.09
2007/07/31	4349.61	4403.67	4279.30	4403.58
2007/08/01	4423.04	4435.24	4155.48	4161.14
2007/08/02	4181.49	4336.81	4171.86	4336.81
2007/08/03	4376.96	4424.27	4323.99	4408.05
2007/08/06	4446.21	4504.66	4418.26	4504.34
2007/08/07	4510.08	4510.08	4405.60	4470.14
2007/08/08	4435.55	4465.57	4294.06	4395.43
2007/08/09	4392.99	4444.96	4392.99	4442.06
2007/08/10	4443.12	4443.12	4243.74	4348.81
2007/08/13	4343.73	4350.35	4257.38	4329.77
2007/08/14	4329.95	4440.76	4324.86	4436.21
2007/08/15	4448.92	4460.17	4300.56	4412.80
2007/08/16	4396.90	4462.58	4344.46	4438.96
2007/08/17	4422.65	4482.73	4384.53	4390.88
2007/08/20	4475.40	4570.57	4468.85	4570.57
2007/08/21	4598.38	4636.64	4571.76	4625.28
2007/08/22	4566.18	4704.88	4543.52	4685.06
2007/08/23	4708.67	4739.89	4662.03	4733.84
