'399967'	中证军工	日线
日期	开盘	最高	最低	收盘
2005/01/04	995.24	995.24	976.22	977.33
2005/01/05	976.15	995.95	976.15	993.19
2005/01/06	992.19	993.83	982.70	986.25
2005/01/07	985.42	1001.03	983.51	991.69
2005/01/10	991.28	997.69	987.91	997.69
2005/01/11	997.69	1002.34	993.92	1000.48
2005/01/12	999.39	1001.37	992.66	1001.37
2005/01/13	1001.45	1002.28	996.45	1002.06
2005/01/14	1002.51	1006.31	987.65	987.84
2005/01/17	979.53	979.53	960.07	963.01
2005/01/18	965.09	983.95	965.09	983.95
2005/01/19	986.74	986.74	964.47	966.33
2005/01/20	962.44	962.44	944.64	954.92
2005/01/21	949.25	968.64	933.33	968.64
2005/01/24	980.68	988.02	978.45	987.24
2005/01/25	985.12	985.12	967.88	975.10
2005/01/26	971.34	971.34	961.65	961.80
2005/01/27	961.10	961.10	940.76	940.76
2005/01/28	940.76	940.76	922.64	923.74
2005/01/31	919.21	919.21	893.22	894.31
2005/02/01	892.06	902.53	883.64	884.63
2005/02/02	884.28	936.41	884.28	936.41
2005/02/03	934.61	937.57	914.26	914.26
2005/02/04	915.51	936.53	915.51	934.52
2005/02/16	936.93	955.10	936.21	949.83
2005/02/17	948.80	955.47	940.42	955.47
2005/02/18	955.47	955.47	942.37	943.20
2005/02/21	940.18	955.26	937.25	955.26
2005/02/22	955.60	983.40	954.26	983.36
2005/02/23	983.15	1001.00	978.68	998.20
2005/02/24	998.38	1005.11	992.41	1005.11
2005/02/25	1005.54	1015.71	1005.30	1005.85
2005/02/28	1005.24	1009.41	1000.24	1004.62
2005/03/01	1003.32	1003.98	993.42	1000.68
2005/03/02	1000.36	1005.60	984.19	985.06
2005/03/03	983.03	991.64	976.51	991.64
2005/03/04	991.68	993.41	984.99	985.22
2005/03/07	986.78	989.28	983.00	987.82
2005/03/08	988.70	1015.98	988.70	1015.86
2005/03/09	1018.87	1032.92	1017.67	1032.61
2005/03/10	1030.48	1030.48	999.60	1001.63
2005/03/11	999.86	1006.16	996.89	1005.41
2005/03/14	1005.19	1009.86	988.45	1000.85
2005/03/15	1000.35	1002.82	987.64	989.38
2005/03/16	986.65	989.21	977.43	979.54
2005/03/17	977.23	978.70	965.88	966.31
2005/03/18	964.96	970.66	945.55	950.54
2005/03/21	952.64	959.33	947.54	955.88
2005/03/22	956.92	956.92	923.51	924.94
2005/03/23	923.10	944.64	916.98	927.74
2005/03/24	927.09	936.61	917.43	936.61
2005/03/25	937.67	944.08	935.47	940.95
2005/03/28	940.68	940.68	921.97	934.74
2005/03/29	933.91	941.00	922.13	922.54
2005/03/30	919.51	919.51	886.44	886.67
2005/03/31	884.16	895.09	881.15	895.09
2005/04/01	894.68	935.69	882.30	928.30
2005/04/04	919.04	921.27	907.11	911.16
2005/04/05	909.06	913.27	902.69	903.41
2005/04/06	903.41	919.10	894.85	915.59
2005/04/07	917.40	942.72	915.16	931.12
2005/04/08	928.61	944.75	923.67	944.75
2005/04/11	943.95	951.01	937.19	941.71
2005/04/12	939.84	939.84	919.87	919.87
2005/04/13	929.00	945.61	929.00	943.68
2005/04/14	944.70	945.69	929.87	931.32
2005/04/15	925.91	925.91	904.48	906.79
2005/04/18	904.93	904.93	892.61	899.31
2005/04/19	897.48	899.76	890.81	899.76
2005/04/20	898.84	898.84	875.13	875.87
2005/04/21	874.82	883.48	865.53	871.62
2005/04/22	871.03	873.99	858.78	860.95
2005/04/25	852.60	853.35	838.53	847.17
2005/04/26	844.84	860.69	841.46	858.47
2005/04/27	862.49	862.49	851.73	853.78
2005/04/28	851.09	880.54	845.31	876.98
2005/04/29	877.55	879.39	866.18	868.23
2005/05/09	863.75	863.75	834.90	835.25
2005/05/10	832.85	840.78	816.27	840.78
2005/05/11	840.05	843.48	833.40	837.71
2005/05/12	838.22	838.22	824.60	831.22
2005/05/13	831.66	844.77	820.26	835.10
2005/05/16	832.72	832.72	820.61	826.10
2005/05/17	825.53	840.38	820.47	833.67
2005/05/18	831.19	839.17	828.10	838.88
2005/05/19	839.34	847.35	834.13	845.56
2005/05/20	843.54	850.93	841.59	842.91
2005/05/23	841.41	841.41	822.67	824.98
2005/05/24	822.57	841.30	822.55	836.80
