'399987'	中证酒	日线
日期	开盘	最高	最低	收盘
2015/05/19	2436.24	2501.33	2433.85	2500.41
2015/05/20	2501.62	2568.00	2501.50	2526.40
2015/05/21	2529.81	2593.19	2529.42	2592.91
2015/05/22	2617.65	2666.04	2604.99	2665.81
2015/05/25	2651.29	2732.41	2648.86	2730.43
2015/05/26	2738.48	2810.41	2709.86	2810.09
2015/05/27	2811.00	2828.15	2759.44	2806.23
2015/05/28	2802.78	2859.37	2645.28	2647.67
2015/05/29	2645.92	2720.64	2563.73	2671.66
2015/06/01	2684.91	2807.80	2676.80	2807.61
2015/06/02	2808.95	2880.75	2778.96	2879.77
2015/06/03	2886.24	2902.23	2812.40	2876.08
2015/06/04	2875.78	2887.90	2679.49	2865.07
2015/06/05	2887.61	2950.49	2851.49	2923.70
2015/06/08	2927.07	2997.56	2886.42	2985.05
2015/06/09	2974.35	2995.11	2916.60	2943.78
2015/06/10	2927.31	3062.53	2905.99	3022.64
2015/06/11	3016.03	3060.11	2998.19	3057.22
2015/06/12	3070.55	3192.26	3070.55	3150.94
2015/06/15	3157.28	3242.07	3129.94	3143.73
2015/06/16	3113.12	3122.82	2976.71	3007.99
2015/06/17	2994.21	3065.72	2894.81	3061.60
2015/06/18	3039.52	3073.41	2944.26	2944.39
2015/06/19	2879.15	2923.62	2734.92	2737.33
2015/06/23	2742.48	2871.07	2642.53	2865.77
2015/06/24	2885.70	2997.49	2878.77	2992.80
2015/06/25	3008.81	3010.33	2863.06	2902.63
2015/06/26	2811.94	2853.24	2640.26	2689.11
2015/06/29	2770.96	2800.00	2527.00	2672.17
2015/06/30	2630.54	2792.57	2515.37	2784.90
2015/07/01	2728.98	2866.39	2640.02	2646.81
2015/07/02	2626.20	2626.20	2428.19	2453.36
2015/07/03	2358.19	2480.27	2248.05	2279.13
2015/07/06	2459.68	2459.68	2150.77	2247.38
2015/07/07	2169.30	2195.11	2092.19	2133.56
2015/07/08	1968.73	2049.20	1954.87	2014.04
2015/07/09	1996.72	2180.08	1996.72	2177.35
2015/07/10	2230.75	2360.12	2221.77	2338.24
2015/07/13	2377.16	2492.11	2343.67	2459.43
2015/07/14	2431.65	2504.16	2365.95	2387.43
2015/07/15	2342.57	2360.85	2212.41	2237.14
2015/07/16	2213.60	2330.81	2176.02	2279.29
2015/07/17	2289.42	2401.39	2288.50	2379.54
2015/07/20	2373.66	2423.00	2334.45	2364.56
2015/07/21	2339.84	2395.05	2316.64	2378.91
2015/07/22	2378.01	2416.44	2347.64	2389.23
2015/07/23	2393.65	2460.30	2373.20	2455.21
2015/07/24	2449.99	2501.29	2403.60	2415.86
2015/07/27	2363.57	2406.90	2188.46	2188.52
2015/07/28	2110.41	2225.78	2075.61	2192.48
2015/07/29	2206.19	2271.36	2164.99	2270.07
2015/07/30	2266.06	2308.38	2219.77	2225.38
2015/07/31	2206.30	2266.00	2206.30	2252.29
2015/08/03	2225.27	2260.84	2204.33	2260.46
2015/08/04	2259.03	2337.86	2244.41	2336.33
2015/08/05	2319.78	2333.57	2272.10	2283.81
2015/08/06	2248.26	2284.99	2240.06	2258.09
2015/08/07	2271.14	2310.85	2270.99	2299.17
2015/08/10	2311.57	2396.03	2307.54	2383.26
2015/08/11	2378.22	2403.73	2366.13	2377.70
2015/08/12	2353.44	2393.10	2347.54	2347.96
2015/08/13	2346.85	2375.68	2314.42	2375.36
2015/08/14	2388.95	2415.76	2373.15	2389.78
2015/08/17	2377.40	2416.47	2354.48	2412.15
2015/08/18	2420.22	2426.99	2251.07	2255.35
2015/08/19	2210.11	2317.93	2186.26	2312.70
2015/08/20	2294.14	2315.98	2241.32	2241.46
2015/08/21	2200.22	2215.51	2115.87	2121.91
2015/08/24	2048.96	2051.02	1937.24	1938.73
2015/08/25	1817.86	1931.12	1816.47	1840.07
2015/08/26	1852.06	1923.64	1798.84	1830.15
2015/08/27	1859.87	1914.00	1832.71	1913.64
2015/08/28	1928.11	1986.68	1903.71	1978.80
2015/08/31	1951.61	1952.87	1905.47	1941.65
2015/09/01	1917.14	1917.14	1842.42	1894.85
2015/09/02	1832.64	1908.31	1830.79	1904.17
2015/09/07	1897.62	1945.53	1860.09	1870.92
2015/09/08	1859.60	1920.73	1833.66	1916.63
2015/09/09	1920.59	1968.86	1917.71	1965.84
2015/09/10	1939.00	1960.62	1930.64	1934.35
2015/09/11	1927.76	1945.33	1911.88	1933.02
2015/09/14	1934.70	1944.52	1844.34	1865.11
2015/09/15	1836.99	1861.43	1797.45	1812.20
2015/09/16	1812.86	1925.52	1805.27	1907.16
2015/09/17	1889.95	1929.54	1868.27	1868.88
2015/09/18	1877.89	1888.20	1859.02	1874.61
2015/09/21	1858.46	1912.07	1852.73	1909.06
2015/09/22	1912.50	1934.92	1907.02	1925.26
2015/09/23	1897.86	1910.13	1878.11	1883.42
2015/09/24	1889.53	1904.76	1883.22	1902.19
2015/09/25	1903.57	1916.48	1863.93	1876.29
2015/09/28	1874.32	1885.40	1849.69	1884.95
