'000858'	五 粮 液	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数
1998/04/27	29.77	57.00	29.77	53.57	341630.00	1846204032	0
1998/04/28	54.00	56.50	53.60	54.19	67658.00	371571008	0
1998/04/29	54.97	54.98	52.90	53.30	33932.00	181927008	0
1998/04/30	53.30	54.20	53.20	53.65	23856.00	127942000	0
1998/05/04	55.10	59.02	55.00	59.02	49209.00	285312000	0
1998/05/05	62.88	64.90	61.61	62.66	84095.00	532129984	0
1998/05/06	62.20	66.00	61.80	65.73	44366.00	283147008	0
1998/05/07	67.00	69.80	66.00	66.45	60016.00	405496000	0
1998/05/08	66.45	68.18	66.00	67.02	35393.00	237166000	0
1998/05/11	66.60	67.18	63.80	64.10	32802.00	212802000	0
1998/05/12	63.30	63.80	62.22	63.43	19151.00	120685000	0
1998/05/13	63.20	65.75	63.01	63.85	13930.00	89469000	0
1998/05/14	63.85	64.45	62.85	63.03	11501.00	72694000	0
1998/05/15	63.40	65.20	63.10	63.93	10440.00	66869000	0
1998/05/18	65.00	65.00	62.52	63.10	7357.00	46577000	0
1998/05/19	62.50	64.00	61.50	62.33	10973.00	68153000	0
1998/05/20	62.00	62.30	60.85	60.89	9217.00	56580000	0
1998/05/21	60.30	63.20	60.30	62.01	7721.00	47390000	0
1998/05/22	62.10	63.00	61.60	62.49	8264.00	51396000	0
1998/05/25	62.48	62.49	60.86	60.93	6873.00	42102000	0
1998/05/26	60.88	61.99	60.38	60.74	6629.00	40315000	0
1998/05/27	61.00	61.00	59.53	59.68	10560.00	63468000	0
1998/05/28	59.10	61.48	59.00	60.00	12403.00	74459000	0
1998/05/29	60.03	60.90	59.80	60.00	5368.00	32330000	0
1998/06/01	60.00	60.00	57.88	58.97	12907.00	75831000	0
1998/06/02	58.90	58.90	57.80	57.90	8585.00	49812000	0
1998/06/03	57.59	57.75	55.92	55.99	12373.00	69987000	0
1998/06/04	55.50	58.10	55.19	56.97	10243.00	58234000	0
1998/06/05	56.97	58.09	56.80	57.98	7261.00	41744000	0
1998/06/08	57.67	58.00	56.40	56.79	6240.00	35459000	0
1998/06/09	56.48	56.50	55.20	55.57	6638.00	37016000	0
1998/06/10	55.50	58.00	55.50	57.01	5058.00	28690000	0
1998/06/11	56.80	57.28	55.50	55.64	3670.00	20678000	0
1998/06/12	57.70	57.70	56.20	56.60	4355.00	24636000	0
1998/06/15	56.88	56.88	55.40	55.87	3985.00	22245000	0
1998/06/16	55.50	55.50	53.80	53.97	10129.00	54970000	0
1998/06/17	54.00	54.90	53.60	53.97	3812.00	20584000	0
1998/06/18	54.00	54.70	54.00	54.35	4788.00	25972000	0
1998/06/19	54.00	55.20	53.99	55.10	5493.00	29882000	0
1998/06/22	55.50	56.98	55.20	55.98	5002.00	28089000	0
1998/06/23	55.86	56.68	55.20	56.26	3336.00	18666000	0
1998/06/24	57.00	57.10	55.36	55.49	2210.00	12312000	0
1998/06/25	55.49	55.64	54.40	54.50	3206.00	17511000	0
1998/06/26	54.20	54.58	54.00	54.23	4139.00	22423000	0
1998/06/29	55.00	55.08	53.20	53.35	5048.00	27030000	0
1998/06/30	53.50	53.50	50.50	50.70	9071.00	47227000	0
1998/07/01	51.58	52.16	49.20	49.73	15820.00	79375000	0
1998/07/02	49.80	50.00	48.01	49.99	7892.00	38773000	0
1998/07/03	51.98	51.98	49.60	50.37	4590.00	23126000	0
1998/07/06	50.30	50.35	49.70	49.80	2322.00	11581000	0
1998/07/07	49.19	50.15	49.02	49.94	2103.00	10393000	0
1998/07/08	50.48	50.48	49.68	49.69	2135.00	10666000	0
1998/07/09	49.80	50.00	49.01	49.35	2561.00	12643000	0
1998/07/10	49.40	51.15	49.35	50.79	4396.00	22243000	0
1998/07/13	50.78	50.78	49.80	49.90	4481.00	22401000	0
1998/07/14	50.00	50.00	49.00	49.55	7687.00	38019000	0
1998/07/15	49.00	50.60	49.00	49.86	2302.00	11438000	0
1998/07/16	49.80	50.00	47.75	47.80	7616.00	36864000	0
1998/07/17	47.80	48.20	46.30	46.70	5964.00	27987000	0
1998/07/20	46.00	46.03	44.55	44.88	7536.00	33933000	0
1998/07/21	44.90	48.30	44.70	46.48	5868.00	26939000	0
1998/07/22	46.40	47.30	45.53	46.53	4460.00	20763000	0
1998/07/23	46.80	46.99	45.85	46.00	3749.00	17296000	0
1998/07/24	46.00	48.47	46.00	47.98	10253.00	48859000	0
1998/07/27	47.98	48.20	47.11	47.50	3947.00	18772000	0
1998/07/28	47.55	47.96	47.06	47.30	1770.00	8387000	0
1998/07/29	47.05	47.60	46.50	46.63	3011.00	14169000	0
1998/07/30	46.60	47.28	45.85	46.50	5098.00	23619000	0
1998/07/31	46.51	47.00	46.50	46.61	1779.00	8320000	0
1998/08/03	46.50	46.50	44.90	45.09	5547.00	25119000	0
1998/08/04	45.08	45.70	44.70	45.40	3500.00	15762000	0
1998/08/05	45.89	45.89	44.95	45.00	2734.00	12337000	0
1998/08/06	45.53	46.60	45.00	45.30	4620.00	21037000	0
1998/08/07	45.50	45.65	44.30	44.55	5420.00	24262000	0
1998/08/10	44.17	44.17	42.10	42.51	5481.00	23546000	0
1998/08/11	41.99	43.36	41.69	42.00	3673.00	15485000	0
1998/08/12	42.01	42.48	40.00	41.01	7900.00	32320000	0
1998/08/13	42.00	42.40	40.98	41.74	4157.00	17308000	0
1998/08/14	41.50	41.58	40.18	40.31	5374.00	21791000	0
1998/08/17	40.00	40.00	36.60	37.05	8492.00	32163000	0
1998/08/18	36.59	39.50	36.01	37.85	9137.00	34900000	0
1998/08/19	37.80	39.00	37.80	38.90	5249.00	20123000	0
1998/08/20	38.90	39.44	38.30	39.23	5295.00	20580000	0
1998/08/21	39.19	41.14	38.90	40.99	9912.00	39868000	0
1998/08/24	40.90	42.30	40.15	42.02	15900.00	65994000	0
1998/08/25	41.90	42.00	40.58	41.11	4916.00	20129000	0
1998/08/26	40.50	41.20	40.00	40.00	4261.00	17226000	0
1998/08/27	39.50	39.95	38.40	38.41	5130.00	20051000	0
1998/08/28	38.02	38.87	37.91	38.44	7021.00	26885000	0
1998/08/31	38.20	39.05	37.00	39.03	4829.00	18260000	0
1998/09/01	38.98	39.58	38.50	39.00	2252.00	8825000	0
1998/09/02	39.00	39.70	38.61	39.02	1933.00	7581000	0
1998/09/03	38.90	39.78	38.90	39.30	2111.00	8326000	0
1998/09/04	39.80	40.95	39.79	40.78	6557.00	26596000	0
1998/09/07	41.00	41.28	40.41	40.81	3976.00	16170000	0
1998/09/08	41.00	41.18	40.66	40.71	3519.00	14388000	0
1998/09/09	40.00	41.88	40.00	41.83	7373.00	30491000	0
1998/09/10	42.00	44.58	41.90	44.33	19118.00	83913000	0
1998/09/11	44.50	45.35	43.50	43.99	11819.00	52715000	0
1998/09/14	43.87	44.28	43.01	43.98	5196.00	22701000	0
1998/09/15	43.79	43.80	42.61	42.80	6387.00	27680000	0
1998/09/16	42.10	42.85	41.88	42.60	5087.00	21532000	0
1998/09/17	42.70	43.15	41.88	41.99	5325.00	22505000	0
1998/09/18	41.80	41.90	41.05	41.20	3782.00	15660000	0
1998/09/21	41.00	41.72	40.80	41.72	2129.00	8801000	0
1998/09/22	41.70	41.98	41.10	41.33	1752.00	7266000	0
1998/09/23	41.50	41.70	40.91	41.07	2792.00	11477000	0
1998/09/24	41.25	41.40	39.85	39.88	5060.00	20388000	0
