'000991'	全指医药	日线
日期	开盘	最高	最低	收盘
2005/01/04	997.55	997.55	981.67	982.28
2005/01/05	982.09	999.25	982.02	998.19
2005/01/06	999.42	999.42	988.51	990.71
2005/01/07	989.28	1000.52	985.71	990.33
2005/01/10	988.41	1001.09	986.04	1001.09
2005/01/11	1002.13	1003.79	995.83	1001.80
2005/01/12	998.29	998.94	992.80	998.94
2005/01/13	999.65	1002.59	995.94	1001.55
2005/01/14	1000.21	1006.12	995.39	996.46
2005/01/17	991.11	991.11	974.22	977.05
2005/01/18	977.10	987.19	973.78	987.19
2005/01/19	986.81	986.81	978.76	980.99
2005/01/20	978.20	978.20	959.84	962.54
2005/01/21	961.18	982.56	948.23	982.56
2005/01/24	994.61	999.86	989.00	999.61
2005/01/25	997.02	997.02	982.63	993.26
2005/01/26	989.93	990.44	982.79	985.28
2005/01/27	984.08	984.08	976.43	976.43
2005/01/28	976.43	976.43	957.75	961.62
2005/01/31	959.07	959.07	934.04	936.16
2005/02/01	933.63	937.65	924.48	926.09
2005/02/02	924.80	969.60	924.80	969.60
2005/02/03	969.32	974.41	955.88	957.59
2005/02/04	956.89	971.96	953.85	969.73
2005/02/16	972.81	979.96	971.74	975.51
2005/02/17	974.37	979.54	968.90	979.54
2005/02/18	978.76	978.76	968.28	968.49
2005/02/21	968.33	981.72	968.33	981.72
2005/02/22	983.20	1003.02	981.25	1003.02
2005/02/23	1002.95	1007.41	993.65	1004.47
2005/02/24	1003.45	1008.15	997.68	1008.15
2005/02/25	1008.07	1020.90	1008.07	1010.72
2005/02/28	1010.49	1011.41	1001.96	1005.39
2005/03/01	1003.82	1006.66	997.98	1006.66
2005/03/02	1006.62	1012.31	994.97	996.52
2005/03/03	995.58	997.87	986.88	997.87
2005/03/04	997.60	1000.65	993.24	994.52
2005/03/07	993.80	998.64	992.47	995.72
2005/03/08	995.50	1020.95	995.50	1020.95
2005/03/09	1023.20	1028.12	1018.78	1023.54
2005/03/10	1023.32	1026.64	1004.26	1008.73
2005/03/11	1007.48	1017.97	1002.56	1017.86
2005/03/14	1017.46	1029.58	1004.17	1020.98
2005/03/15	1020.88	1021.04	1007.05	1008.01
2005/03/16	1007.42	1007.42	988.20	993.59
2005/03/17	992.62	996.53	984.33	986.52
2005/03/18	984.85	987.58	963.00	965.12
2005/03/21	962.69	971.08	959.89	970.06
2005/03/22	969.46	969.46	951.26	956.65
2005/03/23	955.30	970.15	945.83	955.92
2005/03/24	951.84	959.35	940.36	959.35
2005/03/25	958.94	959.90	952.41	957.90
2005/03/28	956.60	956.60	940.05	952.07
2005/03/29	951.76	957.26	945.82	945.91
2005/03/30	942.73	942.73	923.07	923.44
2005/03/31	921.16	925.78	911.68	925.78
2005/04/01	925.24	962.08	915.20	956.16
2005/04/04	949.19	949.19	938.84	939.71
2005/04/05	938.88	941.13	934.81	936.37
2005/04/06	936.37	953.62	930.12	952.67
2005/04/07	955.38	979.00	954.30	968.31
2005/04/08	969.32	984.02	965.34	983.10
2005/04/11	985.84	987.38	977.06	981.48
2005/04/12	980.20	980.20	964.45	964.45
2005/04/13	967.06	984.93	967.06	983.34
2005/04/14	985.63	985.63	971.68	973.26
2005/04/15	967.84	967.84	951.86	954.25
2005/04/18	951.13	951.13	939.79	944.55
2005/04/19	943.32	947.89	936.26	941.56
2005/04/20	940.88	940.88	923.13	925.75
2005/04/21	924.39	935.97	921.70	925.93
2005/04/22	926.17	930.50	916.00	918.42
2005/04/25	907.61	911.76	901.45	910.90
2005/04/26	910.46	932.70	907.08	930.93
2005/04/27	938.26	938.26	921.55	922.02
2005/04/28	918.75	942.03	913.89	941.27
2005/04/29	940.37	941.49	926.98	927.81
2005/05/09	931.05	931.05	908.78	909.36
2005/05/10	907.29	908.73	885.79	908.73
2005/05/11	907.16	912.58	896.07	897.01
2005/05/12	893.87	893.87	878.59	886.64
2005/05/13	884.41	893.38	879.86	891.77
2005/05/16	890.33	892.06	883.61	889.43
2005/05/17	888.86	908.23	888.86	908.23
2005/05/18	905.50	912.59	896.62	908.98
2005/05/19	907.39	909.98	897.69	908.17
2005/05/20	907.45	912.01	903.99	908.20
2005/05/23	905.91	905.91	885.10	887.15
2005/05/24	884.57	894.77	882.33	892.58
2005/05/25	891.81	891.81	878.18	882.17
2005/05/26	880.22	880.76	857.37	861.81
2005/05/27	859.58	862.74	851.75	852.48
2005/05/30	849.75	855.96	842.55	855.91
2005/05/31	856.25	860.78	853.48	857.52
2005/06/01	855.90	855.90	839.13	842.82
2005/06/02	842.09	842.09	814.04	820.71
2005/06/03	816.22	822.48	807.50	822.48
2005/06/06	818.28	840.79	809.76	840.79
2005/06/07	842.18	859.06	835.48	838.80
2005/06/08	840.72	904.77	840.72	901.93
2005/06/09	900.34	913.72	891.79	903.14
2005/06/10	902.01	902.01	874.83	877.05
2005/06/13	877.21	882.41	866.10	881.37
2005/06/14	882.39	888.92	863.52	863.52
2005/06/15	859.48	859.48	841.52	842.25
2005/06/16	841.32	851.45	833.00	851.45
2005/06/17	855.66	855.66	843.80	846.77
2005/06/20	846.39	868.52	839.66	868.52
2005/06/21	866.62	866.62	855.90	859.87
2005/06/22	857.81	865.43	854.48	865.43
2005/06/23	864.22	867.33	857.05	857.22
2005/06/24	855.11	861.29	851.35	861.29
2005/06/27	866.79	884.82	866.79	882.85
2005/06/28	881.31	881.31	868.23	870.20
2005/06/29	870.82	871.74	864.76	865.77
2005/06/30	864.99	864.99	849.15	849.68
2005/07/01	846.17	846.17	822.21	823.09
2005/07/04	820.02	820.02	798.03	811.60
2005/07/05	810.65	813.92	804.30	811.92
2005/07/06	811.04	817.12	806.40	810.70
2005/07/07	810.70	813.80	806.28	812.72
2005/07/08	811.80	811.80	792.69	793.58
2005/07/11	794.07	807.54	784.14	784.14
2005/07/12	779.62	802.05	773.12	802.05
2005/07/13	800.22	800.22	791.41	792.00
2005/07/14	790.68	795.88	787.68	792.91
2005/07/15	792.71	796.26	776.49	777.90
2005/07/18	775.82	775.82	761.83	763.56
2005/07/19	763.87	769.76	760.83	766.63
2005/07/20	767.78	774.37	766.11	772.94
2005/07/21	772.63	772.64	764.68	771.59
2005/07/22	771.35	790.89	771.35	787.59
2005/07/25	787.41	787.44	782.03	787.44
2005/07/26	786.95	802.37	786.61	800.86
2005/07/27	801.91	815.63	797.80	815.63
2005/07/28	815.93	820.08	810.01	812.28
2005/07/29	812.77	812.77	804.13	809.10
2005/08/01	808.42	815.11	806.78	813.63
2005/08/02	814.36	824.53	811.10	824.53
2005/08/03	825.07	838.36	825.07	830.56
2005/08/04	831.12	831.31	824.79	827.31
2005/08/05	827.70	847.65	827.70	847.65
2005/08/08	849.95	858.73	848.51	853.06
2005/08/09	852.38	857.93	847.14	857.93
2005/08/10	859.28	871.75	851.47	871.75
2005/08/11	872.59	884.55	871.68	884.55
2005/08/12	885.98	886.76	864.83	865.78
2005/08/15	864.44	886.59	863.01	886.46
2005/08/16	891.51	895.86	879.92	887.04
2005/08/17	883.80	897.80	870.52	897.74
2005/08/18	896.55	903.08	866.17	866.19
2005/08/19	861.76	868.48	845.79	857.75
2005/08/22	856.92	869.65	854.37	869.65
2005/08/23	870.52	870.52	857.59	864.66
2005/08/24	865.19	873.79	865.19	872.98
2005/08/25	873.32	876.95	865.13	876.95
2005/08/26	877.42	881.09	873.15	880.18
2005/08/29	880.15	880.15	866.55	869.78
2005/08/30	868.34	868.41	863.25	863.94
2005/08/31	863.50	887.85	863.50	887.79
2005/09/01	890.41	905.08	889.18	905.08
2005/09/02	905.47	914.78	902.47	911.56
2005/09/05	913.54	922.11	912.69	922.11
2005/09/06	923.09	928.76	900.60	902.18
2005/09/07	899.35	925.06	899.15	925.06
2005/09/08	927.46	934.55	921.38	928.11
2005/09/09	927.59	929.11	916.04	919.39
2005/09/12	917.35	923.35	915.99	923.35
2005/09/13	922.37	941.34	922.37	941.34
2005/09/14	941.16	950.14	941.16	950.14
2005/09/15	949.22	954.70	947.32	952.60
2005/09/16	951.37	952.32	945.14	951.98
2005/09/19	952.20	963.54	952.20	963.00
2005/09/20	962.71	964.72	947.75	957.82
2005/09/21	954.32	956.92	942.25	942.33
2005/09/22	941.83	941.83	905.15	916.63
2005/09/23	916.71	918.04	907.86	909.15
2005/09/26	908.01	911.82	904.29	911.82
2005/09/27	911.85	913.35	897.76	902.02
2005/09/28	899.07	905.04	896.44	898.94
2005/09/29	898.20	911.44	898.20	911.44
2005/09/30	911.69	912.24	907.44	907.80
2005/10/10	907.65	907.65	893.16	893.16
2005/10/11	892.62	910.42	892.07	910.42
2005/10/12	911.00	919.51	905.40	915.74
2005/10/13	915.79	917.34	910.11	913.46
2005/10/14	912.51	915.30	907.96	909.55
2005/10/17	907.76	907.86	899.05	907.30
2005/10/18	907.51	919.02	907.51	918.97
2005/10/19	918.62	924.43	910.30	911.06
2005/10/20	911.04	913.28	901.82	913.28
2005/10/21	915.58	929.82	915.58	929.82
2005/10/24	931.69	935.18	930.73	932.46
2005/10/25	932.63	932.63	918.64	919.97
2005/10/26	919.38	923.61	904.20	905.66
2005/10/27	902.77	907.92	894.46	899.38
2005/10/28	898.30	898.30	859.88	870.27
2005/10/31	866.74	870.95	862.03	867.40
2005/11/01	866.47	866.47	852.27	860.17
2005/11/02	862.21	876.37	862.21	876.37
2005/11/03	877.33	877.33	864.77	870.01
2005/11/04	869.74	874.62	863.34	874.62
2005/11/07	876.76	884.33	874.53	884.33
2005/11/08	884.90	887.86	876.84	887.86
2005/11/09	889.72	893.95	888.16	888.48
2005/11/10	887.32	887.32	870.51	871.79
2005/11/11	869.58	874.40	862.95	871.03
2005/11/14	868.57	870.44	862.80	867.55
2005/11/15	866.94	871.19	857.94	863.22
2005/11/16	862.89	864.55	850.64	864.55
2005/11/17	863.15	869.48	862.50	866.49
2005/11/18	866.36	885.82	865.98	883.88
2005/11/21	886.98	889.34	883.13	886.48
2005/11/22	887.27	887.27	874.71	874.83
2005/11/23	874.53	878.44	872.99	878.44
2005/11/24	877.53	884.20	877.01	879.48
2005/11/25	879.68	879.68	871.38	876.56
2005/11/28	878.36	879.00	870.53	872.14
2005/11/29	872.38	872.38	862.90	863.57
2005/11/30	876.85	876.85	855.54	862.63
2005/12/01	863.35	866.43	858.83	863.88
2005/12/02	862.73	863.49	851.04	853.46
2005/12/05	852.41	852.41	824.42	825.46
2005/12/06	823.51	824.92	817.95	823.81
2005/12/07	823.81	829.08	823.72	829.08
2005/12/08	830.05	832.14	821.97	825.48
2005/12/09	825.69	838.04	824.27	838.04
2005/12/12	838.22	839.60	835.86	838.92
2005/12/13	839.75	840.15	830.98	838.96
2005/12/14	838.96	850.30	835.23	850.30
2005/12/15	850.03	852.19	844.55	845.03
2005/12/16	845.21	850.58	842.35	850.48
2005/12/19	850.75	853.61	849.04	852.01
2005/12/20	851.73	851.73	846.39	851.09
2005/12/21	851.05	852.91	844.73	846.28
2005/12/22	845.95	853.85	844.06	853.15
2005/12/23	853.92	860.75	853.92	860.75
2005/12/26	861.83	864.83	861.04	863.87
2005/12/27	862.69	863.25	858.43	861.87
2005/12/28	862.62	863.08	857.94	863.08
2005/12/29	865.65	874.63	865.65	874.63
2005/12/30	881.15	881.15	868.61	869.97
2006/01/04	870.12	875.86	868.31	875.86
2006/01/05	875.86	887.26	875.54	887.26
2006/01/06	889.83	900.07	884.02	897.62
2006/01/09	898.49	907.05	895.70	907.05
2006/01/10	907.23	907.23	898.48	906.63
2006/01/11	906.09	906.09	894.55	898.00
2006/01/12	897.81	917.95	897.81	917.95
2006/01/13	920.31	923.99	916.33	921.20
