'399812'	养老产业	日线
日期	开盘	最高	最低	收盘
2005/01/04	996.03	996.03	986.46	989.56
2005/01/05	989.87	1011.29	989.46	1008.59
2005/01/06	1008.88	1008.88	999.76	1002.81
2005/01/07	1002.10	1015.61	999.56	1004.06
2005/01/10	1002.63	1014.12	1000.90	1014.12
2005/01/11	1015.39	1022.64	1010.70	1017.13
2005/01/12	1012.28	1012.51	1005.58	1012.36
2005/01/13	1011.76	1019.03	1011.55	1016.93
2005/01/14	1016.72	1022.44	1005.70	1006.35
2005/01/17	998.94	998.94	985.13	987.11
2005/01/18	987.37	999.56	985.82	999.56
2005/01/19	999.14	999.14	989.91	993.75
2005/01/20	990.46	990.46	977.93	980.18
2005/01/21	979.32	997.99	964.50	997.99
2005/01/24	1011.33	1017.60	1007.21	1017.60
2005/01/25	1015.36	1015.36	1000.93	1011.00
2005/01/26	1005.82	1006.91	998.11	999.72
2005/01/27	998.33	998.33	984.37	984.83
2005/01/28	984.83	985.76	967.95	969.93
2005/01/31	966.79	966.79	936.27	936.53
2005/02/01	934.97	941.88	927.33	928.72
2005/02/02	929.26	981.69	929.26	981.69
2005/02/03	982.23	986.41	964.62	965.53
2005/02/04	965.30	981.30	962.97	979.36
2005/02/16	983.75	992.51	982.49	986.29
2005/02/17	985.76	991.85	979.11	991.85
2005/02/18	991.72	991.72	975.45	975.69
2005/02/21	977.04	992.59	977.04	992.59
2005/02/22	994.48	1019.79	993.39	1019.31
2005/02/23	1019.61	1030.17	1014.01	1025.67
2005/02/24	1024.08	1029.26	1019.42	1028.87
2005/02/25	1029.19	1040.13	1029.19	1030.91
2005/02/28	1029.73	1030.00	1019.73	1023.22
2005/03/01	1021.66	1025.84	1016.45	1024.57
2005/03/02	1024.31	1029.54	1008.73	1009.25
2005/03/03	1008.41	1011.51	999.19	1011.40
2005/03/04	1011.05	1013.25	1004.87	1006.63
2005/03/07	1007.00	1010.17	1003.15	1007.79
2005/03/08	1008.37	1029.36	1008.37	1029.36
2005/03/09	1031.75	1036.47	1027.69	1035.22
2005/03/10	1035.70	1035.70	1012.06	1014.24
2005/03/11	1013.01	1026.22	1012.01	1025.81
2005/03/14	1025.57	1032.75	1010.16	1023.45
2005/03/15	1022.76	1022.76	1007.26	1008.48
2005/03/16	1007.23	1007.23	992.10	995.93
2005/03/17	993.73	997.81	984.88	986.02
2005/03/18	984.13	987.66	959.69	961.47
2005/03/21	958.32	962.23	951.67	956.50
2005/03/22	956.91	956.91	929.97	934.45
2005/03/23	932.09	948.22	925.45	935.10
2005/03/24	933.12	941.21	923.52	941.21
2005/03/25	940.04	942.14	935.16	938.55
2005/03/28	937.37	937.37	919.08	935.20
2005/03/29	934.69	939.06	927.20	927.33
2005/03/30	924.52	924.52	901.25	901.37
2005/03/31	898.71	907.53	893.52	907.53
2005/04/01	907.61	946.53	898.84	938.93
2005/04/04	932.42	933.28	922.60	923.58
2005/04/05	922.13	928.64	918.11	919.75
2005/04/06	919.75	934.55	911.17	931.96
2005/04/07	934.89	962.58	934.89	952.18
2005/04/08	952.73	968.67	947.30	968.67
2005/04/11	971.60	983.77	968.65	973.38
2005/04/12	973.14	973.14	955.94	955.94
2005/04/13	960.29	979.63	960.29	976.92
2005/04/14	979.53	979.53	959.10	961.30
2005/04/15	955.35	955.35	938.95	939.71
2005/04/18	935.24	935.24	922.39	926.88
2005/04/19	925.47	930.46	918.97	925.32
2005/04/20	924.05	924.05	906.34	908.30
2005/04/21	907.93	915.32	897.56	899.17
2005/04/22	897.55	904.41	889.58	893.55
2005/04/25	884.01	887.29	873.78	886.42
2005/04/26	885.30	906.89	883.03	906.89
2005/04/27	909.21	909.21	890.75	891.11
2005/04/28	886.42	908.92	875.97	907.63
2005/04/29	905.43	905.77	889.69	890.26
2005/05/09	895.94	895.94	867.10	867.39
2005/05/10	863.48	869.33	845.26	869.33
2005/05/11	865.98	877.30	863.67	865.80
2005/05/12	863.99	863.99	850.79	857.09
2005/05/13	854.91	867.12	852.33	864.23
2005/05/16	863.74	863.74	854.04	858.85
2005/05/17	857.71	874.56	857.65	872.87
2005/05/18	871.30	879.81	866.55	879.41
2005/05/19	878.48	880.26	868.16	877.39
2005/05/20	876.74	880.71	872.73	873.04
2005/05/23	870.52	870.52	851.62	853.26
2005/05/24	851.14	867.64	851.14	865.67
2005/05/25	864.86	869.63	858.70	861.48
2005/05/26	861.17	863.82	843.83	848.36
2005/05/27	846.17	853.41	839.89	839.90
2005/05/30	837.97	844.07	833.37	843.32
2005/05/31	843.33	848.96	840.37	844.20
2005/06/01	843.54	843.54	826.88	830.12
2005/06/02	828.96	828.96	807.39	812.45
2005/06/03	809.16	811.84	794.98	805.92
2005/06/06	803.31	823.84	795.37	823.84
2005/06/07	825.06	846.56	823.11	826.87
2005/06/08	830.83	893.36	830.83	891.33
2005/06/09	891.38	909.65	885.22	901.54
2005/06/10	902.03	902.03	880.07	883.78
2005/06/13	883.58	885.39	867.37	883.01
2005/06/14	882.12	888.61	863.95	864.43
2005/06/15	860.41	860.41	841.80	842.90
2005/06/16	841.28	850.79	832.94	850.79
2005/06/17	854.02	854.02	845.67	848.89
2005/06/20	848.67	870.10	837.11	870.10
2005/06/21	869.55	869.56	858.72	860.66
2005/06/22	858.39	864.85	854.76	864.85
2005/06/23	863.90	867.30	855.27	855.29
2005/06/24	852.90	859.55	848.18	859.55
2005/06/27	864.19	883.21	864.19	880.54
2005/06/28	878.56	878.56	865.28	867.92
2005/06/29	868.56	870.42	864.42	865.22
2005/06/30	862.90	862.90	842.09	842.21
2005/07/01	837.70	837.70	810.11	810.82
2005/07/04	806.26	806.26	784.11	799.88
2005/07/05	798.44	801.83	791.58	796.30
2005/07/06	796.45	802.69	788.63	793.30
2005/07/07	793.30	796.96	788.10	795.16
2005/07/08	793.53	793.53	768.48	768.76
2005/07/11	771.03	786.44	761.25	761.36
2005/07/12	758.61	785.10	755.23	785.10
2005/07/13	784.06	785.45	776.96	779.89
2005/07/14	778.51	783.70	774.95	779.82
2005/07/15	780.23	782.60	759.67	760.37
2005/07/18	756.38	756.38	740.22	741.83
2005/07/19	738.68	746.18	735.88	741.89
2005/07/20	740.81	751.09	739.36	747.70
2005/07/21	746.91	747.39	736.98	746.25
2005/07/22	745.99	768.02	745.99	761.71
