'399006'	创业板指	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2010/06/01	986.02	994.79	948.12	973.23	1583073.00	5780310016
2010/06/02	967.61	997.12	952.61	997.12	1202131.00	4455081472
2010/06/03	1002.36	1026.70	997.78	998.39	1729802.00	6635856896
2010/06/04	989.68	1027.68	986.50	1027.68	1571655.00	5512249344
2010/06/07	1005.03	1075.23	1001.70	1069.47	2769355.00	9500139520
2010/06/08	1067.32	1075.50	1050.97	1067.15	2062969.00	6929747968
2010/06/09	1070.85	1102.10	1069.43	1077.82	2541568.00	8994866176
2010/06/10	1077.68	1119.11	1076.28	1117.48	2197405.00	8242731008
2010/06/11	1122.44	1128.23	1118.71	1122.20	2224874.00	8449039360
2010/06/17	1126.13	1129.69	1064.84	1064.84	1764284.00	6757409280
2010/06/18	1052.07	1053.14	993.17	1000.28	1630651.00	5827721216
2010/06/21	991.96	1043.16	976.41	1040.80	1574798.00	5604269568
2010/06/22	1037.04	1057.37	1033.65	1035.00	1427162.00	5067480064
2010/06/23	1026.87	1056.35	1023.74	1047.34	1257359.00	4608672768
2010/06/24	1046.76	1059.75	1041.54	1050.60	1069133.00	3904947968
2010/06/25	1046.21	1046.21	999.16	1016.28	1781242.00	6118334976
2010/06/28	1009.22	1014.41	984.22	987.83	1180048.00	4166415872
2010/06/29	985.57	992.23	912.54	913.31	1742056.00	5950152704
2010/06/30	898.29	921.81	881.36	919.31	1408707.00	4322012672
2010/07/01	914.40	921.21	882.19	882.19	1199398.00	4038564864
2010/07/02	878.95	885.34	832.62	873.12	1436579.00	4569466880
2010/07/05	857.37	870.86	842.73	862.27	1015805.00	3089164288
2010/07/06	859.26	898.45	857.80	893.72	1268273.00	3995397120
2010/07/07	896.53	908.55	890.34	908.55	1154523.00	3646054144
2010/07/08	912.00	914.30	887.03	905.51	1823587.00	5165453824
2010/07/09	903.50	936.53	896.89	932.15	1844848.00	5435749888
2010/07/12	931.54	941.07	924.06	930.17	1473329.00	4566958592
2010/07/13	924.95	936.64	906.30	931.08	1683636.00	5114770944
2010/07/14	929.75	937.93	916.07	922.36	1621515.00	4986494464
2010/07/15	920.05	930.56	892.56	892.56	1381135.00	4298472960
2010/07/16	885.07	895.06	869.02	892.30	1123317.00	3438812672
2010/07/19	881.66	910.18	878.07	908.05	1018964.00	3119461632
2010/07/20	909.54	937.55	909.54	937.02	1477185.00	4738516480
2010/07/21	940.10	959.04	938.16	941.25	1782674.00	6154524160
2010/07/22	938.22	950.21	932.02	950.21	1326603.00	4356669440
2010/07/23	951.84	964.74	948.13	960.59	1721251.00	5339086336
2010/07/26	962.76	966.73	954.76	966.15	1476036.00	4626044928
2010/07/27	963.54	968.04	955.73	957.97	1361821.00	4574086656
2010/07/28	955.19	972.53	954.52	972.53	2057862.00	6808196608
2010/07/29	974.30	982.02	965.61	975.36	2113522.00	6958028288
2010/07/30	971.66	971.66	955.92	968.43	1691713.00	5788241408
2010/08/02	968.45	994.23	968.45	994.23	1962784.00	6585242112
2010/08/03	995.20	996.26	975.65	975.65	1885148.00	6352817664
2010/08/04	971.41	978.01	955.93	978.01	1624911.00	5327478784
2010/08/05	980.27	998.10	978.33	987.35	1915501.00	6503165952
2010/08/06	987.97	1011.39	985.63	1011.39	2360265.00	8526610944
2010/08/09	1013.25	1032.34	1013.25	1032.34	2428508.00	8547738112
2010/08/10	1031.98	1034.33	993.99	993.99	2411715.00	8238702080
2010/08/11	991.28	1006.45	990.94	1004.64	1759141.00	5917192192
2010/08/12	994.05	1007.58	987.98	991.78	2286133.00	8961175552
2010/08/13	992.63	1007.52	986.62	1007.21	1782849.00	6539170816
2010/08/16	1007.50	1031.05	1005.05	1030.22	2091177.00	7340468224
2010/08/17	1031.08	1036.82	1023.08	1033.58	1963471.00	7026580992
2010/08/18	1033.71	1035.61	1018.50	1026.72	1811909.00	6654306816
2010/08/19	1026.98	1033.25	1021.70	1025.53	1750953.00	6269932544
2010/08/20	1021.46	1022.45	993.56	995.94	2404561.00	9468962816
2010/08/23	994.94	1001.18	991.52	995.61	1773928.00	6691922944
2010/08/24	993.58	1007.76	987.22	1004.99	1608155.00	6272781824
2010/08/25	1000.27	1002.33	976.56	976.88	2166638.00	7732030976
2010/08/26	978.60	984.87	973.00	980.63	1700768.00	6245785600
2010/08/27	978.51	1000.86	975.72	999.46	2173481.00	7887761408
2010/08/30	1002.99	1025.15	1002.99	1024.93	2358186.00	8501815296
2010/08/31	1020.75	1029.80	1015.13	1025.57	2175335.00	8054545408
