'162411'	华宝油气	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2011/10/25	1.000	1.000	1.000	1.000	0.00	0	0						
2011/10/26	1.000	1.000	1.000	1.000	0.00	0	0	1					
2011/10/27	1.000	1.000	1.000	1.000	0.00	0	0	1	1				
2011/10/28	1.000	1.000	1.000	1.000	0.00	0	0	1	1				
2011/10/31	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1			
2011/11/01	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1			
2011/11/02	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1			
2011/11/03	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1			
2011/11/04	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1			
2011/11/07	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/08	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/09	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/10	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/11	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/14	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/15	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/16	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/17	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/18	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1		
2011/11/21	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/22	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/23	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/24	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/25	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/28	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/29	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/11/30	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/01	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/02	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/05	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/06	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/07	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/08	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/09	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/12	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/13	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/14	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/15	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/16	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/19	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/20	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/21	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/22	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/23	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/26	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/27	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/28	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/29	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2011/12/30	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/04	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/05	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/06	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/09	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/10	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/11	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/12	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/13	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/16	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/17	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	
2012/01/18	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/01/19	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/01/20	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/01/30	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/01/31	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/01	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/02	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/03	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/06	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/07	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/08	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/09	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/10	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/13	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/14	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/15	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/16	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/17	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/20	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/21	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/22	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/23	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
2012/02/24	1.000	1.000	1.000	1.000	0.00	0	0	1	1	1	1	1	1
