'159937'	博时黄金	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2014/09/01	2.547	2.547	2.526	2.532	73377.00	18594844	1301						
2014/09/02	2.520	2.535	2.505	2.517	73686.00	18629900	902	2.524					
2014/09/03	2.506	2.516	2.500	2.507	43730.00	10966721	269	2.512	2.519				
2014/09/04	2.502	2.530	2.502	2.518	25300.00	6389439	122	2.512	2.514				
2014/09/05	2.505	2.511	2.505	2.507	11002.00	2760630	66	2.512	2.511	2.516			
2014/09/09	2.495	2.498	2.481	2.492	1892.00	471771	60	2.5	2.506	2.508			
2014/09/10	2.482	2.509	2.482	2.508	10307.00	2571214	77	2.5	2.502	2.506			
2014/09/11	2.475	2.488	2.475	2.488	1351.00	335529	25	2.498	2.496	2.503			
2014/09/12	2.461	2.479	2.461	2.461	532.00	131803	23	2.474	2.486	2.491			
2014/09/15	2.453	2.476	2.453	2.475	5186.00	1280302	37	2.468	2.475	2.485	2.5		
2014/09/16	2.475	2.484	2.463	2.473	663.00	164665	39	2.474	2.47	2.481	2.495		
2014/09/17	2.462	2.490	2.462	2.485	154.00	38187	24	2.479	2.478	2.476	2.491		
2014/09/18	2.452	2.500	2.452	2.485	38.00	9356	9	2.485	2.481	2.476	2.489		
2014/09/19	2.456	2.460	2.451	2.460	450.00	110543	17	2.472	2.477	2.476	2.483		
2014/09/22	2.488	2.488	2.428	2.437	275.00	66881	27	2.449	2.461	2.468	2.476		
2014/09/23	2.426	2.447	2.426	2.441	74.00	17985	13	2.439	2.446	2.462	2.471		
2014/09/24	2.451	2.457	2.447	2.457	380.00	93283	22	2.449	2.445	2.456	2.466		
2014/09/25	2.440	2.440	2.422	2.422	461.00	112160	17	2.439	2.44	2.443	2.46		
2014/09/26	2.454	2.463	2.445	2.460	231.00	56637	19	2.441	2.446	2.443	2.46		
2014/09/29	2.470	2.470	2.438	2.447	58.00	14093	12	2.454	2.443	2.445	2.457	2.479	
2014/09/30	2.442	2.445	2.442	2.444	202.00	49309	11	2.445	2.45	2.446	2.454	2.474	
