'399394'	国证医药	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2012/10/29	4618.51	4674.10	4603.02	4673.65	2183975.00	3507508992
2012/10/30	4665.09	4712.84	4660.06	4668.69	2748066.00	4012997376
2012/10/31	4667.91	4733.24	4665.16	4733.24	3084587.00	4559104512
2012/11/01	4729.54	4789.83	4729.54	4780.52	3171863.00	4635479040
2012/11/02	4781.22	4792.09	4758.19	4782.26	2487695.00	3782901248
2012/11/05	4782.86	4798.50	4742.55	4754.24	2920683.00	4280958720
2012/11/06	4753.42	4757.24	4667.55	4737.11	2653357.00	4110519808
2012/11/07	4728.31	4734.59	4691.29	4715.52	2206638.00	3321348096
2012/11/08	4685.33	4720.49	4652.85	4654.29	2657168.00	3843700992
2012/11/09	4644.92	4665.67	4593.51	4599.60	2255289.00	3348163584
2012/11/12	4591.24	4614.28	4506.02	4548.00	2385981.00	3888346368
2012/11/13	4542.81	4542.81	4475.98	4487.67	2381560.00	3312110848
2012/11/14	4483.87	4529.25	4477.29	4529.15	2007584.00	2888601344
2012/11/15	4508.58	4560.19	4493.44	4505.38	2346243.00	3214206464
2012/11/16	4495.06	4500.92	4426.32	4456.60	2260772.00	3144822016
2012/11/19	4447.68	4447.68	4389.23	4434.23	2096142.00	2948406528
2012/11/20	4439.99	4450.27	4414.28	4416.80	1688031.00	2268209664
2012/11/21	4418.82	4450.86	4359.78	4437.27	2080806.00	2790877440
2012/11/22	4420.28	4420.28	4374.54	4375.73	1760149.00	2300177920
2012/11/23	4382.23	4396.13	4367.03	4378.94	1769278.00	2472634880
2012/11/26	4368.54	4373.69	4334.99	4343.35	1704675.00	2280193024
2012/11/27	4332.47	4332.75	4222.73	4226.94	2628417.00	3198998784
2012/11/28	4214.90	4216.11	4143.22	4159.31	2159146.00	2815255552
2012/11/29	4155.85	4194.75	4155.85	4157.81	1761733.00	2285963776
2012/11/30	4155.20	4192.26	4146.02	4192.17	1795816.00	2298167296
2012/12/03	4192.54	4192.54	4095.14	4099.48	2131818.00	2701696000
2012/12/04	4088.95	4120.60	4042.42	4120.60	2525191.00	3292588544
2012/12/05	4111.85	4259.42	4105.00	4243.57	3567037.00	4635252736
2012/12/06	4243.10	4253.61	4203.51	4228.26	2207415.00	2923966976
2012/12/07	4224.02	4300.72	4204.48	4300.65	3337921.00	4303547392
2012/12/10	4304.43	4310.79	4267.71	4310.79	3643335.00	4931659264
2012/12/11	4295.10	4308.03	4278.22	4290.21	3042928.00	3899335424
2012/12/12	4283.03	4296.61	4246.14	4272.76	2393578.00	3040750848
2012/12/13	4260.12	4283.35	4242.69	4260.70	2315489.00	3114338560
2012/12/14	4264.07	4392.51	4261.36	4390.70	4666979.00	6277312512
2012/12/17	4356.79	4365.17	4283.26	4320.38	4358960.00	6213864960
2012/12/18	4310.17	4337.59	4291.56	4311.61	6026420.00	8007144960
2012/12/19	4305.43	4339.32	4297.73	4328.20	4353557.00	5716756992
2012/12/20	4317.50	4323.27	4268.84	4301.56	4489249.00	5754201088
2012/12/21	4301.81	4366.90	4294.26	4356.37	4757251.00	6483804160
2012/12/24	4352.67	4442.98	4352.67	4442.14	4314623.00	6353558528
2012/12/25	4441.35	4539.65	4432.42	4537.62	6139523.00	8520666112
2012/12/26	4533.18	4551.55	4505.40	4550.91	4579522.00	6421747712
2012/12/27	4554.31	4562.13	4512.36	4524.43	4675149.00	6272684544
2012/12/28	4530.08	4568.95	4502.77	4568.93	4335749.00	6007563264
2012/12/31	4573.83	4604.65	4543.44	4604.65	5212684.00	7882818048
2013/01/04	4613.09	4613.09	4471.06	4504.70	5475413.00	8449070592
2013/01/07	4526.93	4608.80	4526.93	4607.47	7048307.00	9862010880
2013/01/08	4616.91	4748.71	4615.00	4728.75	9761372.00	13779321856
2013/01/09	4722.05	4747.30	4691.89	4718.33	7186982.00	9748688896
2013/01/10	4714.88	4749.05	4708.39	4748.79	5767317.00	8445850624
2013/01/11	4746.56	4756.83	4680.90	4691.54	5627028.00	8331290112
2013/01/14	4697.72	4870.62	4697.72	4869.95	7612471.00	11287619584
2013/01/15	4876.55	4957.57	4868.38	4938.92	8462649.00	11917826048
2013/01/16	4937.60	5017.05	4907.19	4982.42	7315509.00	11144146944
2013/01/17	4981.91	5047.07	4971.35	4997.40	5515067.00	8625965056
2013/01/18	5005.17	5079.84	4985.97	5063.69	4883378.00	8198950912
2013/01/21	5072.56	5087.26	5043.56	5079.25	5109277.00	8275322368
2013/01/22	5073.38	5073.38	4958.27	4979.40	4976954.00	7978357248
2013/01/23	4972.20	5015.64	4956.44	5014.71	4094490.00	6709253632
2013/01/24	5011.11	5072.37	4914.40	4945.96	5858399.00	8702193664
2013/01/25	4947.35	5068.99	4947.35	5061.54	4466378.00	7482273792
2013/01/28	5060.61	5196.07	5060.61	5195.78	6190571.00	9862166528
2013/01/29	5190.16	5212.19	5185.25	5193.53	5893711.00	9104812032
2013/01/30	5189.77	5189.77	5137.58	5178.79	6186581.00	9454362624
2013/01/31	5181.41	5191.49	5125.44	5150.39	5098312.00	7946829312
2013/02/01	5132.35	5202.10	5129.70	5161.57	5547463.00	8871041024
2013/02/04	5173.25	5180.06	5040.64	5054.19	5389539.00	9273954304
2013/02/05	5043.02	5174.21	5040.56	5156.71	4626767.00	7696813568
2013/02/06	5152.62	5257.40	5151.99	5256.56	5205834.00	9508430848
2013/02/07	5240.90	5316.29	5234.59	5309.55	4683067.00	8188605440
2013/02/08	5307.17	5449.38	5307.04	5416.57	5190838.00	8785707008
2013/02/18	5435.32	5436.86	5365.00	5409.62	4932477.00	8026144256
2013/02/19	5400.97	5423.64	5360.60	5375.57	5939043.00	8934104064
2013/02/20	5368.43	5621.36	5366.67	5621.31	8291673.00	13221699584
2013/02/21	5606.98	5651.68	5461.20	5526.76	8827423.00	13837817856
2013/02/22	5516.70	5553.97	5441.88	5451.69	5300436.00	8504223232
2013/02/25	5452.38	5512.66	5432.54	5500.65	4458463.00	7161534976
2013/02/26	5477.65	5596.00	5462.40	5469.98	6319237.00	10013947904
2013/02/27	5473.22	5507.30	5361.18	5398.29	5017542.00	8293391360
2013/02/28	5407.54	5481.75	5357.44	5481.45	5270047.00	8848571392
2013/03/01	5477.31	5599.38	5475.13	5595.54	6153081.00	9866917888
2013/03/04	5566.80	5673.09	5475.26	5515.71	7289826.00	11988840448
2013/03/05	5531.77	5696.14	5527.91	5695.86	7011685.00	11717486592
2013/03/06	5718.65	5809.67	5718.65	5760.55	7984185.00	12856346624
2013/03/07	5749.17	5749.17	5534.97	5596.93	7527167.00	12507871232
2013/03/08	5602.85	5635.01	5496.78	5518.07	5068647.00	8824560640
2013/03/11	5512.95	5577.63	5476.68	5565.43	4013988.00	7106840064
2013/03/12	5559.39	5587.25	5333.62	5405.86	5813489.00	9609872384
2013/03/13	5388.83	5392.96	5317.09	5371.08	3758875.00	6047722496
2013/03/14	5347.41	5471.51	5345.49	5471.04	3430191.00	6244789248
2013/03/15	5470.57	5613.81	5435.15	5507.96	4588996.00	8498418688
2013/03/18	5504.50	5568.11	5446.40	5457.07	4388960.00	7889014784
2013/03/19	5462.40	5475.02	5348.09	5414.50	4565896.00	7601125376
2013/03/20	5414.17	5551.23	5400.23	5551.23	4844024.00	8292238336
