'600276'	恒瑞医药	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数
2000/10/18	26.88	28.45	26.50	27.70	271930.00	748995968	0
2000/10/19	27.61	28.19	27.01	27.21	77476.00	214900000	0
2000/10/20	26.98	27.88	26.30	27.75	51195.00	138248000	0
2000/10/23	27.88	28.09	27.40	27.90	21437.00	59486000	0
2000/10/24	27.98	28.56	27.61	28.28	26559.00	74935000	0
2000/10/25	28.01	28.95	27.90	27.90	35964.00	102213000	0
2000/10/26	27.98	28.10	27.61	27.73	14866.00	41407000	0
2000/10/27	27.80	28.79	27.75	28.45	20411.00	57890000	0
2000/10/30	28.46	28.49	27.78	28.08	11399.00	31942000	0
2000/10/31	28.03	28.18	27.61	27.69	13105.00	36514000	0
2000/11/01	27.65	28.09	27.50	28.00	15492.00	43018000	0
2000/11/02	28.08	28.45	27.80	28.37	13385.00	37739000	0
2000/11/03	28.05	28.45	27.95	28.12	7576.00	21330000	0
2000/11/06	28.15	28.85	27.90	28.66	11712.00	33437000	0
2000/11/07	28.88	29.38	28.60	29.10	15635.00	45456000	0
2000/11/08	29.20	29.54	29.02	29.48	17297.00	50711000	0
2000/11/09	29.38	29.60	29.02	29.20	13277.00	38995000	0
2000/11/10	29.30	29.47	29.10	29.46	12985.00	37987000	0
2000/11/13	29.50	29.64	29.22	29.22	12930.00	37918000	0
2000/11/14	29.01	30.09	28.86	30.05	15404.00	45434000	0
2000/11/15	30.05	31.20	29.85	30.13	20980.00	63989000	0
2000/11/16	30.51	30.52	30.00	30.09	10315.00	31156000	0
2000/11/17	30.20	30.31	29.82	29.90	8021.00	24040000	0
2000/11/20	29.80	30.10	29.53	29.95	4493.00	13392000	0
2000/11/21	29.98	30.05	29.51	29.73	5095.00	15175000	0
2000/11/22	29.73	30.27	29.55	29.99	9247.00	27686000	0
2000/11/23	29.99	30.40	29.80	30.00	4361.00	13135000	0
2000/11/24	30.01	30.39	28.90	29.59	12888.00	37988000	0
2000/11/27	29.42	29.55	28.95	29.13	7579.00	22238000	0
2000/11/28	29.13	29.46	29.00	29.23	3169.00	9263000	0
2000/11/29	29.40	29.60	28.60	28.65	5365.00	15515000	0
2000/11/30	28.88	29.00	28.50	28.98	2603.00	7479000	0
2000/12/01	28.90	29.26	28.64	29.00	1369.00	3956000	0
2000/12/04	29.28	29.28	28.80	29.15	1606.00	4655000	0
2000/12/05	29.10	29.34	29.00	29.08	1822.00	5302000	0
2000/12/06	29.08	29.22	28.85	28.94	2451.00	7112000	0
2000/12/07	28.94	29.10	28.80	28.90	2253.00	6524000	0
2000/12/08	28.90	29.27	28.87	28.95	2540.00	7376000	0
2000/12/11	28.90	28.90	28.21	28.22	5569.00	15902000	0
2000/12/12	28.21	28.80	28.20	28.60	1719.00	4892000	0
2000/12/13	28.75	28.75	28.38	28.58	1228.00	3519000	0
2000/12/14	28.50	28.94	28.50	28.70	2057.00	5911000	0
2000/12/15	28.70	28.80	28.59	28.75	1097.00	3146000	0
2000/12/18	28.75	29.20	28.60	28.97	5020.00	14530000	0
2000/12/19	29.18	29.18	28.71	28.94	1928.00	5587000	0
2000/12/20	28.83	29.40	28.83	29.30	3682.00	10748000	0
2000/12/21	29.30	29.76	29.30	29.49	2577.00	7602000	0
2000/12/22	29.39	29.55	28.89	29.28	5564.00	16210000	0
2000/12/25	29.28	29.30	28.90	28.95	5857.00	16996000	0
2000/12/26	28.94	29.70	28.81	29.48	3995.00	11695000	0
2000/12/27	29.50	29.60	29.11	29.36	3787.00	11112000	0
2000/12/28	28.10	29.85	28.10	29.85	6798.00	19400000	0
2000/12/29	29.78	30.25	29.45	30.15	7461.00	22371000	0
2001/01/02	30.17	31.20	30.00	30.99	10014.00	30824000	0
2001/01/03	31.18	31.41	30.60	30.85	7587.00	23498000	0
2001/01/04	30.95	31.24	30.62	30.89	4256.00	13188000	0
2001/01/05	30.89	31.48	30.88	31.48	4402.00	13743000	0
2001/01/08	31.48	31.68	30.55	30.59	5539.00	17103000	0
2001/01/09	30.60	30.92	29.64	30.10	13779.00	41517000	0
2001/01/10	30.00	31.20	29.81	30.50	5539.00	17005000	0
2001/01/11	30.40	31.00	29.80	29.90	5723.00	17190000	0
2001/01/12	29.80	30.65	29.50	30.30	8421.00	25385000	0
2001/01/15	30.20	30.20	29.31	29.40	2680.00	7952000	0
2001/01/16	29.01	29.50	28.91	29.18	2184.00	6365000	0
2001/01/17	29.18	29.30	28.51	28.67	3413.00	9854000	0
2001/01/18	28.66	29.60	28.60	29.10	3935.00	11435000	0
2001/01/19	29.48	29.79	29.11	29.70	3474.00	10266000	0
2001/02/05	29.80	29.99	28.50	28.53	3113.00	9048000	0
2001/02/06	28.38	28.69	28.00	28.50	3593.00	10197000	0
2001/02/07	28.34	28.60	28.34	28.45	958.00	2731000	0
2001/02/08	28.58	28.61	27.07	27.40	3168.00	8771000	0
2001/02/09	27.45	28.60	27.00	27.98	9858.00	27192000	0
2001/02/12	27.96	27.98	27.10	27.70	3277.00	8989000	0
2001/02/13	27.80	27.85	27.50	27.80	2191.00	6057000	0
2001/02/14	27.61	27.94	27.61	27.75	721.00	2004000	0
2001/02/15	27.80	27.80	26.70	27.09	5430.00	14767000	0
2001/02/16	27.00	27.00	26.36	26.80	3083.00	8210000	0
2001/02/19	26.90	27.25	26.80	27.10	1820.00	4925000	0
2001/02/20	27.12	27.40	26.40	26.80	3992.00	10720000	0
