'000300'	沪深300	日线
日期	开盘	最高	最低	收盘
2005/01/04	994.76	994.76	980.65	982.79
2005/01/05	981.57	997.32	979.87	992.56
2005/01/06	993.33	993.78	980.33	983.17
2005/01/07	983.04	995.71	979.81	983.95
2005/01/10	983.76	993.95	979.78	993.87
2005/01/11	994.18	999.55	991.09	997.13
2005/01/12	996.65	996.97	989.25	996.74
2005/01/13	996.07	999.47	992.69	996.87
2005/01/14	996.61	1006.46	987.23	988.30
2005/01/17	979.11	981.52	965.07	967.45
2005/01/18	967.37	974.87	960.29	974.68
2005/01/19	974.33	974.33	965.25	967.21
2005/01/20	963.21	963.21	952.23	956.24
2005/01/21	954.46	984.27	943.43	982.60
2005/01/24	1001.85	1001.85	986.23	998.13
2005/01/25	995.63	997.95	985.23	997.77
2005/01/26	995.78	999.47	988.47	989.92
2005/01/27	987.34	987.70	973.77	974.63
2005/01/28	974.63	975.62	965.20	969.20
2005/01/31	965.78	965.78	953.14	954.87
2005/02/01	953.33	965.47	952.74	955.95
2005/02/02	956.70	1006.93	956.70	1006.91
2005/02/03	1005.56	1014.18	992.15	993.21
2005/02/04	992.25	1021.02	989.93	1016.85
2005/02/16	1023.32	1033.24	1018.48	1023.58
2005/02/17	1024.43	1024.43	1010.47	1020.60
2005/02/18	1020.12	1021.19	1005.63	1006.05
2005/02/21	1006.69	1025.65	1006.69	1025.63
2005/02/22	1026.83	1048.67	1024.52	1046.74
2005/02/23	1046.81	1049.60	1036.62	1043.93
2005/02/24	1042.25	1045.95	1034.73	1045.46
2005/02/25	1046.27	1059.48	1045.98	1046.76
2005/02/28	1046.20	1048.27	1035.03	1039.98
2005/03/01	1039.35	1042.73	1031.16	1035.93
2005/03/02	1036.36	1045.76	1021.00	1021.32
2005/03/03	1019.87	1028.40	1014.75	1027.71
2005/03/04	1027.92	1031.84	1022.17	1023.66
2005/03/07	1024.48	1031.34	1024.48	1029.87
2005/03/08	1033.78	1049.28	1032.85	1048.98
2005/03/09	1051.26	1054.64	1041.98	1046.54
2005/03/10	1046.68	1046.68	1019.63	1022.41
2005/03/11	1021.08	1028.11	1016.93	1027.42
2005/03/14	1027.17	1041.56	1014.92	1031.02
2005/03/15	1030.85	1030.93	1011.64	1013.52
2005/03/16	1011.85	1012.19	995.96	1003.06
2005/03/17	1001.96	1004.82	992.12	992.86
2005/03/18	991.88	996.39	975.70	978.66
2005/03/21	977.29	983.17	973.00	981.89
2005/03/22	981.70	982.13	959.56	964.02
2005/03/23	962.81	975.36	955.99	959.01
2005/03/24	957.43	965.06	948.53	964.80
2005/03/25	964.24	966.97	959.05	962.95
2005/03/28	961.65	961.65	948.80	960.69
2005/03/29	960.41	968.11	954.74	955.19
2005/03/30	952.71	952.71	936.37	937.03
2005/03/31	934.84	942.36	928.33	942.20
2005/04/01	941.43	989.90	937.55	978.14
2005/04/04	968.49	974.06	956.12	962.16
2005/04/05	960.54	967.74	953.58	955.59
2005/04/06	955.59	977.85	948.94	973.66
2005/04/07	975.97	1000.26	974.30	984.73
2005/04/08	984.66	1003.69	979.52	1003.44
2005/04/11	1003.87	1008.73	992.77	995.42
2005/04/12	993.71	993.71	978.20	978.69
2005/04/13	987.95	1006.49	987.95	1000.90
2005/04/14	1004.64	1006.41	985.57	986.97
2005/04/15	982.61	982.61	971.93	974.08
2005/04/18	970.90	970.90	958.64	963.77
2005/04/19	962.91	968.86	957.91	965.88
2005/04/20	964.15	964.15	946.19	950.86
2005/04/21	948.86	955.55	938.59	943.98
2005/04/22	942.90	947.90	934.95	939.10
2005/04/25	935.99	935.99	920.16	930.07
2005/04/26	928.42	939.69	924.65	937.08
2005/04/27	938.57	938.91	925.89	926.60
2005/04/28	923.52	945.50	914.82	942.07
2005/04/29	940.80	942.45	929.81	932.39
2005/05/09	934.65	937.39	909.17	909.17
2005/05/10	905.54	913.38	892.31	913.07
2005/05/11	911.83	917.22	900.43	901.85
2005/05/12	899.96	900.06	883.51	885.82
2005/05/13	883.50	898.50	875.57	887.54
2005/05/16	885.38	885.38	869.33	875.27
2005/05/17	873.07	888.28	868.21	881.46
2005/05/18	881.14	890.40	871.82	883.19
2005/05/19	882.84	888.01	871.28	884.17
2005/05/20	883.51	891.02	879.18	882.76
2005/05/23	880.28	880.28	862.09	863.34
2005/05/24	861.19	871.76	855.58	868.45
2005/05/25	867.65	876.30	861.65	868.45
2005/05/26	867.75	872.83	854.95	857.33
2005/05/27	855.59	864.96	848.39	849.50
2005/05/30	847.63	858.46	842.10	855.61
2005/05/31	856.56	863.19	853.29	855.94
2005/06/01	855.20	857.65	836.04	837.53
2005/06/02	835.46	835.49	812.98	818.37
2005/06/03	816.54	823.86	807.96	818.03
2005/06/06	816.73	839.15	807.78	838.99
2005/06/07	841.57	858.09	835.17	837.28
2005/06/08	848.53	908.82	844.47	905.77
2005/06/09	907.56	925.36	895.03	912.60
2005/06/10	911.94	911.94	889.10	894.55
2005/06/13	894.99	900.18	877.69	892.95
2005/06/14	895.39	905.41	882.86	883.53
2005/06/15	881.20	881.24	865.13	866.83
2005/06/16	866.65	879.49	861.82	879.23
2005/06/17	883.60	888.07	876.03	880.34
2005/06/20	881.62	906.48	872.56	906.25
2005/06/21	906.30	906.30	894.38	896.16
2005/06/22	894.76	901.24	891.92	900.64
2005/06/23	900.05	904.89	892.83	893.57
2005/06/24	892.06	898.67	888.39	898.30
2005/06/27	904.20	920.64	904.20	916.04
2005/06/28	913.48	913.48	901.20	903.71
2005/06/29	906.75	907.57	898.08	898.89
2005/06/30	897.10	897.10	876.88	878.68
2005/07/01	875.93	875.93	858.37	859.49
2005/07/04	855.31	856.10	842.81	855.93
2005/07/05	853.67	856.73	845.36	849.67
2005/07/06	850.25	854.44	838.60	842.55
2005/07/07	841.74	848.02	839.28	844.72
2005/07/08	842.62	842.62	827.22	829.48
2005/07/11	837.86	850.65	822.52	824.09
2005/07/12	821.91	854.28	818.86	851.81
2005/07/13	850.46	851.94	841.85	846.23
2005/07/14	844.94	856.09	843.17	849.59
2005/07/15	849.87	854.60	837.78	841.00
2005/07/18	839.22	840.00	829.67	832.99
2005/07/19	831.50	840.14	829.27	835.60
2005/07/20	835.30	844.71	832.14	842.64
2005/07/21	842.74	843.98	835.75	843.98
2005/07/22	847.54	867.16	842.98	859.69
2005/07/25	858.32	860.95	854.28	856.86
2005/07/26	856.18	880.03	856.18	876.48
2005/07/27	876.94	894.02	876.03	894.01
2005/07/28	893.87	900.99	888.50	890.88
2005/07/29	889.41	892.29	883.38	888.16
2005/08/01	887.71	897.28	885.85	891.60
2005/08/02	892.13	903.64	888.39	903.59
2005/08/03	905.18	919.28	903.76	909.57
2005/08/04	907.42	909.82	901.62	904.15
2005/08/05	904.03	923.80	903.94	923.80
2005/08/08	926.57	933.15	923.57	927.47
2005/08/09	926.97	933.39	919.10	933.08
2005/08/10	933.26	940.37	926.27	940.37
2005/08/11	940.78	953.99	939.38	953.99
2005/08/12	954.71	959.26	933.98	938.31
2005/08/15	937.70	954.50	936.11	954.50
2005/08/16	955.27	959.34	939.91	945.05
2005/08/17	943.40	953.34	930.32	953.01
2005/08/18	954.15	956.84	919.12	920.67
2005/08/19	918.09	927.32	910.08	923.03
2005/08/22	923.10	933.35	919.22	931.67
2005/08/23	931.80	931.80	915.03	923.41
2005/08/24	923.55	935.23	923.55	930.65
2005/08/25	930.97	933.19	920.61	930.11
2005/08/26	930.24	930.32	921.84	928.25
2005/08/29	928.34	928.34	913.76	917.37
2005/08/30	916.08	920.20	912.83	914.88
2005/08/31	915.12	928.21	911.50	927.91
2005/09/01	928.52	944.94	926.06	944.55
2005/09/02	945.97	947.91	941.31	947.87
2005/09/05	949.07	952.98	944.62	952.71
2005/09/06	953.41	956.29	934.97	936.61
2005/09/07	934.99	952.89	932.64	952.75
2005/09/08	954.27	958.86	947.70	955.28
2005/09/09	955.11	959.89	946.02	949.06
2005/09/12	949.77	952.55	945.40	949.50
2005/09/13	949.58	963.92	948.12	963.77
2005/09/14	964.97	970.26	961.64	970.19
2005/09/15	970.58	970.96	965.65	969.59
2005/09/16	969.61	970.37	964.28	967.49
2005/09/19	967.44	971.98	964.26	971.13
2005/09/20	971.37	971.65	957.11	961.91
2005/09/21	961.37	961.37	943.82	944.40
2005/09/22	942.72	942.72	914.23	923.27
2005/09/23	921.51	927.41	914.80	916.15
2005/09/26	915.84	919.65	913.61	918.48
2005/09/27	918.86	921.13	903.38	904.21
2005/09/28	903.32	910.33	901.38	903.71
2005/09/29	904.28	915.97	904.28	915.97
2005/09/30	916.58	918.66	913.45	917.39
2005/10/10	917.21	917.21	906.88	907.32
2005/10/11	906.62	919.79	904.04	919.72
2005/10/12	920.45	926.09	917.37	923.48
2005/10/13	923.42	926.00	916.27	916.49
2005/10/14	916.33	917.89	902.81	904.82
2005/10/17	903.26	903.26	892.35	897.62
2005/10/18	897.36	903.00	895.62	902.36
2005/10/19	902.03	907.87	897.04	898.74
2005/10/20	898.89	900.12	889.56	899.91
2005/10/21	899.64	907.79	897.98	904.41
2005/10/24	905.12	908.45	900.22	906.65
2005/10/25	905.96	905.96	893.60	894.27
2005/10/26	892.61	892.61	873.89	875.82
2005/10/27	873.47	879.66	869.72	875.84
2005/10/28	875.86	880.20	859.69	867.72
2005/10/31	866.61	878.40	866.15	876.28
2005/11/01	875.95	875.95	862.68	872.86
2005/11/02	873.39	884.93	873.39	882.47
