'H30537'	淘金100	日线
日期	开盘	最高	最低	收盘
2015/01/21	4948.45	5070.30	4943.47	5068.75
2015/01/22	5073.37	5132.41	5064.61	5120.72
2015/01/23	5129.57	5136.62	5047.59	5068.46
2015/01/26	5080.17	5154.51	5079.43	5154.51
2015/01/27	5164.07	5192.31	5087.95	5173.09
2015/01/28	5152.13	5191.85	5117.25	5129.44
2015/01/29	5077.88	5100.90	5043.21	5061.43
2015/01/30	5066.01	5094.64	5002.52	5018.83
2015/02/02	4961.78	5036.60	4934.24	4997.68
2015/02/03	5018.90	5090.20	5015.67	5088.63
2015/02/04	5100.41	5124.27	5060.46	5064.77
2015/02/05	5120.86	5132.86	5045.48	5047.36
2015/02/06	5034.52	5044.18	4925.57	4948.75
2015/02/09	4949.13	4970.72	4923.19	4932.30
2015/02/10	4942.06	5023.66	4942.03	5023.66
2015/02/11	5043.16	5109.33	5042.84	5104.97
2015/02/12	5122.34	5160.66	5116.92	5156.63
2015/02/13	5192.69	5257.80	5192.69	5235.89
2015/02/16	5256.38	5335.41	5249.07	5333.56
2015/02/17	5348.41	5363.06	5328.89	5345.89
2015/02/25	5354.66	5366.34	5305.57	5322.41
2015/02/26	5316.27	5389.88	5312.71	5389.64
2015/02/27	5387.64	5459.71	5385.10	5451.22
2015/03/02	5486.51	5559.91	5471.22	5559.47
2015/03/03	5538.93	5583.66	5511.61	5518.95
2015/03/04	5535.26	5621.22	5523.76	5621.19
2015/03/05	5616.87	5634.12	5581.64	5634.12
2015/03/06	5641.02	5653.03	5568.47	5588.58
2015/03/09	5590.67	5694.48	5550.51	5694.48
2015/03/10	5713.41	5769.57	5707.32	5754.06
2015/03/11	5775.93	5812.36	5774.20	5796.97
2015/03/12	5820.90	5842.29	5798.18	5829.49
2015/03/13	5836.52	5896.26	5836.52	5896.26
2015/03/16	5935.18	6078.84	5935.16	6078.84
2015/03/17	6116.14	6169.72	6078.67	6149.44
2015/03/18	6151.04	6263.44	6138.59	6263.44
2015/03/19	6264.17	6297.29	6220.47	6291.67
2015/03/20	6303.38	6360.61	6297.65	6350.68
2015/03/23	6389.59	6500.03	6389.59	6490.71
2015/03/24	6502.78	6545.37	6322.02	6539.22
2015/03/25	6521.51	6654.67	6492.98	6610.66
2015/03/26	6583.68	6671.87	6530.25	6608.39
2015/03/27	6624.95	6682.21	6589.40	6667.20
2015/03/30	6688.02	6779.78	6688.02	6765.90
2015/03/31	6812.80	6823.85	6715.04	6727.18
2015/04/01	6727.71	6854.62	6722.60	6844.86
2015/04/02	6872.38	6930.42	6831.54	6930.10
2015/04/03	6898.39	7023.80	6872.49	7023.80
2015/04/07	7070.70	7190.18	7070.06	7189.73
2015/04/08	7237.39	7262.94	7055.53	7178.15
2015/04/09	7175.04	7175.87	6864.78	7133.80
2015/04/10	7098.20	7356.83	7073.53	7343.62
2015/04/13	7383.93	7543.58	7373.23	7524.88
2015/04/14	7531.26	7580.90	7433.39	7494.68
2015/04/15	7447.68	7447.85	7175.22	7187.94
2015/04/16	7096.70	7372.13	7008.33	7301.95
2015/04/17	7340.65	7381.81	7286.78	7321.75
2015/04/20	7285.62	7330.45	7100.71	7122.08
2015/04/21	7113.90	7415.85	7110.92	7415.85
2015/04/22	7465.96	7627.68	7465.67	7627.68
2015/04/23	7653.48	7766.18	7586.83	7715.23
