'399001'	深证成指	日线
日期	开盘	最高	最低	收盘	成交量	成交额	涨数	跌数
1991/04/03	988.05	988.05	988.05	988.05	1.00	10000	0	0
1991/04/04	983.11	983.11	983.11	983.11	523.00	761000	0	0
1991/04/05	978.27	978.27	978.27	978.27	107.00	150000	0	0
1991/04/06	973.42	973.42	973.42	973.42	102.00	159000	0	0
1991/04/08	968.57	968.57	968.57	968.57	57.00	84000	0	0
1991/04/09	963.73	963.73	963.73	963.73	19.00	39000	0	0
1991/04/10	958.88	958.88	958.88	958.88	45.00	110000	0	0
1991/04/11	954.03	954.03	954.03	954.03	45.00	59000	0	0
1991/04/12	949.31	949.31	949.31	949.31	68.00	113000	0	0
1991/04/13	944.58	944.58	944.58	944.58	30.00	56000	0	0
1991/04/15	939.98	939.98	939.98	939.98	50.00	64000	0	0
1991/04/16	935.38	935.38	935.38	935.38	22.00	34000	0	0
1991/04/17	930.78	930.78	930.78	930.78	21.00	30000	0	0
1991/04/18	926.18	926.18	926.18	926.18	14.00	32000	0	0
1991/04/19	921.58	921.58	921.58	921.58	17.00	27000	0	0
1991/04/20	916.98	916.98	916.98	916.98	5.00	23000	0	0
1991/04/22	912.38	912.38	912.38	912.38	1.00	1000	0	0
1991/04/23	907.78	907.78	907.78	907.78	48.00	150000	0	0
1991/04/24	903.31	903.31	903.31	903.31	46.00	109000	0	0
1991/04/25	898.84	898.84	898.84	898.84	50.00	110000	0	0
1991/04/26	894.36	894.36	894.36	894.36	53.00	92000	0	0
1991/04/27	889.89	889.89	889.89	889.89	20.00	26000	0	0
1991/04/29	885.43	885.43	885.43	885.43	49.00	72000	0	0
1991/04/30	880.98	880.98	880.98	880.98	142.00	182000	0	0
1991/05/02	876.57	876.57	876.57	876.57	72.00	92000	0	0
1991/05/03	872.16	872.16	872.16	872.16	78.00	103000	0	0
1991/05/04	867.75	867.75	867.75	867.75	162.00	202000	0	0
1991/05/06	863.35	863.35	863.35	863.35	124.00	181000	0	0
1991/05/07	859.06	859.06	859.06	859.06	102.00	127000	0	0
1991/05/08	854.78	854.78	854.78	854.78	309.00	697000	0	0
1991/05/09	850.50	850.50	850.50	850.50	450.00	568000	0	0
1991/05/10	846.22	846.22	846.22	846.22	700.00	897000	0	0
1991/05/11	841.94	841.94	841.94	841.94	686.00	843000	0	0
1991/05/13	837.66	837.66	837.66	837.66	1554.00	1910000	0	0
1991/05/14	834.44	835.01	833.38	835.01	3160.00	3874000	0	0
1991/05/15	832.36	832.54	832.36	832.54	3957.00	5673000	0	0
1991/05/16	830.06	830.06	830.06	830.06	5918.00	8116000	0	0
1991/05/17	827.72	827.72	827.72	827.72	9014.00	11550000	0	0
1991/05/18	825.37	825.37	825.20	825.20	4180.00	5153000	0	0
1991/05/20	822.67	822.67	822.67	822.67	5631.00	6783000	0	0
1991/05/21	820.15	820.15	820.15	820.15	3708.00	4590000	0	0
1991/05/22	817.63	817.63	817.63	817.63	4533.00	5591000	0	0
1991/05/23	814.16	815.22	813.59	813.59	3267.00	4006000	0	0
1991/05/24	809.56	809.56	809.56	809.56	1008.00	1190000	0	0
1991/05/25	805.52	805.52	805.52	805.52	435.00	498000	0	0
1991/05/27	801.48	801.48	801.48	801.48	1320.00	1509000	0	0
1991/05/28	797.98	797.98	797.98	797.98	178.00	216000	0	0
1991/05/29	794.61	794.61	794.61	794.61	136.00	258000	0	0
1991/05/30	791.23	791.23	791.23	791.23	204.00	286000	0	0
1991/05/31	787.85	787.85	787.85	787.85	81.00	96000	0	0
1991/06/01	784.48	784.48	784.48	784.48	260.00	333000	0	0
1991/06/03	781.10	781.10	781.10	781.10	257.00	327000	0	0
1991/06/04	777.72	777.72	777.72	777.72	801.00	958000	0	0
1991/06/05	774.35	774.35	774.35	774.35	1650.00	1993000	0	0
1991/06/06	771.26	771.26	771.26	771.26	24.00	35000	0	0
1991/06/07	768.16	768.16	768.16	768.16	106.00	106000	0	0
1991/06/08	765.36	765.36	757.27	758.74	101.00	108000	0	0
1991/06/10	754.25	754.25	733.65	733.65	165.00	175000	0	0
1991/06/11	733.70	756.51	732.23	756.51	987.00	762000	0	0
1991/06/12	755.26	758.21	751.41	753.06	1905.00	1221000	0	0
1991/06/13	751.07	751.07	745.92	745.92	2389.00	2176000	0	0
1991/06/14	743.20	743.20	734.20	735.67	2362.00	2081000	0	0
1991/06/15	732.78	734.25	726.89	728.36	1057.00	965000	0	0
1991/06/17	716.99	721.18	715.14	721.00	2100.00	1809000	0	0
1991/06/18	717.13	721.94	716.40	721.21	1485.00	1106000	0	0
1991/06/19	717.71	721.37	715.88	717.33	2312.00	1871000	0	0
1991/06/20	714.18	714.18	707.56	710.12	2250.00	1666000	0	0
1991/06/21	706.97	707.35	703.66	704.41	1802.00	1263000	0	0
1991/06/22	700.89	702.72	697.23	698.33	2211.00	1568000	0	0
1991/06/24	694.20	696.76	687.18	689.79	2765.00	1895000	0	0
1991/06/25	685.30	691.55	684.93	690.09	6183.00	3358000	0	0
1991/06/26	686.21	695.28	683.89	693.96	6566.00	3583000	0	0
1991/06/27	690.66	697.46	687.67	694.90	8649.00	4828000	0	0
1991/06/28	691.45	693.37	686.53	691.41	10643.00	4561000	0	0
1991/06/29	689.11	691.31	684.19	690.48	4476.00	2384000	0	0
1991/07/01	685.65	687.48	680.83	684.01	9790.00	5472000	0	0
1991/07/02	680.40	683.34	665.39	670.15	7852.00	2981000	0	0
1991/07/03	666.81	671.95	660.93	669.06	8494.00	4811000	0	0
1991/07/04	665.85	667.54	660.42	661.61	1135.00	3102000	0	0
1991/07/05	659.38	660.66	648.22	652.38	7660.00	3527000	0	0
1991/07/06	647.80	648.08	639.01	643.19	5270.00	1953000	0	0
1991/07/08	640.79	641.41	623.23	628.45	6982.00	3213000	0	0
1991/07/09	620.78	620.78	603.04	611.99	9842.00	2680000	0	0
1991/07/10	609.63	617.19	607.64	614.92	9245.00	3378000	0	0
1991/07/11	612.62	615.00	604.76	608.27	6137.00	2827000	0	0
1991/07/12	605.55	606.19	598.86	603.02	8516.00	3593000	0	0
1991/07/13	600.75	604.11	599.66	602.69	4881.00	1638000	0	0
1991/07/15	600.47	600.75	590.81	594.38	5966.00	2520000	0	0
1991/07/16	591.97	592.96	581.74	584.85	6642.00	2806000	0	0
1991/07/17	580.06	582.33	572.52	576.75	7112.00	2660000	0	0
1991/07/18	574.99	613.83	573.60	608.91	5936.00	2827000	0	0
1991/07/19	609.39	640.22	606.25	616.73	10972.00	6045000	0	0
1991/07/20	611.18	612.15	594.45	602.90	6142.00	3220000	0	0
1991/07/22	603.60	607.84	595.85	601.76	12574.00	4805000	0	0
1991/07/23	598.45	605.82	594.92	601.90	8344.00	2664000	0	0
1991/07/24	598.47	600.09	594.65	598.81	4795.00	2310000	0	0
1991/07/25	596.70	598.01	591.05	594.61	6698.00	3087000	0	0
1991/07/26	591.05	592.59	584.60	586.01	7019.00	3361000	0	0
1991/07/27	583.89	587.43	582.64	585.45	2967.00	1363000	0	0
1991/07/29	583.37	584.99	574.65	579.73	8784.00	3943000	0	0
1991/07/30	577.29	578.40	570.02	577.15	5935.00	2572000	0	0
1991/07/31	572.86	578.74	571.91	578.42	5875.00	2485000	0	0
1991/08/01	574.82	580.59	574.19	579.32	7379.00	3383000	0	0
1991/08/02	576.39	579.74	574.81	577.96	5209.00	2845000	0	0
1991/08/03	577.16	579.87	575.22	579.11	3314.00	1231000	0	0
1991/08/05	578.71	579.80	575.77	578.18	5608.00	2525000	0	0
1991/08/06	575.97	578.91	573.75	576.83	5956.00	2625000	0	0
1991/08/07	575.48	577.42	574.39	576.33	5220.00	2396000	0	0
1991/08/08	575.75	576.07	573.52	574.52	4513.00	2123000	0	0
1991/08/09	574.12	575.21	570.05	572.80	5492.00	2466000	0	0
1991/08/10	570.97	575.12	570.64	575.12	2362.00	1267000	0	0
1991/08/12	573.74	574.51	571.01	572.79	5409.00	2297000	0	0
1991/08/13	571.71	573.02	570.94	571.40	5445.00	2362000	0	0
1991/08/14	570.54	572.62	569.41	570.54	4146.00	1808000	0	0
1991/08/15	570.14	572.09	567.43	568.71	4454.00	2079000	0	0
1991/08/16	568.98	572.19	567.36	570.96	5992.00	2541000	0	0
1991/08/17	437.69	448.86	432.18	447.21	1945.00	1213000	0	0
1991/08/19	450.14	459.35	446.51	458.02	8585.00	7549000	0	0
1991/08/20	456.72	457.78	446.64	449.10	8210.00	5783000	0	0
1991/08/21	448.14	448.86	439.33	445.99	9104.00	7869000	0	0
1991/08/22	443.66	446.20	434.29	437.26	8785.00	3089000	0	0
1991/08/23	434.50	438.28	425.90	435.63	8740.00	8561000	0	0
1991/08/24	442.73	447.77	434.07	444.14	5454.00	6045000	0	0
1991/08/26	443.05	444.70	437.68	441.41	9355.00	6733000	0	0
1991/08/27	439.60	441.30	434.73	437.08	9423.00	5925000	0	0
1991/08/28	437.35	438.58	431.88	436.05	10226.00	6156000	0	0
1991/08/29	432.32	436.32	430.61	435.37	7021.00	5520000	0	0
1991/08/30	432.65	435.30	431.34	433.77	9136.00	5408000	0	0
1991/08/31	431.92	433.87	429.04	432.92	5946.00	3006000	0	0
1991/09/02	431.03	432.86	425.82	431.79	10294.00	6344000	0	0
1991/09/03	430.07	432.61	425.48	429.33	17588.00	8263000	0	0
1991/09/04	427.41	429.25	422.24	425.99	7834.00	4893000	0	0
1991/09/05	423.20	424.37	414.21	419.58	16468.00	9961000	0	0
1991/09/06	414.52	415.45	397.67	402.50	25058.00	7749000	0	0
1991/09/07	401.35	406.93	396.52	405.75	11190.00	7145000	0	0
1991/09/09	401.57	409.76	400.38	409.76	20223.00	11944000	0	0
1991/09/10	407.04	412.64	403.32	410.44	14973.00	8841000	0	0
1991/09/11	407.98	418.12	407.05	417.53	14247.00	9483000	0	0
1991/09/12	416.57	420.12	414.44	419.04	12582.00	8225000	0	0
1991/09/13	417.66	419.53	413.40	418.51	15524.00	13497000	0	0
1991/09/14	415.77	417.43	413.17	416.84	9827.00	6650000	0	0
1991/09/16	414.03	415.56	409.68	413.86	11079.00	5222000	0	0
1991/09/17	410.99	413.87	409.40	412.51	7639.00	6119000	0	0
1991/09/18	409.97	412.49	407.84	410.99	7539.00	5805000	0	0
1991/09/19	410.21	411.44	405.32	408.18	8784.00	7064000	0	0
1991/09/20	406.91	409.21	405.38	407.54	5798.00	4868000	0	0
1991/09/21	406.75	408.71	405.10	408.13	2223.00	4021000	0	0
