代码	名称			板块	上市日		询价区间	一手资金	一手中签率	发行价		发行市盈率	绿鞋/公开	可比公司		超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘	承销商
06606	诺辉健康-B		主板	2021/02/18	22.7-26.66	13330		2.00%		26.660		-			30.00%		心通医疗-B		4133.00		20			159.94%		215.08%		76.000	85.900	70.000	84.000	高盛/UBS
01473	环联连讯		主板	2021/02/19	0.52-0.58	2320		15.00%		0.560		15-17		-			港亚			64.00		1.4			12.50%		26.79%		0.670	0.870	0.660	0.710	竤信
02170	贝康医疗-B		主板	2021/02/08	26.36-27.36	13680		10.00%		27.360		-			30.00%		加科思-Ｂ		402.00		18.2		14.04%		1.24%		30.000	32.250	27.500	27.700	中信证券
01024	快手-W			主板	2021/02/05	105-115		11500		4.00%		115.000		-			250.00%		爱奇艺			1204.00		419			170.09%		160.87%		338.000	345.000	300.000	300.000	大摩/美银/华兴资本
02161	健倍苗苗		主板	2021/02/05	1.2			2400		8.00%		1.200		24			-			福禄控股		22.00		0.53		14.17%		80.00%		1.480	3.200	1.470	2.160	中国银河
02160	心通医疗-B		主板	2021/02/04	11.1-12.2	12200		7.50%		12.200		-			30.00%		药明巨诺-B		769.00		25			65.57%		54.26%		21.500	22.200	18.120	18.820	摩根大通/花旗/中金
06668	星盛商业		主板	2021/01/26	3.2-3.88	3880		1.29%		3.860		33-40		30.00%		金融街物业		756.00		9			21.50%		3.63%		4.400	4.600	3.980	4.000	建银国际/中信建投
02159	麦迪卫康		主板	2021/01/19	3-4			3200		15.00%		3.000		25-33		-			中国同辐		168.00		1.5			10.67%		26.33%		4.000	4.810	3.600	3.790	光银国际
01490	CHESHI			主板	2021/01/15	1.08-1.28	5120		0.43%		1.230		22-26		30.00%		汽车之家		1274.00		2.4			40.65%		21.95%		1.700	1.830	1.500	1.500	农银国际
02125	稻草熊娱乐		主板	2021/01/15	5.1-6.16	6160		6.00%		5.880		45-54		30.00%		猫眼娱乐		403.00		9			36.05%		83.67%		7.000	11.360	6.100	10.800	招商证券/中信建投
