'399707'	申万证券	日线
日期	开盘	最高	最低	收盘
1999/12/30	1000.00	1000.00	1000.00	1000.00
2000/01/04	1013.39	1045.77	1000.64	1035.54
2000/01/05	1035.93	1075.11	1023.45	1050.67
2000/01/06	1047.20	1104.48	1031.74	1096.88
2000/01/07	1101.51	1138.94	1091.98	1127.42
2000/01/10	1143.32	1240.45	1113.05	1232.38
2000/01/11	1235.73	1272.10	1136.43	1167.41
2000/01/12	1164.19	1202.72	1106.18	1121.81
2000/01/13	1121.61	1139.01	1079.33	1100.82
2000/01/14	1116.52	1120.46	1072.42	1080.03
2000/01/17	1076.88	1147.36	1066.20	1132.07
2000/01/18	1127.97	1191.60	1113.69	1135.93
2000/01/19	1136.33	1187.04	1134.75	1161.70
2000/01/20	1157.96	1212.26	1154.39	1200.30
2000/01/21	1199.61	1266.72	1190.49	1200.16
2000/01/24	1205.72	1252.49	1175.20	1228.23
2000/01/25	1225.86	1272.47	1203.05	1236.35
2000/01/26	1237.31	1318.17	1227.10	1301.33
2000/01/27	1311.35	1355.02	1278.52	1322.91
2000/01/28	1331.89	1379.94	1299.05	1330.69
2000/02/14	1411.97	1464.07	1360.39	1464.07
2000/02/15	1519.47	1610.66	1455.49	1499.32
2000/02/16	1526.31	1604.56	1472.77	1595.99
2000/02/17	1641.10	1715.24	1450.12	1479.35
2000/02/18	1458.83	1559.44	1418.20	1558.01
2000/02/21	1575.21	1658.72	1528.11	1609.47
2000/02/22	1623.57	1649.68	1464.91	1477.04
2000/02/23	1416.10	1475.75	1400.48	1409.75
2000/02/24	1371.94	1431.16	1352.26	1395.22
2000/02/25	1404.60	1480.90	1378.51	1437.79
2000/02/28	1453.54	1529.27	1423.91	1509.29
2000/02/29	1564.40	1582.24	1435.72	1463.91
2000/03/01	1463.69	1549.15	1434.98	1492.09
2000/03/02	1491.50	1539.70	1464.48	1491.99
2000/03/03	1498.09	1628.15	1479.79	1592.92
2000/03/06	1697.19	1708.24	1523.12	1533.11
2000/03/07	1470.32	1652.64	1455.78	1652.05
2000/03/08	1657.10	1714.24	1597.64	1652.79
