'H30373'	百发100	日线
日期	开盘	最高	最低	收盘	成交量	成交额
2014/07/30	6956.98	7010.65	6937.22	6997.99	14315709.00	9881790464
2014/07/31	6992.80	7092.30	6980.72	7092.30	13184968.00	9055322112
2014/08/01	7078.53	7130.87	7008.72	7019.36	17079728.00	11468580864
2014/08/04	7018.98	7143.26	7017.75	7143.26	13522702.00	9451399168
2014/08/05	7140.93	7221.78	7114.46	7220.92	16166902.00	11056332800
2014/08/06	7205.51	7280.56	7179.44	7275.07	14392246.00	10147842048
2014/08/07	7269.95	7295.46	7182.27	7186.73	12430426.00	9148483584
2014/08/08	7194.80	7275.29	7194.36	7270.34	11362472.00	8458117120
2014/08/11	7278.39	7383.68	7277.06	7383.68	13186912.00	10203714560
2014/08/12	7374.34	7429.44	7352.68	7429.44	12253341.00	9530012672
2014/08/13	7418.47	7439.79	7314.69	7422.41	13690979.00	10247074816
2014/08/14	7411.53	7482.34	7386.59	7399.75	15637201.00	11280840704
2014/08/15	7388.02	7484.48	7364.81	7470.26	21301464.00	15567343616
2014/08/18	7472.77	7571.09	7472.77	7569.58	23059044.00	17989832704
2014/08/19	7583.94	7627.59	7553.46	7609.89	24044140.00	19922485248
2014/08/20	7599.20	7636.27	7563.74	7600.35	22521816.00	18437300224
2014/08/21	7600.72	7604.01	7499.17	7599.59	23333874.00	19074793472
2014/08/22	7597.23	7674.78	7584.79	7668.10	20095996.00	18672160768
2014/08/25	7661.88	7662.93	7567.79	7591.10	22386132.00	19087532032
2014/08/26	7569.28	7598.76	7420.11	7451.95	21985700.00	17329338368
2014/08/27	7439.24	7491.95	7433.52	7475.64	15415987.00	12698995712
2014/08/28	7465.08	7481.57	7387.93	7416.11	17030384.00	13841178624
2014/08/29	7405.36	7507.69	7390.92	7506.95	14297739.00	11321891840
2014/09/01	7511.62	7629.07	7506.01	7629.07	18255164.00	15493866496
2014/09/02	7637.59	7734.35	7629.07	7734.35	24242486.00	19654189056
2014/09/03	7739.35	7808.45	7736.34	7797.00	24624932.00	20381523968
2014/09/04	7801.10	7838.71	7768.39	7838.71	21498872.00	17508626432
2014/09/05	7850.54	7892.99	7819.36	7891.23	25565886.00	20331798528
2014/09/09	7886.89	7956.36	7846.45	7956.36	22358648.00	17987670016
2014/09/10	7916.43	7996.28	7887.90	7990.84	22230844.00	18464319488
2014/09/11	7991.20	8108.79	7934.26	8003.18	26505464.00	22699040768
2014/09/12	7988.11	8100.62	7979.16	8100.03	23748122.00	18820065280
2014/09/15	8098.96	8179.59	8083.39	8171.37	26867396.00	21236516864
2014/09/16	8182.11	8213.71	7935.32	7940.20	38565276.00	26490339328
2014/09/17	7945.33	8022.21	7881.56	8022.21	29298508.00	19417751552
2014/09/18	8009.45	8077.88	7984.81	8077.88	30891748.00	20238635008
2014/09/19	8064.25	8213.68	8059.92	8197.43	14911716.00	11708267520
2014/09/22	8174.21	8176.14	8084.92	8127.99	18698004.00	15152191488
2014/09/23	8109.94	8248.43	8106.94	8248.43	16462535.00	13204161536
2014/09/24	8223.76	8337.34	8196.40	8337.26	16953004.00	14153953280
2014/09/25	8364.71	8428.09	8309.19	8340.99	20889088.00	16795812864
2014/09/26	8310.16	8393.13	8287.16	8388.52	13960679.00	11609403392
2014/09/29	8406.50	8493.32	8403.33	8491.46	15171687.00	12890747904
2014/09/30	8491.31	8558.90	8482.11	8553.42	15298588.00	12793249792
2014/10/08	8589.44	8673.31	8540.85	8673.31	17077008.00	13794076672
2014/10/09	8676.10	8702.61	8554.82	8687.03	20045288.00	17075122176
2014/10/10	8653.08	8672.21	8578.31	8651.33	18737268.00	16260886528
2014/10/13	8617.54	8664.39	8527.03	8663.27	16901256.00	14318602240
2014/10/14	8634.22	8703.94	8581.96	8635.67	15560282.00	13494681600
2014/10/15	8633.73	8703.38	8564.53	8703.38	15920184.00	13893818368
2014/10/16	8646.82	8739.13	8571.44	8571.45	18738364.00	16584162304
2014/10/17	8537.27	8562.85	8268.21	8436.31	30081244.00	19144146944
2014/10/20	8441.91	8549.15	8438.07	8547.63	21199614.00	14699571200
2014/10/21	8539.66	8578.89	8451.40	8453.33	24441830.00	15488653312
2014/10/22	8447.35	8487.07	8306.85	8313.90	20170900.00	13567221760
2014/10/23	8283.84	8323.65	8102.53	8141.90	21519656.00	13797308416
