'931087'	科技龙头	日线
日期	开盘	最高	最低	收盘
2019/06/28	2677.81	2677.81	2639.94	2662.97
2019/07/01	2754.21	2812.88	2744.71	2810.86
2019/07/02	2799.06	2814.48	2777.01	2788.49
2019/07/03	2778.28	2779.07	2715.34	2730.96
2019/07/04	2736.82	2742.43	2687.35	2701.79
2019/07/05	2706.59	2734.15	2703.78	2726.68
2019/07/08	2709.42	2709.42	2626.45	2643.11
2019/07/09	2643.96	2658.66	2608.98	2637.05
2019/07/10	2654.50	2661.15	2636.42	2644.88
2019/07/11	2663.56	2677.33	2620.03	2632.23
2019/07/12	2632.98	2650.33	2611.77	2638.67
2019/07/15	2624.04	2702.05	2587.66	2681.60
2019/07/16	2670.74	2687.25	2660.07	2669.32
2019/07/17	2666.70	2694.48	2655.47	2680.20
2019/07/18	2655.66	2655.66	2611.40	2612.02
2019/07/19	2620.82	2648.19	2611.57	2615.04
2019/07/22	2635.50	2647.27	2582.77	2616.88
2019/07/23	2619.88	2658.00	2615.86	2656.03
2019/07/24	2663.72	2719.17	2662.15	2706.80
2019/07/25	2708.29	2764.15	2703.55	2752.88
2019/07/26	2745.98	2769.99	2739.09	2765.00
2019/07/29	2769.00	2789.12	2751.67	2771.88
2019/07/30	2776.17	2797.81	2761.93	2763.78
2019/07/31	2759.78	2780.46	2751.91	2766.20
2019/08/01	2750.57	2766.91	2738.26	2756.18
2019/08/02	2665.74	2711.88	2659.63	2701.25
2019/08/05	2687.40	2725.43	2649.88	2650.26
2019/08/06	2591.39	2642.35	2552.67	2625.73
2019/08/07	2643.17	2646.63	2608.80	2608.80
2019/08/08	2620.51	2657.44	2614.60	2652.13
2019/08/09	2666.35	2681.16	2612.12	2623.61
2019/08/12	2629.43	2720.84	2618.25	2720.84
2019/08/13	2687.85	2706.89	2664.63	2683.65
2019/08/14	2739.23	2762.58	2712.92	2716.43
2019/08/15	2652.63	2771.00	2644.56	2771.00
2019/08/16	2763.77	2827.61	2759.33	2799.43
2019/08/19	2842.17	2932.19	2842.11	2914.06
2019/08/20	2917.33	2938.65	2888.47	2900.94
2019/08/21	2882.71	2934.18	2881.04	2910.69
2019/08/22	2923.32	2925.02	2875.18	2899.78
2019/08/23	2906.67	2945.59	2897.85	2932.75
2019/08/26	2869.01	2909.66	2869.01	2901.36
2019/08/27	2924.92	2993.08	2918.83	2957.87
2019/08/28	2950.11	2959.23	2926.67	2941.22
2019/08/29	2942.23	2983.79	2933.93	2959.46
2019/08/30	2989.26	3021.50	2928.87	2951.13
2019/09/02	2957.02	3051.49	2949.37	3041.74
2019/09/03	3049.67	3104.64	3044.85	3104.64
2019/09/04	3096.87	3122.74	3061.81	3107.83
2019/09/05	3127.00	3213.00	3117.31	3144.75
2019/09/06	3165.74	3195.91	3126.78	3169.47
2019/09/09	3201.46	3272.62	3178.92	3272.62
2019/09/10	3272.62	3275.32	3202.04	3225.09
2019/09/11	3230.71	3240.83	3161.86	3173.70
2019/09/12	3192.60	3195.06	3157.41	3188.78
2019/09/16	3207.36	3235.57	3186.12	3220.02
2019/09/17	3209.50	3209.50	3136.34	3160.73
2019/09/18	3162.73	3183.45	3118.50	3165.12
2019/09/19	3176.65	3225.01	3173.81	3225.01
2019/09/20	3245.98	3277.08	3226.38	3258.16
2019/09/23	3246.03	3249.30	3208.48	3248.77
2019/09/24	3242.96	3309.17	3241.77	3282.35
2019/09/25	3260.00	3261.67	3190.29	3199.88
2019/09/26	3212.86	3219.42	3103.07	3107.19
2019/09/27	3112.48	3165.69	3112.48	3150.09
2019/09/30	3144.21	3163.05	3082.53	3082.55
2019/10/08	3090.86	3114.98	3041.05	3043.66
2019/10/09	3035.38	3055.07	2994.02	3052.58
2019/10/10	3041.29	3127.65	3033.21	3127.20
2019/10/11	3135.51	3142.24	3092.01	3117.55
2019/10/14	3162.31	3170.85	3141.77	3165.09
2019/10/15	3149.55	3149.55	3097.03	3101.62
2019/10/16	3105.89	3150.57	3101.70	3113.32
2019/10/17	3120.16	3136.39	3113.35	3131.83
2019/10/18	3139.05	3143.29	3073.77	3081.27
2019/10/21	3079.23	3085.48	3042.15	3078.14
2019/10/22	3095.17	3130.03	3095.17	3128.90
2019/10/23	3131.53	3143.09	3102.46	3110.38
2019/10/24	3114.59	3117.30	3077.79	3109.07
2019/10/25	3115.47	3174.74	3095.27	3174.74
2019/10/28	3236.78	3285.08	3217.86	3285.08
2019/10/29	3281.24	3281.24	3231.16	3231.16
2019/10/30	3218.35	3236.71	3178.87	3216.39
2019/10/31	3224.46	3242.16	3176.29	3181.19
2019/11/01	3179.75	3233.40	3176.47	3230.76
2019/11/04	3239.64	3282.99	3232.47	3251.51
2019/11/05	3255.82	3292.45	3239.26	3286.81
2019/11/06	3284.28	3297.64	3247.39	3258.74
2019/11/07	3255.18	3282.93	3246.51	3276.73
2019/11/08	3305.07	3342.77	3292.80	3294.21
2019/11/11	3271.40	3289.45	3223.26	3232.07
2019/11/12	3240.75	3243.24	3180.06	3230.60
2019/11/13	3228.89	3287.93	3212.66	3287.93
2019/11/14	3281.79	3351.44	3277.14	3334.42
2019/11/15	3325.10	3355.99	3305.21	3305.21
2019/11/18	3301.83	3320.07	3277.94	3310.30
2019/11/19	3310.52	3382.26	3299.01	3382.26
2019/11/20	3378.79	3410.72	3354.89	3360.44
2019/11/21	3344.34	3361.03	3318.85	3342.46
2019/11/22	3346.85	3375.70	3222.58	3242.60
2019/11/25	3234.26	3236.62	3144.70	3179.84
2019/11/26	3202.76	3232.29	3189.64	3220.59
2019/11/27	3208.08	3260.49	3190.61	3240.12
2019/11/28	3237.52	3257.71	3219.55	3231.13
2019/11/29	3221.28	3225.12	3167.00	3211.94
2019/12/02	3200.86	3227.34	3190.12	3200.90
2019/12/03	3188.49	3222.78	3159.71	3222.62
2019/12/04	3203.84	3243.51	3196.31	3232.38
2019/12/05	3247.92	3312.71	3240.09	3296.94
2019/12/06	3298.56	3323.14	3275.76	3323.14
2019/12/09	3329.21	3331.07	3284.66	3302.15
2019/12/10	3291.05	3349.91	3275.24	3349.89
2019/12/11	3346.11	3365.35	3312.46	3324.00
2019/12/12	3328.75	3348.78	3312.08	3321.04
2019/12/13	3366.12	3385.97	3330.04	3385.63
2019/12/16	3403.01	3453.74	3399.42	3453.74
2019/12/17	3453.22	3511.86	3443.59	3504.16
