'00700'	腾讯控股	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数
2004/06/16	4.375	4.625	4.075	4.150	439775008.00	1947628032	0
2004/06/17	4.150	4.375	4.125	4.225	83801504.00	355632992	0
2004/06/18	4.200	4.250	3.950	4.025	36598000.00	149216992	0
2004/06/21	4.125	4.125	3.950	4.000	22817000.00	92101000	0
2004/06/23	4.050	4.450	4.025	4.425	55016000.00	234416992	0
2004/06/24	4.475	4.525	4.325	4.475	34723000.00	154304992	0
2004/06/25	4.475	4.550	4.350	4.400	21212500.00	94840000	0
2004/06/28	4.375	4.400	4.250	4.300	14746000.00	63588000	0
2004/06/29	4.300	4.425	4.300	4.325	15081500.00	65692000	0
2004/06/30	4.350	4.425	4.300	4.300	12217000.00	53199000	0
2004/07/02	4.275	4.375	4.175	4.350	13026000.00	56038000	0
2004/07/05	4.325	4.400	4.325	4.375	14264000.00	61832000	0
2004/07/06	4.375	4.450	4.350	4.400	15429000.00	67928000	0
2004/07/07	4.375	4.375	4.250	4.275	13135000.00	56501000	0
2004/07/08	4.250	4.250	4.075	4.100	21149000.00	87504000	0
2004/07/09	4.100	4.125	4.025	4.075	9376000.00	38200000	0
2004/07/12	4.075	4.125	3.975	3.975	11970000.00	48244000	0
2004/07/13	4.000	4.050	3.975	4.025	10934000.00	43735000	0
2004/07/14	4.025	4.025	3.750	3.775	19638000.00	75304000	0
2004/07/15	3.825	3.825	3.550	3.675	11319000.00	41480000	0
2004/07/16	3.650	3.750	3.625	3.700	4126500.00	15344000	0
2004/07/19	3.700	3.775	3.600	3.775	5321000.00	19808000	0
2004/07/20	3.725	3.775	3.700	3.750	3436000.00	12779000	0
2004/07/21	3.800	3.875	3.750	3.800	10495000.00	39951000	0
2004/07/22	3.750	3.750	3.500	3.550	13831000.00	49782000	0
2004/07/23	3.550	3.575	3.500	3.525	4668000.00	16438000	0
2004/07/26	3.450	3.500	3.375	3.375	7439000.00	25360000	0
2004/07/27	3.375	3.725	3.375	3.725	17906000.00	64645000	0
2004/07/28	3.725	3.750	3.625	3.675	4205000.00	15521000	0
2004/07/29	3.625	3.775	3.600	3.750	3498000.00	12943000	0
2004/07/30	3.800	3.875	3.725	3.850	10065000.00	38332000	0
2004/08/02	3.850	3.875	3.700	3.875	5352000.00	20459000	0
2004/08/03	3.900	3.975	3.875	3.975	12739000.00	50043000	0
2004/08/04	3.925	3.925	3.825	3.875	2849000.00	11000000	0
2004/08/05	3.900	4.025	3.900	3.975	6785000.00	27098000	0
2004/08/06	3.925	4.050	3.925	4.000	4334000.00	17332000	0
2004/08/09	4.000	4.000	3.950	4.000	4497000.00	17938000	0
2004/08/10	4.050	4.050	3.875	3.875	4209000.00	16516000	0
2004/08/11	3.925	3.925	3.675	3.700	6565000.00	24628000	0
2004/08/12	3.675	3.750	3.625	3.750	5173000.00	19153000	0
2004/08/13	3.675	3.750	3.675	3.750	977000.00	3642000	0
2004/08/16	3.700	3.775	3.600	3.750	2665000.00	9836000	0
2004/08/17	3.750	3.750	3.675	3.700	893500.00	3320000	0
2004/08/18	3.750	3.750	3.700	3.725	676000.00	2503000	0
2004/08/19	3.725	3.800	3.675	3.700	3979000.00	14914000	0
2004/08/20	3.725	3.725	3.675	3.725	3456000.00	12774000	0
2004/08/23	3.750	3.750	3.575	3.650	2150000.00	7803000	0
2004/08/24	3.650	3.650	3.550	3.600	3268000.00	11758000	0
2004/08/25	3.625	3.625	3.475	3.500	4818000.00	17043000	0
2004/08/26	3.550	3.575	3.375	3.400	8416000.00	29249000	0
2004/08/27	3.450	3.525	3.425	3.500	9896000.00	34368000	0
2004/08/30	3.500	3.550	3.475	3.500	2126000.00	7475000	0
2004/08/31	3.525	3.675	3.475	3.650	2290000.00	8185000	0
2004/09/01	3.675	3.675	3.600	3.625	2072000.00	7532000	0
2004/09/02	3.650	3.650	3.600	3.625	3049000.00	11076000	0
2004/09/03	3.650	3.650	3.575	3.600	1870000.00	6734000	0
2004/09/06	3.600	3.675	3.575	3.650	2437000.00	8863000	0
2004/09/07	3.675	3.775	3.675	3.775	8060000.00	30048000	0
2004/09/08	3.750	3.750	3.675	3.725	1711000.00	6359000	0
2004/09/09	3.675	3.700	3.650	3.650	692000.00	2534000	0
2004/09/10	3.650	3.700	3.625	3.700	622000.00	2277000	0
2004/09/13	3.625	3.625	3.450	3.475	7420000.00	26028000	0
2004/09/14	3.500	3.650	3.500	3.600	3611000.00	12847000	0
2004/09/15	3.700	3.825	3.675	3.775	14480000.00	54401000	0
2004/09/16	3.800	3.925	3.750	3.900	12604000.00	48742000	0
2004/09/17	3.925	3.925	3.850	3.850	3699000.00	14367000	0
2004/09/20	3.875	3.900	3.775	3.850	2416000.00	9257000	0
2004/09/21	3.900	3.975	3.825	3.850	4143000.00	16228000	0
2004/09/22	3.825	3.850	3.800	3.825	1521000.00	5819000	0
2004/09/23	3.800	3.900	3.800	3.875	1612000.00	6208000	0
2004/09/24	3.875	3.875	3.775	3.800	4383000.00	16677000	0
2004/09/27	3.800	3.825	3.775	3.800	1303000.00	4955000	0
2004/09/28	3.750	3.800	3.750	3.800	2124000.00	8045000	0
