'600519'	贵州茅台	日线
日期	开盘	最高	最低	收盘
2007/07/02	13.05	13.80	10.04	13.10
2007/07/03	13.20	13.42	10.79	12.46
2007/07/04	12.46	13.35	10.95	11.63
2007/07/05	10.79	12.29	8.62	9.31
2007/07/06	8.99	12.33	8.99	12.20
2007/07/09	12.44	14.32	11.92	13.91
2007/07/10	13.80	13.80	11.54	12.29
2007/07/11	11.54	11.54	9.89	10.67
2007/07/12	10.79	11.14	9.21	9.57
2007/07/13	9.84	10.93	9.75	10.18
2007/07/16	10.55	10.55	7.73	7.77
2007/07/17	7.71	10.72	6.28	10.66
2007/07/18	9.69	12.08	8.31	11.38
2007/07/19	10.63	13.63	10.57	13.38
2007/07/20	12.74	14.70	12.07	14.28
2007/07/23	14.92	19.33	13.62	18.42
2007/07/24	18.53	18.83	16.50	16.92
2007/07/25	16.20	17.33	15.45	15.82
2007/07/26	16.49	18.08	15.98	16.61
2007/07/27	14.74	16.19	13.58	13.95
2007/07/30	13.95	18.53	13.73	17.62
2007/07/31	17.24	21.84	16.74	21.14
2007/08/01	21.08	21.84	18.09	18.85
2007/08/02	19.21	22.96	19.21	21.77
2007/08/03	21.75	28.66	21.58	27.91
2007/08/06	27.94	29.34	26.36	27.90
2007/08/07	27.88	28.58	26.69	28.24
2007/08/08	28.24	33.84	26.16	28.48
2007/08/09	31.30	34.13	29.35	32.80
2007/08/10	32.47	33.48	28.60	29.32
2007/08/13	29.33	29.33	24.36	27.64
2007/08/14	26.34	27.85	25.01	27.04
2007/08/15	27.03	29.72	25.22	26.34
2007/08/16	25.22	27.85	22.96	25.60
2007/08/17	26.48	30.24	25.22	25.71
2007/08/20	27.17	32.95	27.17	31.97
2007/08/21	31.99	36.86	31.99	35.39
2007/08/22	33.86	41.97	33.48	40.79
2007/08/23	40.78	45.28	39.87	44.34
2007/08/24	44.29	45.87	41.37	42.23
2007/08/27	42.12	44.36	40.62	40.66
2007/08/28	39.87	41.37	39.19	39.71
2007/08/29	38.95	42.47	38.36	39.57
2007/08/30	39.79	41.21	39.45	40.61
2007/08/31	40.62	44.45	39.87	44.32
2007/09/03	45.05	46.93	44.00	44.24
2007/09/04	44.07	44.07	37.61	38.97
2007/09/05	39.06	40.58	35.79	38.22
2007/09/06	38.36	38.36	36.04	36.85
2007/09/07	36.85	36.85	32.28	32.70
2007/09/10	29.54	32.59	29.54	30.93
2007/09/11	30.85	34.22	30.85	32.20
2007/09/12	31.60	33.86	29.60	32.14
2007/09/13	32.35	32.73	30.10	32.23
2007/09/14	32.35	36.86	30.65	35.65
2007/09/17	35.36	39.10	33.68	38.34
2007/09/18	38.51	38.51	33.02	34.21
2007/09/19	33.18	33.48	29.18	30.48
2007/09/20	30.64	33.74	30.64	33.13
2007/09/21	33.15	33.47	30.70	32.99
2007/09/24	32.35	33.71	29.73	30.48
2007/09/25	30.45	31.83	28.28	30.03
2007/09/26	28.60	34.98	28.60	33.62
2007/09/27	33.61	34.98	31.26	33.92
2007/09/28	33.84	38.82	33.50	37.21
2007/10/08	38.01	40.48	34.61	34.72
2007/10/09	34.23	45.13	34.23	43.44
2007/10/10	44.91	50.69	42.12	47.73
2007/10/11	48.01	57.15	47.76	54.34
2007/10/12	55.72	59.71	50.39	58.51
2007/10/15	56.47	69.92	56.47	65.85
2007/10/16	66.16	66.16	60.24	63.18
2007/10/17	62.41	62.41	60.15	60.90
2007/10/18	58.41	60.90	54.89	56.99
2007/10/19	56.77	63.91	56.77	59.52
2007/10/22	57.90	60.90	56.02	58.58
2007/10/23	62.03	69.17	61.88	65.41
2007/10/24	65.45	73.68	51.29	68.41
2007/10/25	66.16	72.92	63.91	69.73
2007/10/26	67.47	71.42	63.25	70.70
2007/10/29	69.18	72.55	66.07	67.47
2007/10/30	68.43	69.90	61.90	64.96
2007/10/31	65.27	68.72	65.27	67.67
2007/11/01	68.79	68.79	62.33	63.02
2007/11/02	61.66	63.00	57.90	62.46
2007/11/05	62.41	63.91	59.40	60.91
