'XAUUSD'	黄金现货/美元	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数
1992/05/19	338.45	340.90	337.00	337.55	0.00	0	0
1992/05/20	337.65	338.15	336.00	337.65	0.00	0	0
1992/05/21	337.65	337.85	336.30	336.90	0.00	0	0
1992/05/22	336.95	337.90	336.65	337.60	0.00	0	0
1992/05/25	337.70	338.90	337.00	338.10	0.00	0	0
1992/05/26	338.20	338.65	337.00	337.90	0.00	0	0
1992/05/27	337.95	339.00	337.30	337.55	0.00	0	0
1992/05/28	337.60	337.75	335.90	337.05	0.00	0	0
1992/05/29	336.95	338.10	336.05	336.30	0.00	0	0
1992/06/01	336.50	337.70	335.90	337.60	0.00	0	0
1992/06/02	337.50	339.50	336.70	338.70	0.00	0	0
1992/06/03	338.50	340.70	337.60	338.25	0.00	0	0
1992/06/04	338.30	339.00	337.65	338.50	0.00	0	0
1992/06/05	338.50	339.25	338.20	338.50	0.00	0	0
1992/06/08	338.55	339.25	337.80	337.90	0.00	0	0
1992/06/09	338.05	338.40	337.25	337.80	0.00	0	0
1992/06/10	337.80	338.70	337.30	337.65	0.00	0	0
1992/06/11	337.60	340.20	337.55	340.00	0.00	0	0
1992/06/12	340.00	343.90	339.10	342.50	0.00	0	0
1992/06/15	342.30	343.50	341.40	342.50	0.00	0	0
1992/06/16	342.60	343.20	340.20	341.90	0.00	0	0
1992/06/17	341.80	344.08	340.70	341.35	0.00	0	0
1992/06/18	341.30	343.20	340.60	342.25	0.00	0	0
1992/06/19	342.20	345.00	340.00	340.70	0.00	0	0
1992/06/22	341.15	343.70	340.70	343.20	0.00	0	0
1992/06/23	343.20	344.80	342.50	344.10	0.00	0	0
1992/06/24	343.95	344.90	341.70	342.65	0.00	0	0
1992/06/25	342.70	344.00	342.00	342.80	0.00	0	0
1992/06/26	342.85	344.00	341.80	342.35	0.00	0	0
1992/06/29	342.25	343.80	341.30	343.45	0.00	0	0
1992/06/30	343.50	343.75	342.00	343.00	0.00	0	0
1992/07/01	343.05	344.50	342.80	343.90	0.00	0	0
1992/07/02	343.90	348.25	343.30	346.00	0.00	0	0
1992/07/03	346.00	346.50	344.90	346.00	0.00	0	0
1992/07/06	345.90	347.00	345.00	346.40	0.00	0	0
1992/07/07	346.30	346.70	344.50	346.15	0.00	0	0
1992/07/08	346.10	349.20	345.75	347.15	0.00	0	0
1992/07/09	347.10	348.60	346.10	348.45	0.00	0	0
1992/07/10	348.20	350.50	347.80	348.00	0.00	0	0
1992/07/13	348.30	349.40	347.00	348.70	0.00	0	0
1992/07/14	349.00	351.40	348.60	350.60	0.00	0	0
1992/07/15	350.60	353.80	350.25	353.45	0.00	0	0
1992/07/16	353.45	355.45	352.10	352.25	0.00	0	0
1992/07/17	352.30	359.10	351.95	357.00	0.00	0	0
1992/07/20	357.75	360.20	356.00	358.65	0.00	0	0
1992/07/21	358.60	358.85	356.60	357.40	0.00	0	0
1992/07/22	357.30	360.10	356.75	359.00	0.00	0	0
1992/07/23	359.10	361.10	357.70	357.75	0.00	0	0
1992/07/24	357.75	360.00	356.25	359.30	0.00	0	0
1992/07/27	358.50	358.80	357.10	357.80	0.00	0	0
1992/07/29	358.95	359.40	355.60	356.40	0.00	0	0
1992/07/30	356.60	357.70	355.45	356.50	0.00	0	0
1992/07/31	356.70	358.50	356.60	357.60	0.00	0	0
1992/08/03	358.00	358.00	351.80	353.00	0.00	0	0
1992/08/04	353.10	353.30	351.03	352.90	0.00	0	0
1992/08/05	352.80	353.55	348.40	349.40	0.00	0	0
1992/08/06	349.50	349.80	347.00	349.30	0.00	0	0
1992/08/07	349.35	351.40	348.65	350.40	0.00	0	0
1992/08/10	350.60	351.30	349.60	349.90	0.00	0	0
1992/08/11	349.80	350.20	347.00	347.65	0.00	0	0
1992/08/12	347.70	348.75	337.50	340.00	0.00	0	0
1992/08/13	340.30	340.65	332.40	334.80	0.00	0	0
1992/08/14	335.00	336.55	333.00	335.30	0.00	0	0
1992/08/17	335.85	338.13	335.30	337.00	0.00	0	0
1992/08/18	337.10	337.20	333.50	335.95	0.00	0	0
1992/08/19	336.00	338.70	335.75	337.60	0.00	0	0
1992/08/20	337.50	338.70	335.50	337.50	0.00	0	0
